panel,family,selector,ratio,gross,picked,is_Sharpe,is_CAGR,is_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_dd,oos_cagr,oos_h1,oos_h2,oos_4b,full_4b,full_4a
B136,MOMVS,PICK-CALMAR,0.35,1.0,r=0.35 g=1.0,1.0887402079252326,0.14971198336664604,-0.13169499351517633,0.1403127821320469,0.9875644352311697,-0.22117883881753142,False,True,True,False,False,False,False
B136,MOMVS,PICK-4bIS,0.75,0.75,r=0.75 g=0.75,1.0972804271170677,0.1159319633767657,-0.10929481519873296,0.11878033868508164,1.062090840025924,-0.2201835036211921,False,True,True,True,False,False,False
SMALL,LOWVOL,PICK-SHARPE,0.05,1.0,r=0.05 g=1.0,2.0204140738097878,0.15524939555084183,-0.05364208197127596,0.04691472289415488,0.44289095025273917,-0.30139366905922704,False,False,False,False,False,False,False
SMALL,LOWVOL,PICK-CALMAR,0.05,1.0,r=0.05 g=1.0,2.0204140738097878,0.15524939555084183,-0.05364208197127596,0.04691472289415488,0.44289095025273917,-0.30139366905922704,False,False,False,False,False,False,False
SMALL,LOWVOL,PICK-4bIS,0.05,1.0,r=0.05 g=1.0,2.0204140738097878,0.15524939555084183,-0.05364208197127596,0.04691472289415488,0.44289095025273917,-0.30139366905922704,False,False,False,False,False,False,False
SMALL,MADIST,PICK-SHARPE,1.0,1.0,r=1.0 g=1.0,0.9085359843524697,0.12477808305854787,-0.17770635454792982,0.0594704832704287,0.40520474787721056,-0.49393735612172174,False,False,False,False,False,False,False
SMALL,MADIST,PICK-CALMAR,1.0,1.0,r=1.0 g=1.0,0.9085359843524697,0.12477808305854787,-0.17770635454792982,0.0594704832704287,0.40520474787721056,-0.49393735612172174,False,False,False,False,False,False,False
SMALL,MADIST,PICK-4bIS,,,NONE (no IS cell clears 4b),,,,,,,,,,,,,
SMALL,MOM,PICK-SHARPE,1.0,1.0,r=1.0 g=1.0,0.9385452013531274,0.12858939887638465,-0.17839632690737595,0.05938727749051309,0.4042940045959399,-0.495274298272402,False,False,False,False,False,False,False
SMALL,MOM,PICK-CALMAR,0.75,1.0,r=0.75 g=1.0,0.9307599288804556,0.13269465848423523,-0.17858042496472304,0.07109248494743947,0.45667153399622135,-0.4859539686454373,False,False,False,False,False,False,False
SMALL,MOM,PICK-4bIS,,,NONE (no IS cell clears 4b),,,,,,,,,,,,,
SMALL,MOMVS,PICK-SHARPE,0.1,1.0,r=0.1 g=1.0,1.2759716339670142,0.15538724770819634,-0.12482732526502927,0.042935034708974085,0.34776655268507023,-0.4167190003121207,False,False,False,False,False,False,False
SMALL,MOMVS,PICK-CALMAR,0.1,1.0,r=0.1 g=1.0,1.2759716339670142,0.15538724770819634,-0.12482732526502927,0.042935034708974085,0.34776655268507023,-0.4167190003121207,False,False,False,False,False,False,False
SMALL,MOMVS,PICK-4bIS,0.1,0.75,r=0.1 g=0.75,1.2731804483520004,0.1156230060733845,-0.09476049096767536,0.03456388392041809,0.3501219756025876,-0.32257061430282397,False,False,False,False,False,False,False
U56,LOWVOL,PICK-SHARPE,0.02,0.5,r=0.02 g=0.5,1.0451592418431075,0.027107929649142104,-0.03589808917104054,0.015058894425613145,0.5027408617064384,-0.08653334489205722,True,False,True,False,False,False,False
U56,LOWVOL,PICK-CALMAR,1.0,1.0,r=1.0 g=1.0,1.0438780399449596,0.13867954466293786,-0.13244714373799382,0.17426977563759882,1.2156548956447508,-0.22181817011822336,False,True,True,True,False,False,False
U56,LOWVOL,PICK-4bIS,,,NONE (no IS cell clears 4b),,,,,,,,,,,,,
U56,MADIST,PICK-SHARPE,0.02,1.0,r=0.02 g=1.0,1.200218059786246,0.2793463405877985,-0.2114493722306603,0.33219207707155807,1.2277706994192825,-0.30106045226228006,False,True,True,True,False,False,False
U56,MADIST,PICK-CALMAR,0.02,1.0,r=0.02 g=1.0,1.200218059786246,0.2793463405877985,-0.2114493722306603,0.33219207707155807,1.2277706994192825,-0.30106045226228006,False,True,True,True,False,False,False
U56,MADIST,PICK-4bIS,0.02,0.5,r=0.02 g=0.5,1.192221606729898,0.1372767735999194,-0.10980707833512038,0.16171243657782797,1.2079223538410881,-0.16619165379224543,True,True,True,True,True,True,False
U56,MOM,PICK-SHARPE,0.2,1.0,r=0.2 g=1.0,1.2767080322437794,0.26285487116050477,-0.19131697476014753,0.20822144849601876,0.9255249673996778,-0.3258026743903679,False,True,False,True,False,False,False
U56,MOM,PICK-CALMAR,0.2,1.0,r=0.2 g=1.0,1.2767080322437794,0.26285487116050477,-0.19131697476014753,0.20822144849601876,0.9255249673996778,-0.3258026743903679,False,True,False,True,False,False,False
U56,MOM,PICK-4bIS,0.2,0.5,r=0.2 g=0.5,1.268647182541165,0.12786357671167248,-0.09835612626182222,0.1048278317325484,0.9144790253477307,-0.17622847567095057,True,False,False,True,False,True,False
U56,MOMVS,PICK-SHARPE,0.35,1.0,r=0.35 g=1.0,1.1755607917908277,0.1515882077042321,-0.12435008885010879,0.1607373003696988,1.136457008370348,-0.1686543648612414,True,True,True,True,True,True,False
U56,MOMVS,PICK-CALMAR,0.35,1.0,r=0.35 g=1.0,1.1755607917908277,0.1515882077042321,-0.12435008885010879,0.1607373003696988,1.136457008370348,-0.1686543648612414,True,True,True,True,True,True,False
U56,MOMVS,PICK-4bIS,0.35,1.0,r=0.35 g=1.0,1.1755607917908277,0.1515882077042321,-0.12435008885010879,0.1607373003696988,1.136457008370348,-0.1686543648612414,True,True,True,True,True,True,False
