panel,kind,tol,S,cost,null_4a_share,null_4b_share
SMALL,IID,0.05,10,25,0.0,0.0
SMALL,IID,0.05,10,50,0.0,0.0
SMALL,IID,0.05,25,0,0.0,0.0
SMALL,IID,0.05,25,10,0.0,0.0
SMALL,IID,0.05,25,25,0.0,0.0
SMALL,IID,0.05,25,50,0.0,0.0
SMALL,IID,0.05,50,0,0.0,0.0
SMALL,IID,0.05,50,10,0.0,0.0
SMALL,IID,0.05,50,25,0.0,0.0
SMALL,IID,0.05,50,50,0.0,0.0
