cik,name,ticker,ticker_src,exchange,filing_date,year,n_amendments,last_amendment,amend_only,cert_date,form8a_date,first_8k_date,first_8k_items,form25_date,est_dist_date,est_dist_src,sic,sic_desc,inc_state,entity_type,n_filings,last_filing,accession,display_name
1657853,"HERTZ GLOBAL HOLDINGS, INC",HTZ,submissions,Nasdaq,2015-12-21,2015,5,2016-06-02,False,2021-11-08,2021-11-08,2016-06-17,5.03,2020-10-30,2021-11-08,cert,,Services-Auto Rental & Leasing (No Drivers),DE,operating,862,2026-08-28,0001657853-15-000004,"Hertz Rental Car Holding Company, Inc.  (HTZ, HTZWW)  (CIK 0001657853)"
1656239,"Pinnacle Entertainment, Inc.",,,,2015-12-22,2015,6,2016-04-11,False,,,2016-04-12,"8.01,9.01",2018-10-15,2016-04-12,first_8k,,Hotels & Motels,DE,operating,332,2019-02-14,0001193125-15-410962,"PNK Entertainment, Inc.  (CIK 0001656239)"
1661458,"Highlands REIT, Inc.",,,,2015-12-23,2015,0,,False,,,2016-04-14,"1.01,8.01,9.01",,2016-04-14,first_8k,,Real Estate Investment Trusts,MD,operating,252,2026-09-01,0001193125-15-412262,"Highlands REIT, Inc.  (CIK 0001661458)"
1661920,Lonestar Resources US Inc.,,,,2015-12-31,2015,5,2016-06-09,False,,,2016-07-05,"8.01,9.01",2020-10-27,2016-07-05,first_8k,,Crude Petroleum & Natural Gas,DE,operating,436,2022-02-11,0001104659-15-087515,Lonestar Resources US Inc.  (CIK 0001661920)
1659910,"Save-A-Lot, Inc.",,,,2016-01-07,2016,2,2016-08-08,False,,,,,,,,,Retail-Grocery Stores,DE,other,3,2016-08-08,0001659910-16-000003,"Save-A-Lot, Inc.  (CIK 0001659910)"
1438731,ALJ REGIONAL HOLDINGS INC,,,,2016-02-02,2016,2,2016-04-22,False,,,2016-05-18,"2.02,7.01,9.01",2022-09-01,2016-05-18,first_8k,,"Services-Business Services, NEC",DE,operating,309,2022-10-03,0001193125-16-446706,ALJ REGIONAL HOLDINGS INC  (CIK 0001438731)
1664571,MEL FREE EL,,,,2016-03-01,2016,0,,False,,,,,,,,,,NJ,other,2,2016-03-01,0001493152-16-007731,MEL FREE EL  (CIK 0001664571)
1102358,"HighCom Global Security, Inc.",,,,2016-03-30,2016,0,,False,,,2016-09-21,5.02,,2016-09-21,first_8k,2890,Miscellaneous Chemical Products,CO,operating,340,2019-04-11,0001552781-16-001475,BLASTGARD INTERNATIONAL INC  (CIK 0001102358)
1669811,"Donnelley Financial Solutions, Inc.",DFIN,submissions,NYSE,2016-03-31,2016,8,2016-09-20,False,,,2016-09-23,"5.02,8.01,9.01",,2016-09-23,first_8k,,Services-Miscellaneous Business Services,DE,operating,631,2026-09-03,0001193125-16-525826,"Donnelley Financial Solutions, Inc.  (DFIN)  (CIK 0001669811)"
1669812,"LSC Communications, Inc.",,,,2016-03-31,2016,8,2016-09-20,False,,,2016-09-23,"5.02,8.01,9.01",2020-01-14,2016-09-23,first_8k,,Commercial Printing,DE,operating,291,2021-03-10,0001193125-16-525844,"LSC Communications, Inc.  (CIK 0001669812)"
1671534,Vertiv Co.,,,,2016-04-12,2016,1,2016-06-17,False,,,,,,,,,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,DE,other,2,2016-06-17,0001193125-16-538014,Vertiv Co.  (CIK 0001671534)
1671584,Aptevo Therapeutics Inc.,APVO,submissions,Nasdaq,2016-04-15,2016,4,2016-07-13,False,,2020-11-09,2016-08-02,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,8.01,9.01",,2020-11-09,form8a,,Pharmaceutical Preparations,DE,operating,729,2026-09-03,0001193125-16-543367,Aptevo Therapeutics Inc.  (APVO)  (CIK 0001671584)
1670541,Adient plc,ADNT,submissions,NYSE,2016-04-27,2016,5,2016-09-26,False,,,2016-10-03,"5.03,8.01,9.01",,2016-10-03,first_8k,,Motor Vehicle Parts & Accessories,X0,operating,722,2026-08-21,0001047469-16-012576,Adient Ltd  (ADNT)  (CIK 0001670541)
1668881,JOHN ADAMS SMART EL,,,,2016-05-04,2016,0,,False,,,,,,,,,,PA,other,2,2016-05-04,0001171520-16-000910,JOHN ADAMS SMART EL  (CIK 0001668881)
1673358,"Yum China Holdings, Inc.",YUMC,submissions,NYSE,2016-05-04,2016,7,2016-10-06,False,,2016-10-27,2016-10-11,"7.01,9.01",2017-11-07,2016-10-27,form8a,,Retail-Eating  Places,DE,operating,1213,2026-09-03,0001047469-16-012846,"Yum! China Holding, Inc.  (YUMC)  (CIK 0001673358)"
1673985,AdvanSix Inc.,ASIX,submissions,NYSE,2016-05-12,2016,5,2016-09-07,False,,,2016-09-15,"7.01,9.01",,2016-09-15,first_8k,,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",DE,operating,709,2026-08-17,0000930413-16-007091,AdvanSix Inc.  (ASIX)  (CIK 0001673985)
1674168,Hilton Grand Vacations Inc.,HGV,submissions,NYSE,2016-06-02,2016,7,2016-11-30,False,2020-04-17,2020-04-16,2016-12-08,"7.01,9.01",,2020-04-17,cert,,"Hotels, Rooming Houses, Camps & Other Lodging Places",DE,operating,821,2026-08-14,0001193125-16-610471,Hilton Grand Vacations Inc.  (HGV)  (CIK 0001674168)
1617406,Park Hotels & Resorts Inc.,PK,submissions,NYSE,2016-06-02,2016,6,2016-11-23,False,,,2016-12-08,"7.01,9.01",,2016-12-08,first_8k,,Hotels & Motels,DE,operating,905,2026-08-12,0001193125-16-610477,Park Hotels & Resorts Inc.  (PK)  (CIK 0001617406)
1677203,"QUALITY CARE PROPERTIES, INC.",,,,2016-06-17,2016,4,2016-10-13,False,,,2016-10-14,"5.02,8.01,9.01",2018-07-27,2016-10-14,first_8k,,Real Estate Investment Trusts,MD,operating,170,2018-08-06,0001047469-16-013856,"HCP SpinCo, Inc.  (CIK 0001677203)"
1675149,Alcoa Corp,AA,submissions,NYSE,2016-06-29,2016,5,2016-10-11,False,,,2016-10-19,"7.01,9.01",,2016-10-19,first_8k,,Primary Production of  Aluminum,DE,operating,836,2026-09-01,0001193125-16-635424,Alcoa Upstream Corp  (AA)  (CIK 0001675149)
1678043,"C2 Aviation Capital, Inc.",,,,2016-06-30,2016,2,2016-08-31,False,,,,,,,,,"Services-Equipment Rental & Leasing, NEC",DE,other,4,2017-04-04,0001047469-16-014104,"C2 Aviation Capital, Inc.  (CIK 0001678043)"
1677703,CONDUENT Inc,CNDT,submissions,Nasdaq,2016-06-30,2016,6,2016-11-08,False,2019-12-20,2019-12-20,2016-11-14,"8.01,9.01",2019-12-20,2019-12-20,cert,,"Services-Business Services, NEC",NY,operating,691,2026-09-02,0001193125-16-638333,CONDUENT Inc  (CNDT)  (CIK 0001677703)
1677761,"Parkway, Inc.",,,,2016-07-01,2016,4,2016-09-20,False,,,2016-09-28,"8.01,9.01",2017-10-12,2016-09-28,first_8k,,Real Estate Investment Trusts,MD,operating,117,2017-11-15,0001193125-16-638896,"Parkway, Inc.  (CIK 0001677761)"
1679273,"Lamb Weston Holdings, Inc.",LW,submissions,NYSE,2016-07-13,2016,4,2016-10-17,False,,,2016-10-26,"8.01,9.01",,2016-10-26,first_8k,,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",DE,operating,784,2026-08-05,0001193125-16-646828,"Lamb Weston Holdings, Inc.  (LW)  (CIK 0001679273)"
1679049,"International Seaways, Inc.",INSW,submissions,NYSE,2016-07-15,2016,6,2016-11-09,False,2018-06-15,2018-05-31,2016-11-25,"5.02,9.01",2022-08-05,2018-06-15,cert,,Water Transportation,1T,operating,1168,2026-08-18,0001144204-16-113159,"OSG International, INC  (INSW)  (CIK 0001679049)"
1677626,HELENE HOLLOMAN CHIN EL,,,,2016-07-18,2016,0,,False,,,,,,,,,,FL,other,2,2016-07-18,0001171520-16-000984,HELENE HOLLOMAN CHIN EL  (CIK 0001677626)
1531266,"Elio Motors, Inc.",,,,2016-07-25,2016,0,,False,,,,,,,,3711,Motor Vehicles & Passenger Car Bodies,AZ,other,50,2022-05-02,0001214659-16-012757,"Elio Motors, Inc.  (CIK 0001531266)"
1681689,Bioverativ Inc.,,,,2016-08-11,2016,4,2016-12-20,False,,,2017-01-05,"7.01,9.01",2018-03-08,2017-01-05,first_8k,,Pharmaceutical Preparations,DE,operating,164,2018-04-10,0001047469-16-014936,Bioverativ Inc.  (CIK 0001681689)
1681622,Varex Imaging Corp,VREX,submissions,Nasdaq,2016-08-11,2016,4,2017-01-12,False,,,2017-01-20,"7.01,9.01",,2017-01-20,first_8k,,"Electronic Components, NEC",DE,operating,527,2026-08-18,0001193125-16-679410,Varex Imaging Corp  (VREX)  (CIK 0001681622)
1680966,"Agora Holdings, Inc.",,,,2016-08-25,2016,0,,False,,,2017-05-01,5.02,,2017-05-01,first_8k,,"Communications Services, NEC",UT,operating,46,2020-09-22,0001594062-16-000589,"Agora Holdings, Inc.  (CIK 0001680966)"
1683606,Cars.com Inc.,CARS,submissions,NYSE,2016-09-07,2016,5,2017-05-05,False,,,2017-05-16,"7.01,9.01",,2017-05-16,first_8k,,Services-Computer Processing & Data Preparation,DE,operating,581,2026-08-24,0001193125-16-703369,Cars.com Inc.  (CARS)  (CIK 0001683606)
1685040,"Brighthouse Financial, Inc.",BHF,submissions,Nasdaq,2016-10-05,2016,5,2017-06-30,False,2018-09-13,2018-09-12,2017-07-12,"2.02,9.01",,2018-09-13,cert,,Life Insurance,DE,operating,600,2026-09-03,0001193125-16-731616,"Brighthouse Financial, Inc.  (BHF, BHFAL, BHFAM, BHFAN, BHFAO, BHFAP)  (CIK 0001685040)"
1286459,ALL FOR ONE MEDIA CORP.,,,,2016-10-13,2016,0,,False,,,2018-01-02,"1.01,2.03,3.02,9.01",,2018-01-02,first_8k,,Services-Amusement & Recreation Services,UT,operating,91,2024-04-15,0001477932-16-012914,ALL FOR ONE MEDIA CORP.  (CIK 0001286459)
1688405,Venator Materials Corp,,,,2016-10-28,2016,4,2017-05-10,False,,,,,,,,,Industrial Organic Chemicals,DE,other,12,2017-05-26,0001047469-16-016350,Huntsman Spin Corp  (CIK 0001688405)
1604738,Ashford Inc.,,,,2016-11-01,2016,1,2016-11-01,True,2020-03-16,2016-11-01,2016-11-01,"1.01,3.03,5.03,5.07,9.01",2019-11-07,2020-03-16,cert,8742,Services-Management Consulting Services,MD,operating,847,2025-04-16,0001104659-16-153757,Ashford Inc.  (CIK 0001604738)
1603978,AQUABOUNTY TECHNOLOGIES INC,AQB,submissions,Nasdaq,2016-11-07,2016,3,2016-12-29,False,,,2017-01-06,"3.03,5.03,9.01",,2017-01-06,first_8k,0900,"Fishing, Hunting and Trapping",DE,operating,469,2026-08-06,0001193125-16-760799,"AquaBounty Technologies, Inc.  (AQB)  (CIK 0001603978)"
1690334,SEACOR Marine Holdings Inc.,SMHI,submissions,NYSE,2016-12-14,2016,3,2017-05-04,False,,,2017-05-12,"1.01,5.02,8.01,9.01",,2017-05-12,first_8k,,Deep Sea Foreign Transportation of  Freight,DE,operating,580,2026-08-25,0001690334-16-000003,SEACOR Marine Holdings Inc.  (SMHI)  (CIK 0001690334)
1404280,STEELE OCEANIC CORP,,,,2017-01-19,2017,1,2017-01-20,False,,,2017-06-27,5.02,,2017-06-27,first_8k,3652,"Fishing, Hunting and Trapping",NV,operating,146,2023-02-10,0001445866-17-000049,STEELE RESOURCES CORP  (CIK 0001404280)
1689796,JBG SMITH Properties,JBGS,submissions,NYSE,2017-01-24,2017,4,2017-06-21,False,,,2017-06-27,"8.01,9.01",,2017-06-27,first_8k,,Real Estate Investment Trusts,MD,operating,618,2026-08-28,0001047469-17-000314,JBG SMITH Properties  (JBGS)  (CIK 0001689796)
