ticker,close,r1d,r1m,r3m,r6m,mom_12_1,above_50,above_200,ma200,d200,rsi14,off_52w_high,vol20,score
XLRE,43.12,-0.006909241126479615,-0.04432624218407655,-0.04105260469958194,0.03645493165319236,0.09721753501736274,False,True,42.7267,0.00920522805700763,35.25462899896684,-0.06281242110578134,0.10752172175306804,1.0691348387146278
AMD,493.41,-0.04401991941131522,0.02153163223580168,-0.035498569896808,1.5513729004568169,2.1027816242499378,False,True,348.3044,0.4166059177051884,51.529508168083495,-0.15062569679906623,0.499147926995176,1.0493631908583247
NVDA,210.96,-0.03357912317427003,-0.06260072882069123,0.029270708773522225,0.17304963335503998,0.27328191316055883,False,True,197.2494,0.06950885986516653,44.06645391866252,-0.10307031998496974,0.4592501794368352,1.0431126106785649
XLB,50.49,-0.009028441169470103,-0.034792575932783176,-0.028769891718489315,0.03484783246594647,0.15026248568542044,False,True,50.0414,0.008964922497227024,36.17468113839268,-0.059250914830821344,0.153598337893103,0.9678352354352966
XLP,84.42,0.012473026502584972,-0.018372114314589405,-0.009487796487485989,0.008782575684917582,0.09672636841575266,False,True,82.8475,0.018980452146989624,47.52919676468495,-0.050280771939371305,0.15616578000488723,0.9453032934853756
XLC,115.07,0.02193606797668668,0.0223900184339183,0.03331260421792859,0.011249662245292669,-0.020747041660697962,True,True,113.6505,0.012489940648310327,61.269026411787515,-0.03616329925114792,0.17227723744082796,0.9415550454200621
PLTR,173.31,0.03635712483638742,-0.031841780476813075,0.35409016681961414,0.14812852641539553,0.08913357168460423,True,True,151.5751,0.1433937788265529,53.71431232595116,-0.1634810131989487,0.5227384438525203,0.9061777255276467
GDX,94.14,-0.030484028125515872,0.06650054344420453,0.17630889448422327,0.009435955750167091,0.2745280884246084,True,True,90.3521,0.04192348551121783,49.21489759209273,-0.1873273276437789,0.5379551918320427,0.8775981978720921
META,665.6,0.027112858192892997,0.1187118818775732,0.17502719054977822,0.08648596410125609,-0.20506067413677864,True,True,622.849,0.06863780840407396,70.76686758139124,-0.14414417242577104,0.3755049902262111,0.7690538447150619
CRM,259.43,0.04727107781920781,0.28832496879590064,0.5638675847265675,0.3522278270319521,-0.17543308716052097,True,True,200.6221,0.2931279385894341,69.75681441424216,-0.020583412320691385,0.869491103658044,0.7396042981513412
BTC-USD,78169.29,0.012899354804486451,0.23291185066363318,0.23017553449581762,0.10146821785881843,-0.4510992755140103,True,True,74523.1624,0.048926086100199884,61.612629778989266,-0.3734051864178106,0.4728593688015362,0.7020435258450446
ETH-USD,2516.87,0.0008494856970879816,0.3359244668972492,0.5115176779067567,0.20276882655049389,-0.577697205067177,True,True,2282.0079,0.1029190935073403,67.19729590870632,-0.46622719850750105,0.7307102510219683,0.6992162147672304
XLI,169.93,-0.014155610086009407,-0.08536520363572964,-0.03310208247325119,0.03751437740279395,0.2315732575180649,False,False,170.7851,-0.005006989413813612,32.25148508847498,-0.08889605018162716,0.1370379324463998,0.60547324903038
TIP,105.82,-0.0001889327641562133,-0.01250470251485225,-0.017998959379184498,-0.011482309823664494,0.0020871232330190725,False,False,107.155,-0.012458701968516839,29.493688994787476,-0.02254531303691143,0.040850508472484365,0.4978194292836326
IEF,90.93,-0.0008790443816816262,-0.02190043215401849,-0.024505196363069692,-0.029261963511732048,-0.0063106395499038515,False,False,93.411,-0.026560315556849345,27.95347352623341,-0.05029485109232956,0.04812600892569349,0.4267023679573994
LQD,104.3,-0.00019168561277704832,-0.017007565789000645,-0.031639362214695876,-0.012539642342391688,-0.010040648771621252,False,False,106.8876,-0.024208957414675436,32.560711229652384,-0.04062693665909389,0.058479011793572046,0.39622362738901373
GLD,392.84,-0.01487070952969316,-0.015339871787310777,0.01629841065271398,-0.14755663688127885,0.1917791247957048,True,False,415.9977,-0.05566786510249755,43.738021158224356,-0.20782415573109847,0.2826579593366416,0.3783451633557348
XLY,112.85,-0.0009738014451408095,-0.047277320543689494,-0.030232677676897413,0.02202792960415323,0.005646995543161504,False,False,116.6997,-0.032988006260689984,40.549294412935474,-0.09008978361921394,0.16973651033094256,0.3696655598336605
AVGO,344.72,-0.04770847117206256,-0.17495573410105203,-0.09632903081443855,0.07396892599637095,0.17031784637512115,False,False,369.2821,-0.06651300519357806,34.32565521087464,-0.2830417810657606,0.3554258481001233,0.29401946761784553
XLU,41.82,-0.013446560581065081,-0.050408746016179395,-0.054860915036849534,-0.09750233941896469,0.0642559629904238,False,False,44.2715,-0.05537455408726466,33.502160025002084,-0.11206183166382166,0.14060292521350498,0.27588372341284106
TLT,80.93,0.0007419012805249814,-0.01634434550798025,-0.045486366876586026,-0.04294248762700614,-0.04755119586105372,False,False,84.4714,-0.04192433825802688,37.73690137001572,-0.08501248918980786,0.1046862634904232,0.2664386112006995
SLV,56.84,-0.022023379263943266,-0.022696005816495113,-0.07260565665633856,-0.2180492744046154,0.5390314484886674,True,False,65.6292,-0.13392143387291222,44.155109068764354,-0.46174241501985047,0.4256606441162222,0.26426537102259134
COST,918.91,0.01562822961420296,-0.04464313929544794,-0.06309258670258444,-0.08599860041188712,0.003258196213835829,False,False,958.3678,-0.041171888204713514,43.46682208316312,-0.15895628136228845,0.19789855361978248,0.1937852424853608
NFLX,80.32,0.03772607379043791,0.02658489120457741,-0.00024890022377277443,-0.15727623804159818,-0.34989614577690664,True,False,86.1109,-0.06724986854158188,55.888345905731796,-0.3529625140967251,0.36073950530885696,0.1626682596969359
ITB,90.05,0.005695802222646984,-0.0952476222627161,-0.0696448769921626,-0.029109760458221334,-0.13579375423057494,False,False,98.166,-0.08267658973284242,38.073541360956916,-0.2042752335475463,0.2545310755195721,0.14808930594840822
TSLA,358.97,-0.01770468798565783,0.05591837346582862,-0.11677285709801954,-0.08238755107520634,-0.07822457713861775,True,False,398.6314,-0.09949402773654226,51.50366787360028,-0.2672287138835667,0.5133837255976196,0.07619970821837642
UNG,10.33,0.01573253158424892,0.03610828957224599,-0.0898678787208631,-0.18275319279061475,-0.19726246330235142,True,False,11.6245,-0.11135963770467017,50.548082391137676,-0.38875738716706465,0.24587635658996762,0.07533654926977547
ORCL,144.79,-0.03653184414265764,-0.07316609810047514,-0.2109177577821707,-0.06001442328171269,-0.4867779335897463,True,False,166.5496,-0.13064953840420324,46.411949005239116,-0.553739859398966,0.4873818732973386,0.04527711587615394
