ticker,close,r1d,r1m,r3m,r6m,mom_12_1,above_50,above_200,rsi14,off_52w_high,vol20,score
QQQ,709.24,0.0,-0.031185565398710313,-0.00471510730659197,0.0633172288827426,0.17609114537600012,True,True,45.229922865788545,-0.04843540991339024,0.10612022295970468,1.728931355056954
XLK,183.6,0.0,-0.03758451542887742,0.01666764398174725,0.15246975181271694,0.3071425001719883,True,True,47.89611234303602,-0.07260524381010913,0.18615172762552556,1.7183314007029216
XLV,172.95,0.0,0.02714094270641132,0.05624765571088641,0.18989477923207065,0.08997342567050204,True,True,60.29802108577779,-0.015539593814631436,0.1749515785855259,1.6762996319429577
IWM,294.01,0.0,-0.03126850159596373,-0.011996696578160715,0.060219357246994454,0.2059788129162643,False,True,41.9681087004149,-0.036317108739266635,0.1111284894701782,1.6378029590149181
EEM,67.15,0.0,0.0070486085565695245,0.022070085920689042,0.05483712227622295,0.23165359003372932,True,True,55.662732114618166,-0.057014430709057984,0.15854647273965042,1.6021214619477129
V,378.4,0.0,0.03543571283865998,0.046869828723960394,0.15173693896135898,0.03521008900250733,True,True,58.33732246724234,-0.014942522343594833,0.17373449802325452,1.5580671221316025
XLB,52.95,0.0,0.01223474235990385,0.018073494938319667,0.03260121601304533,0.15050375403392535,True,True,52.6776826903603,-0.013415267944288267,0.13387974064477678,1.5549932749817823
KRE,74.24,0.0,-0.04514472200939512,-0.010397211599568412,0.06906480416104022,0.1787633892445577,False,True,43.22282565769684,-0.04735021720718735,0.13614212619310367,1.5420188471688165
UUP,28.17,0.0,-0.00035486972226894675,-0.005998591227192374,0.0296052429778062,0.04564005593379328,False,True,54.834620124707115,-0.015034975504908843,0.044795218259483,1.483298707661436
XBI,165.37,0.0,0.0542521641828575,0.03059945280991938,0.260430484641216,0.24318267570273844,True,True,58.47633918634237,-0.024653540898458726,0.31446371814216795,1.4758015809908005
XLRE,43.73,0.0,-0.03080672479063762,-0.02126232668869077,-0.006459562450901735,0.13306885978159855,False,True,29.163771517509417,-0.049554419962450025,0.0745868347393583,1.462979547282512
HYG,79.11,0.0,-0.0030887684181288844,0.002756512628568464,0.009383205900290292,0.024152562524732968,True,True,46.220590039706586,-0.00471032413630057,0.021841502980045616,1.4223412265246647
UNH,399.66,0.0,0.0015035486071928172,-0.06041936847494467,0.08492399850020038,0.2346888279452679,False,True,51.120995221606435,-0.08408388204010309,0.16578472291648405,1.411492249678151
BRK-B,505.24,0.0,-0.0033337984846502078,-0.005002183132514215,0.06680739806397673,0.011150110461410456,True,True,51.692009526087325,-0.04567261051021687,0.09338090241539533,1.3917250304182829
SHY,81.64,0.0,-0.0017799774044270356,0.0023845784768561362,0.004634150875409526,0.01214913315165922,True,True,45.83355987035645,-0.0023881411859820734,0.008758837543341514,1.3207454246300456
XLP,85.53,0.0,-0.0054651304732921124,0.0063536996011333,0.021509436575518626,0.11474839819455762,True,True,49.84653118896271,-0.03779334069470075,0.137997116671876,1.2840851926012944
NVDA,224.41,0.0,-0.0039502857416472414,0.15182467563032076,0.12577816214799475,0.1959853671974674,True,True,57.478129965935224,-0.04695196932606305,0.4237299846721424,1.244873625038206
USO,141.15,0.0,0.12892901923195677,0.3574724883587168,-0.04038345631446649,0.7810541910917794,True,True,69.84489974051138,-0.07720980844015701,0.32338270167617916,1.243075396122319
AMD,457.06,0.0,-0.05372561992995384,-0.1173380883438554,0.2893452851980487,1.2461403685170809,False,True,40.505736049672,-0.21319994717171686,0.3236060164650774,1.1719266955411358
SMH,550.48,0.0,-0.06558937902073969,-0.07059041873010308,0.08635928943524585,0.6177059433645324,False,True,43.69877587775295,-0.17704922550196767,0.2685666357388223,1.1422520521303496
PLTR,169.46,0.0,-0.05334890836279005,0.31059553529966766,0.21817271202899557,-0.07807593245645916,True,True,46.7240662495423,-0.1020083690060376,0.3678260839954784,1.108703329395206
LLY,1160.08,0.0,-0.039088242657500216,-0.042974904333995534,0.24517673559722586,0.12639289237228168,False,True,39.70386811050598,-0.09392818546328396,0.2810115180104241,1.08414829518546
