fy,q,period_start,period_end,rel_date,rel_accepted_utc,filed,rel_net_sales,rel_cogs,rel_gross_profit,rel_sga,rel_op_income,rel_other_income,rel_pretax,rel_tax,rel_ni_attr,rel_eps_dil,rel_shares_dil,conv_sales,spec_sales_all,shell_sales,prepared_sales,eggprod_sales,other_sales,nonshell_sales,conv_doz,spec_doz_all,total_doz,conv_price,spec_price,conv_price_rep,spec_price_rep,all_price_rep,feed_per_doz,otherfarm_per_doz,farm_per_doz,doz_produced,outside_cost_per_doz,cogs_farm,cogs_proc,cogs_purch,cogs_prepared,cogs_eggprod,cbot_corn,cbot_sbm,ub_yoy_rep,usda_yoy_rep,sales_src,derived_note,filled_from_xbrl,rel_url
2018,3,2017-12-03,2018-03-03,2018-04-02,2018-04-02T11:19:18.000Z,2018-04-02,435820.0000,315722.0000,120098.0000,44175.0000,76202.0000,11855.0000,88057.0000,-8301.0000,96294.0000,1.9900,48476.0000,286994.0000,135035.0000,422029.0000,0.0000,,1697.0000,13791.0000,203444.0000,69765.0000,273209.0000,1.4107,1.9356,1.4110,1.9330,1.5450,0.3960,0.2970,0.6930,221119.0000,1.6000,,,,,,,,,,MD&A net sales table,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616018000032/calm3q18pressrelease.htm
2018,4,2018-03-04,2018-06-02,2018-07-23,2018-07-23T11:15:32.000Z,2018-07-23,443095.0000,301879.0000,141216.0000,49103.0000,91315.0000,2575.0000,93890.0000,21794.0000,71767.0000,1.4800,48495.0000,294892.0000,131617.0000,426509.0000,0.0000,,2151.0000,16586.0000,184301.0000,67653.0000,251954.0000,1.6001,1.9455,,,,0.4170,0.3113,0.7283,215729.0000,,,,,,,,,,,,,cogs;sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616018000069/calm4q18pressrelease.htm
2019,1,2018-06-03,2018-09-01,2018-10-01,2018-10-01T11:26:08.000Z,2018-10-01,340583.0000,283455.0000,57128.0000,44510.0000,12677.0000,3816.0000,16493.0000,3750.0000,12405.0000,0.2600,48516.0000,208162.0000,118629.0000,326791.0000,0.0000,12054.0000,1738.0000,13792.0000,187400.0000,62660.0000,250060.0000,1.1108,1.8932,1.1110,1.8900,1.3070,0.4130,0.3180,0.7310,209212.0000,1.3500,,,,,,,,,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616018000093/calm1q19pressrelease.htm
2019,2,2018-09-02,2018-12-01,2019-01-04,2019-01-04T13:05:57.000Z,2019-01-04,356040.0000,285505.0000,70535.0000,42981.0000,25334.0000,3440.0000,28774.0000,6768.0000,21807.0000,0.4500,48534.0000,216324.0000,127475.0000,343799.0000,0.0000,11082.0000,1159.0000,12241.0000,197163.0000,65100.0000,262263.0000,1.0972,1.9581,1.0970,1.9580,1.3110,0.4150,0.3090,0.7240,222955.0000,1.3000,,,,,,,,,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616019000004/calm2q19pressrelease.htm
2019,3,2018-12-02,2019-03-02,2019-04-01,2019-04-01T11:16:58.000Z,2019-04-01,383992.0000,301551.0000,82441.0000,45009.0000,38190.0000,15291.0000,53481.0000,13616.0000,39777.0000,0.8200,48533.0000,234960.0000,138172.0000,373132.0000,0.0000,9520.0000,1340.0000,10860.0000,201179.0000,70626.0000,271805.0000,1.1679,1.9564,1.1680,1.9540,1.3730,0.4210,0.3200,0.7410,222213.0000,1.3000,,,,,,,,-0.1950,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616019000030/calm3q19pressrelease.htm
2019,4,2019-03-03,2019-06-01,2019-07-22,2019-07-22T11:13:48.000Z,2019-07-22,280573.0000,267818.0000,12755.0000,42296.0000,-30420.0000,2477.0000,-27943.0000,-8391.0000,-19761.0000,-0.4100,48442.0000,150860.0000,119892.0000,270752.0000,0.0000,8852.0000,968.0000,9821.0000,192310.0000,62462.0000,254772.0000,0.7845,1.9194,,,,0.4109,0.3290,0.7399,222325.0000,,,,,,,,,,,,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616019000046/calm4q19pressrelease.htm
2020,1,2019-06-02,2019-08-31,2019-09-30,2019-09-30T11:03:55.000Z,2019-09-30,241166.0000,262291.0000,-21125.0000,42475.0000,-63470.0000,2978.0000,-60492.0000,-14771.0000,-45760.0000,-0.9400,48446.0000,121609.0000,111208.0000,232817.0000,0.0000,7201.0000,1148.0000,8349.0000,194915.0000,59509.0000,254424.0000,0.6239,1.8688,0.6240,1.8630,0.9150,0.4110,0.3370,0.7480,214298.0000,0.8800,,,,,,,,-0.4070,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616019000063/calm1q20pressrelease.htm
2020,2,2019-09-01,2019-11-30,2020-01-06,2020-01-06T11:37:31.000Z,2020-01-06,311522.0000,282147.0000,29375.0000,45728.0000,-16565.0000,1516.0000,-15049.0000,-4863.0000,-10061.0000,-0.2100,48447.0000,186960.0000,115891.0000,302851.0000,0.0000,7797.0000,874.0000,8671.0000,199566.0000,61460.0000,261026.0000,0.9368,1.8856,0.9370,1.8780,1.1600,0.4160,0.3250,0.7410,231467.0000,1.2800,,,,,,,,-0.1270,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616020000007/calm2q20pressrelease.htm
2020,3,2019-12-01,2020-02-29,2020-03-30,2020-03-30T11:08:39.000Z,2020-03-30,345588.0000,295760.0000,49828.0000,44231.0000,5212.0000,12837.0000,18049.0000,4278.0000,13749.0000,0.2800,48588.0000,210329.0000,125019.0000,335348.0000,0.0000,9212.0000,1028.0000,10240.0000,205307.0000,65970.0000,271277.0000,1.0245,1.8951,1.0240,1.8870,1.2360,0.4060,0.3230,0.7290,239072.0000,1.2300,,,,,,,,-0.1380,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616020000054/calmpressrelease3q20.htm
2020,4,2020-03-01,2020-05-30,2020-07-20,2020-07-20T10:42:01.000Z,2020-07-20,453333.0000,331823.0000,121510.0000,45803.0000,76092.0000,1459.0000,77551.0000,17087.0000,60463.0000,1.2400,48608.0000,311380.0000,133347.0000,444727.0000,0.0000,7204.0000,1402.0000,8606.0000,213467.0000,68956.0000,282423.0000,1.4587,1.9338,,,,0.4035,0.3317,0.7352,242962.0000,,,,,,,,,,,,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616020000076/calmpressrelease4q20.htm
2021,1,2020-05-31,2020-08-29,2020-09-28,2020-09-28T10:40:43.000Z,2020-09-28,292782.0000,276017.0000,16765.0000,43965.0000,-27223.0000,1698.0000,-25525.0000,-6126.0000,-19399.0000,-0.4000,48501.0000,155384.0000,129245.0000,284629.0000,0.0000,6705.0000,1448.0000,8153.0000,195238.0000,68756.0000,263994.0000,0.7959,1.8798,0.7960,1.8800,1.0780,0.3880,0.3280,0.7160,231161.0000,1.0400,,,,,,,,0.1310,,revenue disaggregation note,,op_income;pretax;tax;ni_attr;,https://www.sec.gov/Archives/edgar/data/16160/000001616020000095/calmpressrelease1q21.htm
2021,2,2020-08-30,2020-11-28,2021-01-05,2021-01-05T21:07:02.000Z,2021-01-05,347328.0000,288877.0000,58451.0000,43873.0000,14479.0000,1438.0000,15917.0000,3762.0000,12155.0000,0.2500,48645.0000,201725.0000,134082.0000,335807.0000,0.0000,9932.0000,1589.0000,11521.0000,201317.0000,72334.0000,273651.0000,1.0020,1.8537,1.0020,1.8540,1.2270,0.4100,0.3120,0.7220,251914.0000,1.2400,,,,,,,,0.0350,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616021000007/calmpressrelease2q21.htm
2021,3,2020-11-29,2021-02-27,2021-03-29,2021-03-29T10:41:29.000Z,2021-03-29,359080.0000,311563.0000,47517.0000,47656.0000,-493.0000,12325.0000,11832.0000,-1716.0000,13548.0000,0.2800,48659.0000,203189.0000,145210.0000,348399.0000,0.0000,9098.0000,1583.0000,10681.0000,203070.0000,76645.0000,279715.0000,1.0006,1.8946,1.0010,1.8950,1.2460,0.4670,0.3130,0.7800,248130.0000,1.2600,,,,,,4.9700,422.6100,0.0430,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616021000016/exhibit991.htm
2021,4,2021-02-28,2021-05-29,2021-07-19,2021-07-19T10:41:02.000Z,2021-07-19,349798.0000,311869.0000,37929.0000,48449.0000,-13026.0000,853.0000,-12173.0000,-7929.0000,-4244.0000,-0.0900,48636.0000,205987.0000,131243.0000,337230.0000,0.0000,10997.0000,1571.0000,12568.0000,185821.0000,70030.0000,255851.0000,1.1085,1.8741,,,,0.5181,0.3279,0.8460,239632.0000,,,,,,,,,,,,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000156276221000263/exhibit991.htm
2022,1,2021-05-30,2021-08-28,2021-09-28,2021-09-28T20:07:48.000Z,2021-09-28,331704.0000,325059.0000,6645.0000,46525.0000,-39667.0000,5803.0000,-33864.0000,-15838.0000,-18026.0000,-0.3700,48858.0000,182549.0000,138657.0000,321206.0000,0.0000,9366.0000,1132.0000,10498.0000,184487.0000,74898.0000,259385.0000,0.9895,1.8513,0.9890,1.8510,1.2380,0.5450,0.3530,0.8980,236458.0000,1.3500,,,,,,5.9600,364.0000,0.4120,,revenue disaggregation note,,op_income;pretax;tax;ni_attr;,https://www.sec.gov/Archives/edgar/data/16160/000156276221000352/exhibit991.htm
2022,2,2021-08-29,2021-11-27,2021-12-28,2021-12-28T21:03:15.000Z,2021-12-28,390903.0000,347156.0000,43747.0000,47780.0000,-2065.0000,2533.0000,468.0000,-677.0000,1173.0000,0.0200,49016.0000,223258.0000,155853.0000,379111.0000,0.0000,11401.0000,391.0000,11792.0000,192403.0000,83705.0000,276108.0000,1.1604,1.8619,1.1600,1.8620,1.3730,0.5290,0.3490,0.8780,256786.0000,1.5600,,,,,,5.4300,338.0000,,,revenue disaggregation note,,tax;,https://www.sec.gov/Archives/edgar/data/16160/000156276221000499/exhibit991.htm
2022,3,2021-11-28,2022-02-26,2022-03-29,2022-03-29T20:03:32.000Z,2022-03-29,477485.0000,385903.0000,91582.0000,52686.0000,39570.0000,13478.0000,53048.0000,13594.0000,39517.0000,0.8100,49036.0000,280633.0000,182945.0000,463578.0000,0.0000,12749.0000,1158.0000,13907.0000,192511.0000,95140.0000,287651.0000,1.4578,1.9229,1.4580,1.9230,1.6120,0.5620,0.3500,0.9120,264433.0000,1.7500,,,,,,6.1300,412.0000,,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276222000149/exhibit991.htm
2022,4,2022-02-27,2022-05-28,2022-07-19,2022-07-19T20:00:22.000Z,2022-07-19,592964.0000,397879.0000,195085.0000,51640.0000,145699.0000,664.0000,146363.0000,36495.0000,109986.0000,2.2500,48791.0000,378190.0000,186518.0000,564708.0000,0.0000,26488.0000,1768.0000,28256.0000,178513.0000,82132.0000,260645.0000,2.1186,2.2710,,,,0.6440,0.3560,1.0000,264650.0000,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/16160/000156276222000295/exhibit991.htm
2023,1,2022-05-29,2022-08-27,2022-09-27,2022-09-27T20:05:20.000Z,2022-09-27,658344.0000,440854.0000,217490.0000,53607.0000,163850.0000,1630.0000,165480.0000,40346.0000,125287.0000,2.5700,48811.0000,425589.0000,200820.0000,626409.0000,0.0000,27640.0000,4295.0000,31935.0000,179712.0000,95605.0000,275317.0000,2.3682,2.1005,2.3680,2.1010,2.2750,0.6670,0.3790,1.0460,257654.0000,2.5700,,,,,,6.6500,456.0000,,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276222000381/exhibit991.htm
2023,2,2022-08-28,2022-11-26,2022-12-28,2022-12-28T21:07:30.000Z,2022-12-28,801700.0000,483851.0000,317849.0000,57952.0000,259868.0000,2400.0000,262268.0000,63974.0000,198294.0000,4.0700,48840.0000,541917.0000,227778.0000,769695.0000,0.0000,28052.0000,3953.0000,32005.0000,187976.0000,96110.0000,284086.0000,2.8829,2.3700,2.8830,2.3700,2.7090,0.6850,0.3860,1.0710,261358.0000,3.1400,,,,,,6.7800,423.0000,,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276222000495/exhibit991.htm
2023,3,2022-11-27,2023-02-25,2023-03-28,2023-03-28T20:07:15.000Z,2023-03-28,997493.0000,534467.0000,463026.0000,58489.0000,407783.0000,17104.0000,424887.0000,102118.0000,323219.0000,6.6200,48842.0000,689022.0000,272205.0000,961227.0000,0.0000,32582.0000,3684.0000,36266.0000,187357.0000,104059.0000,291416.0000,3.6776,2.6159,3.6780,2.6160,3.2980,0.6790,0.3990,1.0780,263174.0000,3.7200,,,,,,6.6700,473.0000,1.2980,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276223000145/exhibit991.htm
2023,4,2023-02-26,2023-06-03,2023-07-25,2023-07-25T20:07:17.000Z,2023-07-25,688680.0000,490588.0000,198092.0000,62159.0000,136225.0000,9690.0000,145915.0000,35380.0000,110931.0000,2.2700,48838.0000,395433.0000,256190.0000,651623.0000,0.0000,33996.0000,3061.0000,37057.0000,194031.0000,102523.0000,296554.0000,2.0380,2.4989,,,,0.6730,0.4185,1.0915,276354.0000,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/16160/000156276223000285/exhibit991.htm
2024,1,2023-06-04,2023-09-02,2023-10-03,2023-10-03T20:02:15.000Z,2023-10-03,459344.0000,413911.0000,45433.0000,52246.0000,-6757.0000,7490.0000,733.0000,322.0000,926.0000,0.0200,48840.0000,225280.0000,208681.0000,433961.0000,0.0000,22223.0000,3160.0000,25383.0000,181530.0000,91596.0000,273126.0000,1.2410,2.2783,1.2410,2.2780,1.5890,0.5970,0.4390,1.0360,250356.0000,1.6500,,,,,,5.3000,422.0000,-0.4870,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276223000358/exhibit991.htm
2024,2,2023-09-03,2023-12-02,2024-01-03,2024-01-03T21:05:48.000Z,2024-01-03,523234.0000,432104.0000,91130.0000,76578.0000,14234.0000,7884.0000,22118.0000,5540.0000,17009.0000,0.3500,48866.0000,280599.0000,217905.0000,498504.0000,0.0000,20012.0000,4718.0000,24730.0000,192462.0000,95711.0000,288173.0000,1.4579,2.2767,1.4580,2.2770,1.7300,0.5540,0.4310,0.9850,265101.0000,2.0300,,,,,,4.7900,417.0000,-0.4960,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276224000003/exhibit991.htm
2024,3,2023-12-03,2024-03-02,2024-04-02,2024-04-02T20:06:09.000Z,2024-04-02,703076.0000,484504.0000,218572.0000,66020.0000,162787.0000,22372.0000,185159.0000,38796.0000,146712.0000,3.0000,48884.0000,413619.0000,262293.0000,675912.0000,0.0000,21759.0000,5405.0000,27164.0000,192182.0000,108597.0000,300779.0000,2.1522,2.4153,2.1520,2.4150,2.2470,0.5440,0.4210,0.9650,259527.0000,2.4400,,,,,,4.5100,370.0000,-0.3520,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276224000075/exhibit991.htm
2024,4,2024-03-03,2024-06-01,2024-07-23,2024-07-23T20:07:55.000Z,2024-07-23,640789.0000,454353.0000,186436.0000,57781.0000,142188.0000,9773.0000,151961.0000,39031.0000,113241.0000,2.3200,48902.0000,372245.0000,236786.0000,609031.0000,0.0000,25015.0000,6743.0000,31758.0000,180513.0000,105042.0000,285555.0000,2.0622,2.2542,,,,0.5038,0.4418,0.9456,243851.0000,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/16160/000156276224000175/exhibit991.htm
2025,1,2024-06-02,2024-08-31,2024-10-01,2024-10-01T20:05:07.000Z,2024-10-01,785871.0000,538653.0000,247218.0000,61932.0000,186957.0000,10996.0000,197953.0000,48363.0000,149976.0000,3.0600,48932.0000,484736.0000,256777.0000,741513.0000,0.0000,35175.0000,9183.0000,44358.0000,199989.0000,109990.0000,309979.0000,2.4238,2.3345,2.4240,2.3350,2.3920,0.4940,0.4210,0.9150,266839.0000,2.8300,,,,,,4.0300,340.0000,1.2560,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276224000228/exhibit991.htm
2025,2,2024-09-01,2024-11-30,2025-01-07,2025-01-07T21:05:47.000Z,2025-01-07,954671.0000,598629.0000,356042.0000,77633.0000,278061.0000,10900.0000,288961.0000,70602.0000,219064.0000,4.4700,48970.0000,616891.0000,286970.0000,903861.0000,0.0000,40651.0000,10159.0000,50810.0000,209597.0000,120247.0000,329844.0000,2.9432,2.3865,2.9430,2.3870,2.7400,0.4830,0.4180,0.9010,288036.0000,3.2200,258246.0000,98823.0000,198030.0000,,43530.0000,,,1.0210,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276225000002/exhibit991.htm
2025,3,2024-12-01,2025-03-01,2025-04-08,2025-04-08T20:16:34.000Z,2025-04-08,1417685.0000,701570.0000,716115.0000,79967.0000,635670.0000,27359.0000,663029.0000,154876.0000,508533.0000,10.3800,48971.0000,1016438.0000,328944.0000,1345382.0000,0.0000,61024.0000,11279.0000,72303.0000,213247.0000,118148.0000,331395.0000,4.7665,2.7842,4.7660,2.7840,4.0600,0.4920,0.4180,0.9100,293087.0000,5.1000,266056.0000,101631.0000,291703.0000,,42180.0000,,,1.5600,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276225000082/exhibit991.htm
2025,4,2025-03-02,2025-05-31,2025-07-22,2025-07-22T20:12:28.000Z,2025-07-22,1103658.0000,572148.0000,531510.0000,94917.0000,435851.0000,17348.0000,453199.0000,111069.0000,342475.0000,7.0400,48678.0000,717358.0000,311796.0000,1029154.0000,0.0000,61983.0000,12521.0000,74504.0000,189563.0000,121830.0000,311393.0000,3.7843,2.5593,,,,0.4913,0.4547,0.9459,287993.0000,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/16160/000156276225000168/exhibit991.htm
2026,1,2025-06-01,2025-08-30,2025-10-01,2025-10-01T10:09:00.000Z,2025-10-01,922602.0000,611288.0000,311314.0000,69514.0000,249184.0000,14081.0000,263265.0000,64158.0000,199340.0000,4.1200,48424.0000,505941.0000,283456.0000,789397.0000,83936.0000,37107.0000,12162.0000,133205.0000,199293.0000,118294.0000,317587.0000,2.5387,2.3962,2.5390,2.3960,2.4860,0.4730,0.4580,0.9310,282374.0000,,259927.0000,101147.0000,163594.0000,65214.0000,21406.0000,4.2300,281.7500,0.0060,0.0010,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276225000249/exhibit991.htm
2026,2,2025-08-31,2025-11-29,2026-01-07,2026-01-07T11:10:42.000Z,2026-01-07,769498.0000,562112.0000,207386.0000,82887.0000,123869.0000,12210.0000,136079.0000,33152.0000,102759.0000,2.1300,48167.0000,363865.0000,285702.0000,649567.0000,71650.0000,34531.0000,13750.0000,119931.0000,201963.0000,120623.0000,322586.0000,1.8016,2.3686,1.8020,2.3690,2.0140,0.4770,0.4490,0.9260,289886.0000,,263794.0000,103916.0000,112109.0000,57583.0000,24710.0000,,,,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276226000002/exhibit991.htm
2026,3,2025-11-30,2026-02-28,2026-04-01,2026-04-01T10:09:25.000Z,2026-04-01,666951.0000,547668.0000,119283.0000,83304.0000,35944.0000,22242.0000,58186.0000,7068.0000,50459.0000,1.0600,47414.0000,283173.0000,289141.0000,572314.0000,63626.0000,18360.0000,12651.0000,94637.0000,199035.0000,125024.0000,324059.0000,1.4227,2.3127,1.4230,2.3130,1.7660,0.4940,0.4560,0.9500,296455.0000,,279331.0000,107788.0000,79517.0000,57084.0000,23948.0000,,,,,revenue disaggregation note,,,https://www.sec.gov/Archives/edgar/data/16160/000156276226000044/exhibit991.htm
2026,4,2026-03-01,2026-05-30,2026-07-22,2026-07-22T10:07:31.000Z,2026-07-22,552581.0000,518515.0000,34066.0000,93586.0000,-58811.0000,12285.0000,-46526.0000,-11486.0000,-35876.0000,-0.7600,47000.0000,215222.4645,244989.0301,460211.4946,60403.0000,,,92369.5054,195439.4530,114642.0300,310081.4830,1.1012,2.1370,,,,,,,,,,,,,,,,,,,Q4 FY26 volumes/prices rebuilt from segment % changes vs Q4 FY25,,https://www.sec.gov/Archives/edgar/data/16160/000156276226000078/exhibit991.htm
