label,conv_price,spec_price,conv_doz,spec_doz,nonshell,revenue,c,cogs,gross_profit,sga,op_income,other_income,pretax,tax_rate,nci,ni,shares,eps,M,a,b,resid_last,rho,beta_s,k,phi,drift,feed_hat,anchor,sga_growth,act_revenue,act_eps,act_op_income,act_conv_price,act_spec_price,act_conv_doz,act_spec_doz,act_c,act_sga,rel_date,rev_err_pct,eps_err,oi_err_pct_rev,conv_price_err
FY21 Q1,0.8153,1.8190,216358.5893,65695.9848,8606.0000,304507.5589,1.0235,295570.8751,8936.6838,45996.8419,-37060.1581,1960.0000,-35100.1581,0.1500,1.0000,-29836.1344,48608.0000,-0.6138,0.7896,0.1072,0.8701,0.0420,0.5000,0.1605,0.1610,0.9688,0.0019,0.3887,last,1.0829,292782.0000,-0.4000,-27223.0000,0.7959,1.8798,195238.0000,68756.0000,1.0208,43965.0000,2020-09-28,0.0400,-0.2138,-0.0336,0.0194
FY21 Q2,0.9772,1.9099,199896.7073,71010.1625,8153.0000,339119.6122,1.0593,293480.8884,45638.7239,47332.1135,-1693.3896,236.0000,-1457.3896,0.1886,0.0000,-1182.5763,48501.0000,-0.0244,0.9989,0.1082,0.8694,0.0012,0.5000,0.1439,0.1617,0.9819,0.0018,0.3913,last,1.0351,347328.0000,0.2500,14479.0000,1.0020,1.8537,201317.0000,72334.0000,1.0220,43873.0000,2021-01-05,-0.0236,-0.2744,-0.0466,-0.0248
FY21 Q3,0.9966,1.8546,207108.3718,77641.9457,11521.0000,361928.8072,1.0591,310810.0054,51118.8019,42436.7272,8682.0746,12759.0000,21441.0746,0.2210,0.0000,16703.4030,48645.0000,0.3434,1.0054,0.1132,0.8677,0.0221,0.5000,0.1395,0.1579,1.0373,-0.0003,0.4293,last,0.9594,359080.0000,0.2800,-493.0000,1.0006,1.8946,203070.0000,76645.0000,1.0833,47656.0000,2021-03-29,0.0079,0.0634,0.0256,-0.0040
FY21 Q4,1.1020,1.9116,211141.0896,80114.1825,10681.0000,396517.0756,1.1614,346802.7354,49714.3402,49349.7268,364.6134,947.0000,1311.6134,0.1630,0.0000,1097.7600,48659.0000,0.0226,1.1276,0.1039,0.8798,0.0121,0.5000,0.1396,0.1578,0.9350,0.0007,0.5038,last,1.0774,349798.0000,-0.0900,-13026.0000,1.1085,1.8741,185821.0000,70030.0000,1.1796,48449.0000,2021-07-19,0.1336,0.1126,0.0383,-0.0065
FY22 Q1,0.9657,1.8531,169952.8283,69826.8850,12568.0000,306087.1326,1.2120,300657.6173,5429.5152,46504.8203,-41075.3051,1092.0000,-39983.3051,0.3500,0.0000,-25989.1483,48636.0000,-0.5344,0.9754,0.0605,0.9262,0.0037,0.5000,0.1378,0.1583,0.9572,0.0011,0.5719,last,1.0578,331704.0000,-0.3700,-39667.0000,0.9895,1.8513,184487.0000,74898.0000,1.2208,46525.0000,2021-09-28,-0.0772,-0.1644,-0.0042,-0.0238
FY22 Q2,1.1515,1.8769,190231.2530,78795.6241,10498.0000,377447.2912,1.2415,342398.4333,35048.8579,46427.6430,-11378.7851,5543.0000,-5835.7851,0.3500,0.0000,-3793.2603,48858.0000,-0.0776,1.1607,0.0588,0.9322,0.0214,0.5000,0.1380,0.1572,1.0865,0.0014,0.5438,last,1.0582,390903.0000,0.0200,-2065.0000,1.1604,1.8619,192403.0000,83705.0000,1.2232,47780.0000,2021-12-28,-0.0344,-0.0976,-0.0238,-0.0089
FY22 Q3,1.4579,1.9067,194078.3799,88693.6949,11792.0000,463846.5196,1.2512,363239.0520,100607.4676,51899.8856,48707.5820,13420.0000,62127.5820,0.3500,-28.0000,40410.9283,49016.0000,0.8244,1.4876,0.0557,0.9367,0.0175,0.5000,0.1369,0.1553,1.1263,0.0007,0.5156,last,1.0891,477485.0000,0.8100,39570.0000,1.4578,1.9229,192511.0000,95140.0000,1.3029,52686.0000,2022-03-29,-0.0286,0.0144,0.0191,0.0001
FY22 Q4,2.1494,2.0249,176158.8936,86928.7520,13907.0000,568569.4821,1.4773,399774.9454,168794.5366,53562.6996,115231.8370,2006.0000,117237.8370,0.1500,-63.0000,99715.1614,49036.0000,2.0335,2.2228,0.0500,0.9435,0.0042,0.5000,0.1388,0.1625,0.9656,0.0031,0.5800,last,1.1055,592964.0000,2.2500,145699.0000,2.1186,2.2710,178513.0000,82132.0000,1.4398,51640.0000,2022-07-19,-0.0411,-0.2165,-0.0514,0.0308
FY23 Q1,2.4902,2.3466,177231.4638,87841.2471,28256.0000,675718.6997,1.5449,432117.0585,243601.6412,49589.2794,194012.3617,5614.0000,199626.3617,0.2022,-118.0000,159372.9768,48791.0000,3.2664,2.6161,0.0615,0.9305,-0.0113,0.5000,0.1923,0.1548,0.7558,0.0024,0.6555,last,1.0659,658344.0000,2.5700,163850.0000,2.3682,2.1005,179712.0000,95605.0000,1.5085,53607.0000,2022-09-27,0.0264,0.6964,0.0458,0.1220
FY23 Q2,2.8989,2.1955,187423.1135,106846.8654,31935.0000,809840.8428,1.5920,494032.5660,315808.2768,55053.0351,260755.2416,-1640.0000,259115.2416,0.2457,-153.0000,195611.2197,48811.0000,4.0075,3.1921,0.1231,0.8775,-0.0506,0.5000,0.1649,0.1521,0.6728,0.0017,0.6510,last,1.1522,801700.0000,4.0700,259868.0000,2.8829,2.3700,187976.0000,96110.0000,1.6131,57952.0000,2022-12-28,0.0102,-0.0625,0.0011,0.0160
FY23 Q3,3.7020,2.5485,188081.5150,109239.6559,32005.0000,1006675.8261,1.7513,546297.9374,460377.8887,63902.4502,396475.4385,13345.0000,409820.4385,0.2462,0.0000,308921.0428,48840.0000,6.3252,4.1272,0.1382,0.8658,-0.0189,0.5000,0.1909,0.1553,0.6260,0.0025,0.6440,last,1.2129,997493.0000,6.6200,407783.0000,3.6776,2.6159,187357.0000,104059.0000,1.7345,58489.0000,2023-03-28,0.0092,-0.2948,-0.0113,0.0244
FY23 Q4,1.9582,2.2047,187097.8969,96741.6706,36266.0000,615928.0149,1.4344,436160.3546,179767.6603,57327.7903,122439.8700,4290.0000,126729.8700,0.2432,-450.0000,96362.1231,48842.0000,1.9729,2.1134,0.1534,0.8572,-0.0137,0.5000,0.2042,0.1516,0.6211,0.0021,0.6560,last,1.1101,688680.0000,2.2700,136225.0000,2.0380,2.4989,194031.0000,102523.0000,1.5543,62159.0000,2023-07-25,-0.1056,-0.2971,-0.0200,-0.0798
FY24 Q1,1.2270,2.3751,181381.7833,110816.6022,37057.0000,522820.3838,1.4284,447015.7262,75804.6575,64526.6753,11277.9822,10656.0000,21933.9822,0.2422,-396.0000,17018.2485,48838.0000,0.3485,1.2090,0.1542,0.8594,0.0675,0.5000,0.1369,0.1240,0.6490,0.0056,0.6295,last,1.2037,459344.0000,0.0200,-6757.0000,1.2410,2.2783,181530.0000,91596.0000,1.4411,52246.0000,2023-10-03,0.1382,0.3285,0.0393,-0.0140
FY24 Q2,1.4738,2.3213,189877.6002,92079.8239,25383.0000,518970.8263,1.4427,427077.4263,91893.4000,56480.6871,35412.7129,8260.0000,43672.7129,0.2420,-515.0000,33618.2002,48840.0000,0.6883,1.5034,0.1726,0.8533,0.0368,0.5000,0.1460,0.1230,0.6504,0.0060,0.5622,last,0.9746,523234.0000,0.3500,14234.0000,1.4579,2.2767,192462.0000,95711.0000,1.4308,76578.0000,2024-01-03,-0.0081,0.3383,0.0405,0.0159
FY24 Q3,2.1826,2.3998,191828.2277,103626.9998,24730.0000,692103.5351,1.5165,467832.4677,224271.0674,77287.5939,146983.4735,22588.0000,169571.4735,0.2415,-431.0000,129053.0191,48866.0000,2.6410,2.3545,0.1784,0.8513,-0.0004,0.5000,0.1446,0.1225,0.6774,0.0056,0.5258,last,1.3214,703076.0000,3.0000,162787.0000,2.1522,2.4153,192182.0000,108597.0000,1.5386,66020.0000,2024-04-02,-0.0156,-0.3590,-0.0225,0.0304
FY24 Q4,2.1017,2.4041,184811.5985,99351.5856,27164.0000,654438.3646,1.5132,451737.1826,202701.1821,70162.5465,132538.6356,14958.0000,147496.6356,0.2261,-349.0000,114490.1628,48884.0000,2.3421,2.2775,0.1874,0.8470,-0.0294,0.5000,0.1459,0.1242,0.6484,0.0063,0.4941,last,1.1288,640789.0000,2.3200,142188.0000,2.0622,2.2542,180513.0000,105042.0000,1.5022,57781.0000,2024-07-23,0.0213,0.0221,-0.0151,0.0395
FY25 Q1,2.5231,2.3301,181873.9307,101065.4858,31758.0000,726144.1294,1.5578,466167.5106,259976.6188,48566.1952,211410.4236,7573.0000,218983.4236,0.2325,-311.0000,168383.3676,48902.0000,3.4433,2.7940,0.1953,0.8424,-0.0518,0.5000,0.1470,0.1243,0.6585,0.0059,0.4726,last,0.9296,785871.0000,3.0600,186957.0000,2.4238,2.3345,199989.0000,109990.0000,1.6232,61932.0000,2024-10-01,-0.0760,0.3833,0.0311,0.0993
FY25 Q2,3.0159,2.4297,212032.6278,114931.3604,44358.0000,963081.5753,1.7044,592756.7755,370324.7998,90774.9626,279549.8372,11390.0000,290939.8372,0.2364,-386.0000,222542.4133,48932.0000,4.5480,3.4409,0.2152,0.8300,-0.1104,0.5000,0.1472,0.1274,0.6158,0.0077,0.4587,last,1.1854,954671.0000,4.4700,278061.0000,2.9432,2.3865,209597.0000,120247.0000,1.6917,77633.0000,2025-01-07,0.0088,0.0780,0.0016,0.0727
FY25 Q3,5.0922,2.7608,209292.0714,136436.3914,50810.0000,1493247.8192,2.0160,737625.2884,755622.5309,66929.5445,688692.9863,25388.0000,714080.9863,0.2388,-705.0000,544252.4580,48970.0000,11.1140,6.0280,0.2518,0.8113,-0.1001,0.5000,0.1447,0.1266,0.6216,0.0074,0.4420,last,1.0138,1417685.0000,10.3800,635670.0000,4.7665,2.7842,213247.0000,118148.0000,1.9425,79967.0000,2025-04-08,0.0533,0.7340,0.0374,0.3257
FY25 Q4,3.6378,2.5467,200298.9651,114280.3412,72303.0000,1091994.9186,1.7690,614336.4270,477658.4916,69987.4769,407671.0146,14760.0000,422431.0146,0.2403,-380.0000,321292.9024,48971.0000,6.5609,4.4244,0.4069,0.7453,-0.1330,0.5000,0.1481,0.1161,0.6499,0.0065,0.4552,last,1.2113,1103658.0000,7.0400,435851.0000,3.7843,2.5593,189563.0000,121830.0000,1.6460,94917.0000,2025-07-22,-0.0106,-0.4791,-0.0255,-0.1465
FY26 Q1,2.7474,2.3633,210015.4272,127568.7982,74504.0000,952991.7356,1.4759,557846.9322,395144.8034,101735.8586,293408.9448,18571.0000,311979.9448,0.2401,-345.0000,237419.4152,48678.0000,4.8773,3.0919,0.3855,0.7531,0.0668,0.5000,0.1471,0.1261,0.6251,0.0027,0.4530,last,1.6427,922602.0000,4.1200,249184.0000,2.5387,2.3962,199293.0000,118294.0000,1.5892,69514.0000,2025-10-01,0.0329,0.7573,0.0479,0.2087
FY26 Q2,1.8790,2.2537,208867.5623,129325.3807,133205.0000,817123.2808,1.4674,602839.6292,214283.6516,87137.1886,127146.4630,13985.0000,141131.4630,0.2402,-233.0000,107469.5622,48424.0000,2.2193,2.1098,0.3702,0.7530,-0.1596,0.5000,0.1451,0.1191,0.5870,0.0056,0.4388,last,1.1224,769498.0000,2.1300,123869.0000,1.8016,2.3686,201963.0000,120623.0000,1.4451,82887.0000,2026-01-07,0.0619,0.0893,0.0043,0.0774
FY26 Q3,1.2737,2.2589,205480.0587,118517.4366,119931.0000,649378.5386,1.3585,536097.4805,113281.0581,85378.9591,27902.0990,28669.0000,56571.0990,0.2397,168.0000,42844.0371,48167.0000,0.8895,1.3274,0.3327,0.7582,-0.1306,0.5000,0.1402,0.1201,0.5912,0.0050,0.4477,last,1.0677,666951.0000,1.0600,35944.0000,1.4227,2.3127,199035.0000,125024.0000,1.4564,83304.0000,2026-04-01,-0.0263,-0.1705,-0.0121,-0.1490
FY26 Q4,1.1310,2.2643,176929.4372,128920.2857,94637.0000,586659.1746,1.4296,512965.7047,73693.4699,98877.8592,-25184.3893,12231.0000,-12953.3893,0.2366,659.0000,-10548.0652,47414.0000,-0.2225,0.9778,0.3754,0.7384,0.0671,0.5000,0.1385,0.1170,0.5894,0.0072,0.4624,last,1.0417,552581.0000,-0.7600,-58811.0000,1.1012,2.1370,195439.4530,114642.0300,1.4339,93586.0000,2026-07-22,0.0617,0.5375,0.0609,0.0298
