panel,arm,cost,family,freq,n,CAGR,Sharpe,Vol,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,gross,p4a,f4b,p4b
U56,FWD20_novolcap,0,FWD,W,20.0,0.15541993854228564,1.1886916649696244,0.1285366178630415,-0.2124119226528728,1.2854994146720542,1.1284829555747493,1.1959871670746829,0.16955496497136102,1.1934041723035957,-0.21241192265287323,10.325313597858685,0.7503291408851264,False,DD,False
U56,FWD20_novolcap,10,FWD,W,20.0,0.14355722828655004,1.1083665984250333,0.12853607543006487,-0.2136838126292403,1.194945253782071,1.0551425345863492,1.1045403161735243,0.15764440261888812,1.1199355914680407,-0.21368381262924052,10.325313597858685,0.7503291408851264,False,DD,False
U56,FWD20_novolcap,25,FWD,W,20.0,0.12598530745429892,0.9876159454968997,0.12856933191641656,-0.2155889822196806,1.0587199789570156,0.9449396145004447,0.9670172460976778,0.13999973090850526,1.009515348993882,-0.2155889822196808,10.325313597858685,0.7503291408851264,False,DD,False
U56,FWD20_M,0,FWD,M,20.0,0.15856713327761374,1.2516498075162354,0.12375696211452197,-0.1944713056113222,1.2408021350924694,1.2685715123529901,1.1304773045218477,0.18141486640554927,1.3439334741403164,-0.1944713056113222,4.816013584145754,0.7515873411835139,False,-,True
U56,FWD20_M,10,FWD,M,20.0,0.15300803657862327,1.213020386645567,0.12372781684265538,-0.1950684146967384,1.1998724049396627,1.2316381565932149,1.0890713468919215,0.17571416256818795,1.3072101124225666,-0.1950684146967384,4.816013584145754,0.7515873411835139,False,-,True
U56,FWD20_M,25,FWD,M,20.0,0.14471448807516207,1.1547333003536802,0.1237171767760701,-0.19596407832486218,1.1381225255991423,1.1759032625167272,1.0266425841070006,0.16720952465336936,1.2517693831349568,-0.19596407832486196,4.816013584145754,0.7515873411835139,False,-,True
U56,FWD20_Q,0,FWD,Q,20.0,0.14690713053939208,1.0788177675357602,0.1356471691470206,-0.2712238820591202,1.1572704412907209,1.0328755558848046,1.035481163058229,0.16606426253603335,1.1169860386432606,-0.2712238820591203,2.7074696540800947,0.7547520323366717,False,DD,False
U56,FWD20_Q,10,FWD,Q,20.0,0.14381168397524302,1.059057201864514,0.13562167018437324,-0.27122388205911996,1.135471734432137,1.0143922879840181,1.013986912002144,0.16280759091826602,1.098216884973809,-0.2712238820591205,2.7074696540800947,0.7547520323366717,False,DD,False
U56,FWD20_Q,25,FWD,Q,20.0,0.13917964436765873,1.0291824463154906,0.13561240046038422,-0.2712238820591205,1.1024918161749298,0.9864604699183678,0.9814939105557623,0.157934685778768,1.0698380511322592,-0.27122388205912007,2.7074696540800947,0.7547520323366717,False,DD,False
U56,EWall_M,0,EW,M,,0.1225171572990531,1.1784459335400623,0.10256836061236332,-0.1694414627219123,1.174884814941153,1.1854393877728402,1.074520457987377,0.13527144558511806,1.2602172754748688,-0.1694414627219124,3.643388654995578,0.7512499228778438,False,-,True
U56,EWall_M,10,EW,M,,0.11843873003545102,1.1431353342602222,0.10254943164221102,-0.17012382586042107,1.1412982396782192,1.148463196152947,1.040340741413045,0.13091615574016702,1.2240244323860883,-0.17012382586042163,3.643388654995578,0.7512499228778438,False,-,True
U56,EWall_M,25,EW,M,,0.11234511006834635,1.089805953068765,0.10255293203465303,-0.17114737056818563,1.0906080035950243,1.0925910595903023,0.9887905416748302,0.12441036634058666,1.1693052263415067,-0.1711473705681854,3.643388654995578,0.7512499228778438,False,-,True
B136,FWD20,0,FWD,W,20.0,0.14620897388850618,1.0454701923010825,0.13994890839771287,-0.19983154054596752,1.208158640684983,0.9041382414427861,1.1247401783290516,0.14134119698337289,0.9861110497210084,-0.19983154054596786,14.310741802245708,0.7502793314621956,True,-,True
B136,FWD20,10,FWD,W,20.0,0.12992958836952506,0.9431848997615343,0.13995312096918833,-0.2005204833110832,1.1047866702854354,0.8025166021122436,1.0226042049000195,0.12454335283909401,0.8836022780725372,-0.20052048331108296,14.310741802245708,0.7502793314621956,True,H2,False
B136,FWD20,25,FWD,W,20.0,0.10593330741535789,0.7894767167611467,0.14001116856586332,-0.20155317029654185,0.9493769877220685,0.6498638573002592,0.869086472042202,0.09979856674461329,0.7295843836804319,-0.20155317029654185,14.310741802245708,0.7502793314621956,True,"H1,H2,OOS,CAGR",False
B136,EWall,0,EW,W,,0.11635195735512016,1.1054296734148639,0.10454562726986542,-0.17342689518610777,1.2204607832278112,0.9979510875058692,1.1111006218848407,0.1152808427800831,1.100499453025563,-0.173426895186108,8.266497294317862,0.7501900409387471,True,-,True
B136,EWall,10,EW,W,,0.10716215168162102,1.0261183690583502,0.10457013981148203,-0.17687931105226473,1.1455748414127866,0.9144263370785016,1.0349765743906882,0.10583657394304091,1.0185476662771331,-0.17687931105226462,8.266497294317862,0.7501900409387471,True,-,True
B136,EWall,25,EW,W,,0.09351400604438043,0.9068788945396131,0.10464638216358826,-0.18217043484345752,1.0329532064597644,0.7888934896185209,0.9205282070047853,0.09181456009217115,0.8953399181114371,-0.18217043484345774,8.266497294317862,0.7501900409387471,True,"H2,CAGR",False
B136,REV20,0,REV,W,20.0,0.0876307366582545,0.9488534289887994,0.09312142834206778,-0.1735383819603693,1.1865075293407805,0.7384370085395193,1.1003242734182923,0.07641608831474733,0.8276018248173457,-0.17353838196036897,29.922555955023128,0.7501077154497521,True,"H2,OOS,CAGR",False
B136,REV20,10,REV,W,20.0,0.05556265234001878,0.6266213942990352,0.09325572214949929,-0.19343550689000333,0.8608941131564926,0.41828166427881663,0.7818499901522638,0.04393261069569232,0.5023232889106797,-0.19343550689000355,29.922555955023128,0.7501077154497521,False,"H1,H2,OOS,CAGR",False
B136,REV20,25,REV,W,20.0,0.00918699702933723,0.14450559950069722,0.09378319424281258,-0.2575154199487022,0.3731346474199657,-0.060238059839273515,0.30492681179352643,-0.003002468312908735,0.015995903162455416,-0.2575154199487012,29.922555955023128,0.7501077154497521,False,"H1,H2,OOS,DD,CAGR",False
B136,FWDVS20,0,FWDVS,W,20.0,0.10549641436848489,1.0073651191760378,0.10507166276581782,-0.17772348203081445,1.2253483381254677,0.8188743692746846,1.1375779420626944,0.0969615384593574,0.9082564127629291,-0.17772348203081445,18.14353772733494,0.7501737929735106,True,"H2,CAGR",False
