panel,sleeve,n_eq,added,sleeve_CAGR,sleeve_Sharpe,sleeve_MaxDD,corr_SPY
u56,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,0.050042491416673496,0.9163834855921267,-0.0960571394583497,0.6155201732386978
u56,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,0.052417565101320784,0.9487226397415345,-0.09238440473429721,0.6040990130675229
u56,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,0.04916259816115365,0.9111713654653544,-0.08802335637751024,0.5947511570253794
u56,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,0.04138635579207084,0.7865197628005595,-0.09131965573831202,0.5560702551587118
u56,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,0.044632025148912735,0.8327672157400998,-0.08930859400890812,0.5559771295688919
u56,S9,5,SPY+QQQ+IWM+EFA+EEM,0.050327854225690416,0.8682380851121847,-0.10053521240952157,0.6351666774399968
B136,S4,0,,0.026420839601363433,0.6181287369493187,-0.0871839504251668,-0.14147488033964506
B136,S4+SY,1,SPY,0.038658181639127376,0.933753446020867,-0.06749788086261677,0.2501678781515738
B136,S4+QQ,1,QQQ,0.04314080567549117,1.0017095597842858,-0.06441063506152322,0.24190708479364045
B136,S4+IM,1,IWM,0.031347037748213236,0.740822508468396,-0.06826600823791251,0.14925960735585478
B136,S4+EA,1,EFA,0.02763126547735184,0.670893472729587,-0.06264350570941002,0.12544626732938888
B136,S4+EM,1,EEM,0.029942128822421532,0.6998827960975934,-0.08359942186654501,0.093472955265394
B136,S4+SYQQ,2,SPY+QQQ,0.051122404505336894,1.083484137735051,-0.07041531266640366,0.4817261931589972
B136,S4+SYIM,2,SPY+IWM,0.04139983678736914,0.9094811537440204,-0.07580201190052294,0.4220651079534324
B136,S4+SYEA,2,SPY+EFA,0.03776916856537382,0.8580635901408281,-0.06987091620229635,0.4077709608098706
B136,S4+SYEM,2,SPY+EEM,0.040278842648877156,0.8991408916833556,-0.06435584648466053,0.3856818854916845
B136,S4+QQIM,2,QQQ+IWM,0.04536836237376307,0.9715945005093667,-0.07259793800272041,0.4186704617234882
B136,S4+QQEA,2,QQQ+EFA,0.04164533305492468,0.923395223056424,-0.06655066129746323,0.40472926545665755
B136,S4+QQEM,2,QQQ+EEM,0.04433871592289207,0.9575895560042129,-0.061483074860697484,0.3788731465231365
B136,S4+IMEA,2,IWM+EFA,0.03168483217838158,0.7161794730674383,-0.07199936837893173,0.33237783206274274
B136,S4+IMEM,2,IWM+EEM,0.033912812062905084,0.7491294728329047,-0.06880516366700062,0.3073614341832599
B136,S4+EAEM,2,EFA+EEM,0.030364385245690295,0.6793403651833018,-0.0626584748437542,0.28391448021269317
B136,S4+SYQQIM,3,SPY+QQQ+IWM,0.05227916208646799,1.0082185903874767,-0.08735672258423643,0.5677227215987066
B136,S4+SYQQEA,3,SPY+QQQ+EFA,0.04874711769952378,0.9726997244561354,-0.08207428716205356,0.5610670326914267
B136,S4+SYQQEM,3,SPY+QQQ+EEM,0.051408151949654535,1.010535216199755,-0.07751494149791871,0.5451955016923803
B136,S4+SYIMEA,3,SPY+IWM+EFA,0.04028185133669293,0.8270549679547989,-0.08653096436137431,0.5136666526753583
B136,S4+SYIMEM,3,SPY+IWM+EEM,0.042624615215317796,0.8645239381314918,-0.08179328790340656,0.4984474783806099
B136,S4+SYEAEM,3,SPY+EFA+EEM,0.03921276034495946,0.8120364466059556,-0.076651056444897,0.4826551981700602
B136,S4+QQIMEA,3,QQQ+IWM+EFA,0.043770724411139605,0.8826463152840289,-0.08391600547930067,0.5140843399714513
B136,S4+QQIMEM,3,QQQ+IWM+EEM,0.04625606824495021,0.916114421900883,-0.07893698072295674,0.49564146656744645
B136,S4+QQEAEM,3,QQQ+EFA+EEM,0.042759128158311954,0.8653861508411634,-0.0741017980781219,0.48016694343316974
B136,S4+IMEAEM,3,IWM+EFA+EEM,0.03377868066534773,0.6976075178582808,-0.07825729152271155,0.423955208026151
B136,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,0.05001792697910323,0.915754524824239,-0.09601439192340189,0.6155730798871726
B136,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,0.052467092657220604,0.9493052456080423,-0.0923526539270283,0.6041260785085246
B136,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,0.04916182353322718,0.9109809675891885,-0.08799184546101158,0.5947578357694132
B136,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,0.04141096545695078,0.7867458950731208,-0.09129837910287508,0.5560606412835719
B136,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,0.044630190944090264,0.8325550956430671,-0.08928587373716435,0.5559907478790351
B136,S9,5,SPY+QQQ+IWM+EFA+EEM,0.0503234519994189,0.8679958017206246,-0.10050007129656635,0.6351821804995408
