panel,scaler,m,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,pass4a,pass4b,fail4b
u56,NONE,0.65,0.10964686818415759,1.09200523108028,-0.1598010145300075,1.0882098765030943,1.1013454944453498,1.1677947533249988,False,True,-
u56,NONE,0.7,0.11812214280999922,1.0920756666397353,-0.17148541537244855,1.0882495445049933,1.1014504064989696,1.1678982531978566,False,True,-
u56,POS,0.55,0.09629983028594324,1.081844783255066,-0.14139695724456702,1.0094877114049308,1.149538537788553,1.197339975288864,False,False,CAGR
u56,POS,0.6,0.10509875440737382,1.0819886521794762,-0.15369091729208006,1.0095983393097248,1.1497127577016024,1.1975179489707746,False,False,CAGR
u56,POS,0.65,0.11389958392128685,1.082123236401982,-0.16589210049666836,1.0096996091918495,1.1498777425893671,1.1976864260197335,False,True,-
u56,POS,0.7,0.12270095996772712,1.0822483745598919,-0.17800057514457357,1.009791249301347,1.1500334274441122,1.1978449951630348,False,True,-
small,INV,0.55,0.040775167545009205,0.47668478747084675,-0.22152066908699997,0.7761086590624549,0.22329154621524402,0.314329238463897,False,False,"H1,H2,OOS,DD,CAGR"
small,INV,0.6,0.04410334701387009,0.4765231832599641,-0.2397723743949708,0.7762333302734515,0.22291325097351578,0.31405641261578154,False,False,"H1,H2,OOS,DD,CAGR"
small,INV,0.65,0.04736430798615632,0.47635556814970986,-0.25771987207459146,0.7763519567668303,0.2225297262599156,0.3137776545545637,False,False,"H1,H2,OOS,DD,CAGR"
small,INV,0.7,0.0505571436905321,0.47618215977172607,-0.275365162444849,0.7764649314657054,0.22214102910854813,0.3134931752571839,False,False,"H1,H2,OOS,DD,CAGR"
small,NONE,0.55,0.05166293317910142,0.471318817005834,-0.2009577246308515,0.6028608283495477,0.3637777918255973,0.5002156644898922,False,False,"H1,H2,OOS,CAGR"
small,NONE,0.6,0.05573750302429459,0.47157912826036874,-0.21938166498668799,0.603268686430311,0.36391415189226056,0.5004301588421693,False,False,"H1,H2,OOS,DD,CAGR"
small,NONE,0.65,0.05970038017508594,0.471832658175728,-0.23775983865215433,0.6036715800044297,0.3640425407814761,0.50063674336662,False,False,"H1,H2,OOS,DD,CAGR"
small,NONE,0.7,0.06354974327994634,0.4720792537080229,-0.2560765299837787,0.6040696205981936,0.36416260078890195,0.5008353004768457,False,False,"H1,H2,OOS,DD,CAGR"
small,POS,0.55,0.03854589706464351,0.3566786126380195,-0.2391727242157473,0.3490951060768923,0.3655715580527646,0.4413128460756883,False,False,"H1,H2,OOS,DD,CAGR"
small,POS,0.6,0.0412975766565189,0.35696645008026684,-0.2589838236783787,0.34954074094326426,0.36572907914836245,0.4415114175467559,False,False,"H1,H2,OOS,DD,CAGR"
small,POS,0.65,0.04391680205108206,0.3572490694909809,-0.2784674632410368,0.3499838947440592,0.36587913112833326,0.4417024397034822,False,False,"H1,H2,OOS,DD,CAGR"
small,POS,0.7,0.046402008310373555,0.3575262370538762,-0.2976237094926565,0.35042428409008414,0.36602152687895445,0.4418858894128813,False,False,"H1,H2,OOS,DD,CAGR"
