panel,dial,chooser,n_rungs,pick_i,endpoint,mono,best_endpoint_i,best_endpoint,best_interior_i,best_interior,need,paired_SD,need_over_SD,paired_90lo,paired_90hi,resolvable
B136,D_CADENCE,C_ISSHARPE,6,4,False,False,0,D,4,2M,-0.11760367031059249,0.11823552821320647,-0.9946559387676216,-0.32288109120172503,0.06620329589239118,False
B136,D_CADENCE,C_ISCAGR,6,4,False,False,0,D,4,2M,-0.016523760209133043,0.018053821110267137,-0.9152500242586344,-0.048544088534721475,0.012460402985525592,False
B136,D_CADENCE,C_ISDD,6,0,True,False,0,D,1,W,0.007648003967920758,0.016490856063405734,0.46377240444734513,-0.0068087813726004035,0.043551416205136896,False
B136,D_CADENCE,C_ISMAR,6,0,True,False,0,D,1,W,0.05733283043132187,0.15296392884884724,0.374812747441757,-0.19779391854280443,0.3139188345030852,False
B136,D_CADENCE,C_IS4B,6,0,True,False,0,D,1,W,0.05778612765709674,0.12428820222358848,0.4649365476631666,-0.05145883763076861,0.3290620280838573,False
B136,D_MAXVOL,C_ISSHARPE,7,0,True,False,0,0.3,1,0.4,0.043988823121591025,0.09906050492266567,0.4440601545079153,-0.11642518048785616,0.21474783749350246,False
B136,D_MAXVOL,C_ISCAGR,7,1,False,False,6,2.0,1,0.4,-0.0038166786932611885,0.014239472904298707,-0.2680351104926773,-0.02808772771082647,0.018540921096562565,False
B136,D_MAXVOL,C_ISDD,7,0,True,False,0,0.3,1,0.4,0.010816134723466209,0.01607677766659007,0.6727800152354998,-0.014477384154132399,0.037335321350913914,False
B136,D_MAXVOL,C_ISMAR,7,0,True,False,0,0.3,1,0.4,0.06350448221600868,0.1631138755945386,0.389326058157464,-0.20761261608217219,0.3094810854719477,False
B136,D_MAXVOL,C_IS4B,7,0,True,False,0,0.3,1,0.4,0.08172361631978839,0.11996171791248687,0.6812474657907657,-0.11018543837033118,0.27836991543047535,False
