variant,panel,book,family,bps,full_CAGR,full_Sharpe,full_MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_EWALL_Sharpe,OOS_RULESV2_Sharpe,OOS_beats_SPY,OOS_beats_EWALL,OOS_4b
RESPREAD,U56,TOP40,RANKED,10,0.10294215526597794,1.1424013227872343,-0.15386273005879725,1.0298574696087037,1.2447342187558301,0.12176117960139421,1.2582139148906848,-0.15386273005879747,1.1357455808833303,1.2850843578542137,True,True,True
RESPREAD,U56,TOP20V,RANKED,10,0.10263761614096278,1.0125827271594052,-0.17889030766316016,0.9625572644791003,1.0618134833456625,0.11760550198109332,1.0831101607722158,-0.1788903076631606,1.1357455808833303,1.2850843578542137,True,False,True
RESPREAD,U56,TOP20B3,RANKED,10,0.1408215868885998,1.14613279213568,-0.1938880679677376,1.1808387350687446,1.1361627914498151,0.15831183574532148,1.180137724172317,-0.19388806796773772,1.1357455808833303,1.2850843578542137,True,True,True
RESPREAD,U56,TOP20B3,RANKED,25,0.1259909274610147,1.038082482646601,-0.19551285280717756,1.0579503726631547,1.0378619097526292,0.1434043015597697,1.0819243299602999,-0.19551285280717734,1.1250492297360621,1.248255509396771,True,False,True
RESPREAD,B136,RULESV2,GATE,10,0.11453352391772187,1.0715490812160096,-0.18528570357900886,1.1607259375435919,1.0068093963261167,0.12014792469678337,1.07596364460324,-0.18528570357900875,1.1022031339130582,1.1185082795688428,True,False,True
RESPREAD,B136,RULESV2,GATE,25,0.10690316593796267,1.0063772226027545,-0.187453490902037,1.1014040258668878,0.9363059909831598,0.11199630421691165,1.0096448187449245,-0.18745349090203722,1.0913501695849344,1.0740236940215926,True,False,True
RESPREAD,B136,MA200dg,GATE,10,0.11177831726078691,1.043054447436265,-0.20122396720949653,1.1020032524306471,1.0027465030997018,0.11955179067759247,1.0645161054498773,-0.20122396720949676,1.1022031339130582,1.1185082795688428,True,False,True
RESPREAD,B136,TOP40,RANKED,10,0.12947308025566584,1.0522302612461365,-0.19865904981775917,1.1618034966536228,0.9669922483693933,0.13554438551717163,1.0469437238669186,-0.19865904981775917,1.1022031339130582,1.1185082795688428,True,False,True
SCALARLO,U56,TOP10,RANKED,10,0.11609725002438709,1.0525560779419076,-0.1714534390045882,1.143047300450483,1.0055928784617012,0.1223227755257561,1.0182251653588579,-0.17145343900458798,1.1358708146815506,1.2850843578542137,True,False,True
SCALARLO,U56,TOP10,RANKED,25,0.10082404948984736,0.9273892540792038,-0.17236481552388672,1.0000797713365686,0.8911202668999108,0.10670614856051008,0.9020206370029992,-0.17236481552388727,1.124806759922836,1.248255509396771,True,False,False
SCALARLO,U56,TOP20,RANKED,10,0.10284661107075421,1.1416342833430673,-0.14456460381171843,1.17865719577862,1.1292606511047825,0.114746714090183,1.170260846936048,-0.1445646038117181,1.1358708146815506,1.2850843578542137,True,True,True
SCALARLO,U56,TOP20B3,RANKED,10,0.10356628273949164,1.145843471275233,-0.14565757774963783,1.1804473487605207,1.1358976204457756,0.11628505979916559,1.1797412675758063,-0.14565757774963795,1.1358708146815506,1.2850843578542137,True,True,True
SCALARLO,B136,TOP20,RANKED,10,0.10642839931700365,0.9723339010969044,-0.18340689937306331,1.130633928696238,0.8655006293845053,0.10723329574493667,0.9138755621079877,-0.1834068993730631,1.1031891940678384,1.1185082795688428,True,False,False
SCALARLO,B136,TOP20B3,RANKED,10,0.10723562850025248,0.9836523071332118,-0.1689195680736144,1.1338887346807907,0.8816322648543856,0.10825583650851334,0.9272563396888209,-0.1689195680736143,1.1031891940678384,1.1185082795688428,True,False,True
