kind,reading,conv,cost,split,agree,p_post_given_pass,p_post_given_fail,lift,n_pass,n_post,rho_full_is,rho_full_post,rho_is_post,max_rank_move,n_moved,top1_full,top1_is,top1_post,top1_changed,is_top1_is_post_top1
confusion,FOURB,FULL,25,2016-12-31,0.8333333333333334,1.0,0.6666666666666666,0.33333333333333337,9.0,11.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,25,2016-12-31,,,,,,,0.8671328671328673,0.8181818181818183,0.5244755244755246,4.0,9.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,25,2016-12-31,,,,,,,0.6643356643356644,0.7412587412587414,0.1258741258741259,7.0,10.0,K6,R3,K8,True,False
rank,MaxDD,IS_vs_FULL,25,2016-12-31,,,,,,,0.10489510489510491,0.9580419580419581,-0.034965034965034975,9.0,10.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,25,2016-12-31,,,,,,,0.25964539344474924,0.5222329678670935,-0.04519846147055687,6.5,12.0,K2,K4,K1,True,False
confusion,FOURB,IS,25,2017-12-31,0.4166666666666667,0.8,0.8571428571428571,-0.05714285714285705,5.0,10.0,,,,,,,,,,
confusion,FOURB,FULL,25,2017-12-31,0.75,0.8888888888888888,0.6666666666666666,0.2222222222222222,9.0,10.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,25,2017-12-31,,,,,,,0.9090909090909092,0.7762237762237763,0.5034965034965035,3.0,9.0,R3,R3,R3,False,True
rank,Sharpe,IS_vs_FULL,25,2017-12-31,,,,,,,0.7622377622377624,0.8041958041958043,0.2657342657342658,5.0,10.0,K6,R3,K8,True,False
rank,MaxDD,IS_vs_FULL,25,2017-12-31,,,,,,,0.10489510489510491,0.9580419580419581,-0.034965034965034975,9.0,10.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,25,2017-12-31,,,,,,,0.38152872607443694,0.25819888974716115,-0.20459830184114206,5.0,12.0,K2,K4,K1,True,False
confusion,FOURB,IS,25,2018-12-31,0.4166666666666667,0.75,0.75,0.0,4.0,9.0,,,,,,,,,,
confusion,FOURB,FULL,25,2018-12-31,0.8333333333333334,0.8888888888888888,0.3333333333333333,0.5555555555555556,9.0,9.0,,,,,,,,,,
rank,CAGR,IS_vs_FULL,25,2018-12-31,,,,,,,0.9580419580419581,0.7412587412587414,0.5874125874125874,2.0,6.0,R3,R3,K6,False,False
rank,Sharpe,IS_vs_FULL,25,2018-12-31,,,,,,,0.7272727272727274,0.8531468531468532,0.37762237762237766,7.0,10.0,K6,R3,K6,True,False
rank,MaxDD,IS_vs_FULL,25,2018-12-31,,,,,,,0.5454545454545455,0.9580419580419581,0.3636363636363637,7.0,11.0,K7,K7,K7,False,True
rank,FOURB,IS_vs_FULL,25,2018-12-31,,,,,,,0.5802588531856595,0.5137830903923016,-0.009582659576267817,4.5,12.0,K2,K4,K2,True,False
