corpus,panel,cost,selector,s,N,pick,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,OOS4b,pass4a,pass4b,dOOS,dMaxDD,changed
C159,broad,10.0,SIZE n>=15,63,98,R6@0.2,18,0.9795690583493752,0.1431327796237522,-0.2000574461631651,True,True,True,0.10909499154803792,-0.010454769871017011,True
C159,broad,25.0,SIZE n>=15,63,98,R6@0.2,18,0.8309499832792948,0.1183343366466054,-0.2010948993502861,False,True,False,0.11572536065754113,-0.010845824929078512,True
C159,small,10.0,SIZE n>=15,70,98,INV@0.15,21,0.3337136347048078,0.0368029977698167,-0.3446784175387199,False,False,False,0.0,0.0,False
C159,small,25.0,SIZE n>=15,70,98,INV@0.15,21,0.0559813041956425,-0.0017131015300013,-0.381542920487933,False,False,False,-0.14056109836708552,-0.04730299334855981,True
C159,u56,10.0,SIZE n>=15,42,98,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C159,u56,25.0,SIZE n>=15,42,98,MOM@0.53,20,0.9153490445153344,0.1146257088141406,-0.1904116553672712,True,False,False,0.08433046078258433,-0.0403617438561619,True
C165,u56,10.0,SIZE n>=15,21,63,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C168,broad,10.0,SIZE n>=15,55,88,0.75@0.2,18,1.0172404065796177,0.1661440770903228,-0.2147805102769564,False,False,False,0.1574398055492553,-0.0167221164413556,True
C168,broad,25.0,SIZE n>=15,55,88,0.75@0.2,18,0.8575129357724778,0.1359863836374408,-0.2192726619682857,False,True,False,0.15250832724865804,-0.012849663302415881,True
C168,u56,10.0,SIZE n>=15,22,88,-0.25@0.53,20,1.0521268047466923,0.1251176451163338,-0.1740148611200709,True,False,True,0.07030620895583128,-0.06897750565065341,True
C168,u56,25.0,SIZE n>=15,22,88,-0.25@0.75,28,0.9895664355441066,0.1107092658664572,-0.1763787757867283,True,False,False,0.15495180199760206,-0.07442462025381638,True
C159,broad,10.0,SIZE n>=20,56,98,R6@0.27,25,0.987891480604342,0.1347992854417072,-0.1975989628829378,True,True,True,0.11741741380300463,-0.012913253151244308,True
C159,broad,25.0,SIZE n>=20,56,98,R6@0.27,25,0.8446736987020627,0.1127096264980123,-0.198517738099218,False,True,False,0.12944907608030898,-0.013422986180146618,True
C159,small,10.0,SIZE n>=20,70,98,INV@0.15,21,0.3337136347048078,0.0368029977698167,-0.3446784175387199,False,False,False,0.0,0.0,False
C159,small,25.0,SIZE n>=20,70,98,INV@0.15,21,0.0559813041956425,-0.0017131015300013,-0.381542920487933,False,False,False,-0.14056109836708552,-0.04730299334855981,True
C159,u56,10.0,SIZE n>=20,35,98,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C159,u56,25.0,SIZE n>=20,35,98,MOM@0.53,20,0.9153490445153344,0.1146257088141406,-0.1904116553672712,True,False,False,0.08433046078258433,-0.0403617438561619,True
C165,u56,10.0,SIZE n>=20,21,63,MOM@0.53,20,1.0355055636753687,0.1317733688772187,-0.1888302345245576,True,False,True,0.06620128208717235,-0.035643972154481396,True
C168,broad,10.0,SIZE n>=20,44,88,0.75@0.27,25,0.9752204871184598,0.1448970278866164,-0.2125802341882705,False,False,False,0.11541988608809739,-0.01892239253004152,True
C168,broad,25.0,SIZE n>=20,44,88,0.75@0.27,25,0.8204340184801393,0.1186386904375764,-0.2265898051672579,False,True,False,0.11542940995631956,-0.005532520103443683,True
C168,u56,10.0,SIZE n>=20,22,88,-0.25@0.53,20,1.0521268047466923,0.1251176451163338,-0.1740148611200709,True,False,True,0.07030620895583128,-0.06897750565065341,True
C168,u56,25.0,SIZE n>=20,22,88,-0.25@0.75,28,0.9895664355441066,0.1107092658664572,-0.1763787757867283,True,False,False,0.15495180199760206,-0.07442462025381638,True
C159,broad,10.0,SIZE n>=25,56,98,R6@0.27,25,0.987891480604342,0.1347992854417072,-0.1975989628829378,True,True,True,0.11741741380300463,-0.012913253151244308,True
C159,broad,25.0,SIZE n>=25,56,98,R6@0.27,25,0.8446736987020627,0.1127096264980123,-0.198517738099218,False,True,False,0.12944907608030898,-0.013422986180146618,True
C159,small,10.0,SIZE n>=25,63,98,INV@0.2,28,0.4062126500905805,0.0472751357024272,-0.3552568554751394,False,False,False,0.07249901538577269,0.010578437936419494,True
C159,small,25.0,SIZE n>=25,63,98,INV@0.27,38,0.2748909661108254,0.0287772118794731,-0.389572114472529,False,False,False,0.07834856354809741,-0.0392737993639638,True
C159,u56,10.0,SIZE n>=25,21,98,MOM@0.75,28,1.1305083450535578,0.1319621704371942,-0.170797977471784,True,False,True,0.16120406346536142,-0.05367622920725501,True
C159,u56,25.0,SIZE n>=25,21,98,MOM@0.75,28,1.013831855285503,0.1168651492568755,-0.1724383502687524,True,False,False,0.18281327155275295,-0.058335048954680696,True
C165,u56,10.0,SIZE n>=25,14,63,MOM@0.75,28,1.1305083450535578,0.1319621704371942,-0.170797977471784,True,False,True,0.16120406346536142,-0.05367622920725501,True
C168,broad,10.0,SIZE n>=25,44,88,0.75@0.27,25,0.9752204871184598,0.1448970278866164,-0.2125802341882705,False,False,False,0.11541988608809739,-0.01892239253004152,True
C168,broad,25.0,SIZE n>=25,44,88,0.75@0.27,25,0.8204340184801393,0.1186386904375764,-0.2265898051672579,False,True,False,0.11542940995631956,-0.005532520103443683,True
C168,u56,10.0,SIZE n>=25,11,88,-0.25@0.75,28,1.1196488180222537,0.1270294290595184,-0.1748124073500645,True,False,True,0.13782822223139268,-0.0681799594206598,True
C168,u56,25.0,SIZE n>=25,11,88,-0.25@0.75,28,0.9895664355441066,0.1107092658664572,-0.1763787757867283,True,False,False,0.15495180199760206,-0.07442462025381638,True
