panel,book,cost,dial,res,pts,window_w,window_contig,window_lo,window_hi,n_new_passers,new_passer_vals,best_mmin,best_mmin_val,bind_at_best,PUB_window_w,PUB_best_mmin,PUB_bind_at_best,PUB_best_val,n_pass4a_v2,exhausted
broad,EWall,10.0,vol,x4,25,11,True,0.42500000000000004,0.75,9,0.425;0.45;0.475;0.525;0.55;0.575;0.65;0.7;0.75,0.01562672251154691,0.55,CAGR,2,0.015333356720116181,DD,0.6,3,False
broad,EWall,25.0,K,PUB,6,0,False,,,0,,-0.031546871143636676,300.0,CAGR,0,-0.031546871143636676,CAGR,300.0,0,False
broad,EWall,25.0,K,x2,11,0,False,,,0,,-0.031546871143636676,300.0,CAGR,0,-0.031546871143636676,CAGR,300.0,0,False
broad,EWall,25.0,K,x4,21,0,False,,,0,,-0.031546871143636676,300.0,CAGR,0,-0.031546871143636676,CAGR,300.0,0,False
broad,EWall,25.0,band,PUB,5,0,False,,,0,,-0.022880132842773945,8.0,CAGR,0,-0.022880132842773945,CAGR,8.0,0,False
broad,EWall,25.0,band,x2,9,0,False,,,0,,-0.022880132842773945,8.0,CAGR,0,-0.022880132842773945,CAGR,8.0,0,False
broad,EWall,25.0,band,x4,17,0,False,,,0,,-0.022880132842773945,8.0,CAGR,0,-0.022880132842773945,CAGR,8.0,1,False
broad,EWall,25.0,f,PUB,13,3,True,0.2,0.3,0,,0.008816068891934939,0.25,CAGR,3,0.008816068891934939,CAGR,0.25,1,False
broad,EWall,25.0,f,x2,25,6,True,0.2,0.32499999999999996,3,0.225;0.275;0.325,0.00998430258003627,0.225,DD,3,0.008816068891934939,CAGR,0.25,3,False
broad,EWall,25.0,f,x4,49,11,True,0.2,0.32499999999999996,8,0.2125;0.225;0.2375;0.2625;0.275;0.2875;0.3125;0.325,0.010126058230599269,0.2375,CAGR,3,0.008816068891934939,CAGR,0.25,7,False
broad,EWall,25.0,gross,PUB,19,0,False,,,0,,-0.0018173612478247642,0.75,CAGR,0,-0.0018173612478247642,CAGR,0.75,8,False
broad,EWall,25.0,gross,x2,37,1,True,0.775,0.775,1,0.775,0.0010300916115576764,0.775,DD,0,-0.0018173612478247642,CAGR,0.75,15,False
broad,EWall,25.0,gross,x4,73,1,True,0.775,0.775,1,0.775,0.0010300916115576764,0.775,DD,0,-0.0018173612478247642,CAGR,0.75,29,False
broad,EWall,25.0,vol,PUB,7,2,True,0.5,0.6,0,,0.014710893101613956,0.6,CAGR,2,0.014710893101613956,CAGR,0.6,0,False
broad,EWall,25.0,vol,x2,13,5,True,0.45,0.7,3,0.45;0.55;0.7,0.014710893101613956,0.6,CAGR,2,0.014710893101613956,CAGR,0.6,1,False
broad,EWall,25.0,vol,x4,25,10,True,0.45,0.75,8,0.45;0.475;0.525;0.55;0.575;0.65;0.7;0.75,0.014710893101613956,0.6,CAGR,2,0.014710893101613956,CAGR,0.6,2,False
broad,TOP20,10.0,K,PUB,6,0,False,,,0,,-0.012746061607792791,150.0,H2,0,-0.012746061607792791,H2,150.0,0,False
broad,TOP20,10.0,K,x2,11,0,False,,,0,,-0.012746061607792791,150.0,H2,0,-0.012746061607792791,H2,150.0,0,False
broad,TOP20,10.0,K,x4,21,0,False,,,0,,-0.012746061607792791,150.0,H2,0,-0.012746061607792791,H2,150.0,0,False
broad,TOP20,10.0,band,PUB,5,0,False,,,0,,-0.014435205749682462,3.0,DD,0,-0.014435205749682462,DD,3.0,0,False
broad,TOP20,10.0,band,x2,9,0,False,,,0,,-0.014435205749682462,3.0,DD,0,-0.014435205749682462,DD,3.0,0,False
broad,TOP20,10.0,band,x4,17,0,False,,,0,,-0.014435205749682462,3.0,DD,0,-0.014435205749682462,DD,3.0,0,False
broad,TOP20,10.0,f,PUB,13,4,True,0.25,0.4,0,,0.013314142323570116,0.25,DD,4,0.013314142323570116,DD,0.25,0,False
broad,TOP20,10.0,f,x2,25,8,True,0.225,0.4,4,0.225;0.275;0.325;0.375,0.01556512185099819,0.275,CAGR,4,0.013314142323570116,DD,0.25,1,False
broad,TOP20,10.0,f,x4,49,17,True,0.21250000000000002,0.42500000000000004,13,0.2125;0.225;0.2375;0.2625;0.275;0.2875;0.3125;0.325;0.3375;0.3625;0.375;0.3875;0.425,0.016743619229803747,0.2625,DD,4,0.013314142323570116,DD,0.25,3,False
broad,TOP20,10.0,gross,PUB,19,1,True,0.75,0.75,0,,0.0024758640890451267,0.75,DD,1,0.0024758640890451267,DD,0.75,0,False
broad,TOP20,10.0,gross,x2,37,2,True,0.725,0.75,1,0.725,0.0024758640890451267,0.75,DD,1,0.0024758640890451267,DD,0.75,0,False
broad,TOP20,10.0,gross,x4,73,3,True,0.725,0.75,2,0.725;0.7375,0.0024758640890451267,0.75,DD,1,0.0024758640890451267,DD,0.75,0,False
broad,TOP20,10.0,n,PUB,5,0,False,,,0,,-0.051900680214357314,40.0,DD,0,-0.051900680214357314,DD,40.0,0,False
broad,TOP20,10.0,n,x2,9,0,False,,,0,,-0.051900680214357314,40.0,DD,0,-0.051900680214357314,DD,40.0,0,False
broad,TOP20,10.0,n,x4,15,0,False,,,0,,-0.051900680214357314,40.0,DD,0,-0.051900680214357314,DD,40.0,0,False
broad,TOP20,10.0,vol,PUB,7,1,True,0.8,0.8,0,,0.007153577467843203,0.8,DD,1,0.007153577467843203,DD,0.8,0,False
broad,TOP20,10.0,vol,x2,13,2,True,0.7,0.8,1,0.7,0.0135187211378123,0.7,DD,1,0.007153577467843203,DD,0.8,0,False
broad,TOP20,10.0,vol,x4,25,5,True,0.6499999999999999,0.8500000000000001,4,0.65;0.7;0.75;0.85,0.01914021102538621,0.6499999999999999,H2,1,0.007153577467843203,DD,0.8,0,False
broad,TOP20,25.0,K,PUB,6,0,False,,,0,,-0.11734831760300457,200.0,H2,0,-0.11734831760300457,H2,200.0,0,False
broad,TOP20,25.0,K,x2,11,0,False,,,0,,-0.11510781645942858,175.0,H2,0,-0.11734831760300457,H2,200.0,0,False
broad,TOP20,25.0,K,x4,21,0,False,,,0,,-0.1055634791021357,188.0,H2,0,-0.11734831760300457,H2,200.0,0,False
broad,TOP20,25.0,band,PUB,5,0,False,,,0,,-0.1069660416026521,8.0,H2,0,-0.1069660416026521,H2,8.0,0,False
broad,TOP20,25.0,band,x2,9,0,False,,,0,,-0.09997382206049232,6.5,H2,0,-0.1069660416026521,H2,8.0,0,False
broad,TOP20,25.0,band,x4,17,0,False,,,0,,-0.09871104697435606,5.75,H2,0,-0.1069660416026521,H2,8.0,0,False
broad,TOP20,25.0,f,PUB,13,0,False,,,0,,-0.03639357070336695,0.6,CAGR,0,-0.03639357070336695,CAGR,0.6,0,False
broad,TOP20,25.0,f,x2,25,0,False,,,0,,-0.03639357070336695,0.6,CAGR,0,-0.03639357070336695,CAGR,0.6,0,False
broad,TOP20,25.0,f,x4,49,0,False,,,0,,-0.035324503253723605,0.575,H2,0,-0.03639357070336695,CAGR,0.6,0,False
broad,TOP20,25.0,gross,PUB,19,0,False,,,0,,-0.10196062376361392,1.0,H2,0,-0.10196062376361392,H2,1.0,0,False
broad,TOP20,25.0,gross,x2,37,0,False,,,0,,-0.10196062376361392,1.0,H2,0,-0.10196062376361392,H2,1.0,0,False
broad,TOP20,25.0,gross,x4,73,0,False,,,0,,-0.10196062376361392,1.0,H2,0,-0.10196062376361392,H2,1.0,0,False
broad,TOP20,25.0,n,PUB,5,0,False,,,0,,-0.053760146955872584,40.0,DD,0,-0.053760146955872584,DD,40.0,0,False
broad,TOP20,25.0,n,x2,9,0,False,,,0,,-0.053760146955872584,40.0,DD,0,-0.053760146955872584,DD,40.0,0,False
broad,TOP20,25.0,n,x4,15,0,False,,,0,,-0.053760146955872584,40.0,DD,0,-0.053760146955872584,DD,40.0,0,False
broad,TOP20,25.0,vol,PUB,7,0,False,,,0,,-0.09445939934858827,0.8,H2,0,-0.09445939934858827,H2,0.8,0,False
broad,TOP20,25.0,vol,x2,13,0,False,,,0,,-0.09377024457967298,0.7,H2,0,-0.09445939934858827,H2,0.8,0,False
broad,TOP20,25.0,vol,x4,25,0,False,,,0,,-0.09377024457967298,0.7,H2,0,-0.09445939934858827,H2,0.8,0,False
small,EWall,10.0,K,PUB,6,0,False,,,0,,-0.3567542561726019,250.0,H1,0,-0.3567542561726019,H1,250.0,0,False
small,EWall,10.0,K,x2,11,0,False,,,0,,-0.34799527042322087,175.0,OOS,0,-0.3567542561726019,H1,250.0,0,False
small,EWall,10.0,K,x4,21,0,False,,,0,,-0.34745340017932524,188.0,H1,0,-0.3567542561726019,H1,250.0,0,False
small,EWall,10.0,band,PUB,5,0,False,,,0,,-0.2545838683858982,8.0,OOS,0,-0.2545838683858982,OOS,8.0,1,False
small,EWall,10.0,band,x2,9,0,False,,,0,,-0.2545838683858982,8.0,OOS,0,-0.2545838683858982,OOS,8.0,2,False
small,EWall,10.0,band,x4,17,0,False,,,0,,-0.2545838683858982,8.0,OOS,0,-0.2545838683858982,OOS,8.0,4,False
small,EWall,10.0,gross,PUB,19,0,False,,,0,,-0.24205703020994507,0.1,OOS,0,-0.24205703020994507,OOS,0.1,6,False
small,EWall,10.0,gross,x2,37,0,False,,,0,,-0.24205703020994507,0.1,OOS,0,-0.24205703020994507,OOS,0.1,11,False
small,EWall,10.0,gross,x4,73,0,False,,,0,,-0.24205703020994507,0.1,OOS,0,-0.24205703020994507,OOS,0.1,22,False
small,EWall,10.0,vol,PUB,7,0,False,,,0,,-0.3564154572494509,1.2,H2,0,-0.3564154572494509,H2,1.2,0,False
small,EWall,10.0,vol,x2,13,0,False,,,0,,-0.3564154572494509,1.2,H2,0,-0.3564154572494509,H2,1.2,0,False
small,EWall,10.0,vol,x4,25,0,False,,,0,,-0.3564154572494509,1.2,H2,0,-0.3564154572494509,H2,1.2,0,False
small,EWall,25.0,K,PUB,6,0,False,,,0,,-0.4345008716896839,250.0,H1,0,-0.4345008716896839,H1,250.0,0,False
small,EWall,25.0,K,x2,11,0,False,,,0,,-0.43147963223384916,175.0,OOS,0,-0.4345008716896839,H1,250.0,0,False
small,EWall,25.0,K,x4,21,0,False,,,0,,-0.43147963223384916,175.0,OOS,0,-0.4345008716896839,H1,250.0,0,False
small,EWall,25.0,band,PUB,5,0,False,,,0,,-0.2962024401968998,8.0,OOS,0,-0.2962024401968998,OOS,8.0,1,False
small,EWall,25.0,band,x2,9,0,False,,,0,,-0.2962024401968998,8.0,OOS,0,-0.2962024401968998,OOS,8.0,2,False
small,EWall,25.0,band,x4,17,0,False,,,0,,-0.2962024401968998,8.0,OOS,0,-0.2962024401968998,OOS,8.0,5,False
small,EWall,25.0,gross,PUB,19,0,False,,,0,,-0.2596802105743642,0.1,OOS,0,-0.2596802105743642,OOS,0.1,6,False
small,EWall,25.0,gross,x2,37,0,False,,,0,,-0.2596802105743642,0.1,OOS,0,-0.2596802105743642,OOS,0.1,12,False
small,EWall,25.0,gross,x4,73,0,False,,,0,,-0.2596802105743642,0.1,OOS,0,-0.2596802105743642,OOS,0.1,23,False
small,EWall,25.0,vol,PUB,7,0,False,,,0,,-0.3777723180184956,1.2,H2,0,-0.3777723180184956,H2,1.2,0,False
small,EWall,25.0,vol,x2,13,0,False,,,0,,-0.3777723180184956,1.2,H2,0,-0.3777723180184956,H2,1.2,0,False
small,EWall,25.0,vol,x4,25,0,False,,,0,,-0.3777723180184956,1.2,H2,0,-0.3777723180184956,H2,1.2,0,False
small,TOP20,10.0,K,PUB,6,0,False,,,0,,-0.1222511981784673,100.0,H2,0,-0.1222511981784673,H2,100.0,0,False
small,TOP20,10.0,K,x2,11,0,False,,,0,,-0.10001363834767829,75.0,H2,0,-0.1222511981784673,H2,100.0,0,False
small,TOP20,10.0,K,x4,21,0,False,,,0,,-0.10001363834767829,75.0,H2,0,-0.1222511981784673,H2,100.0,0,False
small,TOP20,10.0,band,PUB,5,0,False,,,0,,-0.14547262989302223,5.0,H2,0,-0.14547262989302223,H2,5.0,0,False
small,TOP20,10.0,band,x2,9,0,False,,,0,,-0.14440337056850605,6.5,H2,0,-0.14547262989302223,H2,5.0,0,False
small,TOP20,10.0,band,x4,17,0,False,,,0,,-0.14440337056850605,5.75,H2,0,-0.14547262989302223,H2,5.0,0,False
small,TOP20,10.0,gross,PUB,19,0,False,,,0,,-0.13614011939703896,1.0,H2,0,-0.13614011939703896,H2,1.0,7,False
small,TOP20,10.0,gross,x2,37,0,False,,,0,,-0.13614011939703896,1.0,H2,0,-0.13614011939703896,H2,1.0,14,False
small,TOP20,10.0,gross,x4,73,0,False,,,0,,-0.13614011939703896,1.0,H2,0,-0.13614011939703896,H2,1.0,28,False
small,TOP20,10.0,n,PUB,5,0,False,,,0,,-0.13614011939703896,20.0,H2,0,-0.13614011939703896,H2,20.0,0,False
small,TOP20,10.0,n,x2,9,0,False,,,0,,-0.13614011939703896,20.0,H2,0,-0.13614011939703896,H2,20.0,0,False
small,TOP20,10.0,n,x4,15,0,False,,,0,,-0.13614011939703896,20.0,H2,0,-0.13614011939703896,H2,20.0,0,False
small,TOP20,10.0,vol,PUB,7,0,False,,,0,,-0.299189412617731,1.2,H2,0,-0.299189412617731,H2,1.2,0,False
small,TOP20,10.0,vol,x2,13,0,False,,,0,,-0.299189412617731,1.2,H2,0,-0.299189412617731,H2,1.2,0,False
small,TOP20,10.0,vol,x4,25,0,False,,,0,,-0.299189412617731,1.2,H2,0,-0.299189412617731,H2,1.2,0,False
small,TOP20,25.0,K,PUB,6,0,False,,,0,,-0.23494111988359823,100.0,H2,0,-0.23494111988359823,H2,100.0,0,False
small,TOP20,25.0,K,x2,11,0,False,,,0,,-0.23494111988359823,100.0,H2,0,-0.23494111988359823,H2,100.0,0,False
small,TOP20,25.0,K,x4,21,0,False,,,0,,-0.22549793102369886,88.0,H2,0,-0.23494111988359823,H2,100.0,0,False
small,TOP20,25.0,band,PUB,5,0,False,,,0,,-0.2546432210523554,5.0,H2,0,-0.2546432210523554,H2,5.0,0,False
small,TOP20,25.0,band,x2,9,0,False,,,0,,-0.2534182200149172,6.5,H2,0,-0.2546432210523554,H2,5.0,0,False
small,TOP20,25.0,band,x4,17,0,False,,,0,,-0.2534182200149172,5.75,H2,0,-0.2546432210523554,H2,5.0,0,False
small,TOP20,25.0,gross,PUB,19,0,False,,,0,,-0.24448691383777943,1.0,H2,0,-0.24448691383777943,H2,1.0,8,False
small,TOP20,25.0,gross,x2,37,0,False,,,0,,-0.24448691383777943,1.0,H2,0,-0.24448691383777943,H2,1.0,15,False
small,TOP20,25.0,gross,x4,73,0,False,,,0,,-0.24448691383777943,1.0,H2,0,-0.24448691383777943,H2,1.0,29,False
small,TOP20,25.0,n,PUB,5,0,False,,,0,,-0.24448691383777943,20.0,H2,0,-0.24448691383777943,H2,20.0,0,False
small,TOP20,25.0,n,x2,9,0,False,,,0,,-0.24448691383777943,20.0,H2,0,-0.24448691383777943,H2,20.0,0,False
small,TOP20,25.0,n,x4,15,0,False,,,0,,-0.24448691383777943,20.0,H2,0,-0.24448691383777943,H2,20.0,0,False
small,TOP20,25.0,vol,PUB,7,0,False,,,0,,-0.4223982827089639,1.2,H2,0,-0.4223982827089639,H2,1.2,0,False
small,TOP20,25.0,vol,x2,13,0,False,,,0,,-0.4223982827089639,1.2,H2,0,-0.4223982827089639,H2,1.2,0,False
small,TOP20,25.0,vol,x4,25,0,False,,,0,,-0.4223982827089639,1.2,H2,0,-0.4223982827089639,H2,1.2,0,False
u56,EWall,10.0,K,PUB,6,0,False,,,0,,-0.021908555649086794,250.0,CAGR,0,-0.021908555649086794,CAGR,250.0,0,False
u56,EWall,10.0,K,x2,11,0,False,,,0,,-0.021908555649086794,250.0,CAGR,0,-0.021908555649086794,CAGR,250.0,0,False
u56,EWall,10.0,K,x4,21,0,False,,,0,,-0.021908555649086794,250.0,CAGR,0,-0.021908555649086794,CAGR,250.0,0,False
u56,EWall,10.0,band,PUB,5,0,False,,,0,,-0.019762454800725374,3.0,CAGR,0,-0.019762454800725374,CAGR,3.0,0,False
u56,EWall,10.0,band,x2,9,0,False,,,0,,-0.019762454800725374,3.0,CAGR,0,-0.019762454800725374,CAGR,3.0,0,False
u56,EWall,10.0,band,x4,17,0,False,,,0,,-0.019762454800725374,3.0,CAGR,0,-0.019762454800725374,CAGR,3.0,0,False
u56,EWall,10.0,f,PUB,13,5,True,0.1,0.3,0,,0.014285290088914757,0.15,CAGR,5,0.014285290088914757,CAGR,0.15,2,False
u56,EWall,10.0,f,x2,25,9,True,0.1,0.3,4,0.125;0.175;0.225;0.275,0.014285290088914757,0.15,CAGR,5,0.014285290088914757,CAGR,0.15,4,False
u56,EWall,10.0,f,x4,49,18,True,0.1,0.3125,13,0.1125;0.125;0.1375;0.1625;0.175;0.1875;0.2125;0.225;0.2375;0.2625;0.275;0.2875;0.3125,0.014285290088914757,0.15,CAGR,5,0.014285290088914757,CAGR,0.15,8,False
u56,EWall,10.0,gross,PUB,19,1,True,0.85,0.85,0,,0.006248963542221583,0.85,CAGR,1,0.006248963542221583,CAGR,0.85,0,False
u56,EWall,10.0,gross,x2,37,3,True,0.825,0.875,2,0.825;0.875,0.006248963542221583,0.85,CAGR,1,0.006248963542221583,CAGR,0.85,0,False
u56,EWall,10.0,gross,x4,73,7,True,0.8125,0.8875,6,0.8125;0.825;0.8375;0.8625;0.875;0.8875,0.006248963542221583,0.85,CAGR,1,0.006248963542221583,CAGR,0.85,0,False
u56,EWall,10.0,vol,PUB,7,3,True,0.5,0.8,0,,0.013554770501823049,0.8,DD,3,0.013554770501823049,DD,0.8,0,False
u56,EWall,10.0,vol,x2,13,5,True,0.5,0.8,2,0.55;0.7,0.013554770501823049,0.8,DD,3,0.013554770501823049,DD,0.8,0,False
u56,EWall,10.0,vol,x4,25,10,True,0.5,0.8500000000000001,7,0.525;0.55;0.575;0.65;0.7;0.75;0.85,0.013554770501823049,0.8,DD,3,0.013554770501823049,DD,0.8,0,False
u56,EWall,25.0,K,PUB,6,0,False,,,0,,-0.02644166343572031,250.0,CAGR,0,-0.02644166343572031,CAGR,250.0,0,False
u56,EWall,25.0,K,x2,11,0,False,,,0,,-0.02644166343572031,250.0,CAGR,0,-0.02644166343572031,CAGR,250.0,0,False
u56,EWall,25.0,K,x4,21,0,False,,,0,,-0.02644166343572031,250.0,CAGR,0,-0.02644166343572031,CAGR,250.0,0,False
u56,EWall,25.0,band,PUB,5,0,False,,,0,,-0.022650338344435653,3.0,CAGR,0,-0.022650338344435653,CAGR,3.0,0,False
u56,EWall,25.0,band,x2,9,0,False,,,0,,-0.022650338344435653,3.0,CAGR,0,-0.022650338344435653,CAGR,3.0,0,False
u56,EWall,25.0,band,x4,17,0,False,,,0,,-0.022650338344435653,3.0,CAGR,0,-0.022650338344435653,CAGR,3.0,0,False
u56,EWall,25.0,f,PUB,13,4,True,0.1,0.25,0,,0.011540377698090895,0.15,CAGR,4,0.011540377698090895,CAGR,0.15,1,False
u56,EWall,25.0,f,x2,25,7,True,0.1,0.25,3,0.125;0.175;0.225,0.011540377698090895,0.15,CAGR,4,0.011540377698090895,CAGR,0.15,2,False
u56,EWall,25.0,f,x4,49,14,True,0.1,0.2625,10,0.1125;0.125;0.1375;0.1625;0.175;0.1875;0.2125;0.225;0.2375;0.2625,0.011540377698090895,0.15,CAGR,4,0.011540377698090895,CAGR,0.15,5,False
u56,EWall,25.0,gross,PUB,19,1,True,0.85,0.85,0,,0.005055191333518158,0.85,CAGR,1,0.005055191333518158,CAGR,0.85,0,False
u56,EWall,25.0,gross,x2,37,3,True,0.825,0.875,2,0.825;0.875,0.005055191333518158,0.85,CAGR,1,0.005055191333518158,CAGR,0.85,0,False
u56,EWall,25.0,gross,x4,73,7,True,0.8125,0.8875,6,0.8125;0.825;0.8375;0.8625;0.875;0.8875,0.005489585853861473,0.8625,DD,1,0.005055191333518158,CAGR,0.85,0,False
u56,EWall,25.0,vol,PUB,7,2,True,0.6,0.8,0,,0.012827695662369618,0.8,CAGR,2,0.012827695662369618,CAGR,0.8,0,False
u56,EWall,25.0,vol,x2,13,4,True,0.55,0.8,2,0.55;0.7,0.012827695662369618,0.8,CAGR,2,0.012827695662369618,CAGR,0.8,0,False
u56,EWall,25.0,vol,x4,25,9,True,0.525,0.8500000000000001,7,0.525;0.55;0.575;0.65;0.7;0.75;0.85,0.012827695662369618,0.8,CAGR,2,0.012827695662369618,CAGR,0.8,0,False
u56,TOP20,10.0,K,PUB,6,4,True,100.0,250.0,0,,0.013452621937670925,100.0,CAGR,4,0.013452621937670925,CAGR,100.0,0,False
u56,TOP20,10.0,K,x2,11,8,True,75.0,250.0,4,75.0;125.0;175.0;225.0,0.020334529160698972,125.0,DD,4,0.013452621937670925,CAGR,100.0,0,False
u56,TOP20,10.0,K,x4,21,15,True,75.0,250.0,11,75.0;88.0;112.0;125.0;138.0;162.0;175.0;188.0;212.0;225.0;238.0,0.020334529160698972,125.0,DD,4,0.013452621937670925,CAGR,100.0,0,False
u56,TOP20,10.0,band,PUB,5,5,True,0.0,8.0,0,,0.007166351451452696,0.0,DD,5,0.007166351451452696,DD,0.0,0,False
u56,TOP20,10.0,band,x2,9,9,True,0.0,8.0,4,1.0;2.5;4.0;6.5,0.007166351451452696,0.0,DD,5,0.007166351451452696,DD,0.0,0,False
u56,TOP20,10.0,band,x4,17,17,True,0.0,8.0,12,0.5;1.0;1.5;2.25;2.5;2.75;3.5;4.0;4.5;5.75;6.5;7.25,0.007166351451452696,0.0,DD,5,0.007166351451452696,DD,0.0,0,False
u56,TOP20,10.0,f,PUB,13,7,True,0.1,0.4,0,,0.02281891133726631,0.25,CAGR,7,0.02281891133726631,CAGR,0.25,1,False
u56,TOP20,10.0,f,x2,25,14,True,0.1,0.45,7,0.125;0.175;0.225;0.275;0.325;0.375;0.45,0.025452241037402276,0.225,CAGR,7,0.02281891133726631,CAGR,0.25,3,False
u56,TOP20,10.0,f,x4,49,27,True,0.1,0.45,20,0.1125;0.125;0.1375;0.1625;0.175;0.1875;0.2125;0.225;0.2375;0.2625;0.275;0.2875;0.3125;0.325;0.3375;0.3625;0.375;0.3875;0.425;0.45,0.025452241037402276,0.225,CAGR,7,0.02281891133726631,CAGR,0.25,7,False
u56,TOP20,10.0,gross,PUB,19,5,True,0.7,0.9,0,,0.01737863921695902,0.8,CAGR,5,0.01737863921695902,CAGR,0.8,0,False
u56,TOP20,10.0,gross,x2,37,9,True,0.7,0.9,4,0.725;0.775;0.825;0.875,0.01737863921695902,0.8,CAGR,5,0.01737863921695902,CAGR,0.8,0,False
u56,TOP20,10.0,gross,x4,73,17,True,0.7,0.9,12,0.7125;0.725;0.7375;0.7625;0.775;0.7875;0.8125;0.825;0.8375;0.8625;0.875;0.8875,0.01895435745108473,0.8125,DD,5,0.01737863921695902,CAGR,0.8,0,False
u56,TOP20,10.0,n,PUB,5,0,False,,,0,,-0.013323123933978304,40.0,DD,0,-0.013323123933978304,DD,40.0,0,False
u56,TOP20,10.0,n,x2,9,0,False,,,0,,-0.009738381378167543,30.0,DD,0,-0.013323123933978304,DD,40.0,0,False
u56,TOP20,10.0,n,x4,15,0,False,,,0,,-0.008364662894708191,35.0,DD,0,-0.013323123933978304,DD,40.0,0,False
u56,TOP20,10.0,vol,PUB,7,5,True,0.4,1.0,0,,0.02144730653289549,0.6,CAGR,5,0.02144730653289549,CAGR,0.6,0,False
u56,TOP20,10.0,vol,x2,13,9,True,0.4,1.0,4,0.45;0.55;0.7;0.9,0.025545139700952374,0.7,DD,5,0.02144730653289549,CAGR,0.6,0,False
u56,TOP20,10.0,vol,x4,25,17,True,0.4,1.0,12,0.425;0.45;0.475;0.525;0.55;0.575;0.65;0.7;0.75;0.85;0.9;0.95,0.027770432442346213,0.6499999999999999,CAGR,5,0.02144730653289549,CAGR,0.6,0,False
u56,TOP20,25.0,K,PUB,6,2,True,150.0,200.0,0,,0.008586613580891939,150.0,DD,2,0.008586613580891939,DD,150.0,0,False
u56,TOP20,25.0,K,x2,11,5,True,125.0,225.0,3,125.0;175.0;225.0,0.010263432459678853,125.0,CAGR,2,0.008586613580891939,DD,150.0,0,False
u56,TOP20,25.0,K,x4,21,10,True,112.0,225.0,8,112.0;125.0;138.0;162.0;175.0;188.0;212.0;225.0,0.014220080823006617,138.0,CAGR,2,0.008586613580891939,DD,150.0,0,False
u56,TOP20,25.0,band,PUB,5,4,True,0.0,5.0,0,,0.0057871521953859195,0.0,DD,4,0.0057871521953859195,DD,0.0,0,False
u56,TOP20,25.0,band,x2,9,7,True,0.0,5.0,3,1.0;2.5;4.0,0.0057871521953859195,0.0,DD,4,0.0057871521953859195,DD,0.0,0,False
u56,TOP20,25.0,band,x4,17,14,True,0.0,5.75,10,0.5;1.0;1.5;2.25;2.5;2.75;3.5;4.0;4.5;5.75,0.0057871521953859195,0.0,DD,4,0.0057871521953859195,DD,0.0,0,False
u56,TOP20,25.0,f,PUB,13,4,True,0.15,0.3,0,,0.012951337307268038,0.2,CAGR,4,0.012951337307268038,CAGR,0.2,0,False
u56,TOP20,25.0,f,x2,25,9,True,0.125,0.32499999999999996,5,0.125;0.175;0.225;0.275;0.325,0.015016808918167895,0.175,DD,4,0.012951337307268038,CAGR,0.2,0,False
