sel,panel,book,cost,pick,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_ctl,beat_spy,beat_v1,oos_best,oos_rank,ctl_OOS_Sharpe,spy_OOS_Sharpe,v1_OOS_Sharpe,ctl_OOS_MaxDD,spy_OOS_MaxDD
S2,u56,TOP20,25.0,(none),0,,,,,,,,,1.0721876011978528,0.8820107671822842,0.39920030769495,-0.22340270136729112,-0.33717235283398284
S0,u56,EWall,10.0,abs12-rw,17,0.12045286302342895,1.031338857338196,-0.19885932203290213,False,True,True,False,17.0,1.1357379992068701,0.8820107671822842,0.747063834691694,-0.2252589051154077,-0.33717235283398284
S1,u56,EWall,10.0,abs12-rw,10,0.12045286302342895,1.031338857338196,-0.19885932203290213,False,True,True,False,17.0,1.1357379992068701,0.8820107671822842,0.747063834691694,-0.2252589051154077,-0.33717235283398284
S2,u56,EWall,10.0,abs12-rw,12,0.12045286302342895,1.031338857338196,-0.19885932203290213,False,True,True,False,17.0,1.1357379992068701,0.8820107671822842,0.747063834691694,-0.2252589051154077,-0.33717235283398284
S0,u56,EWall,25.0,control,17,0.13671134762230652,1.1250416500196643,-0.22547617750089244,False,True,True,False,8.0,1.1250416500196643,0.8820107671822842,0.39920030769495,-0.22547617750089244,-0.33717235283398284
S1,u56,EWall,25.0,control,8,0.13671134762230652,1.1250416500196643,-0.22547617750089244,False,True,True,False,8.0,1.1250416500196643,0.8820107671822842,0.39920030769495,-0.22547617750089244,-0.33717235283398284
S2,u56,EWall,25.0,control,10,0.13671134762230652,1.1250416500196643,-0.22547617750089244,False,True,True,False,8.0,1.1250416500196643,0.8820107671822842,0.39920030769495,-0.22547617750089244,-0.33717235283398284
S0,broad,V1u,10.0,ebud-0.20,17,0.028643756322064506,0.39907214268929586,-0.17941747934872254,False,False,False,False,14.0,0.5726795060813383,0.8820239235972316,0.5762505378038233,-0.23464470864180642,-0.3371595330739301
S1,broad,V1u,10.0,(none),0,,,,,,,,,0.5726795060813383,0.8820239235972316,0.5762505378038233,-0.23464470864180642,-0.3371595330739301
S2,broad,V1u,10.0,(none),0,,,,,,,,,0.5726795060813383,0.8820239235972316,0.5762505378038233,-0.23464470864180642,-0.3371595330739301
S0,broad,V1u,25.0,ebud-0.10,17,-0.000919943279876767,5.113546624357708e-05,-0.11335965255625091,False,False,False,False,16.0,0.14599987578246443,0.8820239235972316,0.15539928865606328,-0.28896691802049135,-0.3371595330739301
S1,broad,V1u,25.0,(none),0,,,,,,,,,0.14599987578246443,0.8820239235972316,0.15539928865606328,-0.28896691802049135,-0.3371595330739301
S2,broad,V1u,25.0,(none),0,,,,,,,,,0.14599987578246443,0.8820239235972316,0.15539928865606328,-0.28896691802049135,-0.3371595330739301
S0,broad,TOP20,10.0,ebud-0.10,17,0.12228211061770566,0.8535342288080167,-0.2288828170330488,False,False,True,False,14.0,0.9301240819488711,0.8820239235972316,0.5762505378038233,-0.2596966291762923,-0.3371595330739301
S1,broad,TOP20,10.0,ebud-0.10,12,0.12228211061770566,0.8535342288080167,-0.2288828170330488,False,False,True,False,14.0,0.9301240819488711,0.8820239235972316,0.5762505378038233,-0.2596966291762923,-0.3371595330739301
S2,broad,TOP20,10.0,ebud-0.10,12,0.12228211061770566,0.8535342288080167,-0.2288828170330488,False,False,True,False,14.0,0.9301240819488711,0.8820239235972316,0.5762505378038233,-0.2596966291762923,-0.3371595330739301
S0,broad,TOP20,25.0,ebud-0.10,17,0.10539299399804758,0.7510865702437203,-0.23016855578352646,False,False,True,False,10.0,0.8066189970303554,0.8820239235972316,0.15539928865606328,-0.26149610286554237,-0.3371595330739301
S1,broad,TOP20,25.0,ebud-0.10,1,0.10539299399804758,0.7510865702437203,-0.23016855578352646,False,False,True,False,10.0,0.8066189970303554,0.8820239235972316,0.15539928865606328,-0.26149610286554237,-0.3371595330739301
S2,broad,TOP20,25.0,ebud-0.10,1,0.10539299399804758,0.7510865702437203,-0.23016855578352646,False,False,True,False,10.0,0.8066189970303554,0.8820239235972316,0.15539928865606328,-0.26149610286554237,-0.3371595330739301
S0,broad,EWall,10.0,vol60-dg,17,0.12011126700793429,1.1224553129457142,-0.18696236312424186,True,True,True,False,2.0,1.1022031339130582,0.8820239235972316,0.5762505378038233,-0.2537106610635026,-0.3371595330739301
S1,broad,EWall,10.0,vol60-dg,5,0.12011126700793429,1.1224553129457142,-0.18696236312424186,True,True,True,False,2.0,1.1022031339130582,0.8820239235972316,0.5762505378038233,-0.2537106610635026,-0.3371595330739301
S2,broad,EWall,10.0,vol60-dg,9,0.12011126700793429,1.1224553129457142,-0.18696236312424186,True,True,True,False,2.0,1.1022031339130582,0.8820239235972316,0.5762505378038233,-0.2537106610635026,-0.3371595330739301
S0,broad,EWall,25.0,vol60-dg,17,0.11769385576362001,1.1020383628219215,-0.18709252316824732,True,True,True,False,2.0,1.0913501695849346,0.8820239235972316,0.15539928865606328,-0.25391347869315706,-0.3371595330739301
S1,broad,EWall,25.0,vol60-dg,1,0.11769385576362001,1.1020383628219215,-0.18709252316824732,True,True,True,False,2.0,1.0913501695849346,0.8820239235972316,0.15539928865606328,-0.25391347869315706,-0.3371595330739301
S2,broad,EWall,25.0,vol60-dg,2,0.11769385576362001,1.1020383628219215,-0.18709252316824732,True,True,True,False,2.0,1.0913501695849346,0.8820239235972316,0.15539928865606328,-0.25391347869315706,-0.3371595330739301
S0,small,V1u,10.0,ebud-0.20,17,0.01908476555919525,0.24417112027820617,-0.31937131448322054,False,False,False,False,16.0,0.5310569496765438,0.8820107671822842,0.5806618551671671,-0.34024530376476436,-0.33717235283398284
S1,small,V1u,10.0,(none),0,,,,,,,,,0.5310569496765438,0.8820107671822842,0.5806618551671671,-0.34024530376476436,-0.33717235283398284
S2,small,V1u,10.0,(none),0,,,,,,,,,0.5310569496765438,0.8820107671822842,0.5806618551671671,-0.34024530376476436,-0.33717235283398284
S0,small,V1u,25.0,ebud-0.20,17,-0.011954737382619207,-0.07590118955195838,-0.37923977856856683,False,False,False,False,17.0,0.19789328807651982,0.8820107671822842,0.250067051410945,-0.440945755537582,-0.33717235283398284
S1,small,V1u,25.0,(none),0,,,,,,,,,0.19789328807651982,0.8820107671822842,0.250067051410945,-0.440945755537582,-0.33717235283398284
S2,small,V1u,25.0,(none),0,,,,,,,,,0.19789328807651982,0.8820107671822842,0.250067051410945,-0.440945755537582,-0.33717235283398284
S0,small,TOP20,10.0,ebud-0.20,17,0.16378025010645647,0.7922553146106635,-0.30167155631651643,False,False,True,False,6.0,0.8091056551333645,0.8820107671822842,0.5806618551671671,-0.30849894580592363,-0.33717235283398284
S1,small,TOP20,10.0,(none),0,,,,,,,,,0.8091056551333645,0.8820107671822842,0.5806618551671671,-0.30849894580592363,-0.33717235283398284
S2,small,TOP20,10.0,(none),0,,,,,,,,,0.8091056551333645,0.8820107671822842,0.5806618551671671,-0.30849894580592363,-0.33717235283398284
S0,small,TOP20,25.0,ebud-0.20,17,0.1353727316144473,0.681419573302655,-0.3029070451977667,False,False,True,False,6.0,0.6962918593916119,0.8820107671822842,0.250067051410945,-0.3097889357986776,-0.33717235283398284
S1,small,TOP20,25.0,(none),0,,,,,,,,,0.6962918593916119,0.8820107671822842,0.250067051410945,-0.3097889357986776,-0.33717235283398284
S2,small,TOP20,25.0,(none),0,,,,,,,,,0.6962918593916119,0.8820107671822842,0.250067051410945,-0.3097889357986776,-0.33717235283398284
S0,small,EWall,10.0,control,17,0.10089643214031607,0.6366624355474834,-0.36166373582084055,False,False,True,False,4.0,0.6366624355474834,0.8820107671822842,0.5806618551671671,-0.36166373582084055,-0.33717235283398284
S1,small,EWall,10.0,(none),0,,,,,,,,,0.6366624355474834,0.8820107671822842,0.5806618551671671,-0.36166373582084055,-0.33717235283398284
S2,small,EWall,10.0,(none),0,,,,,,,,,0.6366624355474834,0.8820107671822842,0.5806618551671671,-0.36166373582084055,-0.33717235283398284
S0,small,EWall,25.0,ddctl-8/.5/recover,17,0.07553049086706154,0.6830863344772165,-0.23421384151565972,True,False,True,False,2.0,0.6206770724346838,0.8820107671822842,0.250067051410945,-0.36426007858274945,-0.33717235283398284
S1,small,EWall,25.0,(none),0,,,,,,,,,0.6206770724346838,0.8820107671822842,0.250067051410945,-0.36426007858274945,-0.33717235283398284
S2,small,EWall,25.0,(none),0,,,,,,,,,0.6206770724346838,0.8820107671822842,0.250067051410945,-0.36426007858274945,-0.33717235283398284
