shape_stat,kind,claim_set,n,n_unstable,bal_acc,bal_acc_trthr,auc,insample
LAMBDA,shape,COST,86,20,0.5,0.4856060606060606,0.4090909090909091,0.5
LAMBDA,shape,WINDOW,60,6,0.5,0.5277777777777778,0.4537037037037037,0.5
LAMBDA,shape,NEARABLE,69,18,0.5,0.4950980392156863,0.3660130718954248,0.5
|M_LOC|,location (NOT a shape statistic),ALL,146,26,0.5737179487179487,0.844871794871795,0.857051282051282,0.6849358974358974
|M_LOC|,location (NOT a shape statistic),HEADLINE,22,7,0.719047619047619,0.8285714285714285,0.8666666666666667,0.861904761904762
|M_LOC|,location (NOT a shape statistic),HEADLINE_RAW,30,8,0.7670454545454546,0.8693181818181819,0.9318181818181818,0.8920454545454546
|M_LOC|,location (NOT a shape statistic),COST,86,20,0.6068181818181818,0.7787878787878788,0.8492424242424242,0.7219696969696969
|M_LOC|,location (NOT a shape statistic),WINDOW,60,6,0.49074074074074076,0.8148148148148149,0.7932098765432098,0.5
|M_LOC|,location (NOT a shape statistic),NEARABLE,69,18,0.5882352941176471,0.7712418300653594,0.8278867102396514,0.7647058823529411
SKEW+|M_LOC|,mixed (NOT a shape statistic),ALL,146,26,0.5653846153846154,0.7871794871794873,0.8394230769230769,0.6849358974358974
SKEW+|M_LOC|,mixed (NOT a shape statistic),HEADLINE,22,7,0.5809523809523809,0.5809523809523809,0.780952380952381,0.7904761904761906
SKEW+|M_LOC|,mixed (NOT a shape statistic),HEADLINE_RAW,30,8,0.6818181818181819,0.6590909090909092,0.8579545454545454,0.8295454545454546
SKEW+|M_LOC|,mixed (NOT a shape statistic),COST,86,20,0.6318181818181818,0.6136363636363636,0.7946969696969697,0.7371212121212121
SKEW+|M_LOC|,mixed (NOT a shape statistic),WINDOW,60,6,0.48148148148148145,0.8333333333333334,0.845679012345679,0.48148148148148145
SKEW+|M_LOC|,mixed (NOT a shape statistic),NEARABLE,69,18,0.6437908496732025,0.5849673202614378,0.7799564270152506,0.8872549019607843
|z|,the signed estimator's own bar (NOT a shape statistic),ALL,146,26,0.6782051282051282,0.8798076923076923,0.8927884615384616,0.7509615384615385
|z|,the signed estimator's own bar (NOT a shape statistic),HEADLINE,22,7,0.861904761904762,0.8285714285714285,0.919047619047619,0.861904761904762
|z|,the signed estimator's own bar (NOT a shape statistic),HEADLINE_RAW,30,8,0.8920454545454546,0.8693181818181819,0.9630681818181818,0.8920454545454546
|z|,the signed estimator's own bar (NOT a shape statistic),COST,86,20,0.771969696969697,0.8393939393939394,0.8928030303030303,0.8295454545454546
|z|,the signed estimator's own bar (NOT a shape statistic),WINDOW,60,6,0.48148148148148145,0.8333333333333334,0.8441358024691358,0.5
|z|,the signed estimator's own bar (NOT a shape statistic),NEARABLE,69,18,0.7467320261437909,0.8300653594771241,0.8643790849673203,0.8120915032679739
