panel,L,d,t,dSharpe,dMaxDD
U56,20,5,0.1,0.10434134135417517,0.07118139294079306
U56,20,5,0.12,0.0821585324389742,0.06403605136716417
U56,20,5,0.16,0.028330090838361244,0.05454799199265992
U56,20,5,0.2,-0.02538940125629896,0.035623520532974795
U56,40,0,0.08,0.12971792430957096,0.06305983610410226
U56,40,0,0.1,0.10937151739259243,0.06583058649789597
U56,40,0,0.12,0.11247538864133322,0.07418767494003053
U56,40,0,0.16,0.053104022949530094,0.07079965866428573
U56,40,0,0.2,0.005675029571517776,0.05603839123594612
U56,40,1,0.08,0.09300569748092857,0.05694086184521763
U56,40,1,0.1,0.09301417872959594,0.062357871682753196
U56,40,1,0.12,0.09737240900550415,0.07002923341490919
U56,40,1,0.16,0.03381511115024782,0.06578850504409073
U56,40,1,0.2,-0.007820702929668855,0.04972272104272202
U56,40,2,0.08,0.07354550256684611,0.05211872816804619
U56,40,2,0.1,0.07551950772967819,0.057411085229603476
U56,40,2,0.12,0.07765823704612052,0.06388958684980228
U56,40,2,0.16,0.016993417640326358,0.056102599798659836
U56,40,2,0.2,-0.026528928970461774,0.03737317850248667
U56,40,5,0.08,0.023251849302221572,0.0333333530205564
U56,40,5,0.1,0.02585750378674878,0.035524521486882454
U56,40,5,0.12,0.03048350033609104,0.0366143132296296
U56,40,5,0.16,-0.03708562545478378,0.019377446160180334
U56,40,5,0.2,-0.07149346623011787,0.006590168931448148
U56,60,0,0.08,0.048282765751429535,0.04034310976813327
U56,60,0,0.1,0.04143133838275315,0.05160837735269119
U56,60,0,0.12,0.058172374473596467,0.05910994298375216
U56,60,0,0.16,0.012309192289488458,0.05090371010897776
U56,60,0,0.2,-0.02190474144212695,0.035210133200578864
U56,60,1,0.08,0.03389631454856801,0.0344645192939389
U56,60,1,0.1,0.034672300783501475,0.0481145022104803
U56,60,1,0.12,0.05447437690132095,0.05491242989601164
U56,60,1,0.16,0.00285070647414587,0.04535911847226448
U56,60,1,0.2,-0.032314475192415815,0.029756583243956913
U56,60,2,0.08,0.013527057057973524,0.028490006470472062
U56,60,2,0.1,0.016390397707090498,0.04159723146257022
U56,60,2,0.12,0.03458249833660676,0.04700648878098479
U56,60,2,0.16,-0.019895027654637243,0.03320430315931289
U56,60,2,0.2,-0.05062764029925759,0.01796356904922891
U56,60,5,0.08,-0.05444360258356573,0.007246727417778431
U56,60,5,0.1,-0.052864214928514786,0.015596049231925146
U56,60,5,0.12,-0.03752258932641217,0.014864165022322684
U56,60,5,0.16,-0.07315785672569741,0.0008307327453884739
U56,60,5,0.2,-0.088270566290503,-0.00650198392041812
B136,5,0,0.08,0.15204870217078326,0.11973332718640484
B136,5,0,0.1,0.15287816329237236,0.13235684209060927
B136,5,0,0.12,0.14055409170993438,0.1416404438315636
B136,5,0,0.16,0.12821739669986476,0.13945580501818444
B136,5,0,0.2,0.15228072220432232,0.13183376157529503
B136,5,1,0.08,-0.011300925276297447,0.10708078569404056
B136,5,1,0.1,0.012952512282262685,0.126908009023613
B136,5,1,0.12,0.023978194181312196,0.1210308733587343
B136,5,1,0.16,0.08360269141846799,0.1107261974139715
B136,5,1,0.2,0.1151263679836998,0.11094055162849814
B136,5,2,0.08,-0.10686697118103161,0.08119560060977349
B136,5,2,0.1,-0.05904396394176992,0.08707241703769164
B136,5,2,0.12,-0.012123485956432534,0.09127796941357602
B136,5,2,0.16,0.07031881020427133,0.09356045621486253
B136,5,2,0.2,0.10558687990703386,0.1016094829165235
B136,5,5,0.08,-0.15328777764870938,0.0968015131030886
B136,5,5,0.1,-0.08170216036403288,0.10715532457655774
B136,5,5,0.12,-0.013126358731914367,0.10974833785083071
B136,5,5,0.16,0.06121428044356225,0.10414374828531237
B136,5,5,0.2,0.05981259503196612,0.08901050550098699
B136,10,0,0.08,0.032171493400052986,0.10512568759472218
B136,10,0,0.1,0.09646536931058147,0.12264584617203422
B136,10,0,0.12,0.12046250196260067,0.1334521574689711
B136,10,0,0.16,0.14312182119361805,0.1404706658679391
B136,10,0,0.2,0.1407869477077166,0.13735765044399628
B136,10,1,0.08,0.011716949520076625,0.10291559725370136
B136,10,1,0.1,0.06642186281812079,0.12164899220921177
B136,10,1,0.12,0.09709336192699713,0.13082280431575477
B136,10,1,0.16,0.12113771017086883,0.13172804990007803
B136,10,1,0.2,0.12192551417604047,0.12964761994747864
B136,10,2,0.08,-0.024217167545160345,0.10107035969389688
B136,10,2,0.1,0.03321192138377538,0.11920231266312364
B136,10,2,0.12,0.07271786745905207,0.12840973977562098
B136,10,2,0.16,0.10328112822328106,0.12453418423598239
B136,10,2,0.2,0.1008054485147385,0.12364639315216752
B136,10,5,0.08,0.05029553664298536,0.1281155275392365
B136,10,5,0.1,0.06720772234972139,0.13130594678530771
B136,10,5,0.12,0.07412389347867987,0.12097180325248313
B136,10,5,0.16,0.046573258640848936,0.09799017168567337
B136,10,5,0.2,0.020614102056355943,0.08241764534064555
B136,20,0,0.08,0.157245078813538,0.13121657779476337
B136,20,0,0.1,0.15132894885106385,0.13483947628740833
B136,20,0,0.12,0.13542361277797865,0.12741453056309282
B136,20,0,0.16,0.09778814883541931,0.11978705862155814
B136,20,0,0.2,0.08664110467139174,0.11218188505598037
B136,20,1,0.08,0.09419842270416123,0.1261505310606793
B136,20,1,0.1,0.11477179303558405,0.12857813846812738
B136,20,1,0.12,0.11038565098373199,0.1204016276194051
B136,20,1,0.16,0.07599747659921974,0.113841591834551
B136,20,1,0.2,0.0665042929823958,0.1053258630988515
B136,20,2,0.08,0.09080188212227802,0.12198484260273723
B136,20,2,0.1,0.10467773091859578,0.12400355727597878
B136,20,2,0.12,0.10050074206931292,0.11477100180478383
B136,20,2,0.16,0.05934224135672728,0.10743958619058125
B136,20,2,0.2,0.04520712115307424,0.0969050628730378
B136,20,5,0.08,0.04067184095034637,0.10640088590681285
B136,20,5,0.1,0.0805014017913166,0.10457753838879225
B136,20,5,0.12,0.07345029466625874,0.09211281217970102
B136,20,5,0.16,0.011270323434312557,0.07577749635682285
B136,20,5,0.2,-0.013422363981086871,0.056070958893968736
B136,40,0,0.08,0.10643502980222297,0.0919529790868292
B136,40,0,0.1,0.09113965938171265,0.09271087032771486
B136,40,0,0.12,0.11201178134292711,0.09769050968997062
B136,40,0,0.16,0.0715016496432217,0.09543687031852277
B136,40,0,0.2,0.02662880801961598,0.08189559760319276
B136,40,1,0.08,0.08036650432302705,0.08683892194849496
B136,40,1,0.1,0.07697394465844831,0.08626646621689515
B136,40,1,0.12,0.0935560035046552,0.09298424826361962
B136,40,1,0.16,0.04949303357770196,0.08942576173283223
B136,40,1,0.2,0.012521616874915376,0.07452871402701189
B136,40,2,0.08,0.057687990370392406,0.08166287841380704
B136,40,2,0.1,0.05697362430872133,0.08036868086073956
B136,40,2,0.12,0.07052373962058378,0.08595460031378355
B136,40,2,0.16,0.032918471582767284,0.07935736726228215
B136,40,2,0.2,-0.006870667832764132,0.06112864428767306
B136,40,5,0.08,0.023255502384808002,0.06169782833490711
B136,40,5,0.1,0.015128046522154825,0.057059970996910625
B136,40,5,0.12,0.01903208742020368,0.05691112236612683
B136,40,5,0.16,-0.02426995428875478,0.039693742465745085
B136,40,5,0.2,-0.06898937102095859,0.02129988832609231
B136,60,0,0.08,0.05153857915630988,0.06951395208063649
B136,60,0,0.1,0.05406052127960215,0.07496054635075589
B136,60,0,0.12,0.06090292615002535,0.08177463907725735
B136,60,0,0.16,0.028480884878840262,0.07558008057331178
B136,60,0,0.2,-0.004934137560128615,0.05693327469180365
B136,60,1,0.08,0.043124065451114246,0.06413800237035239
B136,60,1,0.1,0.048656297360951895,0.07072569640388893
B136,60,1,0.12,0.0565520990823527,0.07676502828658749
B136,60,1,0.16,0.017098668642923087,0.06904046104705419
B136,60,1,0.2,-0.018936373658161587,0.048881765286638346
B136,60,2,0.08,0.025417025551979222,0.0578361154292083
B136,60,2,0.1,0.03133783425183778,0.063404972308861
B136,60,2,0.12,0.03902460525808782,0.06797687400906538
B136,60,2,0.16,-0.0031315118567623035,0.055834131181736524
B136,60,2,0.2,-0.042758207473729826,0.03367821390928649
B136,60,5,0.08,-0.032962875809779524,0.03510795772490827
B136,60,5,0.1,-0.031757656088976516,0.03581380381646815
B136,60,5,0.12,-0.028884200658034764,0.03386694370158172
B136,60,5,0.16,-0.07276076488561611,0.01472377664858282
B136,60,5,0.2,-0.0877709653896398,0.0014878801605672232
