panel,N,seeds,EDGE_pp,EDGE_IS_pp,book_CAGR,null_CAGR_med,null_CAGR_sd,EDGE_se_pp,lam_median,book_pct_of_null
B136,8,20,5.087825709786486,8.210432407510115,0.1782211925038646,0.12734293540599972,0.018722428962391808,0.5246893308852427,0.9661181236699776,1.0
B136,8,40,5.244526724236387,8.172714121030689,0.1782211925038646,0.12577592526150072,0.02058318434188562,0.4078848808980243,0.9571136698081856,1.0
B136,10,5,8.707024793164608,8.270871599959095,0.18094572346347726,0.09387547553183118,0.01505533910171809,0.8438409156630864,0.7845135993755743,1.0
B136,10,10,8.53826592087239,6.793435910636136,0.18094572346347726,0.09556306425475336,0.011995678726301624,0.47542264669046524,0.7594849551984195,1.0
B136,10,20,8.53826592087239,6.479918794836004,0.18094572346347726,0.09556306425475336,0.014203943271167644,0.39806039621521483,0.7557532988781369,1.0
B136,10,40,8.323841215910088,6.865743052148354,0.18094572346347726,0.09770731130437638,0.01737524869937039,0.3443151034650354,0.7784601445098931,1.0
B136,12,5,5.183793242775914,4.736456093736052,0.17598257111489235,0.12414463868713321,0.007423263399119616,0.41606856820691135,0.8688618455585937,1.0
B136,12,10,5.4496962298812175,4.717940267918674,0.17598257111489235,0.12148560881608017,0.017302409469510924,0.6857433824132758,0.8583372899460723,1.0
B136,12,20,6.519566190615922,4.81181082231017,0.17598257111489235,0.11078690920873313,0.015361896833641536,0.43051162789626657,0.7908979344379796,1.0
B136,12,40,6.519566190615922,4.881238092045381,0.17598257111489235,0.11078690920873313,0.013816973641846617,0.2738028555089674,0.7889084396481136,1.0
B136,15,5,6.509168954919908,1.6300994083617404,0.1677976415961746,0.10270595204697552,0.01185215259788843,0.6643046186611277,0.7688417927707047,1.0
B136,15,10,6.658749670588094,2.5646492543604515,0.1677976415961746,0.10121014489029367,0.010929343227530237,0.43316075750079114,0.7432489462991622,1.0
B136,15,20,6.864535333528343,1.691825993292917,0.1677976415961746,0.09915228826089117,0.009322513804342153,0.2612600929075091,0.7294797698091889,1.0
B136,15,40,6.8337512656864385,2.645722403996875,0.1677976415961746,0.09946012893931022,0.013302183779168924,0.2636015670038398,0.745131601775327,1.0
B136,20,5,5.054441657522601,4.235247642553852,0.16040704123612182,0.1098626246608958,0.01202947611006807,0.674243473832393,0.7803479651665635,1.0
B136,20,10,4.891768642923299,3.92643017243558,0.16040704123612182,0.11148935480688882,0.014393732701854388,0.5704643024380586,0.7896760644162394,1.0
B136,20,20,4.891768642923299,3.59527140209287,0.16040704123612182,0.11148935480688882,0.01357960315131352,0.38056348914246807,0.785052111494125,1.0
B136,20,40,4.932357200086979,3.5759227842501073,0.16040704123612182,0.11108346923525203,0.012235344930292593,0.24246064781546098,0.7860713234650961,1.0
B136,25,5,4.2952333260316555,4.335416789162405,0.16366123249678388,0.12070889923646733,0.015550899613049726,0.8716167254819986,0.892258107032071,1.0
B136,25,10,4.186209184183798,3.5414302795435892,0.16366123249678388,0.1217991406549459,0.013421449920049486,0.5319299882067396,0.896632186242615,1.0
B136,25,20,4.34111997290898,3.6922370554283823,0.16366123249678388,0.12025003276769408,0.011711794152736764,0.32821881443956163,0.8846054917423897,1.0
B136,25,40,4.269149812565876,3.5414302795435892,0.16366123249678388,0.12096973437112513,0.010793748760192205,0.21389338279088033,0.8743470851130084,1.0
B136,30,5,2.6951323618612077,2.7594649173388497,0.1601345108161336,0.13318318719752154,0.013014258426147871,0.7294398135305643,0.9395480701648196,1.0
B136,30,10,2.5298513956090174,3.2374402918151413,0.1601345108161336,0.13483599686004344,0.012870551374510006,0.5100963220546071,0.9480284993646053,1.0
B136,30,20,2.5881623278819044,2.88070693021506,0.1601345108161336,0.13425288753731457,0.010860543717946477,0.3043628274870637,0.9427169271751714,1.0
B136,30,40,2.810899508839926,3.0410134223961327,0.1601345108161336,0.13202551572773435,0.009745016115722371,0.1931112636261126,0.935847995967258,1.0
B136,40,5,2.326773524574466,2.745145941116367,0.15311485642590061,0.12984712118015596,0.012960034451734355,0.7264005988100689,0.9882381255311978,1.0
B136,40,10,1.6934001325907388,2.763529382202501,0.15311485642590061,0.13618085509999323,0.01083239781438624,0.42931853681840804,1.0,1.0
B136,40,20,1.901674990390212,2.7256340510897537,0.15311485642590061,0.1340981065219985,0.010003206916193724,0.2803362722917661,0.9941190627655989,1.0
B136,40,40,1.8532321794052287,2.489090335127997,0.15311485642590061,0.13458253463184833,0.00891893166329819,0.1767412329791501,0.9861051587820286,0.975
