panel,kind,q,draw,k,breadth,breadth_IS,breadth_OOS
MIX q=0.4 d3,mix,0.4,3.0,40,0.5180654761904762,0.4993283582089552,0.5304950495049504
MIX q=0.4 d4,mix,0.4,4.0,40,0.5465178571428572,0.5327611940298508,0.5556435643564357
MIX q=0.4 d5,mix,0.4,5.0,40,0.5138988095238095,0.5107462686567164,0.5159900990099011
MIX q=0.5 d0,mix,0.5,0.0,40,0.48157738095238095,0.46164179104477615,0.49480198019801985
MIX q=0.5 d1,mix,0.5,1.0,40,0.4667857142857143,0.45417910447761195,0.4751485148514851
MIX q=0.5 d2,mix,0.5,2.0,40,0.4791666666666667,0.4826119402985075,0.47688118811881186
MIX q=0.5 d3,mix,0.5,3.0,40,0.5673809523809524,0.5829104477611939,0.557079207920792
MIX q=0.5 d4,mix,0.5,4.0,40,0.5138988095238096,0.5194029850746269,0.5102475247524753
MIX q=0.5 d5,mix,0.5,5.0,40,0.4820833333333333,0.46828358208955223,0.49123762376237623
MIX q=0.6 d0,mix,0.6,0.0,40,0.4139583333333334,0.37791044776119403,0.43787128712871287
MIX q=0.6 d1,mix,0.6,1.0,40,0.4253571428571428,0.39738805970149255,0.4439108910891089
MIX q=0.6 d2,mix,0.6,2.0,40,0.4764880952380952,0.4418656716417911,0.4994554455445544
MIX q=0.6 d3,mix,0.6,3.0,40,0.43005952380952384,0.413955223880597,0.44074257425742575
MIX q=0.6 d4,mix,0.6,4.0,40,0.45895833333333336,0.4552985074626865,0.4613861386138614
MIX q=0.6 d5,mix,0.6,5.0,40,0.46583333333333327,0.44,0.48297029702970296
MIX q=0.7 d0,mix,0.7,0.0,40,0.4291071428571429,0.4181343283582089,0.4363861386138614
MIX q=0.7 d1,mix,0.7,1.0,40,0.3931845238095238,0.3596268656716418,0.4154455445544555
MIX q=0.7 d2,mix,0.7,2.0,40,0.3963095238095238,0.36843283582089553,0.41480198019801984
MIX q=0.7 d3,mix,0.7,3.0,40,0.4191666666666667,0.3680597014925373,0.4530693069306931
MIX q=0.7 d4,mix,0.7,4.0,40,0.3729166666666667,0.3604477611940298,0.3811881188118812
MIX q=0.7 d5,mix,0.7,5.0,40,0.4351488095238096,0.4209701492537313,0.44455445544554456
MIX q=0.8 d0,mix,0.8,0.0,40,0.42401785714285717,0.44738805970149254,0.40851485148514854
MIX q=0.8 d1,mix,0.8,1.0,40,0.42732142857142863,0.4208208955223881,0.43163366336633663
MIX q=0.8 d2,mix,0.8,2.0,40,0.3360416666666666,0.29873134328358203,0.3607920792079208
MIX q=0.8 d3,mix,0.8,3.0,40,0.4007142857142857,0.3909701492537313,0.40717821782178215
MIX q=0.8 d4,mix,0.8,4.0,40,0.363125,0.3497014925373135,0.372029702970297
MIX q=0.8 d5,mix,0.8,5.0,40,0.3849702380952381,0.3855223880597015,0.3846039603960396
MIX q=0.9 d0,mix,0.9,0.0,40,0.34752976190476187,0.31589552238805974,0.3685148514851485
MIX q=0.9 d1,mix,0.9,1.0,40,0.3633035714285714,0.35843283582089547,0.3665346534653465
MIX q=0.9 d2,mix,0.9,2.0,40,0.3635119047619047,0.3413432835820896,0.3782178217821782
MIX q=0.9 d3,mix,0.9,3.0,40,0.34014880952380955,0.31298507462686564,0.35816831683168315
MIX q=0.9 d4,mix,0.9,4.0,40,0.38113095238095235,0.3587313432835821,0.395990099009901
MIX q=0.9 d5,mix,0.9,5.0,40,0.3489880952380952,0.3344776119402985,0.3586138613861386
MIX q=1.0 d0,mix,1.0,0.0,40,0.3139285714285714,0.26604477611940297,0.3456930693069307
MIX q=1.0 d1,mix,1.0,1.0,40,0.3030059523809524,0.2834328358208955,0.315990099009901
MIX q=1.0 d2,mix,1.0,2.0,40,0.3250297619047619,0.282089552238806,0.3535148514851486
MIX q=1.0 d3,mix,1.0,3.0,40,0.28604166666666664,0.2524626865671642,0.30831683168316837
MIX q=1.0 d4,mix,1.0,4.0,40,0.30919642857142854,0.2917910447761194,0.32074257425742575
MIX q=1.0 d5,mix,1.0,5.0,40,0.29005952380952377,0.3002238805970149,0.2833168316831683
