panel,gross,cad,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2
B136,0.5,W,0.053835408420709774,1.0919489922376215,-0.05292217688291845,0.05312453159527597,1.121563969660283,-0.08199084501569565,0.053445880111218314,1.1077632711139798,-0.08199084501569609,1.2300792253894937,0.9870391770337545
B136,0.5,M,0.05614530950893193,1.0875195247520524,-0.05449395284195291,0.05545138218891088,1.098035500443472,-0.1061772233253323,0.05576507026794553,1.0932774527689053,-0.10617722332533253,1.2146449563178738,0.9765369547182667
B136,0.5,Q,0.05356250491149095,1.0205163015256395,-0.06255683396404643,0.0514796195565379,0.9020512246435037,-0.1474416052177322,0.05242084163164873,0.9520877223917287,-0.1474416052177322,1.1482969585054235,0.7889640060200124
B136,0.75,W,0.0809565680809814,1.093124006540268,-0.07885573013155722,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.08034199584015167,1.1078049683658702,-0.12178128651163933,1.23124936086813,0.9860834196026449
B136,0.75,M,0.08465428414842369,1.0903568576353377,-0.0811761755076339,0.08351457899435544,1.0987172650755046,-0.15609170618497115,0.08402972418688326,1.094952358407734,-0.1560917061849716,1.2171552857310461,0.9775529971201069
B136,0.75,Q,0.08045110223843377,1.0212961826488096,-0.09284158433831202,0.076983532551117,0.8944216896293512,-0.21814384056718583,0.0785499403892711,0.9475492013526106,-0.2181438405671856,1.148514074002568,0.7828635246891344
B136,1.0,W,0.10816384760094544,1.0941654723166907,-0.10443793772467658,0.10659093356047356,1.1195000250557177,-0.1607636272862938,0.10730181668524397,1.107706567375259,-0.16076362728629368,1.2322831844435536,0.9849908831555925
B136,1.0,M,0.1134288882759702,1.0931216818462899,-0.10748755488446149,0.11177258409468305,1.0993280948887045,-0.20399781081914248,0.11252114163195515,1.09655497557686,-0.20399781081914237,1.2195725751618482,0.9785276378387824
B136,1.0,Q,0.10738223055471652,1.021980870432416,-0.12249117812886434,0.10226753004558331,0.8860884657280038,-0.2869420833703379,0.10457710132532294,0.9424137529230071,-0.2869420833703379,1.148590565932455,0.7762732635179521
B136,,RULESv2,0.0809565680809814,1.093124006540268,-0.07885573013155722,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.08034199584015167,1.1078049683658702,-0.12178128651163933,1.23124936086813,0.9860834196026449
B136,,SPY,0.14959762001990007,0.8986643995365173,-0.22058362096015105,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.9566383979356751,0.8340326918358352
SMALL439,0.5,W,0.025293685519493847,0.5777092717159773,-0.07684045758062774,0.026030205158305675,0.5672558424911562,-0.1000225967936802,0.025748939766630174,0.5710340108053034,-0.10002259679368075,0.5670747220276072,0.5767822184150182
SMALL439,0.5,M,0.03391144547642688,0.7346684514057742,-0.056962086858848626,0.029466744711125648,0.6177812918951634,-0.11411437621750842,0.03116147068320929,0.6611684789513541,-0.11411437621751053,0.718154844969898,0.6130954608887518
SMALL439,0.5,Q,0.02922744420974599,0.613838082791875,-0.08280559790151021,0.02836961819519912,0.5653621415821762,-0.15062308797626267,0.02869705149691093,0.5830314461392778,-0.15062308797626422,0.6529842578787167,0.525474491247316
SMALL439,0.75,W,0.037488158332042554,0.5789899663564637,-0.11418196681438153,0.03837588361212907,0.5664863714962136,-0.1470362580000889,0.03803686076484847,0.5710244752159079,-0.14703625800009057,0.5682458981113393,0.5757362229674686
SMALL439,0.75,M,0.050717268773413204,0.7376682649406262,-0.0848013044015068,0.04366313494165963,0.6193961019606442,-0.16758438140185783,0.046350794706122356,0.6633824622793437,-0.16758438140185783,0.7206621619407133,0.614824391653467
SMALL439,0.75,Q,0.04324959226642511,0.6126856645224605,-0.12333525200031192,0.04145692150623215,0.5616816116314901,-0.22272886443155449,0.04214099883144362,0.580358610609339,-0.2227288644315537,0.6526014119280084,0.5204714131149918
