panel,bps,selector,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,f4a,f4b
u56,10,CG IS-gross-matched,CG g=0.55,1.1085122361451138,0.0921988484005205,0.10101302613635532,1.1358612547771085,-0.16903723247417157,"H1,H2,DD",CAGR
u56,10,ARM IS-argmax (any axis),gate only in above200,1.129551340467644,0.11603319393594669,0.1141853481277908,1.030056983823944,-0.2159634148789551,"H1,H2,DD",DD
u56,10,ARM IS-argmax ddbucket,gate only in dd0-5,1.1048783630006695,0.11696318197260047,0.12187003419906595,1.0535623841707227,-0.21596341487895465,"H1,H2,DD",DD
u56,10,ARM IS-argmax state200,gate only in above200,1.129551340467644,0.11603319393594669,0.1141853481277908,1.030056983823944,-0.2159634148789551,"H1,H2,DD",DD
u56,10,ARM IS-argmax voltercile_IS,gate only in volLO,1.1023641254048893,0.12196182467903527,0.1315326168519768,1.0997698479348819,-0.2252589051154078,"H1,H2,DD",DD
u56,10,chooser over ALL,gate only in above200,1.129551340467644,0.11603319393594669,0.1141853481277908,1.030056983823944,-0.2159634148789551,"H1,H2,DD",DD
u56,10,SPY,SPY,0.8986374811215905,0.149587948062176,0.15450717694493266,0.8820107671822842,-0.33717235283398284,"H1,H2,DD",-
broad,0,do-nothing V2,RULES v2 (live),1.1169385288295242,0.08292833720357251,0.08210528304142972,1.1481353293632495,-0.12211398589281575,"H1,H2",CAGR
broad,0,CG IS-argmax g,CG g=1.00,1.154579539868798,0.1945422827865111,0.18734017699354166,1.107706499450584,-0.32706330839494424,"H1,DD",DD
broad,0,CG IS-gross-matched,CG g=0.55,1.1508093845953158,0.10603877691350427,0.10276811383680973,1.1107175731122454,-0.19092985863406453,"H1,DD",CAGR
broad,0,ARM IS-argmax (any axis),gate only in dd10-20,1.138180139756213,0.1327832069279884,0.1273684009353262,1.1780394007963155,-0.2193032256292643,"H1,DD",DD
broad,0,ARM IS-argmax ddbucket,gate only in dd10-20,1.138180139756213,0.1327832069279884,0.1273684009353262,1.1780394007963155,-0.2193032256292643,"H1,DD",DD
broad,0,ARM IS-argmax state200,gate only in above200,1.108666272880957,0.1262732407753584,0.1109932580024866,0.9715953871079367,-0.2445356813475964,"H1,H2,DD",DD
broad,0,ARM IS-argmax voltercile_IS,gate only in volLO,1.1283503123347087,0.13834335549055066,0.13303418609939488,1.0726738766154287,-0.25357542583688486,"H1,H2,DD",DD
broad,0,chooser over ALL,CG g=1.00,1.154579539868798,0.1945422827865111,0.18734017699354166,1.107706499450584,-0.32706330839494424,"H1,DD",DD
broad,0,SPY,SPY,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,"H1,H2,DD",-
broad,10,do-nothing V2,RULES v2 (live),1.0911618922065958,0.0808727653598118,0.07983337481604336,1.1185082795688426,-0.12240793860208021,"H1,H2",CAGR
broad,10,CG IS-argmax g,CG g=1.00,1.1480524682716666,0.19326015747810077,0.1859250895188882,1.100579361004539,-0.32721478414341376,DD,DD
broad,10,CG IS-gross-matched,CG g=0.55,1.1439128431669872,0.10534929468741416,0.10201142336649371,1.103226771598257,-0.19105400715929344,DD,CAGR
broad,10,ARM IS-argmax (any axis),gate only in dd10-20,1.1231182582880788,0.13083615907018675,0.12492467437259291,1.1573831163735864,-0.2199804509379929,"H1,DD",DD
broad,10,ARM IS-argmax ddbucket,gate only in dd10-20,1.1231182582880788,0.13083615907018675,0.12492467437259291,1.1573831163735864,-0.2199804509379929,"H1,DD",DD
broad,10,ARM IS-argmax state200,gate only in above200,1.0852758183588815,0.12333446183857322,0.10820616982191988,0.9497811001844749,-0.24472909732856907,"H1,H2,DD",DD
broad,10,ARM IS-argmax voltercile_IS,gate only in volLO,1.1108006487849968,0.1359436339281641,0.13073630447929285,1.0561991456131565,-0.2537106610635028,"H1,DD",DD
broad,10,chooser over ALL,CG g=1.00,1.1480524682716666,0.19326015747810077,0.1859250895188882,1.100579361004539,-0.32721478414341376,DD,DD
broad,10,SPY,SPY,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,"H1,H2,DD",-
