K,scheme,within,group,nbk,n,wr_first,wr_last,span,up_steps,down_steps,min_step,monotone_up,resolvable,rho
5,width,False,ABS,4,108,0.6,0.0,-0.6,0,3,-0.3333333333333333,False,False,-1.0
5,width,False,POOLED,4,648,0.8372093023255814,0.0,-0.8372093023255814,1,2,-0.537037037037037,False,False,-0.7999999999999999
5,width,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
5,width,False,QROLL,2,432,0.9597701149425287,0.9761904761904762,0.016420361247947435,1,0,0.016420361247947435,False,False,0.9999999999999999
5,width,True,ABS,4,108,0.6111111111111112,0.0,-0.6111111111111112,0,2,-0.3333333333333333,False,False,-0.9486832980505139
5,width,True,QEXP,5,108,0.0,0.8888888888888888,0.8888888888888888,2,1,-0.11111111111111116,False,True,0.6668859288553503
5,width,True,QROLL,5,432,0.9411764705882353,0.9583333333333334,0.01715686274509809,2,2,-0.03472222222222221,False,True,0.09999999999999999
6,count,False,ABS,5,108,0.16666666666666666,0.2222222222222222,0.05555555555555555,1,3,-0.37777777777777777,False,False,0.0
6,count,False,POOLED,6,648,0.5925925925925926,0.7222222222222222,0.12962962962962965,2,3,-0.12962962962962965,False,True,0.11595420713048968
6,count,False,QEXP,2,108,0.4166666666666667,0.8888888888888888,0.47222222222222215,1,0,0.47222222222222215,False,False,0.9999999999999999
6,count,False,QROLL,6,432,0.9444444444444444,0.9722222222222222,0.02777777777777779,3,2,-0.029059829059829068,False,True,0.48571428571428577
6,count,True,ABS,6,108,0.4444444444444444,0.0,-0.4444444444444444,2,3,-0.4444444444444444,False,True,-0.4928053803045812
6,count,True,QEXP,6,108,0.0,1.0,1.0,3,1,-0.2222222222222222,False,True,0.8827348295047495
6,count,True,QROLL,6,432,0.9444444444444444,0.9722222222222222,0.02777777777777779,2,1,-0.02777777777777779,False,True,0.20701966780270628
6,width,False,ABS,4,108,0.625,0.0,-0.625,0,3,-0.3333333333333333,False,False,-1.0
6,width,False,POOLED,4,648,0.8377192982456141,0.0,-0.8377192982456141,1,2,-0.5238095238095237,False,False,-0.7999999999999999
6,width,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
6,width,False,QROLL,2,432,0.9666666666666667,0.9545454545454546,-0.012121212121212088,0,1,-0.012121212121212088,False,False,-0.9999999999999999
6,width,True,ABS,4,108,0.6111111111111112,0.0,-0.6111111111111112,0,2,-0.3333333333333333,False,False,-0.9486832980505139
6,width,True,QEXP,4,108,0.0,0.8888888888888888,0.8888888888888888,2,1,-0.11111111111111116,False,False,0.7999999999999999
6,width,True,QROLL,6,432,0.9523809523809523,0.9523809523809523,0.0,2,3,-0.05820105820105814,False,True,0.23190841426097936
8,count,False,ABS,6,108,0.4444444444444444,0.2222222222222222,-0.2222222222222222,2,3,-0.5,False,False,-0.2571428571428572
8,count,False,POOLED,8,648,0.4691358024691358,0.6296296296296297,0.16049382716049387,3,4,-0.24691358024691357,False,True,-0.023809523809523815
8,count,False,QEXP,2,108,0.4166666666666667,0.8888888888888888,0.47222222222222215,1,0,0.47222222222222215,False,False,0.9999999999999999
8,count,False,QROLL,8,432,0.8888888888888888,0.9555555555555556,0.06666666666666676,2,4,-0.041269841269841234,False,True,0.03592878785739777
8,count,True,ABS,8,108,0.2857142857142857,0.0,-0.2857142857142857,1,6,-0.3076923076923077,False,True,-0.5000000000000001
8,count,True,QEXP,8,108,0.0,1.0,1.0,5,1,-0.2142857142857143,False,True,0.8916309815169778
8,count,True,QROLL,8,432,0.9629629629629629,0.9629629629629629,0.0,2,2,-0.03703703703703709,False,True,0.21821789023599242
8,width,False,ABS,5,108,0.5833333333333334,0.0,-0.5833333333333334,1,2,-0.3333333333333333,False,False,-0.8720815992723809
8,width,False,POOLED,5,648,0.806060606060606,0.0,-0.806060606060606,1,3,-0.3888888888888889,False,False,-0.8999999999999998
8,width,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
8,width,False,QROLL,3,432,0.9595959595959596,0.9166666666666666,-0.04292929292929293,1,1,-0.05476190476190479,False,False,-0.5
8,width,True,ABS,4,108,0.6,0.0,-0.6,0,3,-0.3333333333333333,False,False,-1.0
8,width,True,QEXP,5,108,0.0,0.8888888888888888,0.8888888888888888,3,1,-0.11111111111111116,False,False,0.8207826816681234
8,width,True,QROLL,8,432,0.9333333333333333,0.9166666666666666,-0.01666666666666672,5,2,-0.09523809523809523,False,True,0.0
