panel,frame,cost,chooser,g,oCAGR,oSharpe,oMaxDD,o4a,o4b,base_oCAGR,base_oSharpe,base_oMaxDD
U56,LIVE,25.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.75,0.09162298082962983,1.240036070912595,-0.12092645658916634,False,False,0.09162298082962983,1.240036070912595,-0.12092645658916634
U56,LIVE,50.0,argmaxIScagr,1.0,0.11605984848948858,1.1783716366857884,-0.16038928230730964,False,True,0.08675846457990266,1.178531635296773,-0.12155444788885694
U56,LIVE,50.0,argmaxISsharpe,1.0,0.11605984848948858,1.1783716366857884,-0.16038928230730964,False,True,0.08675846457990266,1.178531635296773,-0.12155444788885694
U56,LIVE,50.0,argmaxIScagr|ISddcap,1.0,0.11605984848948858,1.1783716366857884,-0.16038928230730964,False,True,0.08675846457990266,1.178531635296773,-0.12155444788885694
U56,LIVE,50.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.75,0.08675846457990266,1.178531635296773,-0.12155444788885694,False,False,0.08675846457990266,1.178531635296773,-0.12155444788885694
U56,INC,0.0,argmaxIScagr,1.0,0.2369916905628926,1.2069855031702703,-0.2486562790028486,False,False,0.17669799422836485,1.2063383322922183,-0.19077301350831266
U56,INC,0.0,argmaxISsharpe,1.0,0.2369916905628926,1.2069855031702703,-0.2486562790028486,False,False,0.17669799422836485,1.2063383322922183,-0.19077301350831266
U56,INC,0.0,argmaxIScagr|ISddcap,0.71,0.16709629507281165,1.2062319085559314,-0.18125187273272625,False,True,0.17669799422836485,1.2063383322922183,-0.19077301350831266
U56,INC,0.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.56,0.13123216669972915,1.2058253864286166,-0.14490153625565305,False,True,0.17669799422836485,1.2063383322922183,-0.19077301350831266
U56,INC,10.0,argmaxIScagr,1.0,0.23216493687826234,1.186463652058247,-0.24927641340478068,False,False,0.17323365236641486,1.1856777042016955,-0.19127562163086187
