leg,window,char,k,n_B,n_S,n_min,rep,n_overlap,reach_lo_B,reach_hi_B,reach_lo_S,reach_hi_S,reach_w_B,reach_w_S,abs_resid,mean_resid,abs_resid_sd_units,worst_rung,sd_sub
REEST,IS,momac,36,134,134,134,5,3,0.7512584404888043,0.9154052067613494,0.6537381921867115,0.9149607888242852,0.1641467662725451,0.26122259663757375,0.0036640010084416272,-0.0022617680616748848,0.031612091996335946,0.007396590035916195,0.11081246989664388
REEST,OOS,momac,36,48,48,48,0,2,0.8291991670696864,0.880046617563973,0.7828745610321236,0.8784166525556873,0.05084745049428652,0.09554209152356374,0.011155566452887233,-0.011155566452887233,0.11764690815674292,0.015179312615000828,0.12095927211851087
REEST,OOS,momac,36,48,48,48,1,1,0.8390352581764169,0.8834616741548422,0.8262957663978536,0.875376067215773,0.04442641597842534,0.049080300817919364,0.0007273476772551302,0.0007273476772551302,0.007670628447729581,0.0007273476772551302,0.05833310325330533
REEST,OOS,momac,36,48,48,48,2,2,0.8327178819272554,0.8832475491635242,0.8277222247303079,0.8775100780518108,0.05052966723626884,0.04978785332150293,0.0028088352443099707,0.000408668968538084,0.029622053116740828,0.0032175042128480547,0.0647459620962449
REEST,OOS,momac,36,48,48,48,3,1,0.8238067265097582,0.8789389471207609,0.7681175790310565,0.8738436115457933,0.05513222061100276,0.10572603251473678,0.016980491046048485,-0.016980491046048485,0.17907672183099455,0.016980491046048485,0.163823028596402
REEST,OOS,momac,36,48,48,48,4,2,0.8386625802417675,0.8838522473028041,0.825036591701675,0.8883341207831247,0.045189667061036554,0.0632975290814497,0.026822469820559303,-0.026822469820559303,0.2828704984944656,0.027236336377747805,0.07246810724014004
REEST,OOS,momac,36,48,48,48,5,2,0.8357248063770428,0.8826566166009351,0.7951422375594431,0.8856841941032139,0.046931810223892256,0.09054195654377073,0.02047066156598909,-0.02047066156598909,0.21588415535262914,0.02259526424639491,0.12670480406829204
REEST,OOS,momac,36,64,64,64,0,2,0.815663805733319,0.8954704653247862,0.8026517961789489,0.8811261961743537,0.07980665959146727,0.07847439999540484,0.003414847355908912,-0.00033081419195812867,0.036013073378800414,0.0037456615478670408,0.060033245725235856
REEST,OOS,momac,36,64,64,64,1,3,0.838240779652259,0.9004817805723305,0.8083481823155804,0.8978464362929925,0.062241000920071565,0.08949825397741218,0.01339516628547884,-0.01339516628547884,0.14126578909170148,0.016015047897773194,0.06646335808469832
REEST,OOS,momac,36,64,64,64,2,3,0.8291684585629109,0.8963661515333929,0.806900101651053,0.8920048723424551,0.06719769297048206,0.0851047706914021,0.007177725864202733,-0.007177725864202733,0.075696492785589,0.01066815070513727,0.06892032199787874
REEST,OOS,momac,36,64,64,64,3,2,0.842534714167088,0.9020903106058886,0.8068492031718529,0.8890719911634313,0.059555596438800595,0.08222278799157834,0.011807865226098002,-0.011807865226098002,0.12452606881494703,0.011972200835469682,0.06090811988982826
REEST,OOS,momac,36,64,64,64,4,3,0.8311805131672093,0.8957398712133554,0.8108947693720645,0.8901998104869759,0.0645593580461461,0.07930504111491143,0.015411319875380802,-0.015411319875380802,0.1625281998552261,0.018636881035281938,0.0563118343412365
REEST,OOS,momac,36,64,64,64,5,3,0.8212668714838485,0.9043620559606725,0.8435589854955959,0.9043156211403658,0.08309518447682407,0.06075663564476985,0.0126197843433938,-0.0126197843433938,0.1330885899766116,0.019169308510127436,0.05872159056009939
REEST,OOS,momac,36,84,84,84,0,3,0.8124835360789309,0.9026979233085706,0.7775093634511318,0.9003416045916529,0.0902143872296397,0.12283224114052116,0.009777278814477652,-0.009777278814477652,0.10311144911982607,0.011590467521109815,0.06577081396087922
REEST,OOS,momac,36,84,84,84,1,3,0.823541097255004,0.9053763367027388,0.7855258070785625,0.9051477778917333,0.08183523944773474,0.11962197081317083,0.008528532163000905,-0.008528532163000905,0.08994213286522187,0.009767578138402677,0.06078915342959742
REEST,OOS,momac,36,84,84,84,2,3,0.8153913364162606,0.9054328846851197,0.7889149086967692,0.9043203865760717,0.09004154826885913,0.11540547787930255,0.012424167195601613,-0.012424167195601613,0.1310256061991957,0.015379003271833724,0.0762515844666072
REEST,OOS,momac,36,84,84,84,3,3,0.8227744545506713,0.9105736556188391,0.7858699142374227,0.8964531843002292,0.08779920106816774,0.11058327006280655,0.004855001176178726,0.0029374090553900833,0.05120097485743974,0.007164225200483099,0.07195775471128489
REEST,OOS,momac,36,84,84,84,4,3,0.8294525216693303,0.9042533887718383,0.7656597628746278,0.8960096651672979,0.074800867102508,0.13034990229267007,0.004303659447929357,-0.003292564380102984,0.04538650994969445,0.011394335742048511,0.07573441124698568
REEST,OOS,momac,36,84,84,84,5,3,0.8225782382772121,0.9047082911180344,0.7574502326313457,0.9005430894009163,0.08213005284082231,0.14309285676957062,0.008283596268013707,-0.008283596268013707,0.08735903223438027,0.013538729192773769,0.07916376868651955
REEST,OOS,momac,36,110,110,110,0,3,0.8074965281170043,0.9126844489650412,0.7112732922432772,0.9085789416199881,0.10518792084803685,0.1973056493767109,0.008583281442447577,-0.008583281442447577,0.09051952025992861,0.013167637718026648,0.12161031715272272
REEST,OOS,momac,36,110,110,110,1,3,0.7988079281127218,0.9113213897234106,0.7290309268212001,0.9038093156207501,0.11251346161068876,0.17477838879955,0.010099640502008844,-0.00833170888539625,0.10651108427115623,0.015018130686849651,0.12399702265049516
REEST,OOS,momac,36,110,110,110,2,3,0.8045827086430304,0.9126424096456542,0.7197693677227146,0.912268054461545,0.10805970100262385,0.19249868673883042,0.004317440998935644,-0.003855416834034416,0.04553185056259308,0.007745075980604366,0.11793930656515478
REEST,OOS,momac,36,110,110,110,3,3,0.8053486282635779,0.9143058015191693,0.750165710613336,0.9022246844969438,0.1089571732555914,0.15205897388360778,0.0027263652523613624,0.0027263652523613624,0.02875232233171609,0.004967404822818988,0.08248058253438299
REEST,OOS,momac,36,110,110,110,4,3,0.8094561002359543,0.9130483335148948,0.7674595532006457,0.9040630503069027,0.10359223327894052,0.13660349710625697,0.008987923469341963,-0.008987923469341963,0.09478688611494365,0.014552125869461197,0.06314075665357409
REEST,OOS,momac,36,110,110,110,5,3,0.8061210778942043,0.9125867150583803,0.7456864851469986,0.9027131498441149,0.10646563716417601,0.15702666469711624,0.006213808854110455,-0.006213808854110455,0.0655309976997076,0.011870285833642469,0.08446507162296317
REEST,OOS,momac,36,134,134,134,0,3,0.8029214469189707,0.9176441991297796,0.7551607775895272,0.9125106552804775,0.11472275221080885,0.15734987769095032,0.01283981013998714,-0.01283981013998714,0.1354089880301978,0.014720589193647715,0.07058720065814712
REEST,OOS,momac,36,134,134,134,1,3,0.8003635600839235,0.9168862231119791,0.7451753493219412,0.9167897908328224,0.11652266302805558,0.17161444151088123,0.006545382270418417,-0.006545382270418417,0.06902777999403066,0.010403305127919649,0.07234636727798345
REEST,OOS,momac,36,134,134,134,2,3,0.802845821713743,0.9161823689291378,0.7260556348542666,0.9097739709955815,0.11333654721539488,0.18371833614131494,0.003186480820873102,-0.0012430386593426472,0.03360471367004909,0.006447751931543011,0.09957319657851825
REEST,OOS,momac,36,134,134,134,3,3,0.8044963005783543,0.9171426685580149,0.7868860310205538,0.9182472349105735,0.11264636797966054,0.1313612038900197,0.007533965068762027,-0.007533965068762027,0.07945340115573916,0.013674090248769089,0.05572714617182343
REEST,OOS,momac,36,134,134,134,4,3,0.8020262028055019,0.9176023024651138,0.7672740777713123,0.9174956110359632,0.11557609965961191,0.15022153326465093,0.011610912717581487,-0.011610912717581487,0.12244900228690123,0.01627646814918504,0.06689116592850795
REEST,OOS,momac,36,134,134,134,5,4,0.8005209989271737,0.9167357232356239,0.7921059578975668,0.9147962989715442,0.11621472430845026,0.12269034107397747,0.006356556703330768,-0.006027807851426009,0.06703642041201176,0.013611589337169772,0.052082309109875394
