panel,flag,arm,cost,end,depth,published,turnover_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1_Sharpe,H2_Sharpe,H1_CAGR,H2_CAGR,R8_IS_CAGR,R8_IS_Sharpe,R8_IS_MaxDD,R8_OOS_CAGR,R8_OOS_Sharpe,R8_OOS_MaxDD,mean_held,BindSharpe,Sharpe,CAGR,MaxDD,OOS_Sharpe,pass4a,pass4b
B136,m,1.05,25,pub,0,1,18.96070145762134,0.0647767770180121,0.609686137243767,-0.2107553578000464,0.7718833189417343,0.4768255353844195,0.07741815668794882,0.05228931341108467,0.07145924455507946,0.7021889498872923,-0.10341921949922606,0.05929349279728968,0.5431239497083764,-0.2107553578000465,18.796978080442646,0.4768255353844195,0.609686137243767,0.0647767770180121,-0.2107553578000464,0.5431239497083764,0.0,0.0
B136,m,1.1,10,pub,0,1,19.860802656139125,0.09993147762554355,0.861055453823449,-0.2174958213681527,1.0427593107049822,0.7134182439712,0.11307202332321276,0.08695187933007542,0.10616315103005092,0.9622017376029773,-0.10416644326052249,0.09481525858881623,0.7887858489978716,-0.21749582136815282,18.796978080442646,0.7134182439712,0.861055453823449,0.09993147762554355,-0.2174958213681527,0.7887858489978716,0.0,0.0
B136,m,1.1,25,pub,0,1,19.860802656139125,0.06763883322789876,0.6097624607972957,-0.22001952395882562,0.772111356145444,0.4768099695279936,0.08099193748772193,0.05445657884322008,0.07471286158276613,0.7024039959748891,-0.10823710124780683,0.06183609651645283,0.543115613560108,-0.2200195239588254,18.796978080442646,0.4768099695279936,0.6097624607972957,0.06763883322789876,-0.22001952395882562,0.543115613560108,0.0,0.0
B136,m,1.15,10,pub,0,1,20.761392293563556,0.10434698960890088,0.8610452861379985,-0.22660199749809617,1.0429229125340425,0.7133046453998181,0.11821953187905687,0.09065268193785436,0.11094648598154966,0.9623533570772123,-0.1088119917757826,0.09893031311777034,0.7886774608738519,-0.22660199749809617,18.796978080442646,0.7133046453998181,0.8610452861379985,0.10434698960890088,-0.22660199749809617,0.7886774608738519,0.0,0.0
B136,m,1.15,25,pub,0,1,20.761392293563556,0.07047681302860775,0.609824279685424,-0.22921602850000034,0.7723258557649715,0.47677957042198954,0.0845522559263856,0.05659026007192658,0.07794959147084524,0.7026052369959349,-0.11304525637960983,0.06434895884431358,0.5430925320725741,-0.2292160284999999,18.796978080442646,0.47677957042198954,0.609824279685424,0.07047681302860775,-0.22921602850000034,0.5430925320725741,0.0,0.0
B136,m,1.2,10,pub,0,1,21.66244677173564,0.10874818680783105,0.8610297035266574,-0.23564166174978585,1.0430812991147362,0.7131862096906036,0.12336518673671026,0.09432783643385334,0.11572344220289188,0.9624998372800867,-0.1134492347009578,0.10302473493529929,0.7885638566609634,-0.23564166174978607,18.796978080442646,0.7131862096906036,0.8610297035266574,0.10874818680783105,-0.23564166174978585,0.7885638566609634,0.0,0.0
B136,m,1.2,25,pub,0,1,21.66244677173564,0.07329051933804842,0.6098737823260493,-0.23834411023520563,0.7725278949402219,0.47673757725091953,0.08809880884933596,0.05869029530498926,0.08116916823502796,0.7027941084024255,-0.1178432152131863,0.06683194860044961,0.5430575067874345,-0.23834411023520574,18.796978080442646,0.47673757725091953,0.6098737823260493,0.07329051933804842,-0.23834411023520563,0.5430575067874345,0.0,0.0
B136,m,1.25,10,pub,0,1,22.563995319762462,0.11313469965868261,0.8610090700900815,-0.2446149850357472,1.0432343225241,0.7130637495899286,0.1285086345385955,0.09797699159095585,0.12049368093264712,0.9626412597782168,-0.11807817338114657,0.10709813852045302,0.7884456155673247,-0.24461498503574697,18.796978080442646,0.7130637495899286,0.8610090700900815,0.11313469965868261,-0.2446149850357472,0.7884456155673247,0.0,0.0
B136,m,1.25,25,pub,0,1,22.563995319762462,0.07607961601458646,0.6099119080787981,-0.24740389753863057,0.7727171235978659,0.4766860355395247,0.09163113222942942,0.06075650467150284,0.08437120265685305,0.7029708414330333,-0.12263108530146027,0.06928478265415983,0.5430120041449293,-0.24740389753863112,18.796978080442646,0.4766860355395247,0.6099119080787981,0.07607961601458646,-0.24740389753863057,0.5430120041449293,0.0,0.0
B136,m,1.3,10,pub,0,1,23.4662297084049,0.11750597604388147,0.8609825686234385,-0.2535225110392503,1.0433810738261533,0.7129365197675228,0.13364940534754588,0.10159954990398812,0.1252566645102311,0.9627763681629931,-0.12269905669475212,0.11114996929580445,0.7883222414952535,-0.2535225110392504,18.796978080442646,0.7129365197675228,0.8609825686234385,0.11750597604388147,-0.2535225110392503,0.7883222414952535,0.0,0.0
B136,m,1.3,25,pub,0,1,23.4662297084049,0.07884332965496821,0.6099366132613973,-0.2563965554085892,0.7728912854214899,0.4766230506045795,0.09514848497073447,0.06278811540305829,0.08755482844991547,0.7031323100978338,-0.12740958966019267,0.07170677301939499,0.5429547613358238,-0.2563965554085893,18.796978080442646,0.4766230506045795,0.6099366132613973,0.07884332965496821,-0.2563965554085892,0.5429547613358238,0.0,0.0
B136,m,0.066667,10,lo,1,0,1.2136976995054336,0.006169858099155601,0.8601551584575585,-0.014134726749575721,1.0383078191608681,0.7147681007853199,0.006814249115168591,0.005526169500164935,0.006453313278210526,0.9580031490995873,-0.00641643076046805,0.0059359977704160904,0.7899600621506581,-0.014134726749576054,18.796978080442646,0.7147681007853199,0.8601551584575585,0.006169858099155601,-0.014134726749575721,0.7899600621506581,0.0,0.0
B136,m,0.066667,25,lo,1,0,1.2136976995054336,0.004339726435990565,0.6059679336828724,-0.01432377104900917,0.7651331982546524,0.4750617634498725,0.005016906698123824,0.0036633071857772315,0.0046808789777723625,0.6956920922736946,-0.006695645102830827,0.0040582786706115925,0.541166050210441,-0.014323771049008949,18.796978080442646,0.4750617634498725,0.6059679336828724,0.004339726435990565,-0.01432377104900917,0.541166050210441,0.0,0.0
B136,m,0.044444,10,lo,2,0,0.8093397907737181,0.004114311486494326,0.8601178496434423,-0.009436917432101177,1.0381949878851247,0.7147812320688522,0.004541849554343003,0.0036871478427966675,0.004302025414231414,0.9578960257805408,-0.004278966360196312,0.003959427609730115,0.7899680000189541,-0.009436917432101621,18.796978080442646,0.7147812320688522,0.8601178496434423,0.004114311486494326,-0.009436917432101177,0.7899680000189541,0.0,0.0
B136,m,0.044444,25,lo,2,0,0.8093397907737181,0.0028960382575089483,0.6058468705444295,-0.009563543505531347,0.7649433034078406,0.47498729031512504,0.0033456754983887116,0.0024468049193100416,0.003122282518480457,0.6955081634512056,-0.004465627835402275,0.0027093693564261834,0.5410859790459646,-0.009563543505530903,18.796978080442646,0.47498729031512504,0.6058468705444295,0.0028960382575089483,-0.009563543505531347,0.5410859790459646,0.0,0.0
