uni,book,cost,selector,pick,lag,IS_rate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_dMaxDD,ctl_Sharpe,v1_Sharpe,spy_Sharpe,p4a,p4b
universe_broad.json,V1u,10.0,S1 idea94,g200-rw,t+1,-0.09206192775676304,0.061128162640717854,0.5902319040623647,-0.2119126361153264,2.273207252648002,0.5726795060813383,0.5762505378038233,0.8820239235972316,False,False
universe_broad.json,V1u,10.0,S1 idea94,g200-rw,t+2,-0.09206192775676304,0.058350662106997575,0.5611488860733952,-0.23513876620328011,2.7764235809895954,0.5205572582382529,0.5416765435810322,0.8820239235972316,False,False
universe_broad.json,V1u,10.0,S1 idea94,g200-rw,nr,-0.09206192775676304,0.035471828898168356,0.3565715024826718,-0.2152561101677799,2.2987700891248464,0.3232639545122334,0.343543134209446,0.8820239235972316,False,False
universe_broad.json,V1u,10.0,S2 lag-screened,ebud-0.20,t+1,1.2892111834754565,0.028643756322064506,0.39907214268929586,-0.17941747934872254,5.522722929308388,0.5726795060813383,0.5762505378038233,0.8820239235972316,False,False
universe_broad.json,V1u,10.0,S2 lag-screened,ebud-0.20,t+2,1.2892111834754565,0.026552205824363684,0.37034392613895817,-0.1896933394692899,7.320966254388617,0.5205572582382529,0.5416765435810322,0.8820239235972316,False,False
universe_broad.json,V1u,10.0,S2 lag-screened,ebud-0.20,nr,1.2892111834754565,0.010643317533264751,0.1691029591793466,-0.1954597970091022,4.278401404992616,0.3232639545122334,0.343543134209446,0.8820239235972316,False,False
universe_broad.json,V1u,25.0,S1 idea94,g200-rw,t+1,-0.07361155822927798,0.01272947393026791,0.16941174931586253,-0.26721084947028584,2.175606855020551,0.14599987578246443,0.15539928865606328,0.8820239235972316,False,False
universe_broad.json,V1u,25.0,S1 idea94,g200-rw,t+2,-0.07361155822927798,0.010018498994641467,0.14488289212796962,-0.2906919156532145,2.6341557609721233,0.09862567346641378,0.12525941199983634,0.8820239235972316,False,False
universe_broad.json,V1u,25.0,S1 idea94,g200-rw,nr,-0.07361155822927798,-0.011828520681895216,-0.042613119634847665,-0.2959364806501297,2.1220284673110212,-0.07908600654995582,-0.055628638070400645,0.8820239235972316,False,False
universe_broad.json,V1u,25.0,S2 lag-screened,ddctl-8/.5/high,t+1,0.2858016804161783,0.004714755686129335,0.11120021385780325,-0.1965699622128101,9.239695580768126,0.14599987578246443,0.15539928865606328,0.8820239235972316,False,False
universe_broad.json,V1u,25.0,S2 lag-screened,ddctl-8/.5/high,t+2,0.2858016804161783,0.0031644611086112384,0.08248768587870453,-0.21429780637454232,10.273566688839342,0.09862567346641378,0.12525941199983634,0.8820239235972316,False,False
universe_broad.json,V1u,25.0,S2 lag-screened,ddctl-8/.5/high,nr,0.2858016804161783,-0.009769162187660885,-0.10768313031552622,-0.20158621701658053,11.557054830665937,-0.07908600654995582,-0.055628638070400645,0.8820239235972316,False,False
universe_broad.json,TOP20,10.0,S1 idea94,ebud-0.10,t+1,0.15696584518815193,0.12228211061770566,0.8535342288080167,-0.2288828170330488,3.0813812143243524,0.9301240819488711,0.5762505378038233,0.8820239235972316,False,False
universe_broad.json,TOP20,10.0,S1 idea94,ebud-0.10,t+2,0.15696584518815193,0.11944255147907268,0.8286372294625414,-0.24396662696805527,2.149110870897042,0.915520094270038,0.5416765435810322,0.8820239235972316,False,False
universe_broad.json,TOP20,10.0,S1 idea94,ebud-0.10,nr,0.15696584518815193,0.1224049277531627,0.8360379588405922,-0.24192755726062043,1.8152814703517817,0.8817459930300304,0.343543134209446,0.8820239235972316,False,False
universe_broad.json,TOP20,10.0,S2 lag-screened,NOTHING (no eligible arm),-,,,,,,,,,False,False
