panel,window,popn,proxy,n,dd_pass,beta_pass,agree,TP,FP,FN,TN,beta_star,best_agree,spearman,n_pairs,n_disagree,pair_disagree,max_dMaxDD_in_pair
U56,IS,ALL,EWMA,112,92,93,0.8839285714285714,86,7,6,13,0.6985503237083632,0.9285714285714286,-0.9481941123749025,433,41,0.09468822170900693,0.09873587798666195
U56,IS,ALL,SEMI,112,92,95,0.8839285714285714,87,8,5,12,0.6374671103126259,0.9196428571428571,-0.9438351100735162,388,40,0.10309278350515463,0.09873587798666195
U56,IS,ALL,TAIL10,112,92,98,0.8571428571428571,87,11,5,9,0.6509129550621143,0.9017857142857143,-0.6681153939158248,404,42,0.10396039603960396,0.1315279276349285
U56,IS,ALL,HIVOL,112,92,97,0.8660714285714286,87,10,5,10,0.6642422859262672,0.9107142857142857,-0.8050137073693647,449,72,0.1603563474387528,0.13778404977521252
U56,IS,ALL,SPYDD,112,92,102,0.8214285714285714,87,15,5,5,0.7119528844584015,0.8660714285714286,-0.31163168384488305,1484,393,0.26482479784366575,0.1944745967470244
U56,IS,ALL,SPYDD10,112,92,95,0.8839285714285714,87,8,5,12,0.6376664750432519,0.9107142857142857,-0.733128631181502,409,54,0.13202933985330073,0.1602175642775111
U56,IS,ALL,DDWIN,100,80,74,0.88,71,3,9,17,0.6673029243419162,0.97,-0.8013142443821822,485,22,0.04536082474226804,0.12603235980093996
U56,IS,DDSUB,FULL,100,80,83,0.87,75,8,5,12,0.6809402326315888,0.9,-0.9338401535251243,310,25,0.08064516129032258,0.09873587798666195
U56,IS,DDSUB,DOWN,100,80,85,0.85,75,10,5,10,0.6590510672252974,0.9,-0.911015231663976,320,31,0.096875,0.08704862963740434
U56,IS,DDSUB,ROLL,100,80,69,0.87,68,1,12,19,0.6458020977457954,0.99,-0.97503400360142,401,3,0.007481296758104738,0.06298237249224103
U56,IS,DDSUB,MAXROLL,100,80,56,0.76,56,0,24,20,0.8058295962790789,0.98,-0.9665768161552211,524,22,0.04198473282442748,0.09967950601337472
U56,IS,DDSUB,EWMA,100,80,81,0.87,74,7,6,13,0.6985503237083632,0.92,-0.9452015721416178,361,38,0.10526315789473684,0.09873587798666195
U56,IS,DDSUB,SEMI,100,80,83,0.87,75,8,5,12,0.6374671103126259,0.91,-0.9442107507506445,295,28,0.09491525423728814,0.09873587798666195
U56,IS,DDSUB,TAIL10,100,80,86,0.84,75,11,5,9,0.6509129550621143,0.89,-0.6911369525616877,341,33,0.0967741935483871,0.12417947370336269
U56,IS,DDSUB,HIVOL,100,80,85,0.85,75,10,5,10,0.6642422859262672,0.9,-0.8175657620498782,362,54,0.14917127071823205,0.13778404977521252
U56,IS,DDSUB,SPYDD,100,80,90,0.8,75,15,5,5,0.7119528844584015,0.85,-0.3244110714215469,1436,393,0.2736768802228412,0.1944745967470244
U56,IS,DDSUB,SPYDD10,100,80,83,0.87,75,8,5,12,0.5234739153473653,0.9,-0.7384982150502106,301,42,0.13953488372093023,0.13774404016276687
U56,IS,DDSUB,DDWIN,100,80,74,0.88,71,3,9,17,0.6673029243419162,0.97,-0.8013142443821822,485,22,0.04536082474226804,0.12603235980093996
U56,OOS,ALL,FULL,112,85,93,0.9285714285714286,85,8,0,19,0.5036068525671533,0.9732142857142857,-0.9679284161791402,343,18,0.052478134110787174,0.0813743810395442
U56,OOS,ALL,DOWN,112,85,90,0.9553571428571429,85,5,0,22,0.5324532534215056,0.9910714285714286,-0.9740505165237893,377,9,0.023872679045092837,0.0813743810395442
U56,OOS,ALL,ROLL,112,85,82,0.9196428571428571,79,3,6,24,0.6098995454221828,0.9553571428571429,-0.9581118794314321,408,26,0.06372549019607843,0.0809201428403391
U56,OOS,ALL,MAXROLL,112,85,64,0.8125,64,0,21,27,0.6938325759064199,0.9375,-0.9397430432281846,559,42,0.07513416815742398,0.09687562016822349
U56,OOS,ALL,EWMA,112,85,88,0.9375,83,5,2,22,0.5538229795846661,0.9642857142857143,-0.9617678657974347,348,27,0.07758620689655173,0.0809201428403391
U56,OOS,ALL,SEMI,112,85,92,0.9375,85,7,0,20,0.5148990274788532,0.9732142857142857,-0.9716580697736122,344,11,0.03197674418604651,0.07015563561541349
U56,OOS,ALL,TAIL10,112,85,94,0.9196428571428571,85,9,0,18,0.4566941579567063,0.9196428571428571,-0.9330328714372749,366,24,0.06557377049180328,0.10156113821972601
U56,OOS,ALL,HIVOL,112,85,100,0.8660714285714286,85,15,0,12,0.5182119804313128,0.9732142857142857,-0.9164010942972063,423,21,0.04964539007092199,0.13353922888188519
U56,OOS,ALL,SPYDD,112,85,94,0.9196428571428571,85,9,0,18,0.4252897634993468,0.9375,-0.962710977763779,479,31,0.06471816283924843,0.10138790907591144
U56,OOS,ALL,SPYDD10,112,85,101,0.8571428571428571,85,16,0,11,0.5234504379665281,0.9464285714285714,-0.8779382405617737,437,28,0.06407322654462243,0.15640876609523302
U56,OOS,ALL,DDWIN,64,45,48,0.953125,45,3,0,16,0.5709428895719868,0.984375,-0.9684622717536358,211,21,0.0995260663507109,0.12012342369045348
U56,OOS,DDSUB,FULL,64,45,51,0.90625,45,6,0,13,0.4976883860162589,1.0,-0.9874994151387982,91,3,0.03296703296703297,0.04217110018943038
U56,OOS,DDSUB,DOWN,64,45,48,0.953125,45,3,0,16,0.5265800094360318,1.0,-0.9898139385057576,102,0,0.0,0.03929016014177111
U56,OOS,DDSUB,ROLL,64,45,46,0.984375,45,1,0,18,0.5493037809308521,1.0,-0.991876385070375,128,0,0.0,0.026853946991433952
U56,OOS,DDSUB,MAXROLL,64,45,40,0.921875,40,0,5,19,0.6726558866021539,1.0,-0.9875870353331286,151,0,0.0,0.025059415915084537
U56,OOS,DDSUB,EWMA,64,45,48,0.953125,45,3,0,16,0.5196110706697914,1.0,-0.991532643976272,120,0,0.0,0.030726774344471797
U56,OOS,DDSUB,SEMI,64,45,50,0.921875,45,5,0,14,0.507816676760905,1.0,-0.9876598276493795,101,0,0.0,0.04217110018943038
U56,OOS,DDSUB,TAIL10,64,45,46,0.984375,45,1,0,18,0.5966583281049311,0.984375,-0.9814954040284675,125,0,0.0,0.059476917321952594
U56,OOS,DDSUB,HIVOL,64,45,54,0.859375,45,9,0,10,0.5182119804313128,0.984375,-0.9803496003814579,119,6,0.05042016806722689,0.06653107636498767
U56,OOS,DDSUB,SPYDD,64,45,46,0.984375,45,1,0,18,0.596567418274249,0.984375,-0.9742487970875204,205,3,0.014634146341463415,0.10138790907591144
U56,OOS,DDSUB,SPYDD10,64,45,55,0.84375,45,10,0,9,0.4473081483853759,0.9375,-0.9632083778221934,141,12,0.0851063829787234,0.07070403159981198
U56,OOS,DDSUB,DDWIN,64,45,48,0.953125,45,3,0,16,0.5709428895719868,0.984375,-0.9684622717536358,211,21,0.0995260663507109,0.12012342369045348
B136,FULL,ALL,FULL,112,80,90,0.8571428571428571,77,13,3,19,0.4366067373906566,0.8928571428571429,-0.9502498198438822,339,36,0.10619469026548672,0.10344233035517669
B136,FULL,ALL,DOWN,112,80,89,0.8660714285714286,77,12,3,20,0.4182135986326055,0.9107142857142857,-0.9570722883616929,360,43,0.11944444444444445,0.10344233035517669
B136,FULL,ALL,ROLL,112,80,80,0.8571428571428571,72,8,8,24,0.6992069423574452,0.8928571428571429,-0.9405898950780933,412,48,0.11650485436893204,0.10395132472956192
B136,FULL,ALL,MAXROLL,112,80,61,0.8303571428571429,61,0,19,32,0.878075575673051,0.875,-0.906531328268084,636,78,0.12264150943396226,0.15354137335524054
B136,FULL,ALL,EWMA,112,80,82,0.8392857142857143,72,10,8,22,0.4817118624535205,0.9196428571428571,-0.950226766957973,330,31,0.09393939393939393,0.13193178649121562
B136,FULL,ALL,SEMI,112,80,88,0.875,77,11,3,21,0.46185666777842493,0.9017857142857143,-0.9555258052036169,352,44,0.125,0.10344233035517669
B136,FULL,ALL,TAIL10,112,80,94,0.875,80,14,0,18,0.5325969879794863,0.9553571428571429,-0.9155265736868601,347,19,0.05475504322766571,0.13990295483792003
B136,FULL,ALL,HIVOL,112,80,95,0.8660714285714286,80,15,0,17,0.4042339759823278,0.9017857142857143,-0.9173635564436908,331,37,0.11178247734138973,0.13193178649121562
B136,FULL,ALL,SPYDD,112,80,83,0.9732142857142857,80,3,0,29,0.5297762775923811,0.9910714285714286,-0.9458374645340112,505,3,0.005940594059405941,0.08682910955323775
B136,FULL,ALL,SPYDD10,112,80,95,0.8660714285714286,80,15,0,17,0.5027653310543088,0.9107142857142857,-0.8952172340915743,350,47,0.13428571428571429,0.1320605087166502
B136,FULL,ALL,DDWIN,60,37,38,0.9833333333333333,37,1,0,22,0.4964266737277929,1.0,-0.948926103653628,109,0,0.0,0.04396301875767861
B136,FULL,DDSUB,FULL,60,37,49,0.8,37,12,0,11,0.4094707089855627,0.9666666666666667,-0.9761441421655448,91,5,0.054945054945054944,0.04931158318370488
B136,FULL,DDSUB,DOWN,60,37,48,0.8166666666666667,37,11,0,12,0.41674105941260997,0.9666666666666667,-0.97411444744132,94,6,0.06382978723404255,0.04931158318370488
B136,FULL,DDSUB,ROLL,60,37,45,0.8666666666666667,37,8,0,15,0.4915676508608313,0.9833333333333333,-0.9721681648290497,115,0,0.0,0.054074264044702613
B136,FULL,DDSUB,MAXROLL,60,37,33,0.9333333333333333,33,0,4,23,0.5516183169224551,0.9333333333333333,-0.9059049970099149,167,12,0.0718562874251497,0.15354137335524054
B136,FULL,DDSUB,EWMA,60,37,47,0.8333333333333334,37,10,0,13,0.4790532600499516,0.9833333333333333,-0.9794528226064044,97,7,0.07216494845360824,0.07350467121984239
B136,FULL,DDSUB,SEMI,60,37,48,0.8166666666666667,37,11,0,12,0.4176411472044551,0.9666666666666667,-0.9792303903078593,90,8,0.08888888888888889,0.07350467121984239
B136,FULL,DDSUB,TAIL10,60,37,46,0.85,37,9,0,14,0.4845732778562769,0.9833333333333333,-0.9316020743818715,109,6,0.05504587155963303,0.13990295483792003
B136,FULL,DDSUB,HIVOL,60,37,51,0.7666666666666667,37,14,0,9,0.4042339759823278,0.95,-0.9255964023211514,98,10,0.10204081632653061,0.11610910945886133
B136,FULL,DDSUB,SPYDD,60,37,37,1.0,37,0,0,23,0.5407605177681153,1.0,-0.9500400628056543,130,0,0.0,0.08682910955323775
B136,FULL,DDSUB,SPYDD10,60,37,51,0.7666666666666667,37,14,0,9,0.4152934882052938,0.9333333333333333,-0.9218984653578379,93,12,0.12903225806451613,0.0788735029247769
B136,FULL,DDSUB,DDWIN,60,37,38,0.9833333333333333,37,1,0,22,0.4964266737277929,1.0,-0.948926103653628,109,0,0.0,0.04396301875767861
B136,IS,ALL,FULL,112,86,89,0.9017857142857143,82,7,4,19,0.615267025729101,0.9375,-0.9705691931845403,360,26,0.07222222222222222,0.0627265991464917
B136,IS,ALL,DOWN,112,86,90,0.8928571428571429,82,8,4,18,0.6214977307006493,0.9285714285714286,-0.954350516689138,364,21,0.057692307692307696,0.08454560309441872
B136,IS,ALL,ROLL,112,86,76,0.9107142857142857,76,0,10,26,0.7059578142795728,0.9821428571428571,-0.979663574823345,461,42,0.0911062906724512,0.0393589813945221
B136,IS,ALL,MAXROLL,112,86,64,0.8035714285714286,64,0,22,26,0.7369130957199743,0.9375,-0.9424691220584562,680,78,0.11470588235294117,0.09338180780936678
B136,IS,ALL,EWMA,112,86,81,0.9196428571428571,79,2,7,24,0.648965603277491,0.9375,-0.9776720760133567,374,35,0.09358288770053476,0.06825836418865305
B136,IS,ALL,SEMI,112,86,89,0.9017857142857143,82,7,4,19,0.5493816755648446,0.9375,-0.9747916048782049,357,20,0.056022408963585436,0.0627265991464917
B136,IS,ALL,TAIL10,112,86,96,0.9107142857142857,86,10,0,16,0.5825008561776541,0.9107142857142857,-0.754768911330697,386,53,0.13730569948186527,0.15069323583533933
B136,IS,ALL,HIVOL,112,86,96,0.9107142857142857,86,10,0,16,0.5753323123465395,0.9375,-0.8944974035618367,343,29,0.08454810495626822,0.10408972581900156
B136,IS,ALL,SPYDD,112,86,100,0.875,86,14,0,12,0.5515389516666518,0.9107142857142857,-0.4008832405009413,1594,421,0.26411543287327477,0.16602384556494942
B136,IS,ALL,SPYDD10,112,86,93,0.9375,86,7,0,19,0.5812797458872403,0.9553571428571429,-0.8361459016727821,343,41,0.119533527696793,0.14615518912212688
B136,IS,ALL,DDWIN,108,82,69,0.8425925925925926,67,2,15,24,0.7138437718620958,0.9814814814814815,-0.9342238543154731,380,9,0.02368421052631579,0.1358609863598742
B136,IS,DDSUB,FULL,108,82,85,0.8981481481481481,78,7,4,19,0.615267025729101,0.9351851851851852,-0.9686420795067681,344,26,0.0755813953488372,0.0627265991464917
B136,IS,DDSUB,DOWN,108,82,86,0.8888888888888888,78,8,4,18,0.6214977307006493,0.9259259259259259,-0.9539843901599216,338,21,0.0621301775147929,0.08454560309441872
B136,IS,DDSUB,ROLL,108,82,72,0.9074074074074074,72,0,10,26,0.7059578142795728,0.9814814814814815,-0.9791478987419008,434,42,0.0967741935483871,0.0393589813945221
B136,IS,DDSUB,MAXROLL,108,82,62,0.8148148148148148,62,0,20,26,0.7369130957199743,0.9444444444444444,-0.9506636870750154,660,78,0.11818181818181818,0.09338180780936678
B136,IS,DDSUB,EWMA,108,82,77,0.9166666666666666,75,2,7,24,0.648965603277491,0.9351851851851852,-0.9765453149334579,363,35,0.09641873278236915,0.06825836418865305
B136,IS,DDSUB,SEMI,108,82,85,0.8981481481481481,78,7,4,19,0.5493816755648446,0.9351851851851852,-0.9731275707833151,339,20,0.058997050147492625,0.0627265991464917
B136,IS,DDSUB,TAIL10,108,82,92,0.9074074074074074,82,10,0,16,0.5825008561776541,0.9074074074074074,-0.7583387961592829,362,53,0.1464088397790055,0.15069323583533933
B136,IS,DDSUB,HIVOL,108,82,92,0.9074074074074074,82,10,0,16,0.5753323123465395,0.9351851851851852,-0.9003539306993138,320,29,0.090625,0.10408972581900156
B136,IS,DDSUB,SPYDD,108,82,96,0.8703703703703703,82,14,0,12,0.5515389516666518,0.9074074074074074,-0.39297294319952547,1388,385,0.27737752161383283,0.16218844899720386
B136,IS,DDSUB,SPYDD10,108,82,89,0.9351851851851852,82,7,0,19,0.5812797458872403,0.9537037037037037,-0.8427929592091725,320,41,0.128125,0.14615518912212688
B136,IS,DDSUB,DDWIN,108,82,69,0.8425925925925926,67,2,15,24,0.7138437718620958,0.9814814814814815,-0.9342238543154731,380,9,0.02368421052631579,0.1358609863598742
B136,OOS,ALL,FULL,112,80,93,0.8839285714285714,80,13,0,19,0.45913168649207425,0.9107142857142857,-0.9635286740455852,329,22,0.0668693009118541,0.09562857901858768
B136,OOS,ALL,DOWN,112,80,90,0.9107142857142857,80,10,0,22,0.4618809508425339,0.9285714285714286,-0.9739960533551562,386,37,0.09585492227979274,0.07135881708989433
B136,OOS,ALL,ROLL,112,80,82,0.8392857142857143,72,10,8,22,0.45843904580789663,0.8839285714285714,-0.9350748210897705,413,53,0.12832929782082325,0.10344233035517647
B136,OOS,ALL,MAXROLL,112,80,61,0.8303571428571429,61,0,19,32,0.7179883767069577,0.8839285714285714,-0.9074059668560469,570,41,0.07192982456140351,0.1244566871815721
B136,OOS,ALL,EWMA,112,80,88,0.875,77,11,3,21,0.4783448327098452,0.9107142857142857,-0.9573806908511066,319,20,0.06269592476489028,0.10344233035517647
B136,OOS,ALL,SEMI,112,80,91,0.9017857142857143,80,11,0,21,0.5804365471522746,0.9196428571428571,-0.9640627240103592,332,17,0.05120481927710843,0.09562857901858746
B136,OOS,ALL,TAIL10,112,80,92,0.8928571428571429,80,12,0,20,0.5355250688425224,0.9910714285714286,-0.9279481291924803,354,4,0.011299435028248588,0.12860746676497392
B136,OOS,ALL,HIVOL,112,80,92,0.8928571428571429,80,12,0,20,0.5311764712076876,0.9375,-0.9321692601140542,385,42,0.10909090909090909,0.11610910945886233
B136,OOS,ALL,SPYDD,112,80,83,0.9732142857142857,80,3,0,29,0.5297762775923811,0.9910714285714286,-0.945907567299765,505,3,0.005940594059405941,0.08682910955323797
B136,OOS,ALL,SPYDD10,112,80,97,0.8482142857142857,80,17,0,15,0.5011061428125264,0.9375,-0.9123367806222058,397,37,0.09319899244332494,0.13206050871664987
B136,OOS,ALL,DDWIN,60,37,38,0.9833333333333333,37,1,0,22,0.4964266737277929,1.0,-0.9491372694094888,109,0,0.0,0.04396301875767883
B136,OOS,DDSUB,FULL,60,37,49,0.8,37,12,0,11,0.45913168649207425,0.9666666666666667,-0.982726014428019,85,7,0.08235294117647059,0.049311583183704655
B136,OOS,DDSUB,DOWN,60,37,46,0.85,37,9,0,14,0.4618809508425339,1.0,-0.97769124388225,93,6,0.06451612903225806,0.060876135904681106
B136,OOS,DDSUB,ROLL,60,37,47,0.8333333333333334,37,10,0,13,0.4573638368772141,0.9666666666666667,-0.9808066820100186,117,9,0.07692307692307693,0.051721630338349756
B136,OOS,DDSUB,MAXROLL,60,37,33,0.9333333333333333,33,0,4,23,0.5505385675960696,0.9333333333333333,-0.9104976757004262,127,7,0.05511811023622047,0.1244566871815721
B136,OOS,DDSUB,EWMA,60,37,47,0.8333333333333334,37,10,0,13,0.4783448327098452,0.9666666666666667,-0.9810013968930044,100,4,0.04,0.07350467121984261
B136,OOS,DDSUB,SEMI,60,37,48,0.8166666666666667,37,11,0,12,0.4639740927638295,0.9666666666666667,-0.983365791900686,92,6,0.06521739130434782,0.049311583183704655
B136,OOS,DDSUB,TAIL10,60,37,41,0.9333333333333333,37,4,0,19,0.5236670959856105,1.0,-0.944422815303578,93,0,0.0,0.12860746676497392
B136,OOS,DDSUB,HIVOL,60,37,48,0.8166666666666667,37,11,0,12,0.4049927650206807,0.95,-0.9308762227301554,94,16,0.1702127659574468,0.11610910945886233
B136,OOS,DDSUB,SPYDD,60,37,37,1.0,37,0,0,23,0.5407605177681153,1.0,-0.9502514764522892,130,0,0.0,0.08682910955323797
B136,OOS,DDSUB,SPYDD10,60,37,50,0.7833333333333333,37,13,0,10,0.41169822767641595,0.9333333333333333,-0.9199443728711102,106,13,0.12264150943396226,0.07887350292477635
B136,OOS,DDSUB,DDWIN,60,37,38,0.9833333333333333,37,1,0,22,0.4964266737277929,1.0,-0.9491372694094888,109,0,0.0,0.04396301875767883
SMALL,FULL,ALL,FULL,112,61,97,0.6785714285714286,61,36,0,15,0.3480911150604572,0.9107142857142857,-0.8571782628162862,357,69,0.19327731092436976,0.3283963549898239
SMALL,FULL,ALL,DOWN,112,61,95,0.6964285714285714,61,34,0,17,0.3702976675375631,0.9107142857142857,-0.8127622030181255,345,62,0.17971014492753623,0.341136010778641
SMALL,FULL,ALL,ROLL,112,61,91,0.7321428571428571,61,30,0,21,0.3881108444552218,0.9107142857142857,-0.8418971714681744,335,54,0.16119402985074627,0.3392170332703892
SMALL,FULL,ALL,MAXROLL,112,61,45,0.8392857142857143,44,1,17,50,0.5442706433181624,0.8482142857142857,-0.9083253985844617,400,57,0.1425,0.1434044324578888
SMALL,FULL,ALL,EWMA,112,61,91,0.7321428571428571,61,30,0,21,0.37338380330802634,0.9107142857142857,-0.8556617002281984,313,62,0.19808306709265175,0.3392170332703892
SMALL,FULL,ALL,SEMI,112,61,93,0.7142857142857143,61,32,0,19,0.3704332832191419,0.9107142857142857,-0.8590451300021855,337,67,0.19881305637982197,0.3283963549898239
SMALL,FULL,ALL,TAIL10,112,61,95,0.6964285714285714,61,34,0,17,0.3585671889092792,0.8839285714285714,-0.6839184631400334,313,62,0.19808306709265175,0.36257702257098245
SMALL,FULL,ALL,HIVOL,112,61,99,0.6607142857142857,61,38,0,13,0.3199514720875182,0.9107142857142857,-0.7486351015821161,350,78,0.22285714285714286,0.3746978035333728
SMALL,FULL,ALL,SPYDD,112,61,98,0.6696428571428571,61,37,0,14,0.3133155303870007,0.8839285714285714,-0.707151678234299,511,132,0.2583170254403131,0.3746978035333728
SMALL,FULL,ALL,SPYDD10,112,61,100,0.6517857142857143,61,39,0,12,0.31075176407509697,0.8839285714285714,-0.7209567663476945,376,80,0.2127659574468085,0.3746978035333728
SMALL,FULL,ALL,DDWIN,112,61,85,0.7321428571428571,58,27,3,24,0.3826955152221982,0.8571428571428571,-0.6880792360946035,413,80,0.1937046004842615,0.341136010778641
SMALL,FULL,DDSUB,FULL,112,61,97,0.6785714285714286,61,36,0,15,0.3480911150604572,0.9107142857142857,-0.8571782628162862,357,69,0.19327731092436976,0.3283963549898239
SMALL,FULL,DDSUB,DOWN,112,61,95,0.6964285714285714,61,34,0,17,0.3702976675375631,0.9107142857142857,-0.8127622030181255,345,62,0.17971014492753623,0.341136010778641
SMALL,FULL,DDSUB,ROLL,112,61,91,0.7321428571428571,61,30,0,21,0.3881108444552218,0.9107142857142857,-0.8418971714681744,335,54,0.16119402985074627,0.3392170332703892
SMALL,FULL,DDSUB,MAXROLL,112,61,45,0.8392857142857143,44,1,17,50,0.5442706433181624,0.8482142857142857,-0.9083253985844617,400,57,0.1425,0.1434044324578888
SMALL,FULL,DDSUB,EWMA,112,61,91,0.7321428571428571,61,30,0,21,0.37338380330802634,0.9107142857142857,-0.8556617002281984,313,62,0.19808306709265175,0.3392170332703892
SMALL,FULL,DDSUB,SEMI,112,61,93,0.7142857142857143,61,32,0,19,0.3704332832191419,0.9107142857142857,-0.8590451300021855,337,67,0.19881305637982197,0.3283963549898239
SMALL,FULL,DDSUB,TAIL10,112,61,95,0.6964285714285714,61,34,0,17,0.3585671889092792,0.8839285714285714,-0.6839184631400334,313,62,0.19808306709265175,0.36257702257098245
SMALL,FULL,DDSUB,HIVOL,112,61,99,0.6607142857142857,61,38,0,13,0.3199514720875182,0.9107142857142857,-0.7486351015821161,350,78,0.22285714285714286,0.3746978035333728
SMALL,FULL,DDSUB,SPYDD,112,61,98,0.6696428571428571,61,37,0,14,0.3133155303870007,0.8839285714285714,-0.707151678234299,511,132,0.2583170254403131,0.3746978035333728
SMALL,FULL,DDSUB,SPYDD10,112,61,100,0.6517857142857143,61,39,0,12,0.31075176407509697,0.8839285714285714,-0.7209567663476945,376,80,0.2127659574468085,0.3746978035333728
SMALL,FULL,DDSUB,DDWIN,112,61,85,0.7321428571428571,58,27,3,24,0.3826955152221982,0.8571428571428571,-0.6880792360946035,413,80,0.1937046004842615,0.341136010778641
SMALL,IS,ALL,FULL,112,56,86,0.7321428571428571,56,30,0,26,0.36323337957054563,0.9642857142857143,-0.9555024223616517,366,21,0.05737704918032787,0.07251988641198559
SMALL,IS,ALL,DOWN,112,56,87,0.7232142857142857,56,31,0,25,0.3497875267641303,0.9732142857142857,-0.9390751772308171,325,21,0.06461538461538462,0.09044717516454903
SMALL,IS,ALL,ROLL,112,56,85,0.7410714285714286,56,29,0,27,0.3803219782912775,0.9553571428571429,-0.950018910483901,398,37,0.09296482412060302,0.0816541957702358
SMALL,IS,ALL,MAXROLL,112,56,68,0.8214285714285714,52,16,4,40,0.5421215200448182,0.9464285714285714,-0.9581884290222628,355,25,0.07042253521126761,0.061359572842439425
SMALL,IS,ALL,EWMA,112,56,86,0.7321428571428571,56,30,0,26,0.35823061018223035,0.9732142857142857,-0.9619938337439977,347,15,0.043227665706051875,0.07251988641198537
