run,vintage,NAMED,ECHOED,SUM,MAXLEG,CTRL,n_head,n_narrative
2026-09-07_is-the-0-bps-to-10-bps-cliff-the-real-killer_cloud,2026-09-07,0,506,506,506,1,30,2
2026-09-07_why-does-the-IS-chooser-prefer-NARROW-on-B136-and-WIDE-on-U56_cloud,2026-09-07,0,506,506,506,1,37,1
2026-09-09_census-every-published-N-EQUALS-50-model-comparison-in-the-record_C,2026-09-09,2,504,506,504,2,67,1
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,2026-09-08,3,503,506,503,1,80,1
2026-09-07_h1-sharpe-diagnosis_cloud,2026-09-07,1,504,505,504,1,22,1
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,2026-09-07,5,500,505,500,2,52,1
2026-09-07_does-the-informative-cell-restriction-change-any-published-share_cloud,2026-09-07,1,504,505,504,2,17,1
2026-09-10_why-do-145931-pointer-rows-MISS-their-source-entirely_C,2026-09-10,2,503,505,503,3,35,1
2026-09-06_is-the-gate-a-drawdown-instrument-on-every-panel_cloud,2026-09-06,0,505,505,505,2,32,2
2026-09-07_u56-top20-band-m20_4b_B_MEMO,2026-09-07,3,501,504,501,3,21,1
2026-09-11_does-the-ORIGIN-asymmetry-show-up-in-4b-PASS-RATES-not-just-the-premium_C,2026-09-11,1,503,504,503,3,54,1
2026-09-08_audit-every-published-key-for-the-adjustment-leak_B,2026-09-08,0,503,503,503,1,74,1
2026-09-05_the-share-at-which-ranking-stops-paying_B,2026-09-05,14,488,502,488,3,31,2
2026-09-10_does-any-published-rule-8-pick-survive-the-NO-DIAL-control_cloud,2026-09-10,2,500,502,500,2,42,1
2026-09-07_is-it-WIDTH-or-GROSS-that-carries-the-0,2026-09-07,1,500,501,500,2,36,1
2026-09-10_does-the-BREADTH-gate-4b-pass-live-only-at-gross-1,2026-09-10,1,500,501,500,2,57,2
2026-09-08_publish-ROOM-beside-every-abstention-and-chooser-result_C,2026-09-08,1,498,499,498,2,37,1
2026-09-08_does-the-key-swap-survive-a-CONSTANT-count_cloud,2026-09-08,2,497,499,497,3,55,1
2026-09-07_price-the-sleeve-fraction-against-the-gross-numeraire_cloud,2026-09-07,0,498,498,498,2,54,2
2026-09-07_the-SCORED-vs-PRICED-denominator_B,2026-09-07,0,498,498,498,2,35,2
2026-09-11_price-the-STANDING-4b-CANDIDATE-against-an-EQUAL-WEIGHT-BENCHMARK_cloud,2026-09-11,1,497,498,497,2,121,1
2026-09-09_is-the-UNCONDITIONAL-width-dial-a-B136-fact-or-a-panel-ordering_cloud,2026-09-09,0,498,498,498,1,59,1
2026-09-08_does-the-MATCHED-margin-hold-off-the-Sharpe-statistic_cloud,2026-09-08,0,497,497,497,1,46,1
2026-09-07_is-every-4b-KEEP-a-10bps-artefact_C,2026-09-07,1,496,497,496,2,42,1
2026-09-05_crisis-depth-as-the-price-denominator_B,2026-09-05,2,494,496,494,3,32,2
2026-09-08_back-fill-LIFT-beside-every-published-selector-claim_cloud,2026-09-08,0,495,495,495,1,27,1
2026-09-06_price-the-four-unpriced-null-verdicts-on-their-own-books_B,2026-09-06,0,494,494,494,2,58,1
2026-09-08_how-many-published-count-dials-are-gross-dials_cloud,2026-09-08,1,493,494,493,1,26,1
2026-09-07_price-the-U56-EWALL-MA-band-at-b012-on-its-own_cloud,2026-09-07,0,493,493,493,1,69,1
2026-09-09_is-the-no-trade-BAND-argmax-interior-or-a-grid-edge_B,2026-09-09,1,492,493,492,2,47,1
2026-09-11_how-much-of-the-record-s-CAND-vs-EWALL-premia-is-EXPOSURE_C,2026-09-11,0,492,492,492,2,76,1
2026-09-08_does-a-pre-registered-arm-beat-its-own-IS-chooser-generally_C,2026-09-08,0,492,492,492,2,40,1
2026-09-07_S3-arm-cost-breakeven_B,2026-09-07,0,492,492,492,2,18,1
2026-09-09_what-n-would-make-the-partial-estimable_C,2026-09-09,2,490,492,490,3,45,1
2026-09-10_re-read-every-published-CADENCE-verdict-against-its-own-PHASE-SPREAD_cloud,2026-09-10,0,491,491,491,1,32,1
2026-09-08_is-the-DD-CAP-the-only-thing-4b-ever-tests-on-a-ranked-book_cloud,2026-09-08,0,491,491,491,1,29,1
2026-09-08_does-the-vol-gate-corner-survive-being-pre-registered_cloud,2026-09-08,0,491,491,491,2,62,1
2026-09-10_state-the-UNIT-on-every-binding-bar-claim-in-the-record_B,2026-09-10,1,487,488,487,1,53,1
2026-09-09_is-the-32-EVENT-4a-PASS-a-general-NO-OP-ARTEFACT_C,2026-09-09,1,486,487,486,3,62,1
2026-09-11_does-ANY-standing-4b-candidate-clear-an-EQUAL-WEIGHT-bar_B,2026-09-11,2,485,487,485,1,62,1
2026-09-08_u56-ewall-magate-fullgross_KEEP_MEMO,2026-09-08,3,483,486,483,1,25,1
2026-09-06_band-gate-execution-lag_B,2026-09-06,0,486,486,486,1,26,1
2026-09-09_is-the-BLOCKWISE-vs-SMOOTH-split-the-real-predictor-of-a-gross-flip_C,2026-09-09,5,480,485,480,3,108,1
2026-09-08_census-the-record-s-other-DOLLAR-floors-and-caps_C,2026-09-08,3,482,485,482,1,24,1
2026-09-11_do-the-ARM-LEVEL-turnover-slopes-that-die-OOS-die-on-every-residual-family_cloud,2026-09-11,1,484,485,484,1,87,1
2026-09-10_census-the-record-s-ABSOLUTE-thresholds-for-the-firing-RATE-artefact_cloud,2026-09-10,5,478,483,478,3,61,2
2026-09-09_does-the-IS-side-EPISODE-MISMATCH-move-any-published-rule-8-pick_cloud,2026-09-09,0,483,483,483,1,33,1
2026-09-11_is-the-WIDTH-to-OOS-slope-a-SELECTION-POOL-effect-or-a-SMALL-CAP-effect_C,2026-09-11,1,482,483,482,1,77,1
2026-09-07_is-the-4b-defensive-class-empty-under-BOTH-conventions_cloud,2026-09-07,0,482,482,482,1,17,1
2026-09-11_is-the-ORIGIN-gap-a-MATCHING-RESIDUAL-or-a-real-panel-effect_cloud,2026-09-11,3,479,482,479,3,49,1
2026-09-06_does-the-drawdown-phase-control-belong-on-every-cadence-row_C,2026-09-06,1,481,482,481,3,63,2
2026-09-05_the-margin-column-instead-of-two_cloud,2026-09-05,4,477,481,477,1,57,1
2026-09-08_does-the-IS-WINDOW-DD-CAP-transfer-at-all_cloud,2026-09-08,3,478,481,478,2,25,1
2026-09-06_is-the-sharpe-cagr-reversal-a-PANEL-property_C,2026-09-06,3,478,481,478,2,84,1
2026-09-10_is-lambda-INERT-on-every-low-turnover-book-or-only-on-EWALL_C,2026-09-10,0,481,481,481,1,54,1
2026-09-09_is-the-VOL-TERM-decomposition-a-record-wide-fact_cloud,2026-09-09,0,480,480,480,1,52,1
2026-09-10_is-a-draw-s-IS-SHARPE-the-wrong-thing-to-PREDICT_B,2026-09-10,0,480,480,480,2,39,1
2026-09-08_is-cost-blind-choosing-worse-than-not-choosing-generally_C,2026-09-08,1,478,479,478,2,61,1
2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud,2026-09-10,3,476,479,476,3,31,1
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C,2026-09-06,6,471,477,471,2,38,1
2026-09-08_re-read-the-195-base-controlled-instances-against-their-OWN-unselected-arm_C,2026-09-08,0,476,476,476,1,54,1
2026-09-10_is-K_CAGR-really-a-better-rule-8-selector-or-is-it-the-CAGR-floor-in-disguise_cloud,2026-09-10,1,475,476,475,2,57,1
2026-09-10_publish-the-PENALTY-beside-every-residualisation_B,2026-09-10,2,474,476,474,3,16,1
2026-09-08_the-gap-vs-tilt-rule-as-a-leaderboard-column_B,2026-09-08,6,470,476,470,3,46,1
2026-09-11_price-the-4a-MaxDD-leg-against-a-VOL-MATCHED-cap_B,2026-09-11,1,475,476,475,1,37,1
2026-09-07_broad-25bps-is-the-wall_cloud,2026-09-07,22,454,476,454,3,58,1
2026-09-06_the-trade-date-anchor-as-a-published-column_cloud,2026-09-06,1,474,475,474,1,75,2
2026-09-08_is-IS-argmax-CONFIDENCE-an-inverse-signal_cloud,2026-09-08,1,473,474,473,2,16,1
2026-09-08_the-mid-tercile-band_cloud,2026-09-08,1,473,474,473,2,39,1
2026-09-09_do-the-record-s-CONDITIONAL-clauses-ever-beat-their-own-unconditional-parents_B,2026-09-09,0,473,473,473,1,12,1
2026-09-11_is-the-CAGR-FLOOR-the-only-4b-bar-that-ever-binds-ALONE_cloud,2026-09-11,1,472,473,472,2,14,1
2026-09-11_is-the-EQUAL-WEIGHT-BAR-the-right-4b-COMPARAND-for-PROTOCOL-itself_cloud,2026-09-11,3,469,472,469,2,60,1
2026-09-11_is-the-DD-CAP-doing-ALL-the-cutting-in-4b_B,2026-09-11,0,472,472,472,2,48,1
2026-09-07_is-the-vol-scaler-the-records-general-instability-source_cloud,2026-09-07,0,472,472,472,2,49,1
2026-09-07_book-size-floor-for-any-quoted-price_B,2026-09-07,5,467,472,467,2,20,2
2026-09-07_price-the-H2-for-DD-exchange-rate-as-a-record-wide-constant_cloud,2026-09-07,0,472,472,472,1,22,1
2026-09-11_price-PERSISTENCE-and-SELECTION-separately-on-the-composite_C,2026-09-11,3,468,471,468,3,29,1
2026-09-11_is-the-KEEP-4b-candidate-s-margin-a-TURNOVER-matched-fact_cloud,2026-09-11,0,471,471,471,1,58,1
2026-09-05_v1u-small-negative-price_B,2026-09-05,1,470,471,470,2,19,1
2026-09-07_does-the-IS-CHOOSER-ever-beat-a-coin-across-BOOKS_C,2026-09-07,1,470,471,470,2,12,1
2026-09-11_price-the-APPEND-vs-RESTATE-channels-separately-on-a-LONGER-vintage-ladder_cloud,2026-09-11,1,468,469,468,2,21,1
2026-09-05_is-the-ladder-endpoint-a-general-selector-artefact_cloud,2026-09-05,4,465,469,465,1,39,2
2026-09-09_can-any-B136-recomposition-reach-SMALL439-s-CHARACTERISTIC-SUPPORT_C,2026-09-09,6,463,469,463,2,41,1
2026-09-09_which-published-residualisations-are-IN-SAMPLE-fits_C,2026-09-09,3,466,469,466,2,26,1
2026-09-08_does-the-4b-aware-screen-only-pay-through-DD_B,2026-09-08,1,467,468,467,3,21,1
2026-09-11_should-PROTOCOL-rule-3-state-that-the-4a-COMPARAND-runs-on-the-IDEA-S-OWN-PANEL_C,2026-09-11,1,467,468,467,1,35,1
2026-09-11_is-the-EWALL-g1,2026-09-11,2,466,468,466,2,49,1
2026-09-11_restate-idea-276-s-26-file-UPPER-BOUND-on-the-headline-block_B,2026-09-11,1,466,467,466,3,19,1
2026-09-05_is-the-gross-ladder-worth-running-at-all_B,2026-09-05,3,464,467,464,3,33,1
2026-09-09_is-AMPLITUDE-the-record-s-real-clause-taxonomy_cloud,2026-09-09,4,462,466,462,3,75,1
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C,2026-09-05,2,463,465,463,2,31,2
2026-09-07_u56-top20-g075-4b_C_MEMO,2026-09-07,4,461,465,461,2,14,1
2026-09-07_is-CADENCE-the-real-dial-behind-the-band_cloud,2026-09-07,4,460,464,460,3,24,1
2026-09-08_a-within-cell-DIFFERENCE-curve-may-not-carry-a-published-sign-threshold_C,2026-09-08,0,464,464,464,1,60,1
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C,2026-09-05,5,459,464,459,3,37,2
2026-09-06_do-the-18-majority-reversing-files-have-reversing-HEADLINES_cloud,2026-09-06,1,462,463,462,1,18,1
2026-09-08_why-does-the-IS-lift-slope-flip-between-GROSS-and-GATE_C,2026-09-08,1,462,463,462,3,93,1
2026-09-06_dispersion-as-a-survivorship-detector_B,2026-09-06,5,457,462,457,3,31,1
2026-09-05_the-sign-is-the-parameter-not-the-share_B,2026-09-05,3,458,461,458,2,33,2
2026-09-07_price-the-U56-EWALL-MA-band-at-b012-on-its-own_cloud_MEMO,2026-09-07,0,461,461,461,0,14,1
2026-09-11_re-read-idea-300s-WF-C-KILL-as-a-panel-fact_cloud,2026-09-11,0,459,459,459,2,54,1
2026-09-08_does-the-width-convergence-hold-past-n40_C,2026-09-08,1,458,459,458,1,57,1
2026-09-11_is-the-U56-CAGR-FLOOR-GAP-a-DELISTING-artefact_B,2026-09-11,2,457,459,457,3,41,1
2026-09-10_is-the-KEY-UNIQUE-join-STABLE-under-float-reformatting_cloud,2026-09-10,0,459,459,459,1,61,1
2026-09-08_make-PROTOCOL-quote-REGRET-instead-of-the-selection-MARGIN_cloud,2026-09-08,3,456,459,456,2,42,1
2026-09-09_why-does-the-CORR-ordering-die-at-q-0,2026-09-09,0,456,456,456,1,53,1
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C,2026-09-05,4,452,456,452,2,51,2
2026-09-08_the-013-margin-rule_B,2026-09-08,7,449,456,449,3,19,1
2026-09-08_publish-the-EXACT-per-cell-means-beside-every-local-mean-reading_cloud,2026-09-08,0,456,456,456,1,32,1
2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud,2026-09-06,1,453,454,453,1,46,1
2026-09-08_is-K_MEDIAN-a-real-abstention-rule-or-a-36-cell-accident_C,2026-09-08,1,453,454,453,1,19,1
2026-09-08_ewall-beside-every-panel-claim_cloud,2026-09-08,0,454,454,454,2,38,1
2026-09-09_name-the-CARRIER-that-survives-a-CHARACTERISTIC-MATCH_cloud,2026-09-09,1,453,454,453,2,27,1
2026-09-09_is-4b-PASSAGE-on-the-LIVE-FAMILY-a-pure-GROSS-BOUND_cloud,2026-09-09,0,454,454,454,1,31,1
2026-09-11_do-the-THREE-LIVE-PANELS-EVER-AGREE-on-a-vintage_B,2026-09-11,0,453,453,453,1,28,1
2026-09-08_the-tenth-selection-loses-instance-as-a-distribution_cloud,2026-09-08,6,447,453,447,2,63,1
2026-09-08_does-the-4b-gross-100-family-survive-a-CASH-CREDIT-and-a-BORROW-charge_C,2026-09-08,0,453,453,453,1,36,1
2026-09-05_the-20-percent-oracle-ceiling_C,2026-09-05,2,450,452,450,3,30,1
2026-09-05_weak-dominance-bands-as-the-calibration-output_C,2026-09-05,0,452,452,452,2,38,2
2026-09-05_the-screen-is-a-book-size-rule_cloud,2026-09-05,3,449,452,449,1,38,2
2026-09-06_does-the-cash-drag-share-depend-on-the-panel-or-on-the-gate-level_cloud,2026-09-06,24,428,452,428,3,53,2
2026-09-05_vol-threshold-sweep-on-ewall_B,2026-09-05,1,451,452,451,3,54,2
2026-09-08_is-the-EMPTY-POOL-RATE-the-only-dial-the-4b-screen-has_B,2026-09-08,1,451,452,451,2,19,1
2026-09-06_is-the-negative-exposure-timing-residual-a-general-property-of-gates_B,2026-09-06,4,448,452,448,3,16,1
2026-09-10_is-EVERY-published-CHOOSER-WIN-in-the-record-a-PHASE-WIN_C,2026-09-10,0,451,451,451,2,33,1
2026-09-05_does-share-price-any-key-or-only-vol_B,2026-09-05,8,443,451,443,3,41,1
2026-09-06_what-modal-share-makes-a-mode-writable_cloud,2026-09-06,7,444,451,444,1,56,1
2026-09-06_does-the-EXPOSURE-vs-TIMING-split-price-the-live-de-gross-clause-correctly_C,2026-09-06,1,449,450,449,3,45,1
2026-09-10_does-sd-still-survive-the-PARTIAL-t-test-once-the-control-has-DATA_B,2026-09-10,1,449,450,449,1,75,1
2026-09-08_back-fill-the-q95-band-over-every-committed-null-claim_B,2026-09-08,0,450,450,450,1,58,1
2026-09-10_does-any-published-COLUMN-prescription-survive-its-own-L2-ladder_C,2026-09-10,1,449,450,449,2,45,1
2026-09-08_is-selection-beats-do-nothing-just-a-rung-artefact_cloud,2026-09-08,1,449,450,449,1,52,1
2026-09-08_a-turnover-matched-null-for-suppressing-overlays_cloud,2026-09-08,0,450,450,450,2,52,1
2026-09-08_does-the-q95-band-hold-its-nominal-5-percent_cloud,2026-09-08,0,450,450,450,1,22,1
2026-09-06_where-selectivity-and-cost-cross_cloud,2026-09-06,0,449,449,449,1,54,2
2026-09-11_is-the-GROSS-dial-s-4b-FOOTPRINT-the-CAGR-FLOOR-alone_C,2026-09-11,1,448,449,448,3,14,1
2026-09-08_a-turnover-matched-null-for-suppressing-overlays_B,2026-09-08,1,447,448,447,3,70,1
2026-09-08_price-the-levered-sleeve-against-its-own-TURNOVER_C,2026-09-08,0,447,447,447,2,32,1
2026-09-07_volcap-g075-4b_C_MEMO,2026-09-07,2,445,447,445,2,11,1
2026-09-10_market-cap-as-the-third-substitution_B,2026-09-10,13,434,447,434,3,36,1
2026-09-07_why-does-the-grid-ORDERING-invert-on-B136-at-0-bps-only_cloud,2026-09-07,0,447,447,447,2,18,1
2026-09-07_retire-the-linear-blend-normalisation-record-wide_C,2026-09-07,0,446,446,446,2,36,1
2026-09-05_price-the-broad-POS-near-miss_cloud,2026-09-05,1,445,446,445,3,40,2
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C,2026-09-08,5,441,446,441,1,27,1
2026-09-06_price-the-vol20-drawdown-purchase-against-the-cheaper-instruments_C,2026-09-06,0,445,445,445,1,90,2
2026-09-08_band3-rw-at-075-vs-the-incumbent_B,2026-09-08,1,444,445,444,3,32,1
2026-09-07_is-the-sign-test-worth-anything-on-the-small-panel_B,2026-09-07,0,444,444,444,2,19,1
2026-09-11_census-the-record-s-PREDICTOR-IS-REAL-claims-that-were-never-scored-against-the-CONSTANT_C,2026-09-11,0,443,443,443,1,52,1
2026-09-06_back-fill-the-phase-spread-over-every-cadence-claim_cloud,2026-09-06,3,440,443,440,3,46,1
2026-09-09_why-do-capQ-and-advQ-disagree-in-SIGN_B,2026-09-09,6,436,442,436,3,71,1
2026-09-09_does-ddctl-really-own-the-deep-budgets_cloud,2026-09-09,0,442,442,442,2,100,1
2026-09-07_selection-vs-no-selection-as-the-real-question_B,2026-09-07,0,441,441,441,2,51,1
2026-09-11_walk-forward-the-CAND50-on-BSTK100-PARK-properly_cloud,2026-09-11,0,441,441,441,1,34,1
2026-09-08_publish-the-HALF-WINDOW-beside-every-published-crossing_C,2026-09-08,2,439,441,439,3,26,1
2026-09-06_does-the-sharpe-cagr-reversal-sit-under-every-EWall-claim_C,2026-09-06,4,436,440,436,3,13,1
2026-09-09_how-many-published-dial-STEPS-in-the-record-are-NO-OPS_cloud,2026-09-09,0,440,440,440,1,40,1
2026-09-07_census-adopted-constants-for-CROSSINGS-not-plateaus_cloud,2026-09-07,25,414,439,414,3,20,1
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,2026-09-08,1,438,439,438,1,29,1
2026-09-09_is-the-4b-footprint-a-monotone-function-of-cap-mix_B,2026-09-09,1,438,439,438,1,44,1
2026-09-07_does-the-IS-SPREAD-screen-retire-the-rho-based-chooser-verdicts_B,2026-09-07,0,438,438,438,2,7,1
2026-09-08_the-one-corner-three-books-audit_C,2026-09-08,0,437,437,437,1,47,1
2026-09-06_keep-candidate-universe-robustness_cloud,2026-09-06,0,437,437,437,1,50,1
2026-09-05_is-PRICE-NEG-the-only-arm-that-is-both-large-and-helpful_B,2026-09-05,11,425,436,425,3,39,1
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,2026-09-06,8,428,436,428,2,121,1
2026-09-11_is-the-4a-DRAWDOWN-LEG-reachable-at-all-on-a-POST-2020-corpus_cloud,2026-09-11,0,435,435,435,1,43,1
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud,2026-09-05,3,432,435,432,2,59,2
2026-09-07_is-the-DD-cap-unreachable-on-SMALL439-by-construction_cloud,2026-09-07,1,434,435,434,2,16,1
2026-09-05_the-on-share-column_cloud,2026-09-05,13,422,435,422,2,27,1
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_cloud,2026-09-05,10,425,435,425,3,50,2
2026-09-09_what-does-SELECTION-become-under-a-DAILY-depth-match_C,2026-09-09,6,428,434,428,3,46,1
2026-09-10_put-the-T1-line-in-PROTOCOL-and-back-fill-it_B,2026-09-10,6,428,434,428,3,20,1
2026-09-05_back-fill-the-swapped-coefficient-audit_B,2026-09-05,2,431,433,431,3,19,1
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud,2026-09-08,2,431,433,431,3,21,1
2026-09-10_is-the-IS-WINDOW-a-SUPERSET-on-every-published-dial_cloud,2026-09-10,1,432,433,432,2,33,1
2026-09-10_is-the-gate-vs-ranked-ORDERING-SPLIT-a-GROSS-fact_B,2026-09-10,0,433,433,433,2,13,1
2026-09-05_how-many-draws-does-clause-11b-need_cloud,2026-09-05,7,426,433,426,3,46,2
2026-09-06_is-the-low-price-tilt-a-split-artefact-or-a-survivorship-one_cloud,2026-09-06,7,426,433,426,3,41,1
2026-09-08_do-de-grossing-instruments-belong-armed-only-in-crashes-after-all_B,2026-09-08,1,432,433,432,2,47,1
2026-09-11_u56-v2band-gross100_4b_cloud_MEMO,2026-09-11,4,428,432,428,2,57,1
2026-09-05_does-a-null-column-change-any-published-verdict_cloud,2026-09-05,7,425,432,425,1,18,1
2026-09-08_fix-hivol80s-IS-OOS-coverage-and-re-read-the-parked-arm_cloud,2026-09-08,0,431,431,431,2,28,1
2026-09-08_u56-band3-fullgross_KEEP_MEMO,2026-09-08,2,429,431,429,2,35,1
2026-09-10_publish-the-SIGN-BALANCE-of-every-fitted-SELECTOR-TARGET_C,2026-09-10,0,431,431,431,2,53,1
2026-09-09_does-S_CORR-beat-the-anchor-once-the-PANEL-is-controlled_B,2026-09-09,1,429,430,429,2,28,1
2026-09-06_is-the-reversal-share-a-function-of-n-over-n_elig_C,2026-09-06,4,426,430,426,3,20,1
2026-09-07_is-DBC-a-drag-or-a-contango-artefact_cloud_MEMO,2026-09-07,0,429,429,429,0,35,1
2026-09-09_do-CLASSIFIER-selectors-behave-differently-from-ARGMAX-selectors_B,2026-09-09,0,429,429,429,1,43,1
2026-09-05_is-the-conditional-sleeve-anything-at-all_B,2026-09-05,4,424,428,424,2,32,2
2026-09-09_how-many-of-the-record-s-PUBLISHED-parent-COMPARISONS-are-GROSS-UNMATCHED_C,2026-09-09,2,425,427,425,1,22,2
2026-09-06_the-IS-chosen-substitute-arm-for-every-named-asset-set_C,2026-09-06,0,427,427,427,1,44,1
2026-09-08_does-the-matched-gross-control-belong-on-every-published-DIAL-not-just-count_C,2026-09-08,0,426,426,426,1,28,1
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B,2026-09-05,8,417,425,417,3,30,1
2026-09-05_clause-11b-draw-count-by-enumeration_cloud,2026-09-05,2,423,425,423,3,37,1
2026-09-06_is-phase-sensitivity-a-book-property-or-a-panel-one_cloud,2026-09-06,2,422,424,422,1,31,1
2026-09-09_is-the-MARGINAL-rho-the-only-estimable-characteristic-statistic_C,2026-09-09,0,424,424,424,1,40,1
2026-09-09_does-the-QUANTILE-zero-residual-hold-at-DAILY-and-ANNUAL-cadence_B,2026-09-09,4,420,424,420,3,51,1
2026-09-10_does-the-SCALE-channel-need-its-own-pre-rule-8-gate_C,2026-09-10,2,422,424,422,3,17,1
2026-09-10_publish-an-AS-OF-DATE-beside-every-input-the-record-reads_C,2026-09-10,1,423,424,423,3,19,1
2026-09-06_MA200-only-book-on-a-third-large-cap-panel_cloud,2026-09-06,0,424,424,424,1,48,1
2026-09-10_is-the-BAND-the-only-clean-adopted-constant_cloud,2026-09-10,1,423,424,423,1,30,1
2026-09-05_does-book-share-price-a-tilt_C,2026-09-05,5,418,423,418,2,19,2
