panel,form,cadence,cash_bps,slope_Sharpe,r2_Sharpe,slope_CAGR,r2_CAGR,slope_MaxDD,r2_MaxDD,Sharpe_span,CAGR_span,DD_span,mean_cash_w
SMALL663,MA-DG,M,150.0,-0.6551872292401656,0.8177028929729975,0.05542770668127818,0.9999349428213667,-0.21205714948800458,0.9997047703071033,0.6422979633389441,0.04433679107480115,0.16663787012702524,0.6700726750411568
SMALL663,MA-DG,M,300.0,-1.3110353444421117,0.8198068261444197,0.04743655188912933,0.9998737531040721,-0.20384427308695294,0.9952164625333485,1.2835398169355692,0.03794446637675142,0.15869436799775216,0.6701834212098808
SMALL663,MA-DG,W,0.0,0.0007710141263897868,0.9859709258898673,0.05155917408838493,0.9998725106210906,-0.17340255495622017,0.9997600453754639,0.0006157072808745667,0.04123838047239836,0.1387347323347108,0.672582305731809
SMALL663,MA-DG,W,150.0,-0.6883744636808561,0.8216157245131935,0.04361275785514773,0.999763590003036,-0.1826600300662525,0.999606474442476,0.6732038994729641,0.03488211324226853,0.14287127910288466,0.6726038189044649
SMALL663,MA-DG,W,300.0,-1.367652678833765,0.8217405784504008,0.0356224106479807,0.9995628046012969,-0.17263735470918176,0.9922715953372064,1.337375838907287,0.028490816207813685,0.13422665490486774,0.6726250155100227
SMALL663,MA-RS,M,0.0,-0.008813534907220148,0.9973708433352277,0.11641413543598567,0.9996843469296384,-0.46589245621177355,0.9987163225577719,0.007057666572074961,0.09306434995487178,0.3727590465778513,0.39936193613765997
SMALL663,MA-RS,M,150.0,-0.35258648877103477,0.8281776109785841,0.10108473375924826,0.9994336341430746,-0.4864737633844813,0.9984525881629143,0.34349393855034127,0.0808057838936338,0.38929674541767556,0.3994683193332982
SMALL663,MA-RS,M,300.0,-0.6917159089851712,0.8242297071295726,0.08579621328277148,0.9990132873627775,-0.4993533649438029,0.9989807126452069,0.6753842591396858,0.06858062325637926,0.3926229863114814,0.39957314755868323
SMALL663,MA-RS,W,0.0,0.0013359610808254855,0.9985980531572786,0.08624434306527609,0.9990516404686312,-0.4376697036679116,0.9975084268163945,0.0010712046014244025,0.06893344015643743,0.3505160642375401,0.39990261256414833
SMALL663,MA-RS,W,150.0,-0.346412838117564,0.8203662619637446,0.07097066970551172,0.9983057248463708,-0.45813347473310434,0.9971949321299389,0.33903170936812743,0.05672187289501629,0.3669904633676414,0.3999230906118449
SMALL663,MA-RS,W,300.0,-0.6891551441016865,0.8208876307295425,0.05574050178616256,0.9968365244214397,-0.47253091207545256,0.997937013809414,0.6742380697662436,0.044545702089333616,0.3720632153763659,0.39994326846853756
SMALL663,MA20,M,0.0,0.02215733889727727,0.9992266677625077,0.16728457009236208,0.9990882303283249,-0.4362493047230294,0.9979607486174801,0.017790541418532646,0.1336215953661024,0.3494425252254305,0.40080929743896265
SMALL663,MA20,M,150.0,-0.19424129712958554,0.7892968050959811,0.15183045726816174,0.9986613699900311,-0.4466942507050936,0.9978281571522342,0.19383493438916044,0.12126963220376297,0.35783910158790866,0.40091519008159965
SMALL663,MA20,M,300.0,-0.40771974849515,0.8061402602340528,0.13641637830710923,0.9980596978147462,-0.4569467057341382,0.9977261564942943,0.4026041736322775,0.10895073387820275,0.3658461368413106,0.4010195350024781
