panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b,is525
q0.25_k100_d2,ladder,0.25,100,2,CAND5,5.0,59.86642599277978,0.5986642599277978,0.12879632751714398,0.7164047071714135,-0.26501583698585107,0.79080167411289,0.6515929476817927,0.13372613464208372,0.7174362336878759,-0.26501583698585107,0.7172256993280762,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0880122956632305,1.2277057975345649,0.9526751054301519,-0.11681508361230164,1.0539682984666112,False,False,True
q0.25_k100_d2,ladder,0.25,100,2,CAND10,10.0,59.86642599277978,0.5986642599277978,0.11110899147285824,0.7420257374592316,-0.25028362731951803,0.9346918002333667,0.574491718876904,0.10275485851646304,0.6744710230289703,-0.25028362731951803,0.8665870103621841,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0880122956632305,1.2277057975345649,0.9526751054301519,-0.11681508361230164,1.0539682984666112,False,False,True
q0.25_k100_d2,ladder,0.25,100,2,CAND15,15.0,59.86642599277978,0.5986642599277978,0.12132955394531963,0.8704666662391608,-0.22548851628431676,1.0823748616175022,0.6816304487103318,0.10533895033951035,0.7511608274790462,-0.22548851628431743,1.0831552317227107,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0880122956632305,1.2277057975345649,0.9526751054301519,-0.11681508361230164,1.0539682984666112,False,False,True
q0.25_k100_d2,ladder,0.25,100,2,CAND20,20.0,59.86642599277978,0.5986642599277978,0.11455167071180505,0.8761955942660458,-0.21482226828298456,1.0895637177116608,0.6862026610748166,0.10512249064783807,0.790168376233291,-0.214822268282985,1.031799300321055,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0880122956632305,1.2277057975345649,0.9526751054301519,-0.11681508361230164,1.0539682984666112,False,False,True
q0.25_k100_d2,ladder,0.25,100,2,CAND30,30.0,59.86642599277978,0.5986642599277978,0.11236824733765016,0.9364883582308094,-0.19762232823448223,1.1324178002906213,0.758016657515458,0.10643225657618682,0.8732388043644717,-0.197622328234482,1.0475382103993862,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0880122956632305,1.2277057975345649,0.9526751054301519,-0.11681508361230164,1.0539682984666112,False,False,True
q0.25_k100_d2,ladder,0.25,100,2,EWall,,59.86642599277978,0.5986642599277978,0.10869089421582534,0.9290292990045973,-0.274605807819986,1.1512769305002788,0.7513095424398076,0.10479299141565557,0.8713705959149349,-0.2746058078199861,1.035489499545114,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0880122956632305,1.2277057975345649,0.9526751054301519,-0.11681508361230164,1.0539682984666112,False,False,True
q0.50_k40_d0,ladder,0.5,40,0,CAND5,5.0,21.703971119133573,0.5425992779783394,0.09923468635856514,0.6679142198105106,-0.2792837532368503,0.76402542740243,0.5825618384855166,0.08019439365147729,0.553357747049665,-0.2792837532368502,0.861732533383752,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9552863422637294,1.0773103592949453,0.8289171205776424,-0.15772591609432995,0.8485011403638141,False,False,True
q0.50_k40_d0,ladder,0.5,40,0,CAND10,10.0,21.703971119133573,0.5425992779783394,0.10877402963480298,0.8333806212092328,-0.24177884869877686,1.2595882490252936,0.4392416928448908,0.06333065453377618,0.5202214563682316,-0.24177884869877597,1.35161649029964,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9552863422637294,1.0773103592949453,0.8289171205776424,-0.15772591609432995,0.8485011403638141,False,False,True
q0.50_k40_d0,ladder,0.5,40,0,CAND15,15.0,21.703971119133573,0.5425992779783394,0.0940822157880512,0.8188080671272414,-0.21383747840792033,1.1262676593685144,0.5219071459645303,0.06461894703103832,0.5889505990056838,-0.2138374784079201,1.1901723840323342,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9552863422637294,1.0773103592949453,0.8289171205776424,-0.15772591609432995,0.8485011403638141,False,False,True
q0.50_k40_d0,ladder,0.5,40,0,CAND20,20.0,21.703971119133573,0.5425992779783394,0.08335947483878647,0.8089151121572817,-0.20542249260220136,1.0462485337866734,0.5713139444209141,0.056831456464512486,0.5780419547998884,-0.20542249260220158,1.1770467129354985,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9552863422637294,1.0773103592949453,0.8289171205776424,-0.15772591609432995,0.8485011403638141,False,False,True
