panel,char,flavour,level,seed,n_from_B,n_from_S,cvol,rho,breadth,beta,reach_lo,reach_hi,feasible,bandwidth,n_pool
cvol~POOL~L0.390~2,cvol,POOL,0.39,2,12,24,0.4041817677680064,0.25734256504100533,0.5674288338687169,1.04956640394921,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.390~3,cvol,POOL,0.39,3,14,22,0.377186257824092,0.25758545521803,0.5802511764232289,1.0332896505885667,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.390~4,cvol,POOL,0.39,4,7,29,0.42368067543673343,0.22142482710785813,0.5584061904636535,0.9968350424155893,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.390~5,cvol,POOL,0.39,5,6,30,0.4211136149425358,0.23141769297684564,0.547712270665297,1.031919640005615,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.460~0,cvol,POOL,0.46,0,4,32,0.4497243241982396,0.21892744413461684,0.53632020957889,1.092249243149266,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.460~1,cvol,POOL,0.46,1,8,28,0.44976697141828786,0.23833335952743742,0.5462694010380326,1.069319644365593,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.460~2,cvol,POOL,0.46,2,5,31,0.4732713670884052,0.2086985793360502,0.5234744889769004,1.1020936025020736,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.460~3,cvol,POOL,0.46,3,6,30,0.4385418732501891,0.2221087550869869,0.5562334123022096,1.051923451038345,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.460~4,cvol,POOL,0.46,4,9,27,0.4493821872480108,0.18384037831047595,0.5588657238682446,1.0197049699681955,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.460~5,cvol,POOL,0.46,5,3,33,0.46347517176933706,0.2304532150290212,0.5342612869127296,1.1065925701984733,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.530~0,cvol,POOL,0.53,0,2,34,0.5024195726010159,0.1797770352400606,0.5031599800567922,0.9926849466903351,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.530~1,cvol,POOL,0.53,1,1,35,0.5176421772538319,0.17037377192531478,0.48249721597550216,1.043313314057575,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.530~2,cvol,POOL,0.53,2,4,32,0.5079916833136479,0.2052009396090862,0.493428538551246,1.123896113775647,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.530~3,cvol,POOL,0.53,3,1,35,0.5221355724908224,0.20754328438373598,0.4737482294168141,1.1247531763233771,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.530~4,cvol,POOL,0.53,4,2,34,0.4927830246117384,0.17656708794588086,0.5006792086305961,0.9954051331955728,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.530~5,cvol,POOL,0.53,5,3,33,0.5230684858159851,0.182487644540186,0.48654755599793476,1.0949631921974208,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.600~0,cvol,POOL,0.6,0,2,34,0.5468210645269999,0.18595139004952993,0.48097555216603827,1.115483684164705,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.600~1,cvol,POOL,0.6,1,5,31,0.5387226444998531,0.20294888381976006,0.4884647509786029,1.1947137702190813,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.600~2,cvol,POOL,0.6,2,1,35,0.5724824638652074,0.18548355705487168,0.45701055672620744,1.1917743417715163,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.600~3,cvol,POOL,0.6,3,3,33,0.5594784968042723,0.18592096044606862,0.46624652827806895,1.0884878552347763,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.600~4,cvol,POOL,0.6,4,0,36,0.5554915008371799,0.16895216973989766,0.48931261795185316,1.017242438333045,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.600~5,cvol,POOL,0.6,5,2,34,0.5882041133233219,0.16336346957231365,0.47370125281355047,1.1517056169501536,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~BONLY~L0.250~0,cvol,BONLY,0.25,0,36,0,0.24134479608640577,0.3832029824418252,0.6787744329968515,0.8260859113742538,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.250~1,cvol,BONLY,0.25,1,36,0,0.2552228418577345,0.4169480832908966,0.7093391163491306,0.9218669925899605,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.250~2,cvol,BONLY,0.25,2,36,0,0.2471726740151207,0.42684374969921335,0.7133227317313827,0.9477427450654451,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.250~3,cvol,BONLY,0.25,3,36,0,0.25092464169955303,0.4120626202406831,0.7014243147584897,0.9198446492658525,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.250~4,cvol,BONLY,0.25,4,36,0,0.26900331576336733,0.3621044451824299,0.6664521725512217,0.9043995307282712,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.250~5,cvol,BONLY,0.25,5,36,0,0.25904852008945606,0.42863786144007515,0.7017783741001783,0.9592885126239962,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.320~0,cvol,BONLY,0.32,0,36,0,0.2763121024681522,0.3491592131101178,0.6910678609386848,0.950234900009096,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.320~1,cvol,BONLY,0.32,1,36,0,0.28551798063021244,0.3754877843874364,0.6749592851692491,0.9977964134531815,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.320~2,cvol,BONLY,0.32,2,36,0,0.26222395902149986,0.3651279103014649,0.7074223680888666,0.9137609280008333,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.320~3,cvol,BONLY,0.32,3,36,0,0.2785184468242236,0.4259621586645938,0.6928711462330919,1.0116952470319776,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.320~4,cvol,BONLY,0.32,4,36,0,0.2662845874003515,0.36497443464024776,0.6751645674960495,0.9206084413107142,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.320~5,cvol,BONLY,0.32,5,36,0,0.2705893779415927,0.4226866752024627,0.7024662972803175,0.9865994818426622,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.390~0,cvol,BONLY,0.39,0,36,0,0.32934537886754356,0.34093579646608607,0.6585347125656812,1.0710814987419033,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.390~1,cvol,BONLY,0.39,1,36,0,0.3016842772831,0.3465388150706797,0.6834903506640442,1.0084526826731028,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.390~2,cvol,BONLY,0.39,2,36,0,0.3170084979055811,0.31750098156329787,0.6657830625494515,0.9987848457679847,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.390~3,cvol,BONLY,0.39,3,36,0,0.30626736806640753,0.4025458078296828,0.6805123976224499,1.0787114787732808,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.390~4,cvol,BONLY,0.39,4,36,0,0.2962238281084548,0.39742902646128564,0.6847380894851546,1.0733960468000552,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.390~5,cvol,BONLY,0.39,5,36,0,0.31144842842257925,0.3595464860311547,0.6725470999370687,1.0762180671759454,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~SONLY~L0.320~0,cvol,SONLY,0.32,0,0,36,0.3913493885600109,0.1965062411747182,0.5466855563490203,0.8790152112421643,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.320~1,cvol,SONLY,0.32,1,0,36,0.41884763439715667,0.2477208253381995,0.5293247485672539,1.031823289159765,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.320~2,cvol,SONLY,0.32,2,0,36,0.40938322901446533,0.23614183424293683,0.5172828340675458,0.9764713844025523,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.320~3,cvol,SONLY,0.32,3,0,36,0.41399965576551134,0.23329139427247045,0.5118452020740435,0.9605758439444776,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.320~4,cvol,SONLY,0.32,4,0,36,0.400564705810686,0.19344868498523415,0.5428666118964097,0.8456804040151683,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.320~5,cvol,SONLY,0.32,5,0,36,0.3793498798646204,0.24317654165285513,0.5423683119810406,0.926001259419954,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.390~0,cvol,SONLY,0.39,0,0,36,0.44825563808374524,0.22706763221390427,0.5100756610982381,1.0562206543674963,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.390~1,cvol,SONLY,0.39,1,0,36,0.4207620727980085,0.21706761565472943,0.5214733779887596,0.9762560058453084,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.390~2,cvol,SONLY,0.39,2,0,36,0.44940605477123086,0.2255996655942114,0.5131461752596588,1.0510850530753235,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.390~3,cvol,SONLY,0.39,3,0,36,0.4411012881848475,0.19419836099395618,0.5108992059648553,0.9521668426983494,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.390~4,cvol,SONLY,0.39,4,0,36,0.4271612710180295,0.21247052383765466,0.5146532849096638,0.9630755345967631,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.390~5,cvol,SONLY,0.39,5,0,36,0.43733323012232006,0.20121180148605508,0.5240884339399097,0.9350640751948611,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.460~0,cvol,SONLY,0.46,0,0,36,0.45149993037083214,0.2011878593956003,0.519831457975588,0.9676324075356817,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.460~1,cvol,SONLY,0.46,1,0,36,0.4526933688401644,0.1788792019760564,0.49717924842952343,0.9373991171821371,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.460~2,cvol,SONLY,0.46,2,0,36,0.47818656188647995,0.23325655388552058,0.492193783892572,1.111799183497978,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.460~3,cvol,SONLY,0.46,3,0,36,0.4820541587849114,0.21742065700945998,0.4863383589004745,1.0849769526958986,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.460~4,cvol,SONLY,0.46,4,0,36,0.4796047412942779,0.14978282310982824,0.49068524388655343,0.904776993907087,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.460~5,cvol,SONLY,0.46,5,0,36,0.4740214726407517,0.2039280329086608,0.4968550794715772,1.0301723958971447,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.530~0,cvol,SONLY,0.53,0,0,36,0.5156111662247287,0.1872875307825832,0.47211928998993563,1.1075689672678182,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.530~1,cvol,SONLY,0.53,1,0,36,0.5131500498423152,0.20254672805518759,0.4615193699470494,1.0846060471918033,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.530~2,cvol,SONLY,0.53,2,0,36,0.5003299373803441,0.21515842787100592,0.49130970007663877,1.135670444214253,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.530~3,cvol,SONLY,0.53,3,0,36,0.5178669966707795,0.1920885668808308,0.4772037578285694,1.0721875676397403,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.530~4,cvol,SONLY,0.53,4,0,36,0.5121671396104673,0.19156863465979618,0.48190906948335305,1.0733501805491261,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.530~5,cvol,SONLY,0.53,5,0,36,0.5071957469379175,0.21814168494405675,0.494904395698,1.11532415248337,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.600~0,cvol,SONLY,0.6,0,0,36,0.5775085091581819,0.17823146168716764,0.47547196868457353,1.158008102261379,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.600~1,cvol,SONLY,0.6,1,0,36,0.5594765111889856,0.17092559147163955,0.47566445127166423,1.108744319464614,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.600~2,cvol,SONLY,0.6,2,0,36,0.5636702079259266,0.1683980439395284,0.4619962504440621,1.0368626895118573,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.600~3,cvol,SONLY,0.6,3,0,36,0.5688401108335485,0.17051405769096095,0.4621506736262918,1.1232668021073418,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.600~4,cvol,SONLY,0.6,4,0,36,0.5502916016874884,0.17924524047517224,0.4596710539264454,1.0684354380301087,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
cvol~SONLY~L0.600~5,cvol,SONLY,0.6,5,0,36,0.5799055845586049,0.17037331065969485,0.4535906017307786,1.1373951927486445,0.31440437813598887,0.9945836624660271,True,0.10533369599366507,439
breadth~POOL~L0.460~0,breadth,POOL,0.46,0,3,33,0.5901492005807245,0.18380353858337153,0.45361230737940056,1.1383283937195898,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.460~1,breadth,POOL,0.46,1,0,36,0.6018626582121962,0.17947044174814766,0.4483555854607159,1.1496440680019075,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.460~2,breadth,POOL,0.46,2,2,34,0.48346533024919225,0.20217450774797358,0.48152846866376764,1.0411320511463733,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.460~3,breadth,POOL,0.46,3,2,34,0.5609256609843759,0.16066876698583687,0.4567348942441996,1.0418254994429625,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.460~4,breadth,POOL,0.46,4,1,35,0.5871511045477008,0.19059367630453514,0.4564416216012146,1.1353615851796013,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.460~5,breadth,POOL,0.46,5,1,35,0.5482191634021606,0.19514857418202436,0.4703605496164463,1.1452995205849141,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.520~0,breadth,POOL,0.52,0,4,32,0.486754035029347,0.17587695279252238,0.5065214872098616,1.0255106179983977,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.520~1,breadth,POOL,0.52,1,3,33,0.5181658798459509,0.17616771199902145,0.5033840142438718,1.007967437067306,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.520~2,breadth,POOL,0.52,2,2,34,0.48976368163425005,0.18753671645547954,0.5086892029509994,1.0140119359704218,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.520~3,breadth,POOL,0.52,3,2,34,0.5198940814268301,0.17141547880742775,0.501350906674105,1.0179036361236655,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.520~4,breadth,POOL,0.52,4,5,31,0.4450925942984321,0.21509544320237686,0.5171594395055898,1.0210715152934215,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.520~5,breadth,POOL,0.52,5,1,35,0.5168411534336976,0.2124514359666443,0.5149860680043504,1.11536550595126,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.580~0,breadth,POOL,0.58,0,7,29,0.413053497514026,0.21103638280583553,0.5511412174586457,0.952528309696078,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.580~1,breadth,POOL,0.58,1,10,26,0.39529942768629467,0.1963131676243865,0.562178843753704,0.9273800998682716,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.580~2,breadth,POOL,0.58,2,11,25,0.3938770590410715,0.22711801972316278,0.5870214489460471,0.9531053629071398,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.580~3,breadth,POOL,0.58,3,7,29,0.4255948240698744,0.1982257846208524,0.5569772962921611,1.0007182685888087,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.580~4,breadth,POOL,0.58,4,8,28,0.41113661467525,0.2347210933407835,0.5609284876044383,0.9884288344794565,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.580~5,breadth,POOL,0.58,5,9,27,0.39995296569506633,0.20993358711872845,0.5639742671771446,0.9231403651586582,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.640~0,breadth,POOL,0.64,0,21,15,0.3434104582201143,0.2724141891788242,0.6346632755788693,0.9666528677825967,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.640~1,breadth,POOL,0.64,1,17,19,0.37764804175343186,0.18386429438342883,0.6145720110333781,0.8870761868471742,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.640~2,breadth,POOL,0.64,2,17,19,0.35099871291881796,0.22730011363421834,0.6055576057679903,0.901003370409311,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.640~3,breadth,POOL,0.64,3,16,20,0.3628386813010336,0.2625775969482489,0.6218221158399744,0.9548511099279493,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.640~4,breadth,POOL,0.64,4,20,16,0.3228955343048448,0.2714155469243515,0.6362848198122328,0.8995875319562227,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.640~5,breadth,POOL,0.64,5,17,19,0.3890387172811305,0.2613975954222893,0.6003564768154593,1.014665988802898,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.700~0,breadth,POOL,0.7,0,25,11,0.31939637618942246,0.30172903743942375,0.6638363291733654,0.9348255919792514,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.700~1,breadth,POOL,0.7,1,28,8,0.28300578692049894,0.37156724668810764,0.6755565952338654,0.9361336954374704,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.700~2,breadth,POOL,0.7,2,23,13,0.325910286186934,0.25411043095159186,0.662520731706618,0.9027924980016075,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.700~3,breadth,POOL,0.7,3,26,10,0.2903566816992831,0.30098948852437885,0.6841773105608182,0.85613934385044,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.700~4,breadth,POOL,0.7,4,25,11,0.3072452581316003,0.3328889747808101,0.6829404818675204,0.9416342123392215,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~POOL~L0.700~5,breadth,POOL,0.7,5,23,13,0.30973013433296176,0.2831192784878272,0.6666562519908092,0.9172879941641743,0.23197587177144977,0.7701809463254384,True,0.06849664891348795,573
breadth~BONLY~L0.580~0,breadth,BONLY,0.58,0,36,0,0.3070163359103708,0.25393439490552955,0.6350713326182483,0.9205842808374667,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.580~1,breadth,BONLY,0.58,1,36,0,0.2883341618313306,0.2393646396505232,0.6195890198393775,0.8852499663099732,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.580~2,breadth,BONLY,0.58,2,36,0,0.3328569106727008,0.3208559387562541,0.6347973762704892,1.063838241429032,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.580~3,breadth,BONLY,0.58,3,36,0,0.27591624137936843,0.3072340076152651,0.6344777361317238,0.8965461547904374,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.580~4,breadth,BONLY,0.58,4,36,0,0.3004647252149803,0.30363700548364486,0.6523256927805442,0.9682720782114915,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.580~5,breadth,BONLY,0.58,5,36,0,0.3092302775704784,0.24839392032004415,0.6168477163122875,0.9139854975443147,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.640~0,breadth,BONLY,0.64,0,36,0,0.2650432740002392,0.3141890236970806,0.6673493145469919,0.8866926204790955,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.640~1,breadth,BONLY,0.64,1,36,0,0.27971161788083926,0.31273300823806666,0.6800908593737635,0.9199016740270528,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.640~2,breadth,BONLY,0.64,2,36,0,0.28409562441632735,0.3347917831664142,0.6715167467544814,0.9715043806876019,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.640~3,breadth,BONLY,0.64,3,36,0,0.27933379899208777,0.38450316550661573,0.6799180356236655,0.9945809771011885,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.640~4,breadth,BONLY,0.64,4,36,0,0.2894109219171175,0.31527442478084033,0.6652732892697549,0.9739285209004864,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.640~5,breadth,BONLY,0.64,5,36,0,0.2848869884968193,0.39158725399663696,0.6928174656555011,0.9887929109412581,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.700~0,breadth,BONLY,0.7,0,36,0,0.27298306826659924,0.408727401790232,0.6988200653015936,1.0130794812953212,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.700~1,breadth,BONLY,0.7,1,36,0,0.2774681651044025,0.3924736698605432,0.7028554642330624,0.9739874358490199,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.700~2,breadth,BONLY,0.7,2,36,0,0.28734069986745536,0.40509121135500414,0.7002159191952383,1.0368107050622324,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.700~3,breadth,BONLY,0.7,3,36,0,0.2620847572096403,0.37344200269751887,0.6911478849637235,0.9318658679138141,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.700~4,breadth,BONLY,0.7,4,36,0,0.2790232100420189,0.36686962975990756,0.6684874334121158,0.9820226805411086,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~BONLY~L0.700~5,breadth,BONLY,0.7,5,36,0,0.292693746067968,0.38511552283953593,0.6779809582826498,1.0474513552873341,0.5754527960619448,0.7699888729931648,True,0.06849664891348795,134
breadth~SONLY~L0.460~0,breadth,SONLY,0.46,0,0,36,0.5925662902020787,0.17937934250740278,0.45278047596101356,1.0867676807636164,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.460~1,breadth,SONLY,0.46,1,0,36,0.5781558829651612,0.1652536145693185,0.47112974267913477,1.0341118697323535,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.460~2,breadth,SONLY,0.46,2,0,36,0.5158948180832152,0.20112612839501975,0.48375868866575955,1.0939210992608404,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.460~3,breadth,SONLY,0.46,3,0,36,0.5417268614686366,0.2102085061020395,0.479232154802062,1.1522617252543406,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.460~4,breadth,SONLY,0.46,4,0,36,0.5174176849380684,0.19307837344304252,0.4742963999523757,1.0541961758225313,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
