panel,book,cost,mode,ceil,screened,n_adm,arm,m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
small,EWall,10.0,none,1.3333,False,0,ddctl-8/.5/high,1.3333,0.9462392704018631,0.09582401094039295,0.7091518473791244,-0.2842534607413293,0.6511888244071935
small,EWall,25.0,none,1.3333,False,0,ddctl-8/.5/high,1.3333,0.889572570628542,0.09005758580376444,0.6836018596397484,-0.2868580434897777,0.6411620234354181
u56,V1u,10.0,pin,1.0,False,0,control,1.0,0.5961099815679317,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593
u56,V1u,25.0,pin,1.0,False,0,ebud-0.10,1.0,0.29585296704233605,0.009515797736436848,0.21069454724710715,-0.11081637294244429,0.38566531284021005
u56,TOP20,10.0,pin,1.0,True,8,control,1.0,1.1869259287603628,0.16638958865609776,1.1676752607259366,-0.22210408719864583,0.747068832234263
u56,TOP20,25.0,pin,1.0,False,0,control,1.0,1.0692805043296694,0.15087237124064035,1.0721876011978528,-0.22340270136729112,0.747068832234263
u56,EWall,10.0,pin,1.0,True,10,abs12-rw,1.0,1.1321953374147777,0.12045286302342895,1.031338857338196,-0.19885932203290213,0.7502568466489631
u56,EWall,25.0,pin,1.0,True,8,control,1.0,1.0993258136003343,0.13671134762230652,1.1250416500196643,-0.22547617750089244,0.7502297498779416
broad,V1u,10.0,pin,1.0,False,0,ebud-0.20,1.0,0.7162105946947306,0.028643756322064506,0.39907214268929586,-0.17941747934872254,0.5397746716991229
broad,V1u,25.0,pin,1.0,False,0,ebud-0.10,1.0,0.3438800636485319,-0.000919943279876767,5.113546624357708e-05,-0.11335965255625091,0.3056437936406316
broad,TOP20,10.0,pin,1.0,True,12,ebud-0.10,1.0,1.1436590159918545,0.12228211061770566,0.8535342288080167,-0.2288828170330488,0.6583658837560555
broad,TOP20,25.0,pin,1.0,True,1,ebud-0.10,1.0,1.021874482795169,0.10539299399804758,0.7510865702437203,-0.23016855578352646,0.6583658837560555
broad,EWall,10.0,pin,1.0,True,5,vol60-dg,1.0,1.1565431775565733,0.12011126700793429,1.1224553129457142,-0.18696236312424186,0.7233161870936443
broad,EWall,25.0,pin,1.0,True,1,vol60-dg,1.0,1.1392034128819102,0.11769385576362001,1.1020383628219215,-0.18709252316824732,0.7233161870936443
small,V1u,10.0,pin,1.0,False,0,ebud-0.20,1.0,0.6455289948885835,0.01908476555919525,0.24417112027820617,-0.31937131448322054,0.5033317267479512
small,V1u,25.0,pin,1.0,False,0,ebud-0.20,1.0,0.3386775414191575,-0.011954737382619207,-0.07590118955195838,-0.37923977856856683,0.5033317267479512
small,TOP20,10.0,pin,1.0,False,0,ebud-0.20,1.0,0.7192091918665825,0.16378025010645647,0.7922553146106635,-0.30167155631651643,0.7405454141994763
small,TOP20,25.0,pin,1.0,False,0,ebud-0.20,1.0,0.5849451226408869,0.1353727316144473,0.681419573302655,-0.3029070451977667,0.7405454141994763
small,EWall,10.0,pin,1.0,False,0,control,1.0,0.7737298887497327,0.10089643214031607,0.6366624355474834,-0.36166373582084055,0.7501008892339182
small,EWall,25.0,pin,1.0,False,0,ddctl-8/.5/recover,1.0,0.8017717052033965,0.07553049086706154,0.6830863344772165,-0.23421384151565972,0.5445232782706466
u56,V1u,10.0,family,0.75,False,0,ebud-0.10,0.75,0.597475616657062,0.027599803330376815,0.5840907044293295,-0.08921900505190394,0.363796727492087
u56,V1u,25.0,family,0.75,False,0,ebud-0.10,0.75,0.2940535138733256,0.011862208268228258,0.26645942476700135,-0.10632516417988802,0.363796727492087
u56,TOP20,10.0,family,0.75,True,3,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,family,0.75,False,0,ebud-0.20,0.75,1.0690687277640532,0.11302931306425279,1.0712042196541898,-0.17118080543662506,0.560313375886336
u56,EWall,10.0,family,0.75,False,0,ddctl-8/.5/high,0.5,1.166140141073278,0.045818033308010486,0.8838026428416288,-0.11605130872215796,0.30279555100294714
u56,EWall,25.0,family,0.75,False,0,ddctl-8/.5/high,0.45,1.1477706090207123,0.04913267576684133,0.9827695380955158,-0.10516677946603947,0.2880516329613564
broad,V1u,10.0,family,0.75,False,0,ebud-0.20,0.75,0.7275112288082732,0.029470785411441325,0.4483970115983604,-0.17188349870939013,0.48048548572220634
broad,V1u,25.0,family,0.75,False,0,ebud-0.10,0.75,0.335466693090001,0.00022366186734434912,0.026343282448212182,-0.1129370967268809,0.2943528703769379
broad,TOP20,10.0,family,0.75,True,11,g200-rw,0.75,1.1032550624043147,0.10776147662527924,0.9139063725654185,-0.18425758445714202,0.5570055202142049
broad,TOP20,25.0,family,0.75,False,0,g200-rw,0.75,0.9621381252519956,0.09099576659024722,0.7863920567351994,-0.18544959468255462,0.5570055202142049
