panel,book,ladder,rung,is_incumbent,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
SMALL,H=252,H,252,False,0.13356082787910206,0.7844886599736367,-0.37411836270629706,0.9554730021692056,0.6418946271088335,0.11159184725299287,0.667742920666616,-0.37411836270629706,False,False,False
SMALL,CADENCE=W,CADENCE,W,True,0.07837619925720163,0.5054582547554105,-0.3581405418032818,0.6593951268632167,0.39418522800842726,0.07086077006544778,0.4534302580652866,-0.3581405418032817,False,False,False
SMALL,CADENCE=M,CADENCE,M,False,0.05383712958413378,0.3811279576188131,-0.38523856599537976,0.603856664786726,0.23049894430859347,0.029782993979284855,0.24826335226879284,-0.38523856599538164,False,False,False
SMALL,GROSS=0.3,GROSS,0.3,False,0.03455795374968185,0.5033399983825739,-0.15665461197088582,0.6568451144538797,0.392200092134313,0.03210950949710423,0.45138230147505126,-0.15665461197088526,False,False,False
SMALL,GROSS=0.35,GROSS,0.35,False,0.03992507951377888,0.5035891971098082,-0.1809676143303225,0.6571515532616116,0.392421493776145,0.036996964200484816,0.45161823319396205,-0.1809676143303226,False,False,False
SMALL,GROSS=0.4,GROSS,0.4,False,0.045173389769412875,0.5038351718689906,-0.20478431313923773,0.657452697800247,0.39264265420340555,0.041744915914491365,0.45185230597312914,-0.20478431313923762,False,False,False
SMALL,GROSS=0.45,GROSS,0.45,False,0.05030034743025369,0.5040774267910948,-0.22811096489778493,0.657747873865279,0.3928632251640824,0.046350757353384786,0.4520840558036506,-0.2281109648977847,False,False,False
SMALL,GROSS=0.5,GROSS,0.5,False,0.055303508562195125,0.5043162650411646,-0.2509545067422455,0.6580376159820459,0.3930833943858144,0.05081194822592927,0.45231352407369635,-0.2509545067422456,False,False,False
SMALL,GROSS=0.55,GROSS,0.55,False,0.06018044127689359,0.5045519515740285,-0.27332084801074585,0.6583216504211246,0.3933038636925836,0.05512600881869556,0.4525410968837966,-0.27332084801074585,False,False,False
SMALL,GROSS=0.6,GROSS,0.6,False,0.06492866381748574,0.5047842385580461,-0.2952165588976303,0.6585995148155477,0.393524617426103,0.05929046482005251,0.4527669138269715,-0.29521655889763,False,False,False
SMALL,GROSS=0.65,GROSS,0.65,False,0.06954566905738635,0.5050127510731142,-0.3166477046397893,0.6588712539160719,0.39374496592241404,0.06330270992775588,0.4529902531068629,-0.3166477046397893,False,False,False
SMALL,GROSS=0.7,GROSS,0.7,False,0.07402901344573598,0.5052375536564763,-0.3376200744159876,0.6591363358240978,0.39396546143991745,0.0671603371524252,0.45321159613201323,-0.3376200744159876,False,False,False
SMALL,GROSS=0.75,GROSS,0.75,True,0.07837619925720163,0.5054582547554105,-0.3581405418032818,0.6593951268632167,0.39418522800842726,0.07086077006544778,0.4534302580652866,-0.3581405418032817,False,False,False
