arm,n,selector,g,k,draw,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_margin,OOS_fails,v1_OOS_CAGR,v1_OOS_Sharpe,v1_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,d_vs_v1,d_vs_spy,f4a,f4b,pass4b,pass4a
CEILING,20,S1 IS-Sharpe argmax,1.0,20,19,1.3234510010472016,0.11158295219671,1.1031073262183624,-0.1393491359296828,0.03171284129399822,-,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.5268567884145391,0.2210834026211308,-,-,True,True
CEILING,20,S2 4b-aware IS screen (7 adm),1.0,20,19,1.3234510010472016,0.11158295219671,1.1031073262183624,-0.1393491359296828,0.03171284129399822,-,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.5268567884145391,0.2210834026211308,-,-,True,True
MAXMARG,5,S0 do-nothing (full B136),0.4,-1,-1,0.9785664372591713,0.08741780588172254,0.8039526989985262,-0.1307170826410129,-0.24138842954805378,"H1,OOS,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.22770216119470288,-0.07807122459870541,-,"H2,OOS,CAGR",False,True
MAXMARG,5,S1 IS-Sharpe argmax,0.4,20,39,1.3578425619386663,0.08253959843884973,0.9047357126946237,-0.11557060563314947,-0.23682639732915978,"H1,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3284851748908004,0.022711789097392132,-,CAGR,False,True
MAXMARG,5,S2 4b-aware IS screen (23 adm),0.4,20,39,1.3578425619386663,0.08253959843884973,0.9047357126946237,-0.11557060563314947,-0.23682639732915978,"H1,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3284851748908004,0.022711789097392132,-,CAGR,False,True
MAXMARG,20,S0 do-nothing (full B136),0.6,-1,-1,1.0424199099549711,0.10030468193072295,0.8907314646521738,-0.1623681822401819,-0.0725677502473519,"H1,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3144809268483505,0.008707541054942203,-,"H2,CAGR",False,True
MAXMARG,20,S1 IS-Sharpe argmax,0.9,20,19,1.323245485142555,0.10042284817169267,1.1036698376931484,-0.12583852618799296,-0.07147516732302689,CAGR,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.5274192998893251,0.22164591409591683,-,-,True,True
MAXMARG,20,S2 4b-aware IS screen (39 adm),0.9,20,19,1.323245485142555,0.10042284817169267,1.1036698376931484,-0.12583852618799296,-0.07147516732302689,CAGR,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.5274192998893251,0.22164591409591683,-,-,True,True
MIDPOINT,5,S0 do-nothing (full B136),0.4,-1,-1,0.9785664372591713,0.08741780588172254,0.8039526989985262,-0.1307170826410129,-0.24138842954805378,"H1,OOS,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.22770216119470288,-0.07807122459870541,-,"H2,OOS,CAGR",False,True
MIDPOINT,5,S1 IS-Sharpe argmax,0.45,20,39,1.3580552060484548,0.0927168918985195,0.9051881780088249,-0.12944528326592253,-0.14272560374692722,"H1,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3289376402050016,0.02316425441159331,-,-,True,True
MIDPOINT,5,S2 4b-aware IS screen (23 adm),0.45,20,39,1.3580552060484548,0.0927168918985195,0.9051881780088249,-0.12944528326592253,-0.14272560374692722,"H1,CAGR",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3289376402050016,0.02316425441159331,-,-,True,True
MIDPOINT,20,S0 do-nothing (full B136),0.6499999999999999,-1,-1,1.04290223523644,0.10852329699930752,0.8911365396892873,-0.17519266285141322,-0.06855277153322835,H1,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.314886001885464,0.009112616092055714,-,H2,False,True
MIDPOINT,20,S1 IS-Sharpe argmax,0.9,20,19,1.323245485142555,0.10042284817169267,1.1036698376931484,-0.12583852618799296,-0.07147516732302689,CAGR,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.5274192998893251,0.22164591409591683,-,-,True,True
MIDPOINT,20,S2 4b-aware IS screen (39 adm),0.9,20,19,1.323245485142555,0.10042284817169267,1.1036698376931484,-0.12583852618799296,-0.07147516732302689,CAGR,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.5274192998893251,0.22164591409591683,-,-,True,True
