window,start,length,days_in,share,ex_in_bps,ex_out_bps,diff_bps,t,vol_in,vol_out,universe
placebo(+45d),14,28,1435,0.3053841242817621,2.9208313907958003,2.32798158006312,0.5928498107326803,1.0928590675308505,0.2599032483561909,0.2799516382236511,broad
placebo(+45d),21,14,730,0.1553522025962971,2.9592408318163854,2.426250180131402,0.5329906516849834,0.770431770446431,0.2654004668285877,0.275533489491743,broad
placebo(+45d),21,21,1078,0.2294105128750798,2.929010546567226,2.3840177835747607,0.5449927629924651,0.9167738914990483,0.262966906400786,0.2771794897956859,broad
placebo(+45d),21,28,1348,0.2868695467120664,2.3979295682734083,2.5538044358312124,-0.1558748675578039,-0.2852341228798697,0.25592903675166084,0.2809223505830894,broad
placebo(+45d),28,14,718,0.15279846775909767,3.06490340501603,2.4088002646558913,0.6561031403601387,0.9504564438131146,0.26250733641387636,0.2760028982624692,broad
placebo(+45d),28,21,988,0.21025750159608428,2.3031789108281457,2.5639147670022946,-0.2607358561741485,-0.4375235432584333,0.25296965545186295,0.2793141242180512,broad
placebo(+45d),28,28,988,0.21025750159608428,2.3031789108281457,2.5639147670022946,-0.2607358561741485,-0.4375235432584333,0.25296965545186295,0.2793141242180512,broad
placebo(+45d),35,14,618,0.13151734411576932,1.7349509773770386,2.626352141807363,-0.8914011644303244,-1.2891357080462857,0.24426754785646812,0.27820830806132085,broad
placebo(+45d),35,21,618,0.13151734411576932,1.7349509773770386,2.626352141807363,-0.8914011644303244,-1.2891357080462857,0.24426754785646812,0.27820830806132085,broad
placebo(+45d),35,28,618,0.13151734411576932,1.7349509773770386,2.626352141807363,-0.8914011644303244,-1.2891357080462857,0.24426754785646812,0.27820830806132085,broad
