universe,book,conv,f,corr_uncond,corr_uncond_raw,corr_crisis_q05,corr_crisis_q05_raw,corr_crisis_q10,corr_crisis_q10_raw,corr_crisis_q20,corr_crisis_q20_raw
u56,ewall,natural,1.0,,0.5272727272727272,,0.8181818181818182,,0.709090909090909,,0.6727272727272726
u56,top20,matched,0.25,-0.8424242424242423,-0.6727272727272726,-0.8666666666666665,-0.6,-0.8666666666666665,-0.6,-0.8666666666666665,-0.6
u56,top20,matched,0.5,-0.8787878787878788,-0.4787878787878787,-0.9151515151515152,-0.3939393939393939,-0.9151515151515152,-0.3939393939393939,-0.9151515151515152,-0.3939393939393939
u56,top20,matched,0.75,-0.9393939393939393,-0.11515151515151514,-0.9757575757575757,0.006060606060606061,-0.9757575757575757,0.006060606060606061,-0.9757575757575757,0.006060606060606061
u56,top20,matched,1.0,,0.6606060606060605,,0.7333333333333332,,0.7333333333333332,,0.7333333333333332
u56,top20,natural,0.25,-0.7939393939393938,-0.709090909090909,-0.8303030303030302,-0.6242424242424242,-0.8303030303030302,-0.6242424242424242,-0.8303030303030302,-0.6242424242424242
u56,top20,natural,0.5,-0.8181818181818182,-0.6727272727272726,-0.8424242424242423,-0.6,-0.8424242424242423,-0.6,-0.8424242424242423,-0.6
u56,top20,natural,0.75,-0.9272727272727272,-0.3939393939393939,-0.9515151515151514,-0.29696969696969694,-0.9515151515151514,-0.29696969696969694,-0.9515151515151514,-0.29696969696969694
u56,top20,natural,1.0,,0.5272727272727272,,0.6121212121212121,,0.6121212121212121,,0.6121212121212121
u56,v1,matched,0.25,-0.12727272727272726,0.7212121212121211,-0.4545454545454545,0.8666666666666665,-0.2727272727272727,0.7818181818181817,-0.2727272727272727,0.7818181818181817
u56,v1,matched,0.5,0.17575757575757575,0.7333333333333332,-0.06666666666666665,0.8909090909090909,0.07878787878787878,0.8060606060606059,0.07878787878787878,0.8060606060606059
u56,v1,matched,0.75,0.406060606060606,0.8424242424242423,0.4666666666666666,0.9757575757575757,0.4424242424242424,0.9151515151515152,0.4424242424242424,0.9151515151515152
u56,v1,matched,1.0,,0.8545454545454544,,0.9878787878787878,,0.9272727272727272,,0.9272727272727272
u56,v1,natural,0.25,-0.6363636363636362,0.6969696969696969,-0.8666666666666665,0.8545454545454544,-0.7333333333333332,0.7696969696969697,-0.7333333333333332,0.7696969696969697
u56,v1,natural,0.5,-0.709090909090909,0.6606060606060605,-0.9151515151515152,0.8424242424242423,-0.8060606060606059,0.7454545454545454,-0.8060606060606059,0.7454545454545454
u56,v1,natural,0.75,-0.709090909090909,0.6727272727272726,-0.8787878787878788,0.8545454545454544,-0.8060606060606059,0.7575757575757575,-0.8060606060606059,0.7575757575757575
u56,v1,natural,1.0,,0.7818181818181817,,0.9393939393939393,,0.8666666666666665,,0.8666666666666665
