claim_set,split,est,D,bar,n,agree,disagree,agree_rate
ALL,FULL_vs_OOS,POOLED,12,1.0,607,603,4,0.9934102141680395
ALL,FULL_vs_OOS,POOLED,12,2.0,607,601,6,0.9901153212520593
ALL,FULL_vs_OOS,POOLED,24,1.0,607,598,9,0.985172981878089
ALL,FULL_vs_OOS,POOLED,24,2.0,607,594,13,0.9785831960461285
ALL,FULL_vs_OOS,RSS_INDEP,3,1.0,607,567,40,0.9341021416803954
ALL,FULL_vs_OOS,RSS_INDEP,3,2.0,607,581,26,0.957166392092257
ALL,FULL_vs_OOS,RSS_INDEP,6,1.0,607,595,12,0.9802306425041186
ALL,FULL_vs_OOS,RSS_INDEP,6,2.0,607,587,20,0.9670510708401977
ALL,FULL_vs_OOS,RSS_INDEP,12,1.0,607,603,4,0.9934102141680395
ALL,FULL_vs_OOS,RSS_INDEP,12,2.0,607,601,6,0.9901153212520593
ALL,FULL_vs_OOS,RSS_INDEP,24,1.0,607,603,4,0.9934102141680395
ALL,FULL_vs_OOS,RSS_INDEP,24,2.0,607,603,4,0.9934102141680395
ALL,FULL_vs_OOS,PAIR_INDEP,3,1.0,607,557,50,0.9176276771004942
ALL,FULL_vs_OOS,PAIR_INDEP,3,2.0,607,558,49,0.9192751235584844
ALL,FULL_vs_OOS,PAIR_INDEP,6,1.0,607,587,20,0.9670510708401977
ALL,FULL_vs_OOS,PAIR_INDEP,6,2.0,607,582,25,0.9588138385502472
ALL,FULL_vs_OOS,PAIR_INDEP,12,1.0,607,606,1,0.9983525535420099
ALL,FULL_vs_OOS,PAIR_INDEP,12,2.0,607,602,5,0.9917627677100495
ALL,FULL_vs_OOS,PAIR_INDEP,24,1.0,607,606,1,0.9983525535420099
ALL,FULL_vs_OOS,PAIR_INDEP,24,2.0,607,603,4,0.9934102141680395
ALL,IS_vs_OOS,POOLED,3,1.0,607,565,42,0.9308072487644151
ALL,IS_vs_OOS,POOLED,3,2.0,607,567,40,0.9341021416803954
ALL,IS_vs_OOS,POOLED,6,1.0,607,567,40,0.9341021416803954
ALL,IS_vs_OOS,POOLED,6,2.0,607,569,38,0.9373970345963756
ALL,IS_vs_OOS,POOLED,12,1.0,607,572,35,0.942339373970346
ALL,IS_vs_OOS,POOLED,12,2.0,607,570,37,0.9390444810543658
ALL,IS_vs_OOS,POOLED,24,1.0,607,586,21,0.9654036243822076
ALL,IS_vs_OOS,POOLED,24,2.0,607,579,28,0.9538714991762768
ALL,IS_vs_OOS,RSS_INDEP,3,1.0,607,567,40,0.9341021416803954
ALL,IS_vs_OOS,RSS_INDEP,3,2.0,607,565,42,0.9308072487644151
ALL,IS_vs_OOS,RSS_INDEP,6,1.0,607,564,43,0.929159802306425
ALL,IS_vs_OOS,RSS_INDEP,6,2.0,607,572,35,0.942339373970346
ALL,IS_vs_OOS,RSS_INDEP,12,1.0,607,577,30,0.9505766062602965
ALL,IS_vs_OOS,RSS_INDEP,12,2.0,607,575,32,0.9472817133443163
ALL,IS_vs_OOS,RSS_INDEP,24,1.0,607,581,26,0.957166392092257
ALL,IS_vs_OOS,RSS_INDEP,24,2.0,607,584,23,0.9621087314662273
ALL,IS_vs_OOS,PAIR_INDEP,3,1.0,607,527,80,0.8682042833607908
ALL,IS_vs_OOS,PAIR_INDEP,3,2.0,607,541,66,0.8912685337726524
ALL,IS_vs_OOS,PAIR_INDEP,6,1.0,607,541,66,0.8912685337726524
ALL,IS_vs_OOS,PAIR_INDEP,6,2.0,607,567,40,0.9341021416803954
ALL,IS_vs_OOS,PAIR_INDEP,12,1.0,607,560,47,0.9225700164744646
ALL,IS_vs_OOS,PAIR_INDEP,12,2.0,607,571,36,0.9406919275123559
ALL,IS_vs_OOS,PAIR_INDEP,24,1.0,607,564,43,0.929159802306425
ALL,IS_vs_OOS,PAIR_INDEP,24,2.0,607,585,22,0.9637561779242174
ALL,ALL3,POOLED,3,1.0,607,562,45,0.9258649093904449
ALL,ALL3,POOLED,3,2.0,607,565,42,0.9308072487644151
ALL,ALL3,POOLED,6,1.0,607,566,41,0.9324546952224053
ALL,ALL3,POOLED,6,2.0,607,563,44,0.9275123558484349
ALL,ALL3,POOLED,12,1.0,607,568,39,0.9357495881383855
ALL,ALL3,POOLED,12,2.0,607,564,43,0.929159802306425
ALL,ALL3,POOLED,24,1.0,607,577,30,0.9505766062602965
ALL,ALL3,POOLED,24,2.0,607,566,41,0.9324546952224053
ALL,ALL3,RSS_INDEP,3,1.0,607,549,58,0.9044481054365733
ALL,ALL3,RSS_INDEP,3,2.0,607,555,52,0.914332784184514
ALL,ALL3,RSS_INDEP,6,1.0,607,562,45,0.9258649093904449
ALL,ALL3,RSS_INDEP,6,2.0,607,567,40,0.9341021416803954
ALL,ALL3,RSS_INDEP,12,1.0,607,574,33,0.9456342668863262
ALL,ALL3,RSS_INDEP,12,2.0,607,572,35,0.942339373970346
ALL,ALL3,RSS_INDEP,24,1.0,607,578,29,0.9522240527182867
ALL,ALL3,RSS_INDEP,24,2.0,607,580,27,0.9555189456342669
ALL,ALL3,PAIR_INDEP,3,1.0,607,514,93,0.8467874794069192
ALL,ALL3,PAIR_INDEP,3,2.0,607,533,74,0.8780889621087314
ALL,ALL3,PAIR_INDEP,6,1.0,607,536,71,0.8830313014827018
ALL,ALL3,PAIR_INDEP,6,2.0,607,563,44,0.9275123558484349
ALL,ALL3,PAIR_INDEP,12,1.0,607,560,47,0.9225700164744646
ALL,ALL3,PAIR_INDEP,12,2.0,607,570,37,0.9390444810543658
ALL,ALL3,PAIR_INDEP,24,1.0,607,564,43,0.929159802306425
ALL,ALL3,PAIR_INDEP,24,2.0,607,581,26,0.957166392092257
2PANEL,FULL_vs_IS,POOLED,3,1.0,345,328,17,0.9507246376811594
2PANEL,FULL_vs_IS,POOLED,3,2.0,345,320,25,0.927536231884058
2PANEL,FULL_vs_IS,POOLED,6,1.0,345,332,13,0.9623188405797102
2PANEL,FULL_vs_IS,POOLED,6,2.0,345,320,25,0.927536231884058
2PANEL,FULL_vs_IS,POOLED,12,1.0,345,332,13,0.9623188405797102
2PANEL,FULL_vs_IS,POOLED,12,2.0,345,318,27,0.9217391304347826
2PANEL,FULL_vs_IS,POOLED,24,1.0,345,333,12,0.9652173913043478
2PANEL,FULL_vs_IS,POOLED,24,2.0,345,322,23,0.9333333333333333
2PANEL,FULL_vs_IS,RSS_INDEP,3,1.0,345,327,18,0.9478260869565217
2PANEL,FULL_vs_IS,RSS_INDEP,3,2.0,345,318,27,0.9217391304347826
2PANEL,FULL_vs_IS,RSS_INDEP,6,1.0,345,328,17,0.9507246376811594
2PANEL,FULL_vs_IS,RSS_INDEP,6,2.0,345,331,14,0.9594202898550724
2PANEL,FULL_vs_IS,RSS_INDEP,12,1.0,345,331,14,0.9594202898550724
2PANEL,FULL_vs_IS,RSS_INDEP,12,2.0,345,321,24,0.9304347826086956
2PANEL,FULL_vs_IS,RSS_INDEP,24,1.0,345,334,11,0.9681159420289855
2PANEL,FULL_vs_IS,RSS_INDEP,24,2.0,345,323,22,0.936231884057971
2PANEL,FULL_vs_IS,PAIR_INDEP,3,1.0,345,327,18,0.9478260869565217
2PANEL,FULL_vs_IS,PAIR_INDEP,3,2.0,345,318,27,0.9217391304347826
2PANEL,FULL_vs_IS,PAIR_INDEP,6,1.0,345,328,17,0.9507246376811594
2PANEL,FULL_vs_IS,PAIR_INDEP,6,2.0,345,331,14,0.9594202898550724
2PANEL,FULL_vs_IS,PAIR_INDEP,12,1.0,345,331,14,0.9594202898550724
2PANEL,FULL_vs_IS,PAIR_INDEP,12,2.0,345,321,24,0.9304347826086956
2PANEL,FULL_vs_IS,PAIR_INDEP,24,1.0,345,334,11,0.9681159420289855
2PANEL,FULL_vs_IS,PAIR_INDEP,24,2.0,345,323,22,0.936231884057971
2PANEL,FULL_vs_OOS,POOLED,3,1.0,345,345,0,1.0
2PANEL,FULL_vs_OOS,POOLED,3,2.0,345,343,2,0.9942028985507246
2PANEL,FULL_vs_OOS,POOLED,6,1.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,POOLED,6,2.0,345,342,3,0.991304347826087
2PANEL,FULL_vs_OOS,POOLED,12,1.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,POOLED,12,2.0,345,342,3,0.991304347826087
2PANEL,FULL_vs_OOS,POOLED,24,1.0,345,341,4,0.9884057971014493
2PANEL,FULL_vs_OOS,POOLED,24,2.0,345,338,7,0.9797101449275363
2PANEL,FULL_vs_OOS,RSS_INDEP,3,1.0,345,320,25,0.927536231884058
2PANEL,FULL_vs_OOS,RSS_INDEP,3,2.0,345,327,18,0.9478260869565217
2PANEL,FULL_vs_OOS,RSS_INDEP,6,1.0,345,333,12,0.9652173913043478
2PANEL,FULL_vs_OOS,RSS_INDEP,6,2.0,345,329,16,0.9536231884057971
2PANEL,FULL_vs_OOS,RSS_INDEP,12,1.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,RSS_INDEP,12,2.0,345,342,3,0.991304347826087
2PANEL,FULL_vs_OOS,RSS_INDEP,24,1.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,RSS_INDEP,24,2.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,PAIR_INDEP,3,1.0,345,320,25,0.927536231884058
2PANEL,FULL_vs_OOS,PAIR_INDEP,3,2.0,345,327,18,0.9478260869565217
2PANEL,FULL_vs_OOS,PAIR_INDEP,6,1.0,345,333,12,0.9652173913043478
2PANEL,FULL_vs_OOS,PAIR_INDEP,6,2.0,345,329,16,0.9536231884057971
2PANEL,FULL_vs_OOS,PAIR_INDEP,12,1.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,PAIR_INDEP,12,2.0,345,342,3,0.991304347826087
2PANEL,FULL_vs_OOS,PAIR_INDEP,24,1.0,345,344,1,0.9971014492753624
2PANEL,FULL_vs_OOS,PAIR_INDEP,24,2.0,345,344,1,0.9971014492753624
2PANEL,IS_vs_OOS,POOLED,3,1.0,345,328,17,0.9507246376811594
2PANEL,IS_vs_OOS,POOLED,3,2.0,345,322,23,0.9333333333333333
2PANEL,IS_vs_OOS,POOLED,6,1.0,345,331,14,0.9594202898550724
2PANEL,IS_vs_OOS,POOLED,6,2.0,345,323,22,0.936231884057971
2PANEL,IS_vs_OOS,POOLED,12,1.0,345,333,12,0.9652173913043478
2PANEL,IS_vs_OOS,POOLED,12,2.0,345,321,24,0.9304347826086956
2PANEL,IS_vs_OOS,POOLED,24,1.0,345,337,8,0.9768115942028985
2PANEL,IS_vs_OOS,POOLED,24,2.0,345,329,16,0.9536231884057971
2PANEL,IS_vs_OOS,RSS_INDEP,3,1.0,345,318,27,0.9217391304347826
2PANEL,IS_vs_OOS,RSS_INDEP,3,2.0,345,308,37,0.8927536231884058
2PANEL,IS_vs_OOS,RSS_INDEP,6,1.0,345,320,25,0.927536231884058
2PANEL,IS_vs_OOS,RSS_INDEP,6,2.0,345,317,28,0.9188405797101449
2PANEL,IS_vs_OOS,RSS_INDEP,12,1.0,345,330,15,0.9565217391304348
2PANEL,IS_vs_OOS,RSS_INDEP,12,2.0,345,318,27,0.9217391304347826
2PANEL,IS_vs_OOS,RSS_INDEP,24,1.0,345,333,12,0.9652173913043478
2PANEL,IS_vs_OOS,RSS_INDEP,24,2.0,345,324,21,0.9391304347826087
2PANEL,IS_vs_OOS,PAIR_INDEP,3,1.0,345,318,27,0.9217391304347826
2PANEL,IS_vs_OOS,PAIR_INDEP,3,2.0,345,308,37,0.8927536231884058
2PANEL,IS_vs_OOS,PAIR_INDEP,6,1.0,345,320,25,0.927536231884058
2PANEL,IS_vs_OOS,PAIR_INDEP,6,2.0,345,317,28,0.9188405797101449
2PANEL,IS_vs_OOS,PAIR_INDEP,12,1.0,345,330,15,0.9565217391304348
2PANEL,IS_vs_OOS,PAIR_INDEP,12,2.0,345,318,27,0.9217391304347826
2PANEL,IS_vs_OOS,PAIR_INDEP,24,1.0,345,333,12,0.9652173913043478
2PANEL,IS_vs_OOS,PAIR_INDEP,24,2.0,345,324,21,0.9391304347826087
2PANEL,ALL3,POOLED,3,1.0,345,328,17,0.9507246376811594
2PANEL,ALL3,POOLED,3,2.0,345,320,25,0.927536231884058
2PANEL,ALL3,POOLED,6,1.0,345,331,14,0.9594202898550724
2PANEL,ALL3,POOLED,6,2.0,345,320,25,0.927536231884058
2PANEL,ALL3,POOLED,12,1.0,345,332,13,0.9623188405797102
2PANEL,ALL3,POOLED,12,2.0,345,318,27,0.9217391304347826
2PANEL,ALL3,POOLED,24,1.0,345,333,12,0.9652173913043478
2PANEL,ALL3,POOLED,24,2.0,345,322,23,0.9333333333333333
2PANEL,ALL3,RSS_INDEP,3,1.0,345,310,35,0.8985507246376812
2PANEL,ALL3,RSS_INDEP,3,2.0,345,304,41,0.881159420289855
2PANEL,ALL3,RSS_INDEP,6,1.0,345,318,27,0.9217391304347826
2PANEL,ALL3,RSS_INDEP,6,2.0,345,316,29,0.9159420289855073
2PANEL,ALL3,RSS_INDEP,12,1.0,345,330,15,0.9565217391304348
2PANEL,ALL3,RSS_INDEP,12,2.0,345,318,27,0.9217391304347826
2PANEL,ALL3,RSS_INDEP,24,1.0,345,333,12,0.9652173913043478
2PANEL,ALL3,RSS_INDEP,24,2.0,345,323,22,0.936231884057971
2PANEL,ALL3,PAIR_INDEP,3,1.0,345,310,35,0.8985507246376812
2PANEL,ALL3,PAIR_INDEP,3,2.0,345,304,41,0.881159420289855
2PANEL,ALL3,PAIR_INDEP,6,1.0,345,318,27,0.9217391304347826
2PANEL,ALL3,PAIR_INDEP,6,2.0,345,316,29,0.9159420289855073
2PANEL,ALL3,PAIR_INDEP,12,1.0,345,330,15,0.9565217391304348
2PANEL,ALL3,PAIR_INDEP,12,2.0,345,318,27,0.9217391304347826
2PANEL,ALL3,PAIR_INDEP,24,1.0,345,333,12,0.9652173913043478
2PANEL,ALL3,PAIR_INDEP,24,2.0,345,323,22,0.936231884057971
3PANEL,FULL_vs_IS,POOLED,3,1.0,262,234,28,0.8931297709923665
3PANEL,FULL_vs_IS,POOLED,3,2.0,262,245,17,0.9351145038167938
3PANEL,FULL_vs_IS,POOLED,6,1.0,262,236,26,0.9007633587786259
3PANEL,FULL_vs_IS,POOLED,6,2.0,262,243,19,0.9274809160305344
3PANEL,FULL_vs_IS,POOLED,12,1.0,262,236,26,0.9007633587786259
3PANEL,FULL_vs_IS,POOLED,12,2.0,262,246,16,0.9389312977099237
3PANEL,FULL_vs_IS,POOLED,24,1.0,262,244,18,0.9312977099236641
3PANEL,FULL_vs_IS,POOLED,24,2.0,262,244,18,0.9312977099236641
3PANEL,FULL_vs_IS,RSS_INDEP,3,1.0,262,244,18,0.9312977099236641
3PANEL,FULL_vs_IS,RSS_INDEP,3,2.0,262,253,9,0.9656488549618321
3PANEL,FULL_vs_IS,RSS_INDEP,6,1.0,262,244,18,0.9312977099236641
3PANEL,FULL_vs_IS,RSS_INDEP,6,2.0,262,251,11,0.9580152671755725
3PANEL,FULL_vs_IS,RSS_INDEP,12,1.0,262,244,18,0.9312977099236641
3PANEL,FULL_vs_IS,RSS_INDEP,12,2.0,262,254,8,0.9694656488549618
3PANEL,FULL_vs_IS,RSS_INDEP,24,1.0,262,245,17,0.9351145038167938
3PANEL,FULL_vs_IS,RSS_INDEP,24,2.0,262,257,5,0.9809160305343512
3PANEL,FULL_vs_IS,PAIR_INDEP,3,1.0,262,224,38,0.8549618320610687
3PANEL,FULL_vs_IS,PAIR_INDEP,3,2.0,262,256,6,0.9770992366412213
3PANEL,FULL_vs_IS,PAIR_INDEP,6,1.0,262,223,39,0.851145038167939
3PANEL,FULL_vs_IS,PAIR_INDEP,6,2.0,262,253,9,0.9656488549618321
3PANEL,FULL_vs_IS,PAIR_INDEP,12,1.0,262,230,32,0.8778625954198473
3PANEL,FULL_vs_IS,PAIR_INDEP,12,2.0,262,253,9,0.9656488549618321
3PANEL,FULL_vs_IS,PAIR_INDEP,24,1.0,262,231,31,0.8816793893129771
3PANEL,FULL_vs_IS,PAIR_INDEP,24,2.0,262,258,4,0.9847328244274809
3PANEL,FULL_vs_OOS,POOLED,3,1.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,POOLED,3,2.0,262,262,0,1.0
3PANEL,FULL_vs_OOS,POOLED,6,1.0,262,260,2,0.9923664122137404
3PANEL,FULL_vs_OOS,POOLED,6,2.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,POOLED,12,1.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,POOLED,12,2.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,POOLED,24,1.0,262,257,5,0.9809160305343512
3PANEL,FULL_vs_OOS,POOLED,24,2.0,262,256,6,0.9770992366412213
3PANEL,FULL_vs_OOS,RSS_INDEP,3,1.0,262,247,15,0.9427480916030534
3PANEL,FULL_vs_OOS,RSS_INDEP,3,2.0,262,254,8,0.9694656488549618
3PANEL,FULL_vs_OOS,RSS_INDEP,6,1.0,262,262,0,1.0
3PANEL,FULL_vs_OOS,RSS_INDEP,6,2.0,262,258,4,0.9847328244274809
3PANEL,FULL_vs_OOS,RSS_INDEP,12,1.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,RSS_INDEP,12,2.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,RSS_INDEP,24,1.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,RSS_INDEP,24,2.0,262,259,3,0.9885496183206107
3PANEL,FULL_vs_OOS,PAIR_INDEP,3,1.0,262,237,25,0.9045801526717557
3PANEL,FULL_vs_OOS,PAIR_INDEP,3,2.0,262,231,31,0.8816793893129771
3PANEL,FULL_vs_OOS,PAIR_INDEP,6,1.0,262,254,8,0.9694656488549618
3PANEL,FULL_vs_OOS,PAIR_INDEP,6,2.0,262,253,9,0.9656488549618321
3PANEL,FULL_vs_OOS,PAIR_INDEP,12,1.0,262,262,0,1.0
3PANEL,FULL_vs_OOS,PAIR_INDEP,12,2.0,262,260,2,0.9923664122137404
3PANEL,FULL_vs_OOS,PAIR_INDEP,24,1.0,262,262,0,1.0
3PANEL,FULL_vs_OOS,PAIR_INDEP,24,2.0,262,259,3,0.9885496183206107
3PANEL,IS_vs_OOS,POOLED,3,1.0,262,237,25,0.9045801526717557
3PANEL,IS_vs_OOS,POOLED,3,2.0,262,245,17,0.9351145038167938
3PANEL,IS_vs_OOS,POOLED,6,1.0,262,236,26,0.9007633587786259
3PANEL,IS_vs_OOS,POOLED,6,2.0,262,246,16,0.9389312977099237
3PANEL,IS_vs_OOS,POOLED,12,1.0,262,239,23,0.9122137404580153
3PANEL,IS_vs_OOS,POOLED,12,2.0,262,249,13,0.950381679389313
3PANEL,IS_vs_OOS,POOLED,24,1.0,262,249,13,0.950381679389313
3PANEL,IS_vs_OOS,POOLED,24,2.0,262,250,12,0.9541984732824428
3PANEL,IS_vs_OOS,RSS_INDEP,3,1.0,262,249,13,0.950381679389313
3PANEL,IS_vs_OOS,RSS_INDEP,3,2.0,262,257,5,0.9809160305343512
3PANEL,IS_vs_OOS,RSS_INDEP,6,1.0,262,244,18,0.9312977099236641
3PANEL,IS_vs_OOS,RSS_INDEP,6,2.0,262,255,7,0.9732824427480916
3PANEL,IS_vs_OOS,RSS_INDEP,12,1.0,262,247,15,0.9427480916030534
3PANEL,IS_vs_OOS,RSS_INDEP,12,2.0,262,257,5,0.9809160305343512
3PANEL,IS_vs_OOS,RSS_INDEP,24,1.0,262,248,14,0.9465648854961832
3PANEL,IS_vs_OOS,RSS_INDEP,24,2.0,262,260,2,0.9923664122137404
3PANEL,IS_vs_OOS,PAIR_INDEP,3,1.0,262,209,53,0.7977099236641222
3PANEL,IS_vs_OOS,PAIR_INDEP,3,2.0,262,233,29,0.8893129770992366
3PANEL,IS_vs_OOS,PAIR_INDEP,6,1.0,262,221,41,0.8435114503816794
3PANEL,IS_vs_OOS,PAIR_INDEP,6,2.0,262,250,12,0.9541984732824428
3PANEL,IS_vs_OOS,PAIR_INDEP,12,1.0,262,230,32,0.8778625954198473
3PANEL,IS_vs_OOS,PAIR_INDEP,12,2.0,262,253,9,0.9656488549618321
3PANEL,IS_vs_OOS,PAIR_INDEP,24,1.0,262,231,31,0.8816793893129771
3PANEL,IS_vs_OOS,PAIR_INDEP,24,2.0,262,261,1,0.9961832061068703
3PANEL,ALL3,POOLED,3,1.0,262,234,28,0.8931297709923665
3PANEL,ALL3,POOLED,3,2.0,262,245,17,0.9351145038167938
3PANEL,ALL3,POOLED,6,1.0,262,235,27,0.8969465648854962
3PANEL,ALL3,POOLED,6,2.0,262,243,19,0.9274809160305344
3PANEL,ALL3,POOLED,12,1.0,262,236,26,0.9007633587786259
3PANEL,ALL3,POOLED,12,2.0,262,246,16,0.9389312977099237
3PANEL,ALL3,POOLED,24,1.0,262,244,18,0.9312977099236641
3PANEL,ALL3,POOLED,24,2.0,262,244,18,0.9312977099236641
3PANEL,ALL3,RSS_INDEP,3,1.0,262,239,23,0.9122137404580153
3PANEL,ALL3,RSS_INDEP,3,2.0,262,251,11,0.9580152671755725
3PANEL,ALL3,RSS_INDEP,6,1.0,262,244,18,0.9312977099236641
3PANEL,ALL3,RSS_INDEP,6,2.0,262,251,11,0.9580152671755725
3PANEL,ALL3,RSS_INDEP,12,1.0,262,244,18,0.9312977099236641
3PANEL,ALL3,RSS_INDEP,12,2.0,262,254,8,0.9694656488549618
3PANEL,ALL3,RSS_INDEP,24,1.0,262,245,17,0.9351145038167938
3PANEL,ALL3,RSS_INDEP,24,2.0,262,257,5,0.9809160305343512
3PANEL,ALL3,PAIR_INDEP,3,1.0,262,204,58,0.7786259541984732
3PANEL,ALL3,PAIR_INDEP,3,2.0,262,229,33,0.8740458015267175
3PANEL,ALL3,PAIR_INDEP,6,1.0,262,218,44,0.8320610687022901
3PANEL,ALL3,PAIR_INDEP,6,2.0,262,247,15,0.9427480916030534
3PANEL,ALL3,PAIR_INDEP,12,1.0,262,230,32,0.8778625954198473
3PANEL,ALL3,PAIR_INDEP,12,2.0,262,252,10,0.9618320610687023
3PANEL,ALL3,PAIR_INDEP,24,1.0,262,231,31,0.8816793893129771
3PANEL,ALL3,PAIR_INDEP,24,2.0,262,258,4,0.9847328244274809
NESTED_PAIR,FULL_vs_IS,POOLED,3,1.0,366,332,34,0.907103825136612
NESTED_PAIR,FULL_vs_IS,POOLED,3,2.0,366,342,24,0.9344262295081968
NESTED_PAIR,FULL_vs_IS,POOLED,6,1.0,366,336,30,0.9180327868852459
NESTED_PAIR,FULL_vs_IS,POOLED,6,2.0,366,343,23,0.9371584699453552
NESTED_PAIR,FULL_vs_IS,POOLED,12,1.0,366,336,30,0.9180327868852459
NESTED_PAIR,FULL_vs_IS,POOLED,12,2.0,366,342,24,0.9344262295081968
NESTED_PAIR,FULL_vs_IS,POOLED,24,1.0,366,344,22,0.9398907103825137
NESTED_PAIR,FULL_vs_IS,POOLED,24,2.0,366,347,19,0.9480874316939891
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,3,1.0,366,353,13,0.9644808743169399
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,3,2.0,366,341,25,0.9316939890710383
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,6,1.0,366,353,13,0.9644808743169399
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,6,2.0,366,353,13,0.9644808743169399
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,12,1.0,366,357,9,0.9754098360655737
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,12,2.0,366,346,20,0.9453551912568307
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,24,1.0,366,359,7,0.9808743169398907
NESTED_PAIR,FULL_vs_IS,RSS_INDEP,24,2.0,366,347,19,0.9480874316939891
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,3,1.0,366,332,34,0.907103825136612
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,3,2.0,366,343,23,0.9371584699453552
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,6,1.0,366,334,32,0.912568306010929
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,6,2.0,366,353,13,0.9644808743169399
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,12,1.0,366,342,24,0.9344262295081968
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,12,2.0,366,347,19,0.9480874316939891
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,24,1.0,366,345,21,0.9426229508196722
NESTED_PAIR,FULL_vs_IS,PAIR_INDEP,24,2.0,366,351,15,0.9590163934426229
NESTED_PAIR,FULL_vs_OOS,POOLED,3,1.0,366,365,1,0.9972677595628415
NESTED_PAIR,FULL_vs_OOS,POOLED,3,2.0,366,365,1,0.9972677595628415
NESTED_PAIR,FULL_vs_OOS,POOLED,6,1.0,366,363,3,0.9918032786885246
NESTED_PAIR,FULL_vs_OOS,POOLED,6,2.0,366,365,1,0.9972677595628415
NESTED_PAIR,FULL_vs_OOS,POOLED,12,1.0,366,364,2,0.994535519125683
NESTED_PAIR,FULL_vs_OOS,POOLED,12,2.0,366,365,1,0.9972677595628415
NESTED_PAIR,FULL_vs_OOS,POOLED,24,1.0,366,359,7,0.9808743169398907
