panel,conv,cost_bps,chooser,pick_a,pick_gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,abs_OOS_Sharpe,abs_OOS_CAGR,base_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,full4b,beats_spy_oos,beats_base_oos,beats_abs_oos,pick_is_live,pick_is_inf
U56,A,10.0,C_ISSHARPE,1.00,0.75,0.12486855288025356,1.3455069958678925,-0.14114716706113928,1.3318413815124672,0.12773946456006335,1.2839355379722956,0.8831406547160487,0.15454794790057602,True,True,True,True,True,False
U56,A,10.0,C_ISCALMAR,INF,0.75,0.13852464950781207,1.2397071765466103,-0.17392304314971785,1.3318413815124672,0.12773946456006335,1.2839355379722956,0.8831406547160487,0.15454794790057602,True,True,False,False,False,True
U56,A,25.0,C_ISSHARPE,1.00,0.75,0.11921110249685207,1.2895382705272347,-0.141802602326342,1.2754689637891052,0.12183969460699817,1.2471042446353333,0.8831406547160487,0.15454794790057602,True,True,True,True,True,False
U56,A,25.0,C_ISCALMAR,INF,0.75,0.13104300062203,1.178665567851114,-0.1756836938565105,1.2754689637891052,0.12183969460699817,1.2471042446353333,0.8831406547160487,0.15454794790057602,True,True,False,False,False,True
U56,A,50.0,C_ISSHARPE,1.00,0.75,0.10984261565137765,1.1960055000431074,-0.14289459986206565,1.181260845927782,0.1120723488705766,1.1856242391281901,0.8831406547160487,0.15454794790057602,False,True,True,True,True,False
U56,A,50.0,C_ISCALMAR,INF,0.75,0.11867736655768168,1.0767540132346374,-0.17861367175230713,1.181260845927782,0.1120723488705766,1.1856242391281901,0.8831406547160487,0.15454794790057602,False,True,False,False,False,True
B136,G,0.0,C_ISSHARPE,1.25,0.75,0.10453102320995256,1.1981485238701493,-0.13721055904868917,1.1392361336091135,0.12186816399359124,1.1313567037098642,0.8736721309012504,0.15257181383948715,False,True,True,True,False,False
B136,G,0.0,C_ISCALMAR,1.25,0.75,0.10453102320995256,1.1981485238701493,-0.13721055904868917,1.1392361336091135,0.12186816399359124,1.1313567037098642,0.8736721309012504,0.15257181383948715,False,True,True,True,False,False
B136,G,10.0,C_ISSHARPE,1.25,0.75,0.10042164763953298,1.1548348892802807,-0.13776535161420167,1.0935817708519635,0.11650054279398891,1.1016867720596069,0.8736721309012504,0.15257181383948715,False,True,True,True,False,False
B136,G,10.0,C_ISCALMAR,1.25,0.75,0.10042164763953298,1.1548348892802807,-0.13776535161420167,1.0935817708519635,0.11650054279398891,1.1016867720596069,0.8736721309012504,0.15257181383948715,False,True,True,True,False,False
B136,G,25.0,C_ISSHARPE,1.25,0.75,0.09428525527324316,1.0897488370914006,-0.14053212982334262,1.0250054022590873,0.10849512786676252,1.057138821217919,0.8736721309012504,0.15257181383948715,False,True,True,True,False,False
B136,G,25.0,C_ISCALMAR,1.25,0.75,0.09428525527324316,1.0897488370914006,-0.14053212982334262,1.0250054022590873,0.10849512786676252,1.057138821217919,0.8736721309012504,0.15257181383948715,False,True,True,True,False,False
B136,G,50.0,C_ISSHARPE,1.25,0.75,0.08413129735205183,0.981025792150043,-0.1531711943195051,0.9105523613820905,0.09527458603872074,0.9827932668211912,0.8736721309012504,0.15257181383948715,False,True,False,True,False,False
B136,G,50.0,C_ISCALMAR,1.25,0.75,0.08413129735205183,0.981025792150043,-0.1531711943195051,0.9105523613820905,0.09527458603872074,0.9827932668211912,0.8736721309012504,0.15257181383948715,False,True,False,True,False,False
B136,A,0.0,C_ISSHARPE,1.00,0.75,0.10838931283491782,1.1978560526610262,-0.14124137633613465,1.1392361336091135,0.12186816399359124,1.1313567037098642,0.8736721309012504,0.15257181383948715,True,True,True,True,True,False
B136,A,0.0,C_ISCALMAR,1.00,0.75,0.10838931283491782,1.1978560526610262,-0.14124137633613465,1.1392361336091135,0.12186816399359124,1.1313567037098642,0.8736721309012504,0.15257181383948715,True,True,True,True,True,False
B136,A,10.0,C_ISSHARPE,1.00,0.75,0.1041317113830118,1.1547065318420928,-0.14179777054771536,1.0935817708519635,0.11650054279398891,1.1016867720596069,0.8736721309012504,0.15257181383948715,False,True,True,True,True,False
B136,A,10.0,C_ISCALMAR,1.00,0.75,0.1041317113830118,1.1547065318420928,-0.14179777054771536,1.0935817708519635,0.11650054279398891,1.1016867720596069,0.8736721309012504,0.15257181383948715,False,True,True,True,True,False
B136,A,25.0,C_ISSHARPE,1.00,0.75,0.09777488841142912,1.0898670766031193,-0.14410070942454678,1.0250054022590873,0.10849512786676252,1.057138821217919,0.8736721309012504,0.15257181383948715,False,True,True,True,True,False
B136,A,25.0,C_ISCALMAR,1.00,0.75,0.09777488841142912,1.0898670766031193,-0.14410070942454678,1.0250054022590873,0.10849512786676252,1.057138821217919,0.8736721309012504,0.15257181383948715,False,True,True,True,True,False
B136,A,50.0,C_ISSHARPE,1.00,0.75,0.08725859110958423,0.9815567527141419,-0.15730013480067562,0.9105523613820905,0.09527458603872074,0.9827932668211912,0.8736721309012504,0.15257181383948715,False,True,False,True,True,False
B136,A,50.0,C_ISCALMAR,2.00,0.75,0.09478578816046346,0.9256204112173995,-0.17881256317329264,0.9105523613820905,0.09527458603872074,0.9827932668211912,0.8736721309012504,0.15257181383948715,False,True,False,True,False,False
