panel,cadence,m,turn_per_yr,names,committed_cstar,committed_first_fail,binding_bar,cstar_H1,censored_H1,slack_H1,croot_H1,sens_H1,sens1_H1,cstar_H2,censored_H2,slack_H2,croot_H2,sens_H2,sens1_H2,cstar_OOS,censored_OOS,slack_OOS,croot_OOS,sens_OOS,sens1_OOS,cstar_DD,censored_DD,slack_DD,croot_DD,sens_DD,sens1_DD,cstar_CAGR,censored_CAGR,slack_CAGR,croot_CAGR,sens_CAGR,sens1_CAGR,cstar_FULL,croot_FULL,binding_FULL,cstar_noDD,croot_noDD,binding_noDD,cstar_noCAGR,croot_noCAGR,binding_noCAGR,cstar_SHARPEONLY,croot_SHARPEONLY,binding_SHARPEONLY,IScstar_FULL,OOScstar_FULL,IScstar_noDD,OOScstar_noDD,IScstar_noCAGR,OOScstar_noCAGR,IScstar_SHARPEONLY,OOScstar_SHARPEONLY
U56,Q,0,2.7074696540800947,18.70443793647218,-1,DD,DD,89,False,0.20065040868702944,89.89364538615845,0.0022320866822686997,0.002172792114390143,105,False,0.19885961824236265,105.02640369526736,0.0018934249983399512,0.0018431611940428194,121,False,0.2349752714609764,121.55639168980714,0.0019330556640789114,0.0018713066241551335,-1,False,-0.06892047035873061,,,2.220446049250313e-16,131,False,0.04031081563342587,131.7576986875343,0.00030594656733511777,0.0003098120451363595,-1,,DD,89,89.89364538615845,H1,-1,,DD,89,89.89364538615845,H1,-1,-1,1,54,-1,-1,1,54
U56,Q,20,1.6606513419276556,18.70443793647218,-1,DD,DD,208,False,0.26543083394139966,208.28755656373013,0.0012743480134886757,0.0012170035219432052,88,False,0.11800329484768435,88.32964212480013,0.0013359421821381161,0.0013089187655429546,121,False,0.16067967952955386,121.06967925683531,0.0013271669712504196,0.0012884425589421156,-1,False,-0.04274815209175853,,,2.220446049250313e-16,172,False,0.03218348416718764,172.00567262082586,0.00018710710918315942,0.00018871376686413477,-1,,DD,88,88.32964212480013,H2,-1,,DD,88,88.32964212480013,H2,-1,-1,87,-1,-1,-1,87,-1
B136,D,0,33.82319890796957,19.72155890966434,-1,DD,DD,8,False,0.2080082072305146,8.250012089626003,0.025213079080462806,0.02520728094460467,0,False,0.012138873225752578,0.5041639149239597,0.024077235332448214,0.02407723533244821,2,False,0.05208873299778394,2.139846241932432,0.02434227842031498,0.024342757155242922,-1,False,-0.016362128873623177,,,0.0004623098407244841,7,False,0.029441764066170786,7.7663105279789155,0.0037909589064336106,0.003834376838617315,-1,,DD,0,0.5041639149239597,H2,-1,,DD,0,0.5041639149239597,H2,-1,-1,2,-1,-1,-1,2,-1
B136,D,20,10.091001111440164,19.72155890966434,-1,DD,DD,38,False,0.2775772475496773,38.175565506592456,0.007271071007494127,0.007257767699729412,11,False,0.08106069406544225,11.036189770787242,0.007344989144714568,0.007342561340682452,17,False,0.13041337789162677,17.78536465328619,0.007332623223304582,0.007328457795318766,-1,False,-0.00622261049125325,,,0.00030270875566407174,35,False,0.04067369290430807,35.78715075991732,0.0011365445988470205,0.0011563380122121547,-1,,DD,11,11.036189770787242,H2,-1,,DD,11,11.036189770787242,H2,8,-1,16,8,8,-1,16,8
B136,W,0,14.310741802245708,19.700382969137195,6,H2,H2,24,False,0.25152024274930784,24.299789701712225,0.01035071685133082,0.010326544150710548,6,False,0.07010554960695092,6.900294666136235,0.010159790704446245,0.010154714482579208,10,False,0.1040871261237768,10.15383679469941,0.01025101429423341,0.01024255103260796,32,False,0.0024641792983905175,32.359833953526305,7.614931837813067e-05,6.89117322758559e-05,24,False,0.039610637386489914,24.580195343398078,0.001611485866288236,0.0016381969453176382,6,6.900294666136235,H2,6,6.900294666136235,H2,6,6.900294666136235,H2,6,6.900294666136235,H2,-1,1,14,1,-1,1,14,1
B136,W,20,6.201259355559795,19.700382969137195,-1,DD,DD,75,False,0.32099272348834906,75.01711724475803,0.004278926400771273,0.0042609592533862095,6,False,0.027718170559423605,6.1986581450906995,0.004471640460020567,0.004470188513976625,19,False,0.08812851138944111,19.77752801559398,0.00445599224129297,0.004450399816358863,-1,False,-0.0016179403288770489,,,3.8544587331434954e-05,61,False,0.043183887773996246,61.70792986786898,0.0006998109945749758,0.0007125595047985378,-1,,DD,6,6.1986581450906995,H2,-1,,DD,6,6.1986581450906995,H2,29,-1,34,1,29,-1,34,1
B136,2W,0,9.712824192674027,19.69497634602388,-1,"H2,DD","H2,DD",36,False,0.2565201029952172,36.57961550801469,0.0070126517032146765,0.006984786416539102,-1,False,-0.02861451992618158,,,0.006677743135308667,4,False,0.033484061120352515,4.9756918016120295,0.006729528768141209,0.006725688195656443,-1,False,-0.045890278307823634,,,0.0003156984798177165,31,False,0.033898040148668776,31.063189487106946,0.0010912607722635328,0.0011065584428353592,-1,,"H2,DD",-1,,H2,-1,,"H2,DD",-1,,H2,1,-1,23,-1,1,-1,23,-1
B136,2W,20,5.130853693772326,19.69497634602388,-1,"H2,DD","H2,DD",84,False,0.3048917451567946,84.91513049315654,0.003590546742212996,0.0035668847819474436,-1,False,-0.033611905739996506,,,0.0034845219701867824,9,False,0.03336666451084647,9.632716204660596,0.0034638894992777506,0.003460449902403795,-1,False,-0.05518477716528944,,,0.00027230042387005327,68,False,0.03970609321595693,68.69251438525812,0.0005780264934439222,0.0005874965802088461,-1,,"H2,DD",-1,,H2,-1,,"H2,DD",-1,,H2,-1,-1,50,-1,-1,-1,50,-1
B136,M,0,6.52660467232208,19.635052939851317,-1,DD,DD,83,False,0.39200141258379617,83.31316793338831,0.004705155527121649,0.004622154169030113,39,False,0.16639002615580067,39.480560595355485,0.004214479826190079,0.004185132288949012,46,False,0.20162395153734347,46.75855610154887,0.004312022618907702,0.0042734868889588995,-1,False,-0.05836443279655876,,,3.857826248210294e-05,90,False,0.06717556179151458,90.1818186247958,0.0007448902984647112,0.0007647478237149397,-1,,DD,39,39.480560595355485,H2,-1,,DD,39,39.480560595355485,H2,52,-1,52,29,52,-1,52,29
B136,M,20,4.16094713437367,19.635052939851317,-1,DD,DD,107,False,0.3127649142343706,107.42363605561154,0.002911509289002814,0.0028631760224819836,73,False,0.19899020921977484,73.69108225748501,0.0027003295802398514,0.0026732110177583035,86,False,0.2372054765755669,86.87737853285772,0.002730347998309524,0.0026955205478782496,-1,False,-0.06048063483705776,,,3.381454592299438e-05,138,False,0.06593103514939642,138.8928775070898,0.00047468982090914614,0.00048696000580639165,-1,,DD,73,73.69108225748501,H2,-1,,DD,73,73.69108225748501,H2,-1,-1,67,18,-1,-1,67,18
B136,6W,0,5.504269256069083,19.754449200270333,-1,DD,DD,84,False,0.33337172071039334,84.9101407874399,0.003926170862735237,0.003864099360044282,46,False,0.16643747671635034,46.66776671798647,0.0035664332883579538,0.0035330542066194237,54,False,0.19588100941781939,54.4852584628627,0.0035951193945667416,0.003553291780939105,-1,False,-0.0424108458161668,,,4.326245419028485e-05,102,False,0.06424852054897374,102.27118206040456,0.0006282172480516218,0.0006437139163100181,-1,,DD,46,46.66776671798647,H2,-1,,DD,46,46.66776671798647,H2,10,-1,46,30,10,-1,46,30
