panel,theta,arm,construction,cadence,gross,IS_spread,CAGR,Sharpe,MaxDD,H1,H2,isSharpe,oCAGR,oSharpe,oMaxDD,turn_yr,base_oSharpe,base_oCAGR,base_oMaxDD,spy_oSharpe,spy_oCAGR,spy_oMaxDD,beat_base,beat_spy,p4a,p4b,f4b
B136,-0.12,MOM-D,DEGROSS,W,1.0,0.04265124512938279,0.15526770861948602,1.1465905327882906,-0.24805584446405282,1.2922191559047147,1.015554388711146,1.179658879511463,0.15233576752691325,1.1196362649402325,-0.24805584446405304,2.4222941103525693,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.12,MOM-D,RESPREAD,Q,0.5,0.06683693113602596,0.08980750013419891,1.1460557810024523,-0.16564848390239972,1.2418217092714858,1.0672030392655127,1.1438741689120144,0.09238093610737863,1.1484008787815767,-0.16564848390239917,0.4813553781713509,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,False,CAGR
B136,-0.06,MA-THRESH,DEGROSS,M,1.0,0.08324346451931497,0.14041330580685507,1.136426020285917,-0.25553942265483787,1.2824922823588516,1.0052179987309346,1.1613970220975163,0.13900970206773877,1.1161826999061137,-0.25553942265483787,1.5302420889325583,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.06,MA-THRESH,RESPREAD,Q,0.5,0.13849504778665,0.08674597489543245,1.1430708392806368,-0.163911451390637,1.2596472556275289,1.045235449649163,1.1551766344234142,0.08819632058624882,1.1342019987205048,-0.1639114513906368,0.7679757244528723,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,False,CAGR
B136,-0.06,MOM-D,DEGROSS,W,1.0,0.057961202575670834,0.13752043232095357,1.1449245230312592,-0.21049047907280116,1.2755879096289553,1.0218547035991787,1.1512976084045028,0.13600632802009538,1.1394029780109776,-0.21049047907280116,3.3013063395657354,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,False,DD
B136,-0.06,MOM-D,RESPREAD,Q,1.0,0.06047276498820775,0.1760424560719691,1.1066112577510872,-0.32195898910207865,1.2041837438131267,1.0320430274923444,1.1069452842501846,0.18379243436968173,1.1083536296732304,-0.3219589891020791,1.4380583574640393,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.0,MA-THRESH,DEGROSS,M,1.0,0.11187953831862774,0.11297636569779734,1.1367346641179876,-0.16107741737241343,1.2477669589990568,1.0243135052283154,1.1165708984226639,0.11135899707248353,1.1555897565341218,-0.16107741737241343,2.1197971783636995,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,True,-
B136,0.0,MA-THRESH,RESPREAD,Q,0.75,0.18704543002741714,0.12634428080241356,1.094437479902747,-0.2442610345803068,1.2553057356432646,0.9635611588512756,1.152177530936873,0.12562342653530267,1.0524631977026615,-0.24426103458030657,1.9053897091769008,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.0,MOM-D,DEGROSS,M,1.0,0.09852078831422273,0.11559313837639706,1.1281355803489073,-0.18219474951349646,1.2534612971866748,1.0049546799803373,1.1203154332342733,0.11418150955342976,1.135065033571773,-0.18219474951349668,2.02108956345311,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,True,-
B136,0.0,MOM-D,RESPREAD,Q,1.0,0.18232834848125545,0.1847164004617481,1.108537124713505,-0.3227064806102449,1.2177209436415666,1.034302383242724,1.1138055614599145,0.19716072810574103,1.1100374826102004,-0.32270648061024443,2.317980644410493,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.06,MA-THRESH,DEGROSS,M,1.0,0.17601440940473045,0.07700429285182442,1.0347514617270435,-0.10026283876610453,1.107585147099659,0.9618201393114443,0.9809162023658304,0.07906958030113764,1.0815401919048941,-0.10026283876610464,2.388432180777482,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,CAGR
B136,0.06,MA-THRESH,RESPREAD,Q,0.5,0.30933693999054646,0.08954970312590382,1.052499038454515,-0.1761666419614285,1.2000629547760628,0.936543525763022,1.09818522688823,0.09093131992139458,1.02147061105572,-0.1761666419614284,1.930228187689665,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,CAGR
B136,0.06,MOM-D,DEGROSS,M,1.0,0.18993351026851568,0.07773695369112255,1.0427213505285073,-0.11420960398841506,1.1909981528898668,0.9037238452422528,1.050439988392418,0.07770733671722074,1.0362711596994436,-0.11420960398841473,2.188759805118007,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,CAGR
B136,0.06,MOM-D,RESPREAD,Q,1.0,0.23684673917810495,0.1917133032335363,1.0459589482311284,-0.3476813353826901,1.1333278706505339,0.998700102704234,1.0220139390944367,0.21481802618103996,1.0714406720109568,-0.3476813353826902,3.4312544347798775,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.12,MA-THRESH,DEGROSS,M,1.0,0.34252387934995443,0.04740559423658919,0.9441072350552814,-0.05497613630069764,1.0241631663448663,0.8714678023797987,0.9362490144642647,0.048393155643538854,0.9504041386266874,-0.05497613630069864,1.8303677731131371,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,CAGR
B136,0.12,MA-THRESH,RESPREAD,M,1.0,0.5468320564568104,0.2203883592436957,1.119687323897007,-0.2891612320206416,1.2268731609977552,1.0195704427106298,1.1605053150734337,0.2121010606926237,1.0857053829778365,-0.2891612320206415,9.739085782433254,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.12,MOM-D,DEGROSS,M,1.0,0.28933923686171115,0.04825274227605014,0.9675566741523555,-0.06352540657214734,1.176474718012651,0.8004352357719315,1.0459295546458511,0.04823111308956873,0.9150883932682994,-0.063525406572147,1.661799702639044,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,"H2,CAGR"
B136,0.12,MOM-D,RESPREAD,M,1.0,0.1160466765759276,0.20710567809451974,0.9859900751971591,-0.3502012233615559,1.0452231004765862,0.9452830579654881,0.9331640987600642,0.22968981353992035,1.0276067455728977,-0.3502012233615561,9.199088579460417,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.2,MA-THRESH,DEGROSS,Q,1.0,0.5233624706945866,0.0286387950321374,0.9541205788890627,-0.040006297338030294,1.1264735779309092,0.8281130901325678,1.0474140363311015,0.028836251157380977,0.8955435917300383,-0.04000629733803018,0.4883011195950741,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,"H2,CAGR"
B136,0.2,MA-THRESH,RESPREAD,Q,1.0,0.7936871026612858,0.33334739365619326,1.2416622871523575,-0.37761807599139097,1.5221291575005182,0.9890089186166234,1.4595851994892841,0.2799130683816031,1.0692531803569685,-0.37761807599139086,5.198611198714947,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,0.2,MOM-D,DEGROSS,M,1.0,0.3761797054431367,0.025437745914674403,0.926198942068116,-0.02946082109942083,1.2147441269204096,0.7489365524780768,1.130429936116594,0.025285240346389015,0.8206281869472092,-0.029460821099420498,0.847097227593071,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,False,False,False,"H2,OOS,CAGR"
B136,0.2,MOM-D,RESPREAD,M,0.5,0.38635825394082945,0.167845918506641,1.1769090005714855,-0.19071359003008903,1.4036527476426417,1.0138267954033917,1.3361805382487322,0.16333118555530457,1.0759061471756384,-0.19071359003008914,5.418140773556978,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,True,-
B136,0.3,MA-THRESH,DEGROSS,Q,1.0,0.52693215853284,0.01415267916437668,0.8857205119292362,-0.022037935517347118,1.1535768586536976,0.7528788890413979,1.098978618473645,0.014699925326304708,0.7961175131051492,-0.02203793551734745,0.2009729292629464,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,False,False,False,"H2,OOS,CAGR"
B136,0.3,MA-THRESH,RESPREAD,Q,1.0,0.7497873873959818,0.3569127144257973,1.029704895839873,-0.5440928537279457,1.3999050915719056,0.752436930415161,1.3641373688731302,0.27213317714554863,0.8134484507884994,-0.5440928537279456,5.071961077526977,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,False,False,False,"H2,OOS,DD"
B136,0.3,MOM-D,DEGROSS,Q,1.0,0.4107419599763713,0.013139622315341049,0.8555638805626616,-0.023809848587573512,1.2051217703529122,0.7082406949623196,1.163555777972487,0.013615215324835894,0.7460019465648462,-0.023809848587573845,0.18541210289633966,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,False,False,False,"H2,OOS,CAGR"
B136,0.3,MOM-D,RESPREAD,Q,1.0,0.19550798947331183,0.33768208024604207,1.0445073668246243,-0.4948415238921664,1.2825358675170713,0.8701250070678654,1.241765720552982,0.3071517852950578,0.9227816950853357,-0.4948415238921674,4.7265927226841065,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
