book,family,panel,freq,label,turn_yr,full_CAGR,full_Sharpe,full_MaxDD,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,fail4b,keep4a,keep4b_OOSlocal,c_star,D_star,c_star_IS,D_star_IS,c_star_OOS,D_star_OOS,cs_OOSLOC_R11,cs_OOSLOC_FINE,cs_OOSLOC_COARSE,cs_OOSLOC_CONT,chat_OOSLOC,cs_FIXED_R11,cs_FIXED_FINE,cs_FIXED_COARSE,cs_FIXED_CONT,chat_FIXED,cost_surv_R11,cost_surv_OOS_R11,c_hat_IS,NEGTURN,INVTURN,csIS_R11,csOOS_R11,csIS_FINE,csOOS_FINE,csIS_COARSE,csOOS_COARSE,csIS_CONT,csOOS_CONT
BANDW-b0.03,BANDW,U56,W,"u56 RULES v2 band 0.03, W, g1.00",2.2299388150231896,0.11544485987825248,1.2016651077116542,-0.15910990262743974,0.10163037850119716,1.1047437219516025,-0.10451949838088237,0.126956558390525,1.2775395947599435,-0.15910990262743996,PASS,-none-,FAIL,PASS,45.6024169921875,107.31625556945801,-1.0,-1.0,84.0968906879425,199.56064224243164,75.0,84.0,50.0,84.0968906879425,89.49153263667299,40.0,44.0,25.0,45.6024169921875,48.12520184251872,40.0,75.0,-1.0,-2.2299388150231896,0.44844279729244535,-1.0,75.0,-1.0,84.0,-1.0,50.0,-1.0,84.0968906879425
BANDW-b0.06,BANDW,U56,W,"u56 band 0.06, W, g1.00",1.6223271971613615,0.11106805907764716,1.1388434957757534,-0.17760028065002698,0.0980076226558122,1.056054806411978,-0.11120945812490501,0.12194508309482432,1.2033513271980447,-0.1776002806500273,PASS,-none-,FAIL,PASS,35.97389459609985,61.56814098358154,-1.0,-1.0,84.48528051376343,148.86444807052612,75.0,84.0,50.0,84.48528051376343,91.75981782897992,30.0,34.0,25.0,35.97389459609985,37.95050782068458,30.0,75.0,-1.0,-1.6223271971613615,0.61639846866263,-1.0,75.0,-1.0,84.0,-1.0,50.0,-1.0,84.48528051376343
BANDW-b0.08,BANDW,U56,W,"u56 band 0.08, W, g1.00",1.4053782360559448,0.11390601126292133,1.1460877446699917,-0.1905060857627321,0.1060919805130831,1.122611682702222,-0.11217296392361387,0.12038538471401328,1.1654257169217488,-0.1905060857627323,PASS,-none-,FAIL,PASS,57.1669340133667,84.8081111907959,18.89592409133911,26.5350341796875,85.75236201286316,132.81548023223877,75.0,84.0,50.0,85.75236201286316,94.50514944999597,50.0,56.0,50.0,57.1669340133667,60.345399562185825,50.0,75.0,18.88106240648457,-1.4053782360559448,0.7115522172923363,15.0,75.0,18.0,84.0,0.0,50.0,18.89592409133911,85.75236201286316
BANDW-b0.12,BANDW,U56,W,"u56 band 0.12, W, g1.00",1.1462456144155182,0.11613874572603433,1.1479488939910707,-0.1603891592958745,0.11156458943636416,1.1206599743061558,-0.12954367007384449,0.11992149388264073,1.1698131067488267,-0.1603891592958745,PASS,-none-,FAIL,PASS,84.42202806472778,102.09923982620239,19.968771934509277,25.38013458251953,97.49317169189453,126.12158060073853,75.0,96.0,50.0,97.49317169189453,110.03015323644152,75.0,84.0,50.0,84.42202806472778,89.07274195178822,75.0,75.0,22.14196875724677,-1.1462456144155182,0.8724133705932735,15.0,75.0,18.0,96.0,0.0,50.0,19.968771934509277,97.49317169189453
BANDM-b0.00,BANDM,U56,M,"u56 EW-all 200d-MA gate (band 0), M, g1.00",1.8828228192002698,0.11921216196097117,1.2095309744401905,-0.15485495397691995,0.11048169206536596,1.1358894526372816,-0.1042215356541214,0.12645666994169646,1.2692590432079591,-0.15485495397691995,PASS,-none-,FAIL,PASS,69.34062838554382,137.30698823928833,37.878936529159546,70.80274820327759,92.72595643997192,192.09641218185425,75.0,92.0,50.0,92.72595643997192,102.02575102815427,50.0,68.0,50.0,69.34062838554382,72.9261334837707,50.0,75.0,37.60457302793425,-1.8828228192002698,0.531117421035268,30.0,75.0,36.0,92.0,25.0,50.0,37.878936529159546,92.72595643997192
BANDM-b0.03,BANDM,U56,M,"u56 band 0.03, M, g1.00",1.5574717741719601,0.11913847740115924,1.1744153082311943,-0.18805265362302204,0.10790660847025402,1.1075899232620523,-0.11096144426069277,0.12847782333083746,1.226972569147966,-0.18805265362302215,PASS,-none-,FAIL,PASS,81.12715482711792,133.2763433456421,27.822881937026978,45.097291469573975,123.98818135261536,205.92445135116577,100.0,100.0,100.0,123.98818135261536,132.217132127898,75.0,80.0,50.0,81.12715482711792,85.57223672095073,75.0,100.0,28.95544703758772,-1.5574717741719601,0.6420662104978797,25.0,100.0,26.0,100.0,25.0,100.0,27.822881937026978,123.98818135261536
BANDRS-b0.03,BANDRS,U56,W,"u56 band 0.03 EW respread, W, g0.75",4.18999277657651,0.12205410378857962,1.1574773264019669,-0.17714738789425755,0.10859267048677856,1.1087042138926166,-0.09939680131862616,0.13326759324459903,1.1964562575775908,-0.17714738789425755,PASS,-none-,FAIL,PASS,43.078988790512085,186.06555461883545,18.111014366149902,78.33141088485718,63.7006402015686,274.8260498046875,50.0,62.0,50.0,63.7006402015686,65.59105575099292,40.0,42.0,25.0,43.078988790512085,44.40713016475957,40.0,50.0,18.694879695916544,-4.18999277657651,0.23866389593565446,15.0,50.0,18.0,62.0,0.0,50.0,18.111014366149902,63.7006402015686
BANDRS-b0.12,BANDRS,U56,W,"u56 wide band b=0.12 EW respread, W, g0.75",1.958404845420795,0.13974222525739366,1.223289109519813,-0.19419373034827148,0.12655293371117082,1.1761982470648353,-0.11646311526627529,0.15072471200384263,1.2607540303838713,-0.1941937303482717,PASS,-none-,FAIL,PASS,123.73090982437134,318.74001026153564,67.06371307373047,158.17731618881226,123.73090982437134,405.4034948348999,100.0,100.0,100.0,123.73090982437134,207.0069913188927,100.0,100.0,100.0,123.73090982437134,162.7549130134271,100.0,100.0,80.76844609462009,-1.958404845420795,0.5106196516712221,50.0,100.0,66.0,100.0,50.0,100.0,67.06371307373047,123.73090982437134
MARS-g0.50,MARS,U56,W,"u56 MA-RESPREAD, W, g0.50",4.953494781903385,0.07658004783346284,1.087557710934698,-0.12708676675300667,0.0698817732502317,1.0664977638898945,-0.07309307725808745,0.08213019721843207,1.1061559197009865,-0.12708676675300623,FAIL,CG,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.953494781903385,0.20187767304273793,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MARS-g0.75,MARS,U56,W,"u56 MA-RESPREAD, W, g0.75",7.357221295136218,0.11508784364638625,1.087689994351135,-0.18647361198328027,0.10495158383104064,1.066957695536418,-0.10874609154291837,0.12350884936339579,1.1060790636851225,-0.1864736119832805,PASS,-none-,FAIL,PASS,20.576179027557373,156.75616264343262,10.287785530090332,77.6790976524353,28.915870189666748,221.90451622009277,25.0,28.0,25.0,28.915870189666748,30.161457338083814,20.0,20.0,0.0,20.576179027557373,21.306435725545253,20.0,25.0,10.558211386653293,-7.357221295136218,0.13592088098003652,10.0,25.0,10.0,28.0,0.0,25.0,10.287785530090332,28.915870189666748
MARS-g1.00,MARS,U56,W,"u56 MA-RESPREAD, W, g1.00",9.718441664152662,0.15361245799552492,1.0877531804218485,-0.24316405766836136,0.14000413385188248,1.0673573921391972,-0.14376725949657532,0.164946208249801,1.105930869612521,-0.24316405766836147,FAIL,DD,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-9.718441664152662,0.10289715517752081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MADIST-q0.25,MADIST,U56,M,"u56 MA-DISTANCE top-quarter, M, g0.75",4.751636981403226,0.1773986711387403,1.1923776665847328,-0.21320982799095733,0.161872202585587,1.2069956548389782,-0.12053720647651889,0.19034656956891416,1.189686112945605,-0.2132098279909571,FAIL,DD,FAIL,FAIL,-1.0,-1.0,46.13836407661438,235.98331212997437,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.66358184633144,-4.751636981403226,0.2104537875923101,40.0,-1.0,46.0,-1.0,25.0,-1.0,46.13836407661438,-1.0
MADIST-q0.50,MADIST,U56,M,"u56 MA-DISTANCE top-half, M, g0.75",3.076817593119639,0.15376905043373967,1.2260363003671622,-0.19975796950615476,0.14621272078837788,1.2448953945317596,-0.10627632433457335,0.16003206061231268,1.2154381442323396,-0.19975796950615465,PASS,-none-,FAIL,PASS,83.45861434936523,410.1569652557373,109.60364937782288,361.7780804634094,83.45861434936523,333.86993408203125,75.0,82.0,50.0,83.45861434936523,108.51144859176222,75.0,82.0,50.0,83.45861434936523,133.30558372161153,75.0,75.0,117.58190712131113,-3.076817593119639,0.32501114210871457,100.0,75.0,100.0,82.0,100.0,50.0,109.60364937782288,83.45861434936523
MADIST-q0.75,MADIST,U56,M,"u56 MA-DISTANCE top-three-quarters, M, g0.75",1.7579489972823032,0.14072806112037162,1.2033597543227978,-0.20486338935536874,0.13814657489698368,1.2171646296534422,-0.12341321093344948,0.1428593246854235,1.1931648613770278,-0.20486338935536874,FAIL,DD,FAIL,FAIL,-1.0,-1.0,180.94154000282288,315.7218098640442,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,179.59668360807595,-1.7579489972823032,0.5688447170799309,100.0,-1.0,100.0,-1.0,100.0,-1.0,180.94154000282288,-1.0
BRD-q0.10,BRD,U56,W,"u56 EW-all, de-gross to ZERO on breadth<q0.10(1008d), W, g1.00",9.382138357669744,0.13489852123076185,1.1051852633937131,-0.2226303734060021,0.11767114475959972,0.9932417842491446,-0.1479115582684295,0.1492913421330806,1.1947259399881383,-0.22263037340600178,FAIL,DD,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-9.382138357669744,0.10658550981424363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BRD-q0.17,BRD,U56,W,"u56 EW-all, de-gross to ZERO on breadth<q0.17(1008d), W, g1.00",8.374264166841346,0.14159352927982938,1.2225788453420765,-0.1479115582684295,0.11916655254945341,1.0248424351272498,-0.1479115582684295,0.16040819756384783,1.393684369943309,-0.12719753492220232,PASS,-none-,FAIL,PASS,33.204489946365356,293.015718460083,-1.0,-1.0,63.40029835700989,551.4709949493408,50.0,62.0,50.0,63.40029835700989,65.85306887415135,30.0,32.0,25.0,33.204489946365356,34.990025705220184,30.0,50.0,-1.0,-8.374264166841346,0.11941347682338349,-1.0,50.0,-1.0,62.0,-1.0,50.0,-1.0,63.40029835700989
BRD-q0.25,BRD,U56,W,"u56 EW-all, de-gross to ZERO on breadth<q0.25(1008d), W, g1.00",8.77912434894541,0.1194163741069818,1.0894887316774409,-0.1479115582684295,0.11136040922635759,0.9842658466032679,-0.1479115582684295,0.12609747270042915,1.185151435126308,-0.13366704368888138,PASS,-none-,FAIL,PASS,23.06014895439148,210.67297458648682,-1.0,-1.0,29.776382446289062,253.20309400558472,25.0,28.0,25.0,29.776382446289062,28.841497618837195,20.0,22.0,0.0,23.06014895439148,23.9970373140681,20.0,25.0,-1.0,-8.77912434894541,0.11390657658472791,-1.0,25.0,-1.0,28.0,-1.0,25.0,-1.0,29.776382446289062
EWALL-g0.75,EWALL,U56,W,"u56 scored-eligible EW-all, W, g0.75",7.865990441664539,0.10369161550391293,1.0460774572301252,-0.15874701499330102,0.09295491488915264,0.9696548834034122,-0.11203318597262035,0.11261669388068807,1.1064951781036392,-0.15874701499330057,FAIL,CG,FAIL,PASS,7.297706604003906,59.89784002304077,-1.0,-1.0,15.704500675201416,131.35749101638794,15.0,14.0,0.0,15.704500675201416,16.699421641884314,5.0,6.0,0.0,7.297706604003906,7.614786779522919,5.0,15.0,-1.0,-7.865990441664539,0.1271295722282098,-1.0,15.0,-1.0,14.0,-1.0,0.0,-1.0,15.704500675201416
EWALL-g1.00,EWALL,U56,W,"u56 scored-eligible EW-all, W, g1.00",10.406796084838849,0.13823901504957892,1.046219320763306,-0.20880282084818402,0.12359361965721827,0.9699549719726234,-0.1479115582684295,0.15044855171922333,1.10648610097,-0.20880282084818402,FAIL,DD,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.406796084838849,0.09609105356228234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SHY-g0.375,SHY,B136,W,"b136 scored-eligible EW, residual in SHY, W, g0.375",4.350839683507403,0.06220101729156324,1.1687108743038912,-0.11133286588851088,0.06021227049009692,1.1457472087976666,-0.05536132815335093,0.06384233170332343,1.187119804006703,-0.11133286588851188,FAIL,CG,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.350839683507403,0.22984069116374706,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SHY-g0.625,SHY,B136,W,"b136 scored-eligible EW, residual in SHY, W, g0.625",7.0694201679911775,0.09467708304107814,1.0719556124188703,-0.15422710135119633,0.0949256360357007,1.0715153461510396,-0.09448298421325108,0.09447234470369037,1.0721062627543554,-0.154227101351196,FAIL,CG,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0694201679911775,0.14145431679500195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
R6-n10,R6,B136,W,"b136 R6-top10 (de-gross), W, g0.65",13.147280376309537,0.17512851812870323,1.1070487180686719,-0.21862298173526762,0.18303118213263514,1.2955011440967212,-0.10596500907483009,0.1686572584222068,0.9941258697921841,-0.21862298173526773,FAIL,DD,FAIL,FAIL,-1.0,-1.0,34.44682955741882,462.44674921035767,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.17432776771489,-13.147280376309537,0.0760613580434421,30.0,-1.0,34.0,-1.0,25.0,-1.0,34.44682955741882,-1.0
R6-n20,R6,B136,W,"b136 R6-top20 (de-gross), W, g0.65",11.201935939787342,0.14985888137427117,1.1264311898720905,-0.1943271934977503,0.15558082750088742,1.2538293895648782,-0.10149186679296307,0.14516591165653137,1.0399755698403153,-0.19432719349775063,PASS,-none-,FAIL,PASS,25.97295045852661,302.56396532058716,26.046913862228394,311.6421103477478,26.90526843070984,304.8071265220642,25.0,26.0,25.0,26.90526843070984,27.210218676527326,25.0,24.0,25.0,25.97295045852661,27.009971039553278,25.0,25.0,27.820379622137352,-11.201935939787342,0.08927028375945024,25.0,25.0,26.0,26.0,25.0,25.0,26.046913862228394,26.90526843070984
R6-n30,R6,B136,W,"b136 R6-top30 (de-gross), W, g0.65",9.976539962505498,0.13163489022949393,1.0853639149175633,-0.19412821239296307,0.12564808302916286,1.0983565114296001,-0.11203193219025243,0.13659128671584742,1.0780497053774287,-0.19412821239296285,PASS,-none-,FAIL,PASS,30.707383155822754,309.61859226226807,7.760339975357056,85.20042896270752,33.90320539474487,341.42613410949707,30.0,32.0,25.0,33.90320539474487,34.22290046375473,30.0,30.0,25.0,30.707383155822754,31.03466667059897,30.0,30.0,8.54007795116478,-9.976539962505498,0.10023515204251846,5.0,30.0,6.0,32.0,0.0,25.0,7.760339975357056,33.90320539474487
BANDWB-b0.00,BANDWB,B136,W,"b136 EW-all 200d-MA gate (band 0), W, g1.00",4.2029963774239505,0.10320577133173159,1.0874622174068254,-0.16630686129757177,0.1022512719611357,1.0566120124398404,-0.10513780591806632,0.10399279636429326,1.1141422771224583,-0.16630686129757155,FAIL,CG,FAIL,FAIL,3.979325294494629,17.584025859832764,4.725611209869385,20.037353038787842,3.4073293209075928,15.558063983917236,0.0,2.0,0.0,3.4073293209075928,3.7016600983731744,0.0,2.0,0.0,3.979325294494629,4.183688083645257,0.0,0.0,4.767397170841459,-4.2029963774239505,0.23792549652705336,0.0,0.0,4.0,2.0,0.0,0.0,4.725611209869385,3.4073293209075928
BANDWB-b0.03,BANDWB,B136,W,"b136 band 0.03, W, g1.00",2.533573972504894,0.10652976854836904,1.0991593874420875,-0.16157983013208954,0.10809497571444382,1.0927413254606884,-0.10460228853347808,0.1052418687479828,1.1048029424254948,-0.16157983013208954,PASS,-none-,FAIL,FAIL,11.309224367141724,30.152082443237305,22.12933897972107,55.699706077575684,3.2624006271362305,9.09888744354248,0.0,2.0,0.0,3.2624006271362305,3.591324959241901,10.0,10.0,0.0,11.309224367141724,11.901007340009317,10.0,0.0,21.984637781270894,-2.533573972504894,0.3946993499508206,20.0,0.0,22.0,2.0,0.0,0.0,22.12933897972107,3.2624006271362305
BANDWB-b0.08,BANDWB,B136,W,"b136 band 0.08, W, g1.00",1.5342107184857183,0.11387620624901951,1.1178966670528614,-0.19499148724221482,0.11802283624233345,1.1420690350363971,-0.1166745694349468,0.11047139028283737,1.0974353329692366,-0.19499148724221482,PASS,-none-,FAIL,PASS,53.043133020401,85.87729930877686,81.71910047531128,134.59253311157227,26.426291465759277,45.73690891265869,25.0,26.0,25.0,26.426291465759277,29.81136056577775,50.0,52.0,50.0,53.043133020401,55.974905059676956,50.0,25.0,87.72754061085982,-1.5342107184857183,0.6518009475171769,75.0,25.0,80.0,26.0,50.0,25.0,81.71910047531128,26.426291465759277
MARSB-g0.50,MARSB,B136,W,"b136 MA-RESPREAD, W, g0.50",5.226704325445425,0.07703143240521926,1.050878777781904,-0.13733672195215652,0.07482327948696521,1.0442234562967023,-0.07585330685637626,0.07885411916868557,1.0563133716936586,-0.13733672195215652,FAIL,CG,FAIL,FAIL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5.226704325445425,0.19132515209089793,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MARSB-g0.75,MARSB,B136,W,"b136 MA-RESPREAD, W, g0.75",7.753264136480723,0.11570177574270235,1.0513511439464436,-0.20123328569709797,0.11244170670822529,1.0460858004524944,-0.11241274482298758,0.11839489628364164,1.0557081913561372,-0.20123328569709797,PASS,-none-,FAIL,PASS,15.289437770843506,164.53981399536133,17.231786251068115,146.66324853897095,15.289437770843506,179.26371097564697,15.0,14.0,0.0,15.289437770843506,23.121063312182784,15.0,14.0,0.0,15.289437770843506,21.222005480397247,15.0,15.0,18.916322977942905,-7.753264136480723,0.1289779352795156,15.0,15.0,16.0,14.0,0.0,0.0,17.231786251068115,15.289437770843506
LIVE,-,U56,W,"RULES v2 LIVE band 0.03, W, g0.75  [comparand, NOT a 4b pass]",1.6815162322231305,0.08628162162824915,1.201840627126638,-0.12054943679771168,0.07609486307679969,1.1042716914234656,-0.07887203754149841,0.09474682024310721,1.278242466157066,-0.12054943679771168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1,-,U56,W,"RULES v1 retired, W  [comparand, NOT a 4b pass]",22.35083302702318,0.06408509216901082,0.6602204851445538,-0.1382781849962449,0.04977870727043521,0.5588438608812012,-0.13103606961830494,0.07601837386039301,0.7361139961542332,-0.13827818499624467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY_U56,-,U56,-,SPY buy-and-hold,0.0,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.14958794806217623,0.8986366238345959,-0.22061944945147527,0.15331699963496637,0.876714419369064,-0.33717235283398306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY_B136,-,B136,-,SPY buy-and-hold,0.0,0.15163389387763448,0.8860757549112315,-0.3371595330739303,0.1495976200199005,0.8986655359968392,-0.22058362096015105,0.15331427255204866,0.8767278433896203,-0.3371595330739301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
