claim,panel,book,signal,stat,g,bps,lit,sta,mat,ratio_mat_over_lit,sign_flip,shrinks_half,MAGNIFIES,DEPENDS
gate rows on u56 (n=40),u56,R40,mom,d_both,1.0,25.0,-0.06288866582743768,-0.1697319171018291,-0.16946612540807526,2.6947005979277576,False,False,True,False
gate rows on broad (n=40),broad,R40,mom,d_both,0.75,10.0,-0.07754379646251108,-0.0890175906751075,-0.08896516949349431,1.1472893197395222,False,False,False,False
gate rows on broad (n=40),broad,R40,mom,d_both,0.75,25.0,-0.11586818201809368,-0.13562540852916405,-0.1355226570472723,1.1696278882334532,False,False,False,False
gate rows on broad (n=40),broad,R40,mom,d_both,1.0,10.0,-0.07815838555267585,-0.08968724441831977,-0.08964465372213948,1.1469614307951936,False,False,False,False
gate rows on broad (n=40),broad,R40,mom,d_both,1.0,25.0,-0.11650677770837226,-0.13615052162339558,-0.13607600776921258,1.1679664517872428,False,False,False,False
"gate rows on u56, equal-weight",u56,EWall,-,d_both,0.75,10.0,-0.010668779206498558,-0.07519193479431885,-0.07500176503640654,7.030023171790971,False,False,True,False
"gate rows on u56, equal-weight",u56,EWall,-,d_both,0.75,25.0,-0.07553951888636279,-0.19057503388399843,-0.1893224484233278,2.50627024389887,False,False,True,False
"gate rows on u56, equal-weight",u56,EWall,-,d_both,1.0,10.0,-0.011226708793060869,-0.07548371660609066,-0.07530387387115889,6.7075645462277915,False,False,True,False
"gate rows on u56, equal-weight",u56,EWall,-,d_both,1.0,25.0,-0.07603781383880315,-0.19020730738288105,-0.18867646995010523,2.4813505336974986,False,False,True,False
"gate rows on broad, equal-weight",broad,EWall,-,d_both,0.75,10.0,-0.06671125767862929,-0.09588063665573565,-0.09583657765866249,1.436587781335794,False,False,False,False
"gate rows on broad, equal-weight",broad,EWall,-,d_both,0.75,25.0,-0.13165461896012953,-0.20594856035824094,-0.204632274173416,1.5543113928679337,False,False,False,False
"gate rows on broad, equal-weight",broad,EWall,-,d_both,1.0,10.0,-0.06710599507348802,-0.09590550181405155,-0.09592088724593117,1.4293937097704588,False,False,False,False
"gate rows on broad, equal-weight",broad,EWall,-,d_both,1.0,25.0,-0.13196229915741586,-0.20515452168387083,-0.2035186244890662,1.5422482465714837,False,False,False,False
"121's matched four-way (small n=40, v1c)",small,R40,v1c,spread,0.75,10.0,0.06803469818525698,0.07889530467693212,0.0788974390551197,1.1596647175575574,False,False,False,False
"121's matched four-way (small n=40, v1c)",small,R40,v1c,spread,0.75,25.0,0.06993087887925614,0.08396400537896331,0.0839601397163352,1.2006161092484227,False,False,False,False
"121's matched four-way (small n=40, v1c)",small,R40,v1c,spread,1.0,10.0,0.06807631146528437,0.07825736591650834,0.07826340963367195,1.149642334449664,False,False,False,False
"121's matched four-way (small n=40, v1c)",small,R40,v1c,spread,1.0,25.0,0.06987108893094957,0.08329226601573636,0.08329527506765677,1.1921279078672113,False,False,False,False
