panel,cost,rule,pick,oos_sharpe,oos_cagr,oos_dd,anchor_oos,live_oos,spy_oos,best_oos,regret,beats_anchor,beats_live,beats_spy
U56,20,S3_5,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,20,S3_10,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,20,S3_15,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,20,S3_20,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,20,S3_25,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,20,S4,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,20,S5,BAND12/W,1.2479916228973267,0.1491695929583643,-0.1949076778982195,1.0890726484428221,1.2605248650955374,0.8820107671822842,1.2861150295605233,0.03812340666319658,True,False,True
U56,25,S1,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S2,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S3_0,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S3_5,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S3_10,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S3_15,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S3_20,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S3_25,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S4,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,25,S5,BAND12/W,1.2388703903668383,0.14797684899257857,-0.1952645103468894,1.0495601201126592,1.2482435320727505,0.8820107671822842,1.2674719393506868,0.02860154898384848,True,False,True
U56,50,S1,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S2,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S3_0,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S3_5,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S3_10,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S3_15,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S3_20,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S3_25,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S4,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
U56,50,S5,EWALL/Q,1.157018875259333,0.13961772361505687,-0.21790797220195213,0.8516157259294731,1.1867674072120085,0.8820107671822842,1.2077750313912405,0.05075615613190765,True,False,True
B136,0,S1,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S2,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S3_0,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S3_5,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S3_10,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S3_15,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S3_20,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S3_25,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S4,N20/M,1.048088073064253,0.16433815730736412,-0.26066015264091635,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.1378116882357734,True,False,True
B136,0,S5,BAND12/W,1.1813732862034432,0.13995179566764704,-0.2165422701634424,0.9907714255507482,1.1481353293632495,0.8820239235972316,1.1858997613000264,0.004526475096583216,True,True,True
B136,5,S1,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S2,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S3_0,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S3_5,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S3_10,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S3_15,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S3_20,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S3_25,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S4,N20/M,1.0273229843018583,0.1605317128604853,-0.2608530439533294,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.1534106840760554,True,False,True
B136,5,S5,BAND12/W,1.1717130911189393,0.13870071410723672,-0.21696355310652382,0.9413662050802422,1.1333248961415157,0.8820239235972316,1.1807336683779137,0.009020577258974427,True,True,True
B136,10,S1,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S2,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S3_0,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S3_5,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S3_10,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S3_15,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S3_20,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S3_25,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S4,N20/M,1.006515564536546,0.15673660457118688,-0.2610459352657425,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.16903972886861074,True,False,True
B136,10,S5,BAND12/W,1.1620514328168383,0.13745091594646608,-0.21738477524607436,0.8919165372280256,1.1185082795688426,0.8820239235972316,1.1755552934051567,0.013503860588318428,True,True,True
B136,15,S1,N20/M,0.9856681168834943,0.15295280193272598,-0.26123882657815534,0.8424291290067256,1.1036857159324693,0.8820239235972316,1.1703648091640588,0.1846966922805645,True,False,True
B136,15,S2,N20/M,0.9856681168834943,0.15295280193272598,-0.26123882657815534,0.8424291290067256,1.1036857159324693,0.8820239235972316,1.1703648091640588,0.1846966922805645,True,False,True
