est,family,arm,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,modal_pick,modal_share
BLEND-DR,ALL,ORACLE,115,0.8080453756149841,0.06577996852390648,-0.16980836698709573,M,0.45217391304347826
BLEND-DR,SMALL,CONST-W,49,0.20520275926815387,0.017313920195450555,-0.24041823877816867,W,1.0
BLEND-DR,SMALL,CONST-M,49,0.3030347243140429,0.0257773478141822,-0.2467130175181372,M,1.0
BLEND-DR,SMALL,CONST-6W,49,0.2736999831555726,0.023388120710745433,-0.2530663903193553,6W,1.0
BLEND-DR,SMALL,CONST-2M,49,0.3392911134863877,0.030292849364302325,-0.25780280252781695,2M,1.0
BLEND-DR,SMALL,SEL-SHARPE,49,0.295740445789756,0.02598165204506845,-0.25035913781801117,M,0.5306122448979592
BLEND-DR,SMALL,SEL-4B,49,0.2997779152891983,0.02610500242855402,-0.253229028198312,M,0.3469387755102041
BLEND-DR,SMALL,RANDOM,49,0.27091822030688806,0.022966436064379786,-0.2674787912544578,7W,0.1836734693877551
BLEND-DR,SMALL,ORACLE,49,0.41088475509474776,0.039121224663550475,-0.2444985309343193,M,0.22448979591836735
BLEND-DR,U56,CONST-W,33,1.2230250732965675,0.1118579068751881,-0.14053339817181365,W,1.0
BLEND-DR,U56,CONST-M,33,1.2699198629948023,0.12100574476705339,-0.14126451808810853,M,1.0
BLEND-DR,U56,CONST-6W,33,1.2041227660004619,0.11971634064832774,-0.17060940559896876,6W,1.0
BLEND-DR,U56,CONST-2M,33,1.2200009644370822,0.12296452810215482,-0.17770005800780117,2M,1.0
BLEND-DR,U56,SEL-SHARPE,33,1.2099449418982733,0.12021844001410771,-0.16361319610209477,M,0.5757575757575758
BLEND-DR,U56,SEL-4B,33,1.1815037657250487,0.11838441298403099,-0.16717705970826435,M,0.6060606060606061
BLEND-DR,U56,RANDOM,33,1.1876936354584422,0.11674367276582029,-0.16711090492210942,2M,0.18181818181818182
BLEND-DR,U56,ORACLE,33,1.282242208329325,0.12036919726947785,-0.1352210093440929,M,0.5757575757575758
BLEND-DR,ETF,CONST-W,33,0.8412506946203576,0.045567266693920076,-0.09652951100750473,W,1.0
BLEND-DR,ETF,CONST-M,33,0.9142862185627896,0.05061752815671672,-0.0959206878521228,M,1.0
BLEND-DR,ETF,CONST-6W,33,0.8218011193964517,0.04776989113407794,-0.13345028265071973,6W,1.0
BLEND-DR,ETF,CONST-2M,33,0.8545262409299472,0.050132734778257165,-0.13051230442687864,2M,1.0
BLEND-DR,ETF,SEL-SHARPE,33,0.9091200574999263,0.05054024294395859,-0.09831460017208449,M,0.9090909090909091
BLEND-DR,ETF,SEL-4B,33,0.8914087649210819,0.049754093186648876,-0.1022990015340434,M,0.9090909090909091
BLEND-DR,ETF,RANDOM,33,0.8203392924585574,0.047846931875049216,-0.12434379947110297,2M,0.21212121212121213
BLEND-DR,ETF,ORACLE,33,0.9235718885216005,0.05077493520734856,-0.09349214785997861,M,0.6666666666666666
BLEND-BH,ALL,CONST-W,115,0.679791613438244,0.05255141580310997,-0.17046582350476316,W,1.0
BLEND-BH,ALL,CONST-M,115,0.7558913233285969,0.06023180912503775,-0.17318304047318572,M,1.0
BLEND-BH,ALL,CONST-6W,115,0.7000489886616699,0.05815323114146319,-0.19494161081001868,6W,1.0
BLEND-BH,ALL,CONST-2M,115,0.7419141088751128,0.0627777104018988,-0.19793165395472026,2M,1.0
BLEND-BH,ALL,SEL-SHARPE,115,0.7348295749830135,0.0601538093915533,-0.18118409057206714,M,0.6695652173913044
BLEND-BH,ALL,SEL-4B,115,0.7250459442667065,0.059590441889562036,-0.1846621586354976,M,0.591304347826087
BLEND-BH,ALL,RANDOM,115,0.6914300805570551,0.05699207038025098,-0.19752853858644298,7W,0.13043478260869565
BLEND-BH,ALL,ORACLE,115,0.8087651287291172,0.06590123152216255,-0.17041821841019406,M,0.4608695652173913
BLEND-BH,SMALL,CONST-W,49,0.20520275926815362,0.017313920195450534,-0.24041823877816867,W,1.0
BLEND-BH,SMALL,CONST-M,49,0.3030347243140423,0.0257773478141822,-0.2467130175181372,M,1.0
BLEND-BH,SMALL,CONST-6W,49,0.27572652117049284,0.023574677549840967,-0.25282121514145456,6W,1.0
BLEND-BH,SMALL,CONST-2M,49,0.34468484712497593,0.030904936547810995,-0.25679245520747596,2M,1.0
BLEND-BH,SMALL,SEL-SHARPE,49,0.29855810866443255,0.02622934293103098,-0.24859690796268766,M,0.5714285714285714
BLEND-BH,SMALL,SEL-4B,49,0.304132513340782,0.026583722887666108,-0.25263877984131466,M,0.3469387755102041
BLEND-BH,SMALL,RANDOM,49,0.2707469532241663,0.022958351095106137,-0.2672774356930587,7W,0.1836734693877551
BLEND-BH,SMALL,ORACLE,49,0.4128307565971958,0.039355121309559246,-0.2457464672719524,M,0.20408163265306123
BLEND-BH,U56,CONST-W,33,1.2230250732965664,0.11185790687518807,-0.14053339817181357,W,1.0
BLEND-BH,U56,CONST-M,33,1.2699198629948016,0.12100574476705345,-0.1412645180881085,M,1.0
BLEND-BH,U56,CONST-6W,33,1.2064499504012127,0.11980561552152437,-0.17054386118225845,6W,1.0
BLEND-BH,U56,CONST-2M,33,1.2192637308334986,0.1228346857714064,-0.1781245348517008,2M,1.0
BLEND-BH,U56,SEL-SHARPE,33,1.2084753902565661,0.12014584082393344,-0.16392962850377613,M,0.5757575757575758
BLEND-BH,U56,SEL-4B,33,1.1819600142799525,0.11842575014846403,-0.1671827373166127,M,0.6060606060606061
BLEND-BH,U56,RANDOM,33,1.1876188547220445,0.11673473715269388,-0.16715125172051415,2M,0.18181818181818182
BLEND-BH,U56,ORACLE,33,1.2820201968705298,0.12047389292240084,-0.13536329796078767,M,0.6060606060606061
BLEND-BH,ETF,CONST-W,33,0.841250694620359,0.04556726669392014,-0.09652951100750462,W,1.0
BLEND-BH,ETF,CONST-M,33,0.9142862185627915,0.05061752815671667,-0.0959206878521228,M,1.0
BLEND-BH,ETF,CONST-6W,33,0.8237025998635715,0.04784475967017441,-0.13339691764261644,6W,1.0
BLEND-BH,ETF,CONST-2M,33,0.8543897543638995,0.050046974997551896,-0.1303394015006176,2M,1.0
BLEND-BH,ETF,SEL-SHARPE,33,0.9089807854552328,0.050534470582372926,-0.09834073287852761,M,0.9090909090909091
BLEND-BH,ETF,SEL-4B,33,0.8931245444161975,0.04976511033044492,-0.10120659695180566,M,0.9393939393939394
BLEND-BH,ETF,RANDOM,33,0.8198920106136282,0.047784320122114095,-0.1243392812637607,2M,0.21212121212121213
BLEND-BH,ETF,ORACLE,33,0.9234126131472249,0.05074552164972917,-0.09362210267092894,M,0.696969696969697
-,BENCH-SMALL,SPY,0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,-,
-,BENCH-SMALL,RULES v1,0,0.49230650885687877,0.06352093691071925,-0.36124391639860465,-,
-,BENCH-U56,SPY,0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,-,
-,BENCH-U56,RULES v1,0,0.747063834691694,0.07730300522922962,-0.1382779615448081,-,
