share,cells,mean_d,frac_pos,dial
0.375,0,,,CADENCE
0.4,0,,,CADENCE
0.425,0,,,CADENCE
0.45,0,,,CADENCE
0.475,0,,,CADENCE
0.5,0,,,CADENCE
0.525,1,0.1147630886905805,1.0,CADENCE
0.55,7,0.05034248574771514,1.0,CADENCE
0.575,10,0.05666308041344893,1.0,CADENCE
0.6,10,0.05666308041344893,1.0,CADENCE
0.625,13,0.062224288192473595,1.0,CADENCE
0.65,14,0.060258111215143996,1.0,CADENCE
0.675,19,0.05191678155124996,1.0,CADENCE
0.7,18,0.051561349571451434,1.0,CADENCE
0.725,12,0.05347612459225862,1.0,CADENCE
0.75,16,0.04950499598892397,1.0,CADENCE
0.775,18,0.039608607734338684,1.0,CADENCE
0.8,31,0.031159341896429597,1.0,CADENCE
0.825,33,0.03056419985314606,1.0,CADENCE
0.85,28,0.02794517688238766,1.0,CADENCE
0.875,37,0.02126208896927206,0.9459459459459459,CADENCE
0.9,37,0.0180954004698448,0.9459459459459459,CADENCE
0.925,49,0.010334079012679126,0.6122448979591837,CADENCE
0.95,41,0.0076975203460954555,0.5365853658536586,CADENCE
0.975,32,0.00451855207719831,0.40625,CADENCE
1.0,32,0.00451855207719831,0.40625,CADENCE
0.2,0,,,GROSS
0.225,0,,,GROSS
0.25,1,0.0002639536945016,1.0,GROSS
0.275,3,0.0001864976123793,1.0,GROSS
0.3,3,0.0001864976123793,1.0,GROSS
0.325,4,0.00016415392128047693,1.0,GROSS
0.35,5,0.00023398397694580154,1.0,GROSS
0.375,5,0.00023398397694580154,1.0,GROSS
0.4,4,0.0002264915475568519,1.0,GROSS
0.425,2,0.00030521352379555384,1.0,GROSS
0.45,2,0.00030521352379555384,1.0,GROSS
0.475,5,0.00013253318137377413,1.0,GROSS
0.5,5,6.173296753767414e-05,1.0,GROSS
0.525,5,6.173296753767414e-05,1.0,GROSS
0.55,5,6.173296753767414e-05,1.0,GROSS
0.575,5,6.173296753767414e-05,1.0,GROSS
0.6,5,6.173296753767414e-05,1.0,GROSS
0.625,1,0.0001593031304266,1.0,GROSS
0.65,0,,,GROSS
0.675,0,,,GROSS
0.7,0,,,GROSS
0.725,0,,,GROSS
0.75,5,0.0001539416485667399,1.0,GROSS
0.775,10,6.0915063842980634e-05,0.5,GROSS
0.8,11,3.6182853723027846e-05,0.45454545454545453,GROSS
0.825,11,3.6182853723027846e-05,0.45454545454545453,GROSS
0.85,11,3.6182853723027846e-05,0.45454545454545453,GROSS
0.875,37,-6.663139889391662e-05,0.13513513513513514,GROSS
0.9,42,-9.75084284788288e-05,0.0,GROSS
0.925,60,-6.557993986178194e-05,0.0,GROSS
0.95,60,-6.557993986178194e-05,0.0,GROSS
0.975,59,-6.31128329530579e-05,0.0,GROSS
1.0,59,-6.31128329530579e-05,0.0,GROSS
0.2,22,0.005516393732738773,0.5909090909090909,N
0.225,25,0.0031798110443568436,0.52,N
0.25,30,0.006338674658136979,0.5333333333333333,N
0.275,33,0.004260326716353403,0.5151515151515151,N
0.3,37,-4.29980843985925e-05,0.4594594594594595,N
0.325,35,-0.004928482162316702,0.4,N
0.35,35,-0.0024557717718524646,0.45714285714285713,N
0.375,36,0.0004614049598419607,0.5277777777777778,N
0.4,38,0.0021337476921810205,0.6052631578947368,N
0.425,36,0.003962493614425688,0.6388888888888888,N
0.45,28,0.01118815092841259,0.75,N
0.475,19,0.021028871608763017,0.9473684210526315,N
0.5,15,0.020372137996892532,0.8666666666666667,N
0.525,11,0.022262260490506645,0.9090909090909091,N
0.55,5,0.029665808597621808,0.8,N
0.575,6,0.02891403040027774,0.8333333333333334,N
0.6,4,0.029038950778692,0.75,N
0.625,7,0.04593746930273911,0.8571428571428571,N
0.65,6,0.05605758899474383,1.0,N
0.675,6,0.05605758899474383,1.0,N
0.7,6,0.05605758899474383,1.0,N
0.725,4,0.0581523548946533,1.0,N
0.75,5,0.04573782372150463,0.8,N
0.775,1,-0.00392030097109,0.0,N
0.8,1,-0.00392030097109,0.0,N
0.825,1,-0.00392030097109,0.0,N
0.85,1,-0.00392030097109,0.0,N
0.875,1,-0.00392030097109,0.0,N
0.9,0,,,N
0.925,1,0.0,0.0,N
0.95,1,0.0,0.0,N
0.975,1,0.0,0.0,N
1.0,1,0.0,0.0,N
0.2,0,,,SLEEVE
0.225,0,,,SLEEVE
0.25,0,,,SLEEVE
0.275,0,,,SLEEVE
0.3,0,,,SLEEVE
0.325,0,,,SLEEVE
0.35,0,,,SLEEVE
0.375,0,,,SLEEVE
0.4,0,,,SLEEVE
0.425,2,-0.0051867099208289,0.0,SLEEVE
0.45,4,-0.0010996032729437002,0.5,SLEEVE
0.475,4,-0.0010996032729437002,0.5,SLEEVE
0.5,4,-0.0010996032729437002,0.5,SLEEVE
0.525,5,-0.0006348062677133802,0.6,SLEEVE
0.55,5,-0.0006348062677133802,0.6,SLEEVE
0.575,3,0.0023997961676969666,1.0,SLEEVE
0.6,3,0.0023997961676969666,1.0,SLEEVE
0.625,1,0.0012243817532079,1.0,SLEEVE
0.65,3,0.0041615641562639,1.0,SLEEVE
0.675,4,0.00563243220087645,1.0,SLEEVE
0.7,4,0.00563243220087645,1.0,SLEEVE
0.725,5,0.0051428759195232395,1.0,SLEEVE
0.75,7,0.004429748045984729,1.0,SLEEVE
0.775,7,0.004429748045984729,1.0,SLEEVE
0.8,13,0.004983069157765632,1.0,SLEEVE
0.825,17,0.0045118390201115645,1.0,SLEEVE
0.85,18,0.003906258598999195,1.0,SLEEVE
0.875,20,0.0034881507979983148,1.0,SLEEVE
0.9,23,0.003379267060978678,1.0,SLEEVE
0.925,68,0.0011429873882722,0.3382352941176471,SLEEVE
0.95,68,0.0011429873882722,0.3382352941176471,SLEEVE
0.975,56,0.0003708893690521839,0.19642857142857142,SLEEVE
1.0,53,0.00029979236111153586,0.1509433962264151,SLEEVE
0.2,2,-0.01178810926016615,0.0,SLEEVE+
0.225,5,-0.00798186404398642,0.2,SLEEVE+
0.25,7,-0.006968201476143485,0.14285714285714285,SLEEVE+
0.275,10,-0.00632025677542313,0.1,SLEEVE+
0.3,16,-0.011183677869229856,0.125,SLEEVE+
0.325,23,-0.009282484191444892,0.2608695652173913,SLEEVE+
0.35,27,-0.007086981037506725,0.37037037037037035,SLEEVE+
0.375,28,-0.00675438772651444,0.39285714285714285,SLEEVE+
0.4,27,-0.006881536866001885,0.4074074074074074,SLEEVE+
0.425,31,-0.004834713586608107,0.41935483870967744,SLEEVE+
0.45,29,-0.0008970889884217276,0.5172413793103449,SLEEVE+
0.475,23,0.0026207949106074996,0.5217391304347826,SLEEVE+
0.5,19,0.0032823272591155066,0.5263157894736842,SLEEVE+
0.525,18,0.00806543623406495,0.5555555555555556,SLEEVE+
0.55,22,0.008838664554976878,0.5454545454545454,SLEEVE+
0.575,21,0.014929090401829513,0.7142857142857143,SLEEVE+
0.6,16,0.015685633496900928,0.6875,SLEEVE+
0.625,19,0.011838982750361302,0.6842105263157895,SLEEVE+
0.65,17,0.01319307690631906,0.6470588235294118,SLEEVE+
0.675,20,0.008203341009716964,0.65,SLEEVE+
0.7,17,0.007109735962937188,0.7058823529411765,SLEEVE+
0.725,10,0.0034196786466664996,0.7,SLEEVE+
0.75,13,0.0028381838331992767,0.6923076923076923,SLEEVE+
0.775,9,0.0012433644902769886,0.6666666666666666,SLEEVE+
0.8,10,0.0014225577217734198,0.7,SLEEVE+
0.825,10,0.0014225577217734198,0.7,SLEEVE+
0.85,4,0.0014337250425417252,0.75,SLEEVE+
0.875,4,0.0014337250425417252,0.75,SLEEVE+
0.9,1,0.0030352968052413,1.0,SLEEVE+
0.925,6,0.00050588280087355,0.16666666666666666,SLEEVE+
0.95,6,0.00050588280087355,0.16666666666666666,SLEEVE+
0.975,5,0.0,0.0,SLEEVE+
1.0,5,0.0,0.0,SLEEVE+
