panel,book,gross,cadence,leg,RANDFIX,RANDROT,RANDROT_FREE,cert_ROT,cert_FIX,cert_BOTH
B136,TOP10,0.5,Q,L_H1,0.93,0.82,0.85,True,False,False
B136,TOP10,0.5,Q,L_H2,0.4,0.355,0.71,True,True,True
B136,TOP10,0.5,Q,L_OOS,0.555,0.46,0.745,True,True,True
B136,TOP10,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
B136,TOP10,0.5,W,L_DD,0.995,0.975,0.77,False,False,False
B136,TOP10,0.5,W,L_H1,0.735,0.0,0.01,True,True,True
B136,TOP10,0.5,W,L_H2,0.475,0.0,0.0,True,True,True
B136,TOP10,0.5,W,L_OOS,0.63,0.0,0.0,True,True,True
B136,TOP10,0.75,M,L_CAGR,0.665,0.32,0.845,True,True,True
B136,TOP10,0.75,M,L_DD,0.235,0.215,0.03,True,True,True
B136,TOP10,0.75,M,L_H1,0.785,0.505,0.59,True,True,True
B136,TOP10,0.75,M,L_H2,0.655,0.415,0.46,True,True,True
B136,TOP10,0.75,M,L_OOS,0.775,0.475,0.53,True,True,True
B136,TOP10,0.75,Q,L_CAGR,0.695,0.56,0.965,True,True,True
B136,TOP10,0.75,Q,L_DD,0.07,0.115,0.085,True,True,True
B136,TOP10,0.75,Q,L_H1,0.93,0.825,0.845,True,False,False
B136,TOP10,0.75,Q,L_H2,0.4,0.355,0.71,True,True,True
B136,TOP10,0.75,Q,L_OOS,0.53,0.44,0.75,True,True,True
B136,TOP10,0.75,W,L_CAGR,0.46,0.0,0.0,True,True,True
B136,TOP10,0.75,W,L_DD,0.7,0.295,0.0,True,True,True
B136,TOP10,0.75,W,L_H1,0.735,0.0,0.01,True,True,True
B136,TOP10,0.75,W,L_H2,0.475,0.0,0.0,True,True,True
B136,TOP10,0.75,W,L_OOS,0.625,0.0,0.0,True,True,True
B136,TOP10,1.0,M,L_CAGR,0.995,0.975,1.0,False,False,False
B136,TOP10,1.0,M,L_DD,0.0,0.0,0.0,True,True,True
B136,TOP10,1.0,M,L_H1,0.79,0.515,0.6,True,True,True
B136,TOP10,1.0,M,L_H2,0.66,0.42,0.46,True,True,True
B136,TOP10,1.0,M,L_OOS,0.775,0.49,0.52,True,True,True
B136,TOP10,1.0,Q,L_CAGR,0.995,0.95,1.0,False,False,False
B136,TOP10,1.0,Q,L_DD,0.01,0.0,0.0,True,True,True
B136,TOP10,1.0,Q,L_H1,0.935,0.82,0.845,True,False,False
B136,TOP10,1.0,Q,L_H2,0.38,0.33,0.705,True,True,True
B136,TOP10,1.0,Q,L_OOS,0.515,0.425,0.745,True,True,True
B136,TOP10,1.0,W,L_CAGR,0.94,0.0,0.06,True,False,False
B136,TOP10,1.0,W,L_DD,0.035,0.0,0.0,True,True,True
B136,TOP10,1.0,W,L_H1,0.735,0.0,0.01,True,True,True
B136,TOP10,1.0,W,L_H2,0.47,0.0,0.0,True,True,True
B136,TOP10,1.0,W,L_OOS,0.62,0.0,0.0,True,True,True
B136,TOP20,0.5,M,L_CAGR,0.0,0.0,0.0,True,True,True
B136,TOP20,0.5,M,L_DD,1.0,1.0,0.98,False,False,False
B136,TOP20,0.5,M,L_H1,0.955,0.75,0.815,True,False,False
B136,TOP20,0.5,M,L_H2,0.855,0.615,0.615,True,True,True
B136,TOP20,0.5,M,L_OOS,0.945,0.76,0.685,True,False,False
B136,TOP20,0.5,Q,L_CAGR,0.0,0.0,0.035,True,True,True
B136,TOP20,0.5,Q,L_DD,0.995,0.995,0.985,False,False,False
B136,TOP20,0.5,Q,L_H1,0.995,0.99,0.95,False,False,False
B136,TOP20,0.5,Q,L_H2,0.55,0.435,0.905,True,True,True
B136,TOP20,0.5,Q,L_OOS,0.705,0.65,0.945,True,True,True
B136,TOP20,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
B136,TOP20,0.5,W,L_DD,1.0,1.0,0.875,False,False,False
B136,TOP20,0.5,W,L_H1,0.915,0.0,0.0,True,False,False
B136,TOP20,0.5,W,L_H2,0.655,0.0,0.0,True,True,True
B136,TOP20,0.5,W,L_OOS,0.81,0.0,0.0,True,True,True
B136,TOP20,0.75,M,L_CAGR,0.86,0.38,0.925,True,True,True
B136,TOP20,0.75,M,L_DD,0.195,0.15,0.005,True,True,True
B136,TOP20,0.75,M,L_H1,0.955,0.76,0.825,True,False,False
B136,TOP20,0.75,M,L_H2,0.855,0.615,0.61,True,True,True
B136,TOP20,0.75,M,L_OOS,0.94,0.76,0.68,True,False,False
B136,TOP20,0.75,Q,L_CAGR,0.75,0.655,0.99,True,True,True
B136,TOP20,0.75,Q,L_DD,0.03,0.04,0.025,True,True,True
B136,TOP20,0.75,Q,L_H1,0.995,0.99,0.95,False,False,False
B136,TOP20,0.75,Q,L_H2,0.53,0.41,0.905,True,True,True
B136,TOP20,0.75,Q,L_OOS,0.675,0.635,0.945,True,True,True
B136,TOP20,0.75,W,L_CAGR,0.505,0.0,0.0,True,True,True
B136,TOP20,0.75,W,L_DD,0.89,0.7,0.0,True,True,True
B136,TOP20,0.75,W,L_H1,0.92,0.0,0.0,True,False,False
B136,TOP20,0.75,W,L_H2,0.655,0.0,0.0,True,True,True
B136,TOP20,0.75,W,L_OOS,0.81,0.0,0.0,True,True,True
B136,TOP20,1.0,M,L_CAGR,1.0,0.995,1.0,False,False,False
B136,TOP20,1.0,M,L_DD,0.0,0.0,0.0,True,True,True
B136,TOP20,1.0,M,L_H1,0.97,0.775,0.835,True,False,False
B136,TOP20,1.0,M,L_H2,0.855,0.62,0.605,True,True,True
B136,TOP20,1.0,M,L_OOS,0.935,0.76,0.675,True,False,False
B136,TOP20,1.0,Q,L_CAGR,1.0,1.0,1.0,False,False,False
B136,TOP20,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
B136,TOP20,1.0,Q,L_H1,0.995,0.99,0.955,False,False,False
B136,TOP20,1.0,Q,L_H2,0.505,0.405,0.9,True,True,True
B136,TOP20,1.0,Q,L_OOS,0.66,0.585,0.94,True,True,True
B136,TOP20,1.0,W,L_CAGR,0.99,0.0,0.05,True,False,False
B136,TOP20,1.0,W,L_DD,0.015,0.0,0.0,True,True,True
B136,TOP20,1.0,W,L_H1,0.92,0.0,0.0,True,False,False
B136,TOP20,1.0,W,L_H2,0.655,0.0,0.0,True,True,True
B136,TOP20,1.0,W,L_OOS,0.79,0.0,0.0,True,True,True
B136,TOP5,0.5,M,L_CAGR,0.035,0.0,0.025,True,True,True
B136,TOP5,0.5,M,L_DD,0.955,0.925,0.805,False,False,False
B136,TOP5,0.5,M,L_H1,0.55,0.26,0.415,True,True,True
B136,TOP5,0.5,M,L_H2,0.43,0.29,0.315,True,True,True
B136,TOP5,0.5,M,L_OOS,0.52,0.34,0.3,True,True,True
B136,TOP5,0.5,Q,L_CAGR,0.055,0.0,0.105,True,True,True
B136,TOP5,0.5,Q,L_DD,0.815,0.865,0.83,True,True,True
B136,TOP5,0.5,Q,L_H1,0.715,0.61,0.615,True,True,True
B136,TOP5,0.5,Q,L_H2,0.305,0.235,0.46,True,True,True
B136,TOP5,0.5,Q,L_OOS,0.375,0.32,0.53,True,True,True
B136,TOP5,0.5,W,L_CAGR,0.03,0.0,0.0,True,True,True
B136,TOP5,0.5,W,L_DD,0.96,0.735,0.44,True,False,False
B136,TOP5,0.5,W,L_H1,0.435,0.0,0.005,True,True,True
B136,TOP5,0.5,W,L_H2,0.305,0.0,0.0,True,True,True
B136,TOP5,0.5,W,L_OOS,0.355,0.0,0.0,True,True,True
B136,TOP5,0.75,M,L_CAGR,0.61,0.365,0.695,True,True,True
B136,TOP5,0.75,M,L_DD,0.21,0.17,0.025,True,True,True
B136,TOP5,0.75,M,L_H1,0.55,0.28,0.425,True,True,True
B136,TOP5,0.75,M,L_H2,0.445,0.295,0.315,True,True,True
B136,TOP5,0.75,M,L_OOS,0.51,0.355,0.3,True,True,True
B136,TOP5,0.75,Q,L_CAGR,0.585,0.54,0.925,True,True,True
B136,TOP5,0.75,Q,L_DD,0.09,0.05,0.055,True,True,True
B136,TOP5,0.75,Q,L_H1,0.715,0.6,0.62,True,True,True
B136,TOP5,0.75,Q,L_H2,0.31,0.22,0.46,True,True,True
B136,TOP5,0.75,Q,L_OOS,0.37,0.32,0.525,True,True,True
B136,TOP5,0.75,W,L_CAGR,0.37,0.0,0.0,True,True,True
B136,TOP5,0.75,W,L_DD,0.35,0.04,0.0,True,True,True
B136,TOP5,0.75,W,L_H1,0.44,0.0,0.005,True,True,True
B136,TOP5,0.75,W,L_H2,0.305,0.0,0.0,True,True,True
B136,TOP5,0.75,W,L_OOS,0.355,0.0,0.0,True,True,True
B136,TOP5,1.0,M,L_CAGR,0.92,0.82,0.975,True,False,False
B136,TOP5,1.0,M,L_DD,0.01,0.0,0.0,True,True,True
B136,TOP5,1.0,M,L_H1,0.55,0.285,0.43,True,True,True
B136,TOP5,1.0,M,L_H2,0.445,0.305,0.315,True,True,True
B136,TOP5,1.0,M,L_OOS,0.51,0.36,0.3,True,True,True
B136,TOP5,1.0,Q,L_CAGR,0.94,0.91,0.985,False,False,False
B136,TOP5,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
B136,TOP5,1.0,Q,L_H1,0.715,0.6,0.645,True,True,True
B136,TOP5,1.0,Q,L_H2,0.305,0.215,0.47,True,True,True
B136,TOP5,1.0,Q,L_OOS,0.36,0.305,0.52,True,True,True
B136,TOP5,1.0,W,L_CAGR,0.775,0.0,0.08,True,True,True
B136,TOP5,1.0,W,L_DD,0.0,0.0,0.0,True,True,True
B136,TOP5,1.0,W,L_H1,0.44,0.0,0.01,True,True,True
B136,TOP5,1.0,W,L_H2,0.305,0.0,0.0,True,True,True
B136,TOP5,1.0,W,L_OOS,0.355,0.0,0.0,True,True,True
U56,BAND03,0.5,M,L_CAGR,0.0,0.0,0.0,True,True,True
U56,BAND03,0.5,M,L_DD,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,M,L_H1,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,M,L_H2,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,M,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,Q,L_CAGR,0.0,0.0,0.0,True,True,True
U56,BAND03,0.5,Q,L_DD,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,Q,L_H1,0.995,1.0,0.995,False,False,False
U56,BAND03,0.5,Q,L_H2,0.99,0.99,0.995,False,False,False
U56,BAND03,0.5,Q,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
U56,BAND03,0.5,W,L_DD,1.0,1.0,1.0,False,False,False
U56,BAND03,0.5,W,L_H1,1.0,0.995,0.87,False,False,False
U56,BAND03,0.5,W,L_H2,1.0,0.995,1.0,False,False,False
U56,BAND03,0.5,W,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,M,L_CAGR,0.0,0.0,0.0,True,True,True
U56,BAND03,0.75,M,L_DD,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,M,L_H1,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,M,L_H2,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,M,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,Q,L_CAGR,0.0,0.0,0.0,True,True,True
U56,BAND03,0.75,Q,L_DD,0.395,0.41,0.68,True,True,True
U56,BAND03,0.75,Q,L_H1,0.995,1.0,0.995,False,False,False
U56,BAND03,0.75,Q,L_H2,0.99,0.99,0.995,False,False,False
U56,BAND03,0.75,Q,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,W,L_CAGR,0.0,0.0,0.0,True,True,True
U56,BAND03,0.75,W,L_DD,1.0,1.0,1.0,False,False,False
U56,BAND03,0.75,W,L_H1,1.0,0.995,0.87,False,False,False
U56,BAND03,0.75,W,L_H2,1.0,0.995,1.0,False,False,False
U56,BAND03,0.75,W,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,1.0,M,L_CAGR,0.99,1.0,0.925,False,False,False
U56,BAND03,1.0,M,L_DD,0.07,0.075,0.05,True,True,True
U56,BAND03,1.0,M,L_H1,1.0,1.0,1.0,False,False,False
U56,BAND03,1.0,M,L_H2,1.0,1.0,1.0,False,False,False
U56,BAND03,1.0,M,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,1.0,Q,L_CAGR,0.44,0.28,0.685,True,True,True
U56,BAND03,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
U56,BAND03,1.0,Q,L_H1,1.0,1.0,0.995,False,False,False
U56,BAND03,1.0,Q,L_H2,0.98,0.99,0.99,False,False,False
U56,BAND03,1.0,Q,L_OOS,1.0,1.0,1.0,False,False,False
U56,BAND03,1.0,W,L_CAGR,0.095,0.0,0.0,True,True,True
U56,BAND03,1.0,W,L_DD,1.0,1.0,1.0,False,False,False
U56,BAND03,1.0,W,L_H1,1.0,0.995,0.88,False,False,False
U56,BAND03,1.0,W,L_H2,1.0,0.995,1.0,False,False,False
U56,BAND03,1.0,W,L_OOS,1.0,1.0,1.0,False,False,False
U56,EWELIG,0.5,M,L_CAGR,0.0,0.0,0.0,True,True,True
U56,EWELIG,0.5,M,L_DD,1.0,1.0,1.0,False,False,False
U56,EWELIG,0.5,M,L_H1,1.0,1.0,0.975,False,False,False
U56,EWELIG,0.5,M,L_H2,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.5,M,L_OOS,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.5,Q,L_CAGR,0.0,0.0,0.0,True,True,True
U56,EWELIG,0.5,Q,L_DD,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.5,Q,L_H1,1.0,1.0,1.0,False,False,False
U56,EWELIG,0.5,Q,L_H2,1.0,1.0,0.975,False,False,False
U56,EWELIG,0.5,Q,L_OOS,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
U56,EWELIG,0.5,W,L_DD,1.0,1.0,0.98,False,False,False
U56,EWELIG,0.5,W,L_H1,1.0,1.0,0.4,False,False,False
U56,EWELIG,0.5,W,L_H2,1.0,1.0,0.495,False,False,False
U56,EWELIG,0.5,W,L_OOS,1.0,1.0,0.565,False,False,False
U56,EWELIG,0.75,M,L_CAGR,1.0,1.0,1.0,False,False,False
U56,EWELIG,0.75,M,L_DD,1.0,1.0,0.025,False,False,False
U56,EWELIG,0.75,M,L_H1,1.0,1.0,0.975,False,False,False
U56,EWELIG,0.75,M,L_H2,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.75,M,L_OOS,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.75,Q,L_CAGR,1.0,1.0,1.0,False,False,False
U56,EWELIG,0.75,Q,L_DD,0.0,0.0,0.0,True,True,True
U56,EWELIG,0.75,Q,L_H1,1.0,1.0,1.0,False,False,False
U56,EWELIG,0.75,Q,L_H2,1.0,1.0,0.975,False,False,False
U56,EWELIG,0.75,Q,L_OOS,1.0,1.0,0.995,False,False,False
U56,EWELIG,0.75,W,L_CAGR,0.0,0.0,0.365,True,True,True
U56,EWELIG,0.75,W,L_DD,1.0,1.0,0.035,False,False,False
U56,EWELIG,0.75,W,L_H1,1.0,1.0,0.405,False,False,False
U56,EWELIG,0.75,W,L_H2,1.0,1.0,0.495,False,False,False
U56,EWELIG,0.75,W,L_OOS,1.0,1.0,0.565,False,False,False
U56,EWELIG,1.0,M,L_CAGR,1.0,1.0,1.0,False,False,False
U56,EWELIG,1.0,M,L_DD,0.0,0.0,0.0,True,True,True
U56,EWELIG,1.0,M,L_H1,1.0,1.0,0.975,False,False,False
U56,EWELIG,1.0,M,L_H2,1.0,1.0,0.995,False,False,False
U56,EWELIG,1.0,M,L_OOS,1.0,1.0,0.995,False,False,False
U56,EWELIG,1.0,Q,L_CAGR,1.0,1.0,1.0,False,False,False
U56,EWELIG,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
U56,EWELIG,1.0,Q,L_H1,1.0,1.0,1.0,False,False,False
U56,EWELIG,1.0,Q,L_H2,1.0,1.0,0.97,False,False,False
U56,EWELIG,1.0,Q,L_OOS,1.0,1.0,0.985,False,False,False
U56,EWELIG,1.0,W,L_CAGR,1.0,1.0,1.0,False,False,False
U56,EWELIG,1.0,W,L_DD,0.0,0.0,0.0,True,True,True
U56,EWELIG,1.0,W,L_H1,1.0,1.0,0.425,False,False,False
U56,EWELIG,1.0,W,L_H2,1.0,1.0,0.495,False,False,False
U56,EWELIG,1.0,W,L_OOS,1.0,1.0,0.565,False,False,False
U56,TOP10,0.5,M,L_CAGR,0.015,0.0,0.0,True,True,True
U56,TOP10,0.5,M,L_DD,1.0,1.0,0.975,False,False,False
U56,TOP10,0.5,M,L_H1,0.755,0.475,0.445,True,True,True
U56,TOP10,0.5,M,L_H2,0.955,0.9,0.65,True,False,False
U56,TOP10,0.5,M,L_OOS,0.99,0.92,0.68,False,False,False
U56,TOP10,0.5,Q,L_CAGR,0.015,0.0,0.03,True,True,True
U56,TOP10,0.5,Q,L_DD,0.965,0.985,0.945,False,False,False
U56,TOP10,0.5,Q,L_H1,0.93,0.88,0.715,True,False,False
U56,TOP10,0.5,Q,L_H2,0.67,0.695,0.77,True,True,True
U56,TOP10,0.5,Q,L_OOS,0.76,0.765,0.78,True,True,True
U56,TOP10,0.5,W,L_CAGR,0.005,0.0,0.0,True,True,True
U56,TOP10,0.5,W,L_DD,1.0,1.0,0.83,False,False,False
U56,TOP10,0.5,W,L_H1,0.555,0.0,0.0,True,True,True
U56,TOP10,0.5,W,L_H2,0.79,0.0,0.015,True,True,True
U56,TOP10,0.5,W,L_OOS,0.85,0.005,0.01,True,True,True
U56,TOP10,0.75,M,L_CAGR,0.725,0.45,0.73,True,True,True
U56,TOP10,0.75,M,L_DD,0.89,0.855,0.095,True,True,True
U56,TOP10,0.75,M,L_H1,0.77,0.48,0.45,True,True,True
U56,TOP10,0.75,M,L_H2,0.955,0.9,0.65,True,False,False
U56,TOP10,0.75,M,L_OOS,0.99,0.92,0.685,False,False,False
U56,TOP10,0.75,Q,L_CAGR,0.69,0.705,0.915,True,True,True
U56,TOP10,0.75,Q,L_DD,0.285,0.205,0.15,True,True,True
U56,TOP10,0.75,Q,L_H1,0.935,0.885,0.73,True,False,False
U56,TOP10,0.75,Q,L_H2,0.655,0.67,0.77,True,True,True
U56,TOP10,0.75,Q,L_OOS,0.755,0.765,0.785,True,True,True
U56,TOP10,0.75,W,L_CAGR,0.39,0.0,0.0,True,True,True
U56,TOP10,0.75,W,L_DD,0.95,0.79,0.015,True,False,False
U56,TOP10,0.75,W,L_H1,0.55,0.0,0.0,True,True,True
U56,TOP10,0.75,W,L_H2,0.79,0.0,0.015,True,True,True
U56,TOP10,0.75,W,L_OOS,0.85,0.005,0.01,True,True,True
U56,TOP10,1.0,M,L_CAGR,0.995,0.995,0.995,False,False,False
U56,TOP10,1.0,M,L_DD,0.16,0.12,0.0,True,True,True
U56,TOP10,1.0,M,L_H1,0.775,0.48,0.465,True,True,True
U56,TOP10,1.0,M,L_H2,0.955,0.905,0.65,False,False,False
U56,TOP10,1.0,M,L_OOS,0.99,0.92,0.675,False,False,False
U56,TOP10,1.0,Q,L_CAGR,0.98,0.985,1.0,False,False,False
U56,TOP10,1.0,Q,L_DD,0.005,0.0,0.0,True,True,True
U56,TOP10,1.0,Q,L_H1,0.94,0.885,0.73,True,False,False
U56,TOP10,1.0,Q,L_H2,0.645,0.65,0.77,True,True,True
U56,TOP10,1.0,Q,L_OOS,0.75,0.75,0.78,True,True,True
U56,TOP10,1.0,W,L_CAGR,0.895,0.0,0.07,True,True,True
U56,TOP10,1.0,W,L_DD,0.09,0.02,0.0,True,True,True
U56,TOP10,1.0,W,L_H1,0.55,0.0,0.0,True,True,True
U56,TOP10,1.0,W,L_H2,0.79,0.0,0.015,True,True,True
U56,TOP10,1.0,W,L_OOS,0.85,0.005,0.01,True,True,True
U56,TOP20,0.5,M,L_CAGR,0.0,0.0,0.0,True,True,True
U56,TOP20,0.5,M,L_DD,1.0,1.0,1.0,False,False,False
U56,TOP20,0.5,M,L_H1,0.97,0.945,0.79,False,False,False
