gross,cadset,form,lam,n,OOS_MAE
0.75,D/W/M/Q (all),CSD.is,0.25,216,0.20657264735552167
0.75,D/W/M/Q (all),CSD.is,0.5,216,0.18754393742314998
0.75,D/W/M/Q (all),CSD.is,0.75,216,0.1728346286589502
0.75,D/W/M/Q (all),CSD.is,1.0,216,0.16108898123901477
1.0,W/M/Q (idea 535),ZERO,0.0,162,0.36590911438483376
1.0,W/M/Q (idea 535),ZERO,0.25,162,0.36590911438483376
1.0,W/M/Q (idea 535),ZERO,0.5,162,0.36590911438483376
1.0,W/M/Q (idea 535),ZERO,0.75,162,0.36590911438483376
1.0,W/M/Q (idea 535),ZERO,1.0,162,0.36590911438483376
1.0,W/M/Q (idea 535),GLOBAL,0.0,162,0.3273299562644493
1.0,W/M/Q (idea 535),GLOBAL,0.25,162,0.3273299562644493
1.0,W/M/Q (idea 535),GLOBAL,0.5,162,0.3273299562644493
1.0,W/M/Q (idea 535),GLOBAL,0.75,162,0.3273299562644493
1.0,W/M/Q (idea 535),GLOBAL,1.0,162,0.3273299562644493
1.0,W/M/Q (idea 535),FAMILY,0.0,162,0.3273299562644493
1.0,W/M/Q (idea 535),FAMILY,0.25,162,0.30802225945974526
1.0,W/M/Q (idea 535),FAMILY,0.5,162,0.29112830492580166
1.0,W/M/Q (idea 535),FAMILY,0.75,162,0.27723909832140475
1.0,W/M/Q (idea 535),FAMILY,1.0,162,0.2660665980849633
1.0,W/M/Q (idea 535),CSD.is,0.0,162,0.3273299562644493
1.0,W/M/Q (idea 535),CSD.is,0.25,162,0.3003066776833461
1.0,W/M/Q (idea 535),CSD.is,0.5,162,0.2765326634089635
1.0,W/M/Q (idea 535),CSD.is,0.75,162,0.25696623971336524
1.0,W/M/Q (idea 535),CSD.is,1.0,162,0.24142581460937448
1.0,D only,ZERO,0.0,54,0.16517047795702902
1.0,D only,ZERO,0.25,54,0.16517047795702902
1.0,D only,ZERO,0.5,54,0.16517047795702902
1.0,D only,ZERO,0.75,54,0.16517047795702902
1.0,D only,ZERO,1.0,54,0.16517047795702902
1.0,D only,GLOBAL,0.0,54,0.22757049402918306
1.0,D only,GLOBAL,0.25,54,0.22757049402918306
1.0,D only,GLOBAL,0.5,54,0.22757049402918306
1.0,D only,GLOBAL,0.75,54,0.22757049402918306
1.0,D only,GLOBAL,1.0,54,0.22757049402918306
1.0,D only,FAMILY,0.0,54,0.22757049402918306
1.0,D only,FAMILY,0.25,54,0.20583412886843655
1.0,D only,FAMILY,0.5,54,0.18577712938272467
1.0,D only,FAMILY,0.75,54,0.16709755897015693
1.0,D only,FAMILY,1.0,54,0.14996886637963394
1.0,D only,CSD.is,0.0,54,0.22757049402918306
1.0,D only,CSD.is,0.25,54,0.2117568089507026
1.0,D only,CSD.is,0.5,54,0.19725401384829908
1.0,D only,CSD.is,0.75,54,0.18399505041466016
1.0,D only,CSD.is,1.0,54,0.19061328026469815
1.0,D/W/M/Q (all),ZERO,0.0,216,0.3157244552778825
1.0,D/W/M/Q (all),ZERO,0.25,216,0.3157244552778825
1.0,D/W/M/Q (all),ZERO,0.5,216,0.3157244552778825
1.0,D/W/M/Q (all),ZERO,0.75,216,0.3157244552778825
1.0,D/W/M/Q (all),ZERO,1.0,216,0.3157244552778825
1.0,D/W/M/Q (all),GLOBAL,0.0,216,0.30231427858364107
1.0,D/W/M/Q (all),GLOBAL,0.25,216,0.30231427858364107
1.0,D/W/M/Q (all),GLOBAL,0.5,216,0.30231427858364107
1.0,D/W/M/Q (all),GLOBAL,0.75,216,0.30231427858364107
1.0,D/W/M/Q (all),GLOBAL,1.0,216,0.30231427858364107
1.0,D/W/M/Q (all),FAMILY,0.0,216,0.30231427858364107
1.0,D/W/M/Q (all),FAMILY,0.25,216,0.2816816676643366
1.0,D/W/M/Q (all),FAMILY,0.5,216,0.2642091410371798
1.0,D/W/M/Q (all),FAMILY,0.75,216,0.2491519600817347
1.0,D/W/M/Q (all),FAMILY,1.0,216,0.2380653216377169
1.0,D/W/M/Q (all),CSD.is,0.0,216,0.30231427858364107
1.0,D/W/M/Q (all),CSD.is,0.25,216,0.2761843032614629
1.0,D/W/M/Q (all),CSD.is,0.5,216,0.2535930566854857
1.0,D/W/M/Q (all),CSD.is,0.75,216,0.23520169247974224
1.0,D/W/M/Q (all),CSD.is,1.0,216,0.2204454516634963
