window,W,panel,anchor,ladder,chooser,keying,rung,L,f,clamped,obs_rung,P_pick,RESOLVED
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.15,38,0.15079365079365079,False,63,0.721,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.3,76,0.30158730158730157,False,63,0.763,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.6,151,0.5992063492063492,False,63,0.875,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f1,252,1.0,False,63,1.0,True
W252,252,U56,A,H,CH_ISCAGR,ABS,1,1,0.003968253968253968,False,63,0.508,False
W252,252,U56,A,H,CH_ISCAGR,ABS,2,2,0.007936507936507936,False,63,0.539,False
W252,252,U56,A,H,CH_ISCAGR,ABS,5,5,0.01984126984126984,False,63,0.621,False
W252,252,U56,A,H,CH_ISCAGR,ABS,10,10,0.03968253968253968,False,63,0.598,False
W252,252,U56,A,H,CH_ISCAGR,ABS,21,21,0.08333333333333333,False,63,0.674,False
W252,252,U56,A,H,CH_ISCAGR,ABS,42,42,0.16666666666666666,False,63,0.845,False
W252,252,U56,A,H,CH_ISCAGR,ABS,63,63,0.25,False,63,0.852,False
W252,252,U56,A,H,CH_ISCAGR,ABS,126,126,0.5,False,63,0.904,True
W252,252,U56,A,H,CH_ISCAGR,ABS,252,252,1.0,False,63,1.0,True
W252,252,U56,A,H,CH_ISCAGR,ABS,504,252,1.0,True,63,1.0,True
W252,252,U56,A,H,CH_ISCAGR,ABS,1008,252,1.0,True,63,1.0,True
W252,252,U56,A,H,CH_ISCAGR,ABS,T,252,1.0,False,63,1.0,True
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.0006,1,0.003968253968253968,False,63,0.508,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.002,1,0.003968253968253968,False,63,0.508,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.005,1,0.003968253968253968,False,63,0.508,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.01,3,0.011904761904761904,False,63,0.564,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.02,5,0.01984126984126984,False,63,0.621,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.04,10,0.03968253968253968,False,63,0.598,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.08,20,0.07936507936507936,False,63,0.661,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.15,38,0.15079365079365079,False,63,0.858,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.3,76,0.30158730158730157,False,63,0.871,False
W252,252,U56,A,H,CH_ISCAGR,FRAC,f0.6,151,0.5992063492063492,False,63,0.941,True
W252,252,U56,A,H,CH_ISCAGR,FRAC,f1,252,1.0,False,63,1.0,True
W252,252,U56,A,H,CH_ISDD,ABS,1,1,0.003968253968253968,False,21,0.437,False
W252,252,U56,A,H,CH_ISDD,ABS,2,2,0.007936507936507936,False,21,0.471,False
W252,252,U56,A,H,CH_ISDD,ABS,5,5,0.01984126984126984,False,21,0.463,False
W252,252,U56,A,H,CH_ISDD,ABS,10,10,0.03968253968253968,False,21,0.505,False
W252,252,U56,A,H,CH_ISDD,ABS,21,21,0.08333333333333333,False,21,0.61,False
W252,252,U56,A,H,CH_ISDD,ABS,42,42,0.16666666666666666,False,21,0.507,False
W252,252,U56,A,H,CH_ISDD,ABS,63,63,0.25,False,21,0.39,False
W252,252,U56,A,H,CH_ISDD,ABS,126,126,0.5,False,21,0.332,False
W252,252,U56,A,H,CH_ISDD,ABS,252,252,1.0,False,21,1.0,True
W252,252,U56,A,H,CH_ISDD,ABS,504,252,1.0,True,21,1.0,True
W252,252,U56,A,H,CH_ISDD,ABS,1008,252,1.0,True,21,1.0,True
W252,252,U56,A,H,CH_ISDD,ABS,T,252,1.0,False,21,1.0,True
W252,252,U56,A,H,CH_ISDD,FRAC,f0.0006,1,0.003968253968253968,False,21,0.437,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.002,1,0.003968253968253968,False,21,0.437,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.005,1,0.003968253968253968,False,21,0.437,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.01,3,0.011904761904761904,False,21,0.433,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.02,5,0.01984126984126984,False,21,0.463,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.04,10,0.03968253968253968,False,21,0.505,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.08,20,0.07936507936507936,False,21,0.579,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.15,38,0.15079365079365079,False,21,0.503,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.3,76,0.30158730158730157,False,21,0.424,False
W252,252,U56,A,H,CH_ISDD,FRAC,f0.6,151,0.5992063492063492,False,21,0.393,False
W252,252,U56,A,H,CH_ISDD,FRAC,f1,252,1.0,False,21,1.0,True
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,1,1,0.003968253968253968,False,0.3,0.683,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,2,2,0.007936507936507936,False,0.3,0.696,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,5,5,0.01984126984126984,False,0.3,0.64,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,10,10,0.03968253968253968,False,0.3,0.561,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,21,21,0.08333333333333333,False,0.3,0.478,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,42,42,0.16666666666666666,False,0.3,0.294,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,63,63,0.25,False,0.3,0.254,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,126,126,0.5,False,0.3,0.282,False
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,252,252,1.0,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,504,252,1.0,True,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,1008,252,1.0,True,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISSHARPE,ABS,T,252,1.0,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.0006,1,0.003968253968253968,False,0.3,0.683,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.002,1,0.003968253968253968,False,0.3,0.683,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.005,1,0.003968253968253968,False,0.3,0.683,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.01,3,0.011904761904761904,False,0.3,0.676,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.02,5,0.01984126984126984,False,0.3,0.64,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.04,10,0.03968253968253968,False,0.3,0.561,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.08,20,0.07936507936507936,False,0.3,0.494,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.15,38,0.15079365079365079,False,0.3,0.299,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.3,76,0.30158730158730157,False,0.3,0.254,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f0.6,151,0.5992063492063492,False,0.3,0.332,False
W252,252,U56,A,GROSS,CH_ISSHARPE,FRAC,f1,252,1.0,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,1,1,0.003968253968253968,False,0.75,0.862,False
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,2,2,0.007936507936507936,False,0.75,0.881,False
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,5,5,0.01984126984126984,False,0.75,0.894,False
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,10,10,0.03968253968253968,False,0.75,0.906,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,21,21,0.08333333333333333,False,0.75,0.948,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,42,42,0.16666666666666666,False,0.75,0.991,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,63,63,0.25,False,0.75,0.995,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,126,126,0.5,False,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,252,252,1.0,False,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,504,252,1.0,True,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,1008,252,1.0,True,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,ABS,T,252,1.0,False,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.0006,1,0.003968253968253968,False,0.75,0.862,False
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.002,1,0.003968253968253968,False,0.75,0.862,False
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.005,1,0.003968253968253968,False,0.75,0.862,False
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.01,3,0.011904761904761904,False,0.75,0.889,False
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.02,5,0.01984126984126984,False,0.75,0.894,False
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.04,10,0.03968253968253968,False,0.75,0.906,True
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.08,20,0.07936507936507936,False,0.75,0.951,True
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.15,38,0.15079365079365079,False,0.75,0.988,True
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.3,76,0.30158730158730157,False,0.75,0.993,True
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f0.6,151,0.5992063492063492,False,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISCAGR,FRAC,f1,252,1.0,False,0.75,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,1,1,0.003968253968253968,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,2,2,0.007936507936507936,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,5,5,0.01984126984126984,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,10,10,0.03968253968253968,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,21,21,0.08333333333333333,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,42,42,0.16666666666666666,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,63,63,0.25,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,126,126,0.5,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,252,252,1.0,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,504,252,1.0,True,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,1008,252,1.0,True,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,ABS,T,252,1.0,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.0006,1,0.003968253968253968,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.002,1,0.003968253968253968,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.005,1,0.003968253968253968,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.01,3,0.011904761904761904,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.02,5,0.01984126984126984,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.04,10,0.03968253968253968,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.08,20,0.07936507936507936,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.15,38,0.15079365079365079,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.3,76,0.30158730158730157,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f0.6,151,0.5992063492063492,False,0.3,1.0,True
W252,252,U56,A,GROSS,CH_ISDD,FRAC,f1,252,1.0,False,0.3,1.0,True
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,1,1,0.003968253968253968,False,W,0.324,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,2,2,0.007936507936507936,False,W,0.309,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,5,5,0.01984126984126984,False,W,0.283,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,10,10,0.03968253968253968,False,W,0.246,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,21,21,0.08333333333333333,False,W,0.238,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,42,42,0.16666666666666666,False,W,0.131,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,63,63,0.25,False,W,0.073,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,126,126,0.5,False,W,0.039,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,252,252,1.0,False,W,1.0,True
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,504,252,1.0,True,W,1.0,True
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,1008,252,1.0,True,W,1.0,True
W252,252,U56,A,CADENCE,CH_ISSHARPE,ABS,T,252,1.0,False,W,1.0,True
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.0006,1,0.003968253968253968,False,W,0.324,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.002,1,0.003968253968253968,False,W,0.324,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.005,1,0.003968253968253968,False,W,0.324,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.01,3,0.011904761904761904,False,W,0.315,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.02,5,0.01984126984126984,False,W,0.283,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.04,10,0.03968253968253968,False,W,0.246,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.08,20,0.07936507936507936,False,W,0.212,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.15,38,0.15079365079365079,False,W,0.174,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.3,76,0.30158730158730157,False,W,0.08,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f0.6,151,0.5992063492063492,False,W,0.034,False
W252,252,U56,A,CADENCE,CH_ISSHARPE,FRAC,f1,252,1.0,False,W,1.0,True
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,1,1,0.003968253968253968,False,Q,0.435,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,2,2,0.007936507936507936,False,Q,0.361,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,5,5,0.01984126984126984,False,Q,0.369,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,10,10,0.03968253968253968,False,Q,0.342,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,21,21,0.08333333333333333,False,Q,0.386,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,42,42,0.16666666666666666,False,Q,0.456,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,63,63,0.25,False,Q,0.375,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,126,126,0.5,False,Q,0.166,False
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,252,252,1.0,False,Q,1.0,True
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,504,252,1.0,True,Q,1.0,True
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,1008,252,1.0,True,Q,1.0,True
W252,252,U56,A,CADENCE,CH_ISCAGR,ABS,T,252,1.0,False,Q,1.0,True
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.0006,1,0.003968253968253968,False,Q,0.435,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.002,1,0.003968253968253968,False,Q,0.435,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.005,1,0.003968253968253968,False,Q,0.435,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.01,3,0.011904761904761904,False,Q,0.388,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.02,5,0.01984126984126984,False,Q,0.369,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.04,10,0.03968253968253968,False,Q,0.342,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.08,20,0.07936507936507936,False,Q,0.411,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.15,38,0.15079365079365079,False,Q,0.401,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.3,76,0.30158730158730157,False,Q,0.375,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f0.6,151,0.5992063492063492,False,Q,0.34,False
W252,252,U56,A,CADENCE,CH_ISCAGR,FRAC,f1,252,1.0,False,Q,1.0,True
W252,252,U56,A,CADENCE,CH_ISDD,ABS,1,1,0.003968253968253968,False,D,0.185,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,2,2,0.007936507936507936,False,D,0.219,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,5,5,0.01984126984126984,False,D,0.297,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,10,10,0.03968253968253968,False,D,0.362,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,21,21,0.08333333333333333,False,D,0.636,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,42,42,0.16666666666666666,False,D,0.622,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,63,63,0.25,False,D,0.466,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,126,126,0.5,False,D,0.336,False
W252,252,U56,A,CADENCE,CH_ISDD,ABS,252,252,1.0,False,D,1.0,True
W252,252,U56,A,CADENCE,CH_ISDD,ABS,504,252,1.0,True,D,1.0,True
W252,252,U56,A,CADENCE,CH_ISDD,ABS,1008,252,1.0,True,D,1.0,True
W252,252,U56,A,CADENCE,CH_ISDD,ABS,T,252,1.0,False,D,1.0,True
W252,252,U56,A,CADENCE,CH_ISDD,FRAC,f0.0006,1,0.003968253968253968,False,D,0.185,False
W252,252,U56,A,CADENCE,CH_ISDD,FRAC,f0.002,1,0.003968253968253968,False,D,0.185,False
W252,252,U56,A,CADENCE,CH_ISDD,FRAC,f0.005,1,0.003968253968253968,False,D,0.185,False
W252,252,U56,A,CADENCE,CH_ISDD,FRAC,f0.01,3,0.011904761904761904,False,D,0.201,False
W252,252,U56,A,CADENCE,CH_ISDD,FRAC,f0.02,5,0.01984126984126984,False,D,0.297,False
