panel,gross,target,m_H1,m_H2,m_DD,m_CAGR,m_OOS,binding,worst,pass4b
U56,1.0,0.15,0.08815455274979678,0.25358044619587383,0.0167511720462169,0.04046924158422904,0.2831275837035757,DD,0.0167511720462169,True
U56,1.0,0.18,0.0950619343498712,0.2519280518735262,0.0013842251565727715,0.05128528869552118,0.2769117833277973,DD,0.0013842251565727715,True
U56,1.0,0.2,0.11220585086364288,0.2499681617071442,-0.0029459220692817922,0.05669092613785576,0.2721479968463175,DD,-0.0029459220692817922,False
U56,1.0,0.25,0.13473776287825434,0.25004373364403276,-0.0005073297680218136,0.06355633401756033,0.2686178895903789,DD,-0.0005073297680218136,False
U56,1.0,0.3,0.12592767826571272,0.25523530417767726,-0.014994895622971294,0.06522665831925945,0.27211760599659385,DD,-0.014994895622971294,False
B136,0.75,OFF,0.14799893921249485,-0.031553444228082594,0.0017752365332750764,0.023003174466546386,0.0011689014470299686,H2,-0.031553444228082594,False
B136,0.75,0.08,0.061443330073366,-0.1712726737120136,0.0805986010630371,-0.035700566518131624,-0.13801175843698,H2,-0.1712726737120136,False
B136,0.75,0.1,0.08044562788523135,-0.12363424502216058,0.06054650835067324,-0.01865432004172289,-0.07627400201163725,H2,-0.12363424502216058,False
B136,0.75,0.12,0.12237082416740008,-0.07181030533351329,0.048218261731537454,-0.0025168659747776684,-0.01985325181030717,H2,-0.07181030533351329,False
B136,0.75,0.15,0.1550894997560811,-0.024667667768404344,0.025066536220762298,0.013078051837459095,0.018326434405336878,H2,-0.024667667768404344,False
B136,0.75,0.18,0.1640207686284737,0.009098409981873501,0.020003378222636342,0.02149837598406186,0.04496418427997717,H2,0.009098409981873501,True
B136,0.75,0.2,0.16975686589019856,0.018795228568754818,0.021045826086751013,0.024539110234889486,0.052274552582584954,H2,0.018795228568754818,True
B136,0.75,0.25,0.1629332471702415,0.012796421906449584,0.021045826086750458,0.02590860715776873,0.044686547900588236,H2,0.012796421906449584,True
B136,0.75,0.3,0.15238537414505104,-0.007874423930513963,0.017822310256318558,0.0243969857249446,0.024580520564402852,H2,-0.007874423930513963,False
B136,0.85,OFF,0.1488537122756809,-0.030828405527887126,-0.023126904582780078,0.04000147028962027,0.0019030962773363136,H2,-0.030828405527887126,False
B136,0.85,0.08,0.05826554208169055,-0.18218287197405558,0.07745583421801797,-0.03532033812322548,-0.14845595028915637,H2,-0.18218287197405558,False
B136,0.85,0.1,0.07226866901142459,-0.1478772332553694,0.05581781591090798,-0.01788189174832104,-0.10944056458438589,H2,-0.1478772332553694,False
B136,0.85,0.12,0.09076307794660987,-0.10586612944344409,0.038873326108079725,-0.0016278321226186748,-0.05596056372741842,H2,-0.10586612944344409,False
B136,0.85,0.15,0.14405593965995867,-0.04700079267377755,0.015992312561044636,0.02020613775222331,0.0027369548024248624,H2,-0.04700079267377755,False
B136,0.85,0.18,0.15653460894812132,-0.012910660155401543,-0.0025417787127487157,0.031994538396633534,0.027344390901299587,H2,-0.012910660155401543,False
B136,0.85,0.2,0.1619954546963297,0.006909201032117229,-0.0036184762197244147,0.03742128097632076,0.043420680720827165,DD,-0.0036184762197244147,False
B136,0.85,0.25,0.166606695796656,0.01593812881272305,-0.0018064262294848754,0.04258824355841924,0.0485928131664316,DD,-0.0018064262294848754,False
B136,0.85,0.3,0.16150435609019864,0.008004278798702136,-0.0018064262294860967,0.04301756620891979,0.04006159173582091,DD,-0.0018064262294860967,False
B136,1.0,OFF,0.15005295840366062,-0.029808764385091835,-0.05968885064826998,0.06528203730296007,0.0029302323881045256,DD,-0.05968885064826998,False
B136,1.0,0.08,0.054969745702856065,-0.19330979226691347,0.0771590397499752,-0.035099074987426745,-0.15667187300045482,H2,-0.19330979226691347,False
B136,1.0,0.1,0.06280914551042593,-0.17782493397917165,0.048287128792134176,-0.018076843795484396,-0.14429548215872268,H2,-0.17782493397917165,False
B136,1.0,0.12,0.07440510608489104,-0.14320521129136476,0.028624244059538256,-0.0006325001768987953,-0.10309925144763088,H2,-0.14320521129136476,False
B136,1.0,0.15,0.10265547939485031,-0.08855597458029396,0.0059546168494026,0.02328743286707642,-0.03713993936491211,H2,-0.08855597458029396,False
B136,1.0,0.18,0.1477748797443047,-0.043218073516337996,-0.017487727532790237,0.04383205472383418,0.006037646020984444,H2,-0.043218073516337996,False
B136,1.0,0.2,0.15650173893095143,-0.022975743113688774,-0.030117220723516275,0.052215513945008854,0.020173961866456036,DD,-0.030117220723516275,False
B136,1.0,0.25,0.16838467311406646,0.016067583788073714,-0.035692472687783944,0.06538312729878255,0.05100571970372714,DD,-0.035692472687783944,False
B136,1.0,0.3,0.16688767417670525,0.016364492064031788,-0.0354707031096578,0.06858548566505514,0.048961419289260344,DD,-0.0354707031096578,False
