panel,book,lag,cost,IS_pick_phase,IS_Sharpe,pick_OOS_Sharpe,pick_OOS_CAGR,pick_OOS_MaxDD,pub_OOS_Sharpe,pub_OOS_CAGR,pub_OOS_MaxDD,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,oracle_phase,oracle_OOS_Sharpe,med_OOS_Sharpe,regret_vs_oracle,pick_minus_pub,pick_minus_mean,pick_minus_median,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD
u56,B2,1,0.0,0,1.185445151613308,1.2088190341323934,0.15113811121740528,-0.1875295859636985,1.2088190341323934,0.15113811121740528,-0.1875295859636985,1.1679156907037567,0.14507010655924657,-0.19561386763229638,7,1.2688610675974403,1.1369707473175636,-0.060042033465046885,0.0,0.040903343428636774,0.0718482868148298,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,1,5.0,0,1.1636514811712673,1.1891932392809792,0.1483480620087625,-0.18783180470675864,1.1891932392809792,0.1483480620087625,-0.18783180470675864,1.147967617396597,0.14227753027371493,-0.1958567201544823,7,1.249357483608423,1.1164745580035162,-0.06016424432744372,0.0,0.04122562188438228,0.07271868127746295,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,1,10.0,0,1.1417978991339763,1.169519205443047,0.14556412540011499,-0.18813402344981878,1.169519205443047,0.14556412540011499,-0.18813402344981878,1.1280191309298917,0.13949173187933095,-0.19609950414924437,7,1.2298119341733447,1.0959343226708638,-0.06029272873029767,0.0,0.041500074513155294,0.07358488277218322,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,1,25.0,0,1.0759068318908025,1.11022881446928,0.13724887116018913,-0.18904067967899985,1.11022881446928,0.13724887116018913,-0.18904067967899985,1.0681713900236867,0.13117484052263229,-0.1968274451490878,7,1.1709442191907942,1.0340736200769798,-0.060715404721514155,0.0,0.04205742444559335,0.07615519439230023,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,5,0.0,7,1.2092708523656122,1.1773155240491335,0.15661082040761087,-0.22123216644085175,1.1380409629977701,0.1449620842540673,-0.17547831369119782,1.1478267167593097,0.14799284818707847,-0.20925699016831023,18,1.2421624750704952,1.125039137773615,-0.06484695102136162,0.0392745610513634,0.029488807289823837,0.05227638627551845,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,5,5.0,7,1.1882666389632002,1.1587299887619307,0.1537950979420084,-0.22153594139570887,1.1189068893422092,0.14220412259550508,-0.17579621037436044,1.128557735374611,0.1451816610408616,-0.20951861081045453,18,1.222940987475099,1.1051160037169159,-0.06421099871316827,0.03982309941972151,0.03017225338731966,0.0536139850450148,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,5,10.0,7,1.1672074259274052,1.1401064711654965,0.15098557368951093,-0.22183971635056599,1.0997344726782097,0.1394521611177868,-0.17611410705752284,1.1092887623482868,0.1423773249473017,-0.2097801498656574,18,1.2036803984000473,1.0851527318850338,-0.0635739272345508,0.040371998487286787,0.030817708817209688,0.054953739280462655,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,5,25.0,7,1.1037260181752333,1.0840259251485047,0.14259406795297047,-0.22275104121513667,1.0420068819278716,0.13123216088684786,-0.17706779710701015,1.0514820706738335,0.13400525701964994,-0.21056427774890596,18,1.145683518521707,1.0250443588999303,-0.0616575933732022,0.0420190432206331,0.03254385447467123,0.058981566248574424,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,7,0.0,5,1.1905622618770069,1.085315077731881,0.14552576538847317,-0.22541080549238457,1.145416552469598,0.14778072901549422,-0.19951913497417428,1.1380015434038193,0.14874122135810341,-0.21744382872231993,18,1.1886982027201771,1.1175744148964752,-0.10338312498829616,-0.0601014747377171,-0.052686465671938354,-0.03225933716459428,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,7,5.0,5,1.168518726743323,1.0669102180634273,0.14271697946860917,-0.2256403637355342,1.1264813395743618,0.14500759981889844,-0.19982021562483288,1.1189819387393698,0.14592408408717072,-0.21768348543233085,18,1.1695254034785367,1.099441297259773,-0.10261518541510939,-0.059571121510934466,-0.05207172067594246,-0.03253107919634557,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,7,10.0,5,1.1464133398364824,1.0484725011055624,0.13991441852989484,-0.2258699219786845,1.1075070590993603,0.14224052328307635,-0.20012129627549113,1.099962510074176,0.14311382242786963,-0.21792307304059466,18,1.1503204772267213,1.0812775094881122,-0.10184797612115881,-0.059034557993797865,-0.05149000896861344,-0.03280500838254974,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B2,7,25.0,5,1.0797569044383164,0.9929796260434541,0.13154396200251206,-0.22655859670813439,1.0503689220771404,0.13397549133239406,-0.20102453822746646,1.0429054504708488,0.13472412431800507,-0.21864142144212462,18,1.0925321754582715,1.025219068670161,-0.09955254941481739,-0.057389296033686255,-0.04992582442739468,-0.03223944262670686,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
broad,B1,1,0.0,0,1.2828875801033326,1.0480880730642532,0.16433815730736412,-0.2606601526409166,1.0480880730642532,0.16433815730736412,-0.2606601526409166,1.0355821662543898,0.14671613146270457,-0.2243276971901096,8,1.0667038379219378,0.9830179651608586,-0.01861576485768457,0.0,0.01250590680986341,0.06507010790339463,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
broad,B1,1,5.0,0,1.2608120786985797,1.0273229843018583,0.1605317128604853,-0.26085304395332953,1.0273229843018583,0.1605317128604853,-0.26085304395332953,1.0092959490956839,0.14244449377744228,-0.22471548491527782,8,1.0446264454648777,0.962137976917508,-0.017303461163019396,0.0,0.018027035206174435,0.06518500738435029,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
broad,B1,1,10.0,0,1.2386787755380106,1.0065155645365462,0.1567366045711871,-0.2610459352657426,1.0065155645365462,0.1567366045711871,-0.2610459352657426,0.9830089225912095,0.13818869702586145,-0.22510308793354605,8,1.022513685412602,0.9412209081416301,-0.015998120876055788,0.0,0.023506641945336693,0.06529465639491616,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
broad,B1,1,25.0,0,1.1719607859553292,0.9438624203901403,0.14541899194846275,-0.26162460920298136,0.9438624203901403,0.14541899194846275,-0.26162460920298136,0.9041432777568225,0.12551576864603065,-0.22626478958339846,8,0.9559911680093358,0.8782711074370572,-0.012128747619195468,0.0,0.03971914263331788,0.06559131295308318,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
broad,B2,1,0.0,10,1.2914089720041029,1.024210390505527,0.1449211968001527,-0.22149285235375382,1.1475148947302107,0.17391595895690304,-0.24444776991430373,1.0355821662543898,0.14671613146270457,-0.2243276971901096,19,1.1536225681083674,1.024210390505527,-0.1294121776028403,-0.12330450422468364,-0.011371775748862722,0.0,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
broad,B2,1,5.0,10,1.264606771043682,0.9986109649743354,0.14074843040043605,-0.22149285235375382,1.12261133442637,0.16952300718329294,-0.24475067248340554,1.0092959490956839,0.14244449377744228,-0.22471548491527782,19,1.1287688848574033,0.9986109649743354,-0.1301579198830679,-0.12400036945203452,-0.01068498412134844,0.0,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
