cash,gross,k,KEEP4b,cagr_margin_pp,dd_margin_pp,h1,h2,dd,cagr
ZERO,0.95,9,False,6.074865148404754,-3.475327272895423,True,True,False,True
ZERO,0.95,10,False,7.112458412923709,-4.788329127529312,True,True,False,True
ZERO,0.95,11,False,5.920542725278103,-7.784949052226342,True,True,False,True
ZERO,0.95,12,False,5.928557334060383,-7.402884432339574,True,True,False,True
ZERO,0.95,13,False,5.909544717969798,-6.011709032753265,True,True,False,True
ZERO,0.95,14,False,6.643119959564095,-7.052972454146699,True,True,False,True
ZERO,0.95,15,False,6.643289152020829,-7.34548739575136,True,True,False,True
ZERO,0.95,16,False,5.98924299272238,-6.9631883842117155,True,True,False,True
ZERO,0.95,17,False,6.936865169100185,-5.876335907083541,True,True,False,True
ZERO,0.95,18,False,6.944270092679209,-5.607972813020212,True,True,False,True
ZERO,0.95,19,False,7.52006168608356,-3.863219855140987,True,True,False,True
ZERO,0.95,20,False,7.73858043293362,-6.593758739398581,True,True,False,True
ZERO,1.0,0,False,9.15700147373856,-5.019542833141244,True,True,False,True
ZERO,1.0,1,False,8.061860075015073,-7.5867433623454055,True,True,False,True
ZERO,1.0,2,False,8.87474555737703,-6.361666005337286,True,True,False,True
ZERO,1.0,3,False,8.021075690108074,-6.624782734947409,True,True,False,True
ZERO,1.0,4,False,8.55088075750773,-6.350334332035324,True,True,False,True
ZERO,1.0,5,False,8.144145376184634,-6.926333489697178,True,True,False,True
ZERO,1.0,6,False,7.2695553998457205,-3.8923939736744795,True,True,False,True
ZERO,1.0,7,False,9.365302184308325,-4.74270279654414,True,True,False,True
ZERO,1.0,8,True,8.212914654050909,0.6621912420155085,True,True,True,True
ZERO,1.0,9,False,6.956882225076947,-4.696574858556401,True,True,False,True
ZERO,1.0,10,False,8.063947978383382,-6.086446628970165,True,True,False,True
ZERO,1.0,11,False,6.785813711827396,-9.233805042459986,True,True,False,True
ZERO,1.0,12,False,6.800344180192433,-8.856654463452983,True,True,False,True
ZERO,1.0,13,False,6.779497151102768,-7.377790576420706,True,True,False,True
ZERO,1.0,14,False,7.55142089550244,-8.445111162278685,True,True,False,True
ZERO,1.0,15,False,7.555633785817753,-8.689591963481579,True,True,False,True
ZERO,1.0,16,False,6.867730218078597,-8.26397764590292,True,True,False,True
ZERO,1.0,17,False,7.876018915678521,-7.1184523688180175,True,True,False,True
ZERO,1.0,18,False,7.887579853460106,-6.810771498528034,True,True,False,True
ZERO,1.0,19,False,8.50125311079414,-4.989218417019092,True,True,False,True
ZERO,1.0,20,False,8.7275640495916,-7.87557257785746,True,True,False,True
FLAT150,0.5,0,False,-0.03576849969851581,6.879239214042842,True,True,True,False
FLAT150,0.5,1,False,-0.48598691581896725,5.748286277958425,True,True,True,False
FLAT150,0.5,2,False,-0.13105037357833138,6.34488600772547,True,True,True,False
FLAT150,0.5,3,False,-0.5415150949625719,6.378120754065108,True,True,True,False
FLAT150,0.5,4,False,-0.2844357389669788,6.424512763525348,True,True,True,False
FLAT150,0.5,5,False,-0.48286475918311866,6.068276175169451,True,True,True,False
FLAT150,0.5,6,False,-0.8563981604164134,7.819730927415858,True,True,True,False
FLAT150,0.5,7,True,0.06711427890450372,7.268965629366897,True,True,True,True
FLAT150,0.5,8,False,-0.4472585807574786,10.337712650478203,True,True,True,False
FLAT150,0.5,9,False,-1.015634038289512,7.705842643433558,True,True,True,False
FLAT150,0.5,10,False,-0.5255982643664531,7.025810437167889,True,True,True,False
FLAT150,0.5,11,False,-1.0688231283964984,5.4314781318913985,True,True,True,False
FLAT150,0.5,12,False,-1.0852365016924632,5.736886606656977,True,True,True,False
FLAT150,0.5,13,False,-1.0896850337224513,6.403360085093402,True,True,True,False
FLAT150,0.5,14,False,-0.6990128615189523,5.718553491937328,True,True,True,False
FLAT150,0.5,15,False,-0.7139854354403757,5.402995453210346,True,True,True,False
