panel,stat,frac_ladder,repair,ratio,jack_se_log,n_pseudo
B136,SHARPE,L8,R_ASIS,9.784461322348616,0.7242706464670162,4
B136,SHARPE,L8,R_FROZEN,4.3770420158334336,1.9555644619537607,4
B136,SHARPE,L8,R_COUNT,3.2568434342269614,0.0922130441410522,4
B136,SHARPE,L8,R_BOTH,5.963343809227958,1.482821492770065,4
B136,MAXDD,L3,R_ASIS,1.3199152846237132,0.14971557816550413,4
B136,MAXDD,L3,R_FROZEN,1.3199152846237132,0.14971557816550413,4
B136,MAXDD,L3,R_COUNT,1.97987292693557,0.1506850424816759,4
B136,MAXDD,L3,R_BOTH,1.97987292693557,0.1506850424816759,4
B136,MAXDD,L8,R_ASIS,0.6795068901091528,0.1183093387996119,4
B136,MAXDD,L8,R_FROZEN,1.3199152846237132,0.14971557816550413,4
B136,MAXDD,L8,R_COUNT,1.818797314007543,0.20536184358840495,4
B136,MAXDD,L8,R_BOTH,1.97987292693557,0.1506850424816759,4
B136,ULCER,L3,R_ASIS,2.4268298856071295,1.1944657092113566,4
B136,ULCER,L3,R_FROZEN,2.4268298856071295,1.1944657092113566,4
B136,ULCER,L3,R_COUNT,2.1921897080765613,0.5179793322195295,4
B136,ULCER,L3,R_BOTH,2.1921897080765613,0.5179793322195295,4
B136,ULCER,L8,R_ASIS,1.6606598299136535,0.8043958667614771,4
B136,ULCER,L8,R_FROZEN,2.4268298856071295,1.1944657092113566,4
B136,ULCER,L8,R_COUNT,2.71546399468363,0.46101562030704657,4
B136,ULCER,L8,R_BOTH,2.1921897080765613,0.5179793322195295,4
B136,CALMAR,L3,R_ASIS,3.420952926773515,0.3106072791258443,4
B136,CALMAR,L3,R_FROZEN,3.420952926773515,0.3106072791258443,4
B136,CALMAR,L3,R_COUNT,5.131429390160272,0.3106072791258443,4
B136,CALMAR,L3,R_BOTH,5.131429390160272,0.3106072791258443,4
B136,CALMAR,L8,R_ASIS,1.2942042254950075,0.15548626704614987,4
B136,CALMAR,L8,R_FROZEN,3.420952926773515,0.3106072791258443,4
B136,CALMAR,L8,R_COUNT,2.8555217160637403,0.14471003067609992,4
B136,CALMAR,L8,R_BOTH,5.131429390160272,0.3106072791258443,4
SMALL,CAGR,L3,R_ASIS,14.14757283174758,1.3247985056449052,4
SMALL,CAGR,L3,R_FROZEN,14.14757283174758,1.3247985056449052,4
SMALL,CAGR,L3,R_COUNT,5.902656315591699,0.4649918485314762,4
SMALL,CAGR,L3,R_BOTH,5.902656315591699,0.4649918485314762,4
SMALL,CAGR,L8,R_ASIS,7.757136666696784,0.5065572304200876,4
SMALL,CAGR,L8,R_FROZEN,14.14757283174758,1.3247985056449052,4
SMALL,CAGR,L8,R_COUNT,10.550252015283416,0.378690627496217,4
SMALL,CAGR,L8,R_BOTH,5.902656315591699,0.4649918485314762,4
SMALL,VOL,L3,R_ASIS,8.541541863802749,1.1423851943043175,4
SMALL,VOL,L3,R_FROZEN,8.541541863802749,1.1423851943043175,4
SMALL,VOL,L3,R_COUNT,2.346582172919729,0.46820022079542156,4
SMALL,VOL,L3,R_BOTH,2.346582172919729,0.46820022079542156,4
SMALL,VOL,L8,R_ASIS,1.8433205174019904,1.3486343036350148,4
SMALL,VOL,L8,R_FROZEN,8.541541863802749,1.1423851943043175,4
SMALL,VOL,L8,R_COUNT,4.0368449909614155,0.629906102484411,4
SMALL,VOL,L8,R_BOTH,2.346582172919729,0.46820022079542156,4
SMALL,SHARPE,L3,R_ASIS,6.032050676557396,0.0871332641446747,4
SMALL,SHARPE,L3,R_FROZEN,6.032050676557396,0.0871332641446747,4
SMALL,SHARPE,L3,R_COUNT,4.555925960534008,0.6358700217035387,4
SMALL,SHARPE,L3,R_BOTH,4.555925960534008,0.6358700217035387,4
SMALL,SHARPE,L8,R_ASIS,12.05894274125426,0.4176175205224766,4
SMALL,SHARPE,L8,R_FROZEN,6.032050676557396,0.0871332641446747,4
SMALL,SHARPE,L8,R_COUNT,7.485885166997372,0.17215489147497487,4
SMALL,SHARPE,L8,R_BOTH,4.555925960534008,0.6358700217035387,4
SMALL,MAXDD,L3,R_ASIS,0.7942591498710535,0.5089669884701918,4
SMALL,MAXDD,L3,R_FROZEN,0.7942591498710535,0.5089669884701918,4
SMALL,MAXDD,L3,R_COUNT,1.1913887248065802,0.5089669884701918,4
SMALL,MAXDD,L3,R_BOTH,1.1913887248065802,0.5089669884701918,4
SMALL,MAXDD,L8,R_ASIS,0.4698874513710904,0.13018593485263102,4
SMALL,MAXDD,L8,R_FROZEN,0.7942591498710535,0.5089669884701918,4
SMALL,MAXDD,L8,R_COUNT,1.173713969601412,0.044788453036885965,4
SMALL,MAXDD,L8,R_BOTH,1.1913887248065802,0.5089669884701918,4
SMALL,ULCER,L3,R_ASIS,2.111861524534354,0.5528439304810727,4
SMALL,ULCER,L3,R_FROZEN,2.111861524534354,0.5528439304810727,4
SMALL,ULCER,L3,R_COUNT,3.1677922868015314,0.5528439304810728,4
SMALL,ULCER,L3,R_BOTH,3.1677922868015314,0.5528439304810728,4
SMALL,ULCER,L8,R_ASIS,0.9908483033267425,0.2833751510021768,4
SMALL,ULCER,L8,R_FROZEN,2.111861524534354,0.5528439304810727,4
SMALL,ULCER,L8,R_COUNT,2.4620576768914715,0.15003181515679712,4
