slice,n,n_pass,rate,med_pass,med_fail,delta,inverted,spearman_turn_pass,rung,stratum,gstar
0 bps | ALL rows (no gross needed),4014,1220,0.3039362232187344,9.547803277775166,9.296496226774636,0.25130705100053063,True,0.033316729090660815,0 bps,pooled-allrows,
25 bps | gross >= 0.95,1289,67,0.051978277734678044,10.437962228159195,11.300756185053123,-0.8627939568939276,False,-0.10863511931452159,25 bps,high,0.95
25 bps | gross < 1.00,5652,767,0.13570417551309272,4.596002099919135,8.266497294317862,-3.670495194398727,False,-0.1388833397005513,25 bps,low,1.0
25 bps | gross >= 1.00,952,66,0.06932773109243698,10.427678500252172,11.222008352829501,-0.794329852577329,False,-0.13723456991640762,25 bps,high,1.0
ALL rungs | ALL rows (no gross needed),70411,10850,0.15409524080044312,9.156218887126286,7.973902789387582,1.1823160977387044,True,0.02248740156096654,ALL rungs,pooled-allrows,
"ALL rungs | rows WITH gross, pooled",26950,4814,0.17862708719851578,8.801855581273859,8.284570315119286,0.5172852661545733,True,-0.03549724864140035,ALL rungs,pooled,
ALL rungs | gross < 0.50,1583,127,0.08022741629816804,1.8177496255786874,4.38761842938489,-2.5698688038062025,False,-0.28529464923072284,ALL rungs,low,0.5
ALL rungs | gross >= 0.50,25367,4687,0.1847676114637127,8.91025181835098,8.596641092143381,0.31361072620759955,True,-0.043559119005838524,ALL rungs,high,0.5
ALL rungs | gross < 0.60,3618,232,0.06412382531785517,2.1332152384492002,4.721210445191178,-2.587995206741978,False,-0.19678791168400034,ALL rungs,low,0.6
ALL rungs | gross >= 0.60,23332,4582,0.19638265043716785,8.987163254097336,9.249368940740148,-0.26220568664281174,False,-0.06893526590497494,ALL rungs,high,0.6
ALL rungs | gross < 0.70,6700,484,0.07223880597014926,3.654724892311992,5.581715386211713,-1.926990493899721,False,-0.09989941107476145,ALL rungs,low,0.7
ALL rungs | gross >= 0.70,20250,4330,0.21382716049382716,8.995658948350318,10.210475058725137,-1.2148161103748194,False,-0.09983278843569361,ALL rungs,high,0.7
ALL rungs | gross < 0.75,15425,2790,0.18087520259319287,8.269172920077445,7.573075764019081,0.6960971560583635,True,-0.021788981345198147,ALL rungs,low,0.75
ALL rungs | gross >= 0.75,11525,2024,0.17561822125813448,9.330958856515622,10.308531686619116,-0.9775728301034938,False,-0.04981113707247718,ALL rungs,high,0.75
ALL rungs | gross < 0.80,22162,4111,0.1854976987636495,8.266497294317862,7.772714883232462,0.4937824110853999,True,-0.017821117007008648,ALL rungs,low,0.8
ALL rungs | gross >= 0.80,4788,703,0.14682539682539683,10.417366357211105,10.912638352483793,-0.49527199527268806,False,-0.09563168177933647,ALL rungs,high,0.8
ALL rungs | gross < 0.85,22327,4160,0.1863214941550589,8.266490640335181,7.767940201472738,0.4985504388624431,True,-0.019598900595857352,ALL rungs,low,0.85
ALL rungs | gross >= 0.85,4623,654,0.14146658014276445,10.421893853645148,10.912638352483793,-0.49074449883864446,False,-0.08664097486587137,ALL rungs,high,0.85
ALL rungs | gross < 0.90,22852,4294,0.18790477857517943,8.269985808723511,7.795521816008624,0.47446399271488726,True,-0.016870168711546944,ALL rungs,low,0.9
ALL rungs | gross >= 0.90,4098,520,0.1268911664226452,10.826528436809681,10.912639516118075,-0.08611107930839346,False,-0.052741826545190953,ALL rungs,high,0.9
ALL rungs | gross < 0.95,23034,4307,0.18698445775809672,8.269985808723511,7.800350250424075,0.46963555829943626,True,-0.016133954350022628,ALL rungs,low,0.95
ALL rungs | gross >= 0.95,3916,507,0.12946884576098058,10.859235274164671,10.912702632598476,-0.05346735843380479,False,-0.058179432417874516,ALL rungs,high,0.95
ALL rungs | gross < 1.00,23969,4319,0.18019108014518753,8.275615495668868,8.00729500163086,0.26832049403800795,True,-0.02589247521288144,ALL rungs,low,1.0
ALL rungs | gross >= 1.00,2981,495,0.16605166051660517,10.859235274164671,10.95379125635781,-0.09455598219313899,False,-0.09809252733733194,ALL rungs,high,1.0
