panel,window,ref,rung,keying,L,f,c,share
SMALL,W504,ABS63,252,ABS,252,0.5,2,0.08333333333333333
SMALL,W504,ABS63,42,ABS,42,0.0833333333333333,0,0.0
SMALL,W504,ABS63,5,ABS,5,0.0099206349206349,4,0.16666666666666666
SMALL,W504,ABS63,504,ABS,504,1.0,19,0.7916666666666666
SMALL,W504,ABS63,T,ABS,504,1.0,19,0.7916666666666666
SMALL,W504,ABS63,f0.0006,FRAC,1,0.0019841269841269,4,0.16666666666666666
SMALL,W504,ABS63,f0.002,FRAC,1,0.0019841269841269,4,0.16666666666666666
SMALL,W504,ABS63,f0.005,FRAC,3,0.0059523809523809,3,0.125
SMALL,W504,ABS63,f0.01,FRAC,5,0.0099206349206349,4,0.16666666666666666
SMALL,W504,ABS63,f0.02,FRAC,10,0.0198412698412698,4,0.16666666666666666
SMALL,W504,ABS63,f0.04,FRAC,20,0.0396825396825396,3,0.125
SMALL,W504,ABS63,f0.08,FRAC,40,0.0793650793650793,1,0.041666666666666664
SMALL,W504,ABS63,f0.15,FRAC,76,0.1507936507936507,1,0.041666666666666664
SMALL,W504,ABS63,f0.3,FRAC,151,0.2996031746031746,0,0.0
SMALL,W504,ABS63,f0.6,FRAC,302,0.5992063492063492,2,0.08333333333333333
SMALL,W504,ABS63,f1,FRAC,504,1.0,19,0.7916666666666666
SMALL,W504,FRACf0.04,1,ABS,1,0.0019841269841269,1,0.041666666666666664
SMALL,W504,FRACf0.04,10,ABS,10,0.0198412698412698,1,0.041666666666666664
SMALL,W504,FRACf0.04,1008,ABS,504,1.0,20,0.8333333333333334
SMALL,W504,FRACf0.04,126,ABS,126,0.25,2,0.08333333333333333
SMALL,W504,FRACf0.04,2,ABS,2,0.0039682539682539,0,0.0
SMALL,W504,FRACf0.04,21,ABS,21,0.0416666666666666,0,0.0
SMALL,W504,FRACf0.04,252,ABS,252,0.5,5,0.20833333333333334
SMALL,W504,FRACf0.04,42,ABS,42,0.0833333333333333,3,0.125
SMALL,W504,FRACf0.04,5,ABS,5,0.0099206349206349,1,0.041666666666666664
SMALL,W504,FRACf0.04,504,ABS,504,1.0,20,0.8333333333333334
SMALL,W504,FRACf0.04,63,ABS,63,0.125,3,0.125
SMALL,W504,FRACf0.04,T,ABS,504,1.0,20,0.8333333333333334
SMALL,W504,FRACf0.04,f0.0006,FRAC,1,0.0019841269841269,1,0.041666666666666664
SMALL,W504,FRACf0.04,f0.002,FRAC,1,0.0019841269841269,1,0.041666666666666664
SMALL,W504,FRACf0.04,f0.005,FRAC,3,0.0059523809523809,0,0.0
SMALL,W504,FRACf0.04,f0.01,FRAC,5,0.0099206349206349,1,0.041666666666666664
SMALL,W504,FRACf0.04,f0.02,FRAC,10,0.0198412698412698,1,0.041666666666666664
SMALL,W504,FRACf0.04,f0.08,FRAC,40,0.0793650793650793,2,0.08333333333333333
SMALL,W504,FRACf0.04,f0.15,FRAC,76,0.1507936507936507,2,0.08333333333333333
SMALL,W504,FRACf0.04,f0.3,FRAC,151,0.2996031746031746,3,0.125
SMALL,W504,FRACf0.04,f0.6,FRAC,302,0.5992063492063492,5,0.20833333333333334
SMALL,W504,FRACf0.04,f1,FRAC,504,1.0,20,0.8333333333333334
SMALL,W1008,ABS63,1,ABS,1,0.0009920634920634,3,0.125
SMALL,W1008,ABS63,10,ABS,10,0.0099206349206349,3,0.125
SMALL,W1008,ABS63,1008,ABS,1008,1.0,17,0.7083333333333334
SMALL,W1008,ABS63,126,ABS,126,0.125,2,0.08333333333333333
SMALL,W1008,ABS63,2,ABS,2,0.0019841269841269,3,0.125
SMALL,W1008,ABS63,21,ABS,21,0.0208333333333333,2,0.08333333333333333
SMALL,W1008,ABS63,252,ABS,252,0.25,3,0.125
SMALL,W1008,ABS63,42,ABS,42,0.0416666666666666,1,0.041666666666666664
SMALL,W1008,ABS63,5,ABS,5,0.0049603174603174,3,0.125
SMALL,W1008,ABS63,504,ABS,504,0.5,6,0.25
SMALL,W1008,ABS63,T,ABS,1008,1.0,17,0.7083333333333334
SMALL,W1008,ABS63,f0.0006,FRAC,1,0.0009920634920634,3,0.125
SMALL,W1008,ABS63,f0.002,FRAC,2,0.0019841269841269,3,0.125
SMALL,W1008,ABS63,f0.005,FRAC,5,0.0049603174603174,3,0.125
SMALL,W1008,ABS63,f0.01,FRAC,10,0.0099206349206349,3,0.125
SMALL,W1008,ABS63,f0.02,FRAC,20,0.0198412698412698,1,0.041666666666666664
SMALL,W1008,ABS63,f0.04,FRAC,40,0.0396825396825396,1,0.041666666666666664
SMALL,W1008,ABS63,f0.08,FRAC,81,0.0803571428571428,2,0.08333333333333333
SMALL,W1008,ABS63,f0.15,FRAC,151,0.1498015873015873,4,0.16666666666666666
SMALL,W1008,ABS63,f0.3,FRAC,302,0.2996031746031746,3,0.125
SMALL,W1008,ABS63,f0.6,FRAC,605,0.6001984126984127,6,0.25
SMALL,W1008,ABS63,f1,FRAC,1008,1.0,17,0.7083333333333334
SMALL,W1008,FRACf0.04,1,ABS,1,0.0009920634920634,4,0.16666666666666666
SMALL,W1008,FRACf0.04,10,ABS,10,0.0099206349206349,4,0.16666666666666666
SMALL,W1008,FRACf0.04,1008,ABS,1008,1.0,16,0.6666666666666666
SMALL,W1008,FRACf0.04,126,ABS,126,0.125,3,0.125
SMALL,W1008,FRACf0.04,2,ABS,2,0.0019841269841269,4,0.16666666666666666
SMALL,W1008,FRACf0.04,21,ABS,21,0.0208333333333333,3,0.125
SMALL,W1008,FRACf0.04,252,ABS,252,0.25,4,0.16666666666666666
SMALL,W1008,FRACf0.04,42,ABS,42,0.0416666666666666,0,0.0
SMALL,W1008,FRACf0.04,5,ABS,5,0.0049603174603174,4,0.16666666666666666
SMALL,W1008,FRACf0.04,504,ABS,504,0.5,7,0.2916666666666667
SMALL,W1008,FRACf0.04,63,ABS,63,0.0625,1,0.041666666666666664
SMALL,W1008,FRACf0.04,T,ABS,1008,1.0,16,0.6666666666666666
SMALL,W1008,FRACf0.04,f0.0006,FRAC,1,0.0009920634920634,4,0.16666666666666666
SMALL,W1008,FRACf0.04,f0.002,FRAC,2,0.0019841269841269,4,0.16666666666666666
SMALL,W1008,FRACf0.04,f0.005,FRAC,5,0.0049603174603174,4,0.16666666666666666
SMALL,W1008,FRACf0.04,f0.01,FRAC,10,0.0099206349206349,4,0.16666666666666666
SMALL,W1008,FRACf0.04,f0.02,FRAC,20,0.0198412698412698,2,0.08333333333333333
SMALL,W1008,FRACf0.04,f0.08,FRAC,81,0.0803571428571428,1,0.041666666666666664
SMALL,W1008,FRACf0.04,f0.15,FRAC,151,0.1498015873015873,5,0.20833333333333334
SMALL,W1008,FRACf0.04,f0.3,FRAC,302,0.2996031746031746,4,0.16666666666666666
SMALL,W1008,FRACf0.04,f0.6,FRAC,605,0.6001984126984127,5,0.20833333333333334
SMALL,W1008,FRACf0.04,f1,FRAC,1008,1.0,16,0.6666666666666666
SMALL,WFULL,ABS63,1,ABS,1,0.0006657789613848,1,0.041666666666666664
SMALL,WFULL,ABS63,10,ABS,10,0.0066577896138482,1,0.041666666666666664
SMALL,WFULL,ABS63,1008,ABS,1008,0.6711051930758988,6,0.25
SMALL,WFULL,ABS63,126,ABS,126,0.0838881491344873,0,0.0
SMALL,WFULL,ABS63,2,ABS,2,0.0013315579227696,1,0.041666666666666664
SMALL,WFULL,ABS63,21,ABS,21,0.0139813581890812,0,0.0
SMALL,WFULL,ABS63,252,ABS,252,0.1677762982689747,2,0.08333333333333333
SMALL,WFULL,ABS63,42,ABS,42,0.0279627163781624,0,0.0
SMALL,WFULL,ABS63,5,ABS,5,0.0033288948069241,1,0.041666666666666664
SMALL,WFULL,ABS63,504,ABS,504,0.3355525965379494,3,0.125
SMALL,WFULL,ABS63,T,ABS,1502,1.0,20,0.8333333333333334
SMALL,WFULL,ABS63,f0.0006,FRAC,1,0.0006657789613848,1,0.041666666666666664
SMALL,WFULL,ABS63,f0.002,FRAC,3,0.0019973368841544,1,0.041666666666666664
SMALL,WFULL,ABS63,f0.005,FRAC,8,0.0053262316910785,1,0.041666666666666664
SMALL,WFULL,ABS63,f0.01,FRAC,15,0.0099866844207723,0,0.0
SMALL,WFULL,ABS63,f0.02,FRAC,30,0.0199733688415446,0,0.0
SMALL,WFULL,ABS63,f0.04,FRAC,60,0.0399467376830892,0,0.0
SMALL,WFULL,ABS63,f0.08,FRAC,120,0.0798934753661784,0,0.0
SMALL,WFULL,ABS63,f0.15,FRAC,225,0.1498002663115845,1,0.041666666666666664
SMALL,WFULL,ABS63,f0.3,FRAC,451,0.3002663115845539,3,0.125
SMALL,WFULL,ABS63,f0.6,FRAC,901,0.5998668442077231,6,0.25
