panel,constr,m,n,cost,argmax_CAGR,argmax_Sharpe,argmax_IS_Sharpe,argmax_OOS_Sharpe,sp_k_dCAGR,sp_k_dSharpe,sp_negk_dCAGR,sp_negk_dSharpe,live_minus_zero_CAGR,live_minus_zero_Sharpe,pos_minus_zero_CAGR
u56,norm,0.2,7,10.0,1.0,1.0,0.25,1.0,1.0,0.9166666666666666,0.9999999999999999,0.8999999999999998,-0.07169355447208847,-0.16966300278210444,0.02833939127549323
u56,norm,0.2,7,25.0,1.0,1.0,0.25,1.0,0.9833333333333333,0.9333333333333332,0.9999999999999999,0.9999999999999999,-0.07582813864679983,-0.31285533481593414,0.027810244184267363
u56,norm,0.53,20,0.0,1.0,0.25,-0.25,1.0,0.9833333333333333,0.7833333333333333,0.9999999999999999,0.8999999999999998,-0.026579247048347243,-0.07305233955179258,0.005640208750730347
u56,norm,0.53,20,10.0,1.0,0.25,-0.25,0.5,0.9500000000000001,0.8333333333333333,0.9999999999999999,0.9999999999999999,-0.027158881276679647,-0.0939994930880449,0.0055793162576438515
u56,norm,0.53,20,25.0,1.0,0.25,-0.25,0.5,0.9333333333333332,0.8833333333333333,0.9999999999999999,0.9999999999999999,-0.027997915655604944,-0.12550413026714968,0.005488936062679084
u56,norm,0.85,32,0.0,1.0,1.0,-0.5,1.0,0.9833333333333333,0.9166666666666666,0.9999999999999999,0.9999999999999999,-0.008216039749350701,-0.02053487893744066,0.001864446714846757
u56,norm,0.85,32,10.0,1.0,1.0,-0.5,0.25,0.9833333333333333,0.8666666666666667,0.9999999999999999,0.9999999999999999,-0.00834638710112312,-0.02643760373318016,0.0016447417920395502
u56,norm,0.85,32,25.0,1.0,0.25,-0.5,0.25,0.9833333333333333,0.8166666666666667,0.9999999999999999,0.9999999999999999,-0.00853629600404493,-0.035291673231747867,0.0013220804283464727
broad,lit,0.2,18,0.0,0.75,0.75,0.75,0.75,0.9833333333333333,0.9333333333333332,0.9999999999999999,0.7,-0.04524187724156614,-0.04485565882539899,0.029975833607989832
broad,lit,0.2,18,10.0,0.75,0.75,0.75,0.75,0.9833333333333333,0.9833333333333333,0.9999999999999999,0.9999999999999999,-0.04938668422215242,-0.12418802853850286,0.027488500728759968
broad,lit,0.2,18,25.0,0.75,0.75,0.75,0.75,0.9833333333333333,0.9833333333333333,0.9999999999999999,0.9999999999999999,-0.05533728410807859,-0.2435030310803048,0.023880801849397004
broad,lit,0.53,48,0.0,1.0,-0.25,0.25,-0.25,1.0,0.5166666666666667,0.9999999999999999,0.6,-0.019446764500062663,-0.061405710076974485,0.0038572227514548363
broad,lit,0.53,48,10.0,1.0,-0.25,0.25,-0.25,1.0,0.41666666666666663,0.9999999999999999,0.7999999999999999,-0.02060461142967074,-0.08205808797709835,0.003111620256544212
broad,lit,0.53,48,25.0,0.75,0.0,0.25,-0.25,0.9833333333333333,0.41666666666666663,0.9999999999999999,0.8999999999999998,-0.022295794371918642,-0.11310847551110226,0.002018769496290318
broad,lit,0.85,78,0.0,0.5,0.5,0.5,0.5,0.9333333333333332,0.8666666666666667,0.9999999999999999,0.8999999999999998,-0.007124418372322472,-0.030293825275517383,0.00403784910667393
broad,lit,0.85,78,10.0,0.5,0.5,0.5,0.5,0.9333333333333332,0.7999999999999999,0.9999999999999999,0.8999999999999998,-0.007246740862153489,-0.03431689216910483,0.0037810638613422487
broad,lit,0.85,78,25.0,0.5,0.5,0.5,0.25,0.8833333333333333,0.7833333333333333,0.9999999999999999,0.9999999999999999,-0.007426728755965506,-0.04035987396014307,0.003401716435625035
broad,norm,0.2,18,0.0,0.75,0.75,0.75,0.75,0.9833333333333333,0.9666666666666667,0.9999999999999999,0.8999999999999998,-0.04606286958509176,-0.05329520856406944,0.029101421938464656
broad,norm,0.2,18,10.0,0.75,0.75,0.75,0.75,0.9833333333333333,0.9833333333333333,0.9999999999999999,0.9999999999999999,-0.04998610249465196,-0.1312884068900061,0.026810224060428434
broad,norm,0.2,18,25.0,0.75,0.75,0.75,0.75,0.9833333333333333,0.9833333333333333,0.9999999999999999,0.9999999999999999,-0.05561040285682828,-0.24849805690784466,0.023488947470396537
broad,norm,0.53,48,0.0,1.0,-0.25,0.25,-0.25,1.0,0.5499999999999999,0.9999999999999999,0.7999999999999999,-0.01958342317787265,-0.0633065095551879,0.003784216894586301
broad,norm,0.53,48,10.0,1.0,-0.25,0.25,-0.25,1.0,0.45,0.9999999999999999,0.7999999999999999,-0.020669713197923656,-0.08311010210394776,0.0030831054833608817
broad,norm,0.53,48,25.0,0.75,0.0,0.25,-0.25,0.9833333333333333,0.43333333333333335,0.9999999999999999,0.9999999999999999,-0.022250317922162255,-0.11285448653049535,0.002058321969209187
broad,norm,0.85,78,0.0,0.5,0.5,0.5,0.5,0.9333333333333332,0.8666666666666667,0.9999999999999999,0.8999999999999998,-0.007202325044662006,-0.03112350027734312,0.0040663084123724325
broad,norm,0.85,78,10.0,0.5,0.5,0.5,0.5,0.9333333333333332,0.8833333333333333,0.9999999999999999,0.9999999999999999,-0.007294162343464583,-0.03480200587246196,0.003811299407535884
broad,norm,0.85,78,25.0,0.5,0.5,0.5,0.5,0.8833333333333333,0.7833333333333333,0.9999999999999999,0.9999999999999999,-0.007427841513870881,-0.04031655550061786,0.003436499421555217
small,lit,0.2,28,0.0,-0.75,-1.0,-0.75,-1.0,-0.9833333333333333,-1.0,-0.8999999999999998,-0.9999999999999999,0.004923212965091572,0.14104177081288582,-0.0005706235323814646
small,lit,0.2,28,10.0,-0.75,-1.0,-0.75,-1.0,-0.9666666666666667,-1.0,-0.7999999999999999,-0.9999999999999999,0.0013956250352264998,0.08519704818119078,-0.0061022549647011814
small,lit,0.2,28,25.0,-0.75,-0.75,-0.75,0.25,-0.8833333333333333,-0.9666666666666667,-0.3,-0.7999999999999999,-0.003639289406326851,0.0015658280397920499,-0.013971642005468965
small,lit,0.53,75,0.0,-1.0,-1.0,-1.0,-0.25,-0.9333333333333332,-0.9666666666666667,-0.7,-0.8999999999999998,0.0003933786704259923,0.03103994889304107,-0.021684893517105452
small,lit,0.53,75,10.0,-0.25,-1.0,-1.0,-0.25,-0.7999999999999999,-0.9500000000000001,0.19999999999999998,-0.7,-0.0002798642425483333,0.018486437551620216,-0.024225048070032118
small,lit,0.53,75,25.0,-0.25,-0.25,-1.0,-0.25,-0.7999999999999999,-0.7999999999999999,0.19999999999999998,0.19999999999999998,-0.0012560548416788997,-0.00034456041114233615,-0.02788955511692126
small,lit,0.85,120,0.0,-0.5,-0.5,-1.0,-0.5,-0.9500000000000001,-0.9500000000000001,-0.7,-0.7,0.0071064373723688234,0.07067400196522866,-0.0029624580315605886
small,lit,0.85,120,10.0,-0.5,-0.5,-1.0,-0.5,-0.9500000000000001,-0.9500000000000001,-0.7,-0.7,0.007092235759512899,0.06821089514727041,-0.003917247688473013
small,lit,0.85,120,25.0,-0.5,-0.5,-1.0,-0.5,-0.9500000000000001,-0.9500000000000001,-0.7,-0.7,0.00707003648598703,0.06448985859017514,-0.005309994685650077
small,norm,0.2,28,0.0,-0.75,-1.0,-0.75,-1.0,-0.9833333333333333,-1.0,-0.8999999999999998,-0.9999999999999999,0.004919337842052229,0.1300717171506246,-0.0005701743874002574
small,norm,0.2,28,10.0,-0.75,-1.0,-0.75,0.25,-0.9666666666666667,-1.0,-0.7999999999999999,-0.9999999999999999,0.0013950780867058032,0.07679231863377256,-0.006097487223084563
small,norm,0.2,28,25.0,-0.75,-0.75,-0.75,0.25,-0.8833333333333333,-0.9333333333333332,-0.3,-0.6,-0.003631012773947173,-0.002918511985798178,-0.013954198907912385
small,norm,0.53,75,0.0,-1.0,-1.0,-1.0,-0.25,-0.9333333333333332,-0.9333333333333332,-0.7,-0.7,0.00039524559557602146,0.0264739345806434,-0.02181023608553434
small,norm,0.53,75,10.0,-0.25,-1.0,-1.0,-0.25,-0.7999999999999999,-0.9500000000000001,0.19999999999999998,-0.7,-0.0002812165191266036,0.01532262863265832,-0.024329119391570897
small,norm,0.53,75,25.0,-0.25,-0.25,-1.0,-0.25,-0.7999999999999999,-0.7999999999999999,0.19999999999999998,0.19999999999999998,-0.0012584440485050585,-0.0013709257045630974,-0.027947419185387012
small,norm,0.85,120,0.0,-0.5,-0.5,-1.0,-0.5,-0.9500000000000001,-0.9500000000000001,-0.7,-0.7,0.007145566921142432,0.057779140852835476,-0.002980705274707285
small,norm,0.85,120,10.0,-0.5,-0.5,-1.0,-0.5,-0.9500000000000001,-0.9500000000000001,-0.7,-0.7,0.0071101870348635465,0.05583702063577439,-0.003928979688430756
small,norm,0.85,120,25.0,-0.5,-0.5,-1.0,-0.5,-0.9500000000000001,-0.9500000000000001,-0.7,-0.7,0.007056457888597434,0.05290970417465521,-0.005301245075546301
