panel,cost,pool,N,grid,K,distinct_rand_scores,pct_step_at_one_end,min_attainable_p,rand_mean,exact_pool_mean,mc_se,rand_median,rand_sd,median_atom_mass,G7,G8
U56,0.0,WIDE80,80,Q32,32,2000,0.0125,0.00625,1.2615043924024045,1.2615554396279691,0.00030873186030248596,1.2614146071410213,0.013806908529126548,0.0,True,True
U56,10.0,GRID18,18,REC1,1,18,0.05555555555555555,0.027777777777777776,1.274865359687984,1.2784292852179167,0.002083778652396488,1.2762297973468626,0.09318941433642905,0.067,True,True
U56,10.0,GRID18,18,Q8,8,2000,0.05555555555555555,0.027777777777777776,1.2273021356783027,1.2278830117906465,0.0007057848766213948,1.2260444588410429,0.03156365923233482,0.0,True,True
U56,10.0,GRID18,18,Q16,16,2000,0.05555555555555555,0.027777777777777776,1.24313837496563,1.2432649148373578,0.00048028754460222506,1.242667956070824,0.02147911196954075,0.0,True,True
U56,10.0,GRID18,18,Q32,32,2000,0.05555555555555555,0.027777777777777776,1.2276647240752359,1.2277992163290217,0.00028583992335271056,1.227614026340797,0.012783149985999808,0.0,True,True
U56,10.0,GRIDSHELF,24,REC1,1,21,0.041666666666666664,0.020833333333333332,1.265396842085399,1.2634533903840073,0.002190750768935538,1.2755286548566704,0.09797335282199596,0.0825,True,False
U56,10.0,GRIDSHELF,24,Q8,8,2000,0.041666666666666664,0.020833333333333332,1.2141423634645756,1.2135760479610644,0.0007201173994640258,1.2139080148250585,0.032204629139638646,0.0,True,True
U56,10.0,GRIDSHELF,24,Q16,16,2000,0.041666666666666664,0.020833333333333332,1.2312323539498433,1.2304090593965586,0.0005064302361077557,1.2309385065615295,0.022648248675964208,0.0,True,True
U56,10.0,GRIDSHELF,24,Q32,32,2000,0.041666666666666664,0.020833333333333332,1.2191234848874049,1.219235307514677,0.0003039073362213653,1.2188841990510124,0.013591149253037138,0.0,True,True
U56,10.0,WIDE10,10,REC1,1,10,0.1,0.05,1.2496032094871505,1.2494595404802218,0.0018541119783325565,1.2080426749189088,0.08291840842896428,0.105,True,False
U56,10.0,WIDE10,10,Q8,8,2000,0.1,0.05,1.1944512478383453,1.1945913063302027,0.0006203292968720316,1.193629604830325,0.027741969524810207,0.0,True,True
U56,10.0,WIDE10,10,Q16,16,2000,0.1,0.05,1.2133055452742973,1.2133698332967,0.00041205337125936543,1.213043314576015,0.018427586969877986,0.0,True,True
U56,10.0,WIDE10,10,Q32,32,2000,0.1,0.05,1.2053056161081854,1.2048583081960003,0.00027044720844875657,1.2053341838872416,0.012094766848329504,0.0,True,True
U56,10.0,WIDE20,20,REC1,1,20,0.05,0.025,1.2481608496607695,1.2455939599134929,0.001918649863288618,1.22633339900444,0.08580463038668057,0.0525,True,True
U56,10.0,WIDE20,20,Q8,8,2000,0.05,0.025,1.1925334873510074,1.192291524107928,0.0006493675922138016,1.1922824493622202,0.02904060157150847,0.0,True,True
U56,10.0,WIDE20,20,Q16,16,2000,0.05,0.025,1.2096762592296177,1.2091729133311246,0.000449584945312499,1.2089223876115187,0.020106049987585466,0.0,True,True
U56,10.0,WIDE20,20,Q32,32,2000,0.05,0.025,1.1993678046539502,1.1991720269232016,0.0002562315235685542,1.1993200581730492,0.011459022093552533,0.0,True,True
U56,10.0,WIDE40,40,REC1,1,40,0.025,0.0125,1.2325324740382768,1.2339770886608552,0.0017102053313184614,1.2080426749189088,0.0764827075262126,0.0295,True,True
U56,10.0,WIDE40,40,Q8,8,2000,0.025,0.0125,1.1816836411803693,1.1818302186498162,0.0006101343236022433,1.180245193243234,0.02728603645960941,0.0,True,True
U56,10.0,WIDE40,40,Q16,16,2000,0.025,0.0125,1.1987534265383837,1.1987254143772725,0.0004047728087246168,1.1984182252629207,0.018101990315035264,0.0,True,True
U56,10.0,WIDE40,40,Q32,32,2000,0.025,0.0125,1.191122361056388,1.191390684902649,0.00024212427885850478,1.1908733827062012,0.010828126930614638,0.0,True,True
U56,10.0,WIDE80,80,REC1,1,80,0.0125,0.00625,1.2405329357383077,1.245142940555462,0.0018077445779115461,1.2199667141773294,0.08084479524333764,0.011,True,True
U56,10.0,WIDE80,80,Q8,8,2000,0.0125,0.00625,1.1933858339571128,1.1928485969436868,0.0006429621612108217,1.1921091939837076,0.028754141988551515,0.0,True,True
U56,10.0,WIDE80,80,Q16,16,2000,0.0125,0.00625,1.2095285735890047,1.2093894646588113,0.0004384018425920386,1.2088370484745234,0.01960592642993922,0.0,True,True
