universe,sleeve,book,n_assets,corr_uncond,corr_crisis_q05,corr_crisis_q10,corr_crisis_q20,corr_uncond_IS,corr_crisis_IS
broad,S5f,v1,5,0.43557843645388045,0.6514744110795841,0.565168749481652,0.4819153599194193,0.4521814709634122,0.6264119381445037
broad,S5f,top20,5,0.4165187739567466,0.5371598845886726,0.4315347408503893,0.3812015754557711,0.3534278299218015,0.33287064131224603
broad,S5f,ewall,5,0.39765162293128514,0.4695850704339737,0.3723740768609506,0.33351394277318935,0.34325821472941886,0.2442352921958364
broad,S6f,v1,6,0.5704024522385818,0.6940818107827704,0.6235357688678926,0.5555075768257997,0.6301786652640146,0.7198493349268156
broad,S6f,top20,6,0.6403058025108744,0.647391838409113,0.56330654128856,0.5409495640424556,0.6074745027949165,0.46351960141792964
broad,S6f,ewall,6,0.6164307161208796,0.5505544074771255,0.47030734668114627,0.4636558060602624,0.5993450246248302,0.35513103110507654
broad,S7f,v1,7,0.6154166070186197,0.6984034628218478,0.6401978744602604,0.5831958106360569,0.6892282604987467,0.7541441513518071
broad,S7f,top20,7,0.7097931143823965,0.6803792891652262,0.6100386354418016,0.5870537890965885,0.7098579726481405,0.5477410343895774
broad,S7f,ewall,7,0.6998082968519982,0.5785535796310819,0.5111905514830752,0.5171651666634631,0.7062027422437851,0.43045381689115686
broad,S8f,v1,8,0.6339574342813016,0.7038346269228579,0.6510721217608082,0.601812857136559,0.7094634374852525,0.7715025733713363
broad,S8f,top20,8,0.7361719481467888,0.7012265930116695,0.6331287885576768,0.6126488896306602,0.7401186357380203,0.5851699560255875
broad,S8f,ewall,8,0.740837893719777,0.5993767826212146,0.53725067299811,0.5520026733581056,0.7448253814392369,0.46151251005408717
broad,S5r,v1,5,0.2884545017115596,0.5733434912121408,0.46332070699191513,0.38690972740461593,0.296834745129496,0.5200885839238003
broad,S5r,top20,5,0.2609208280144315,0.46930851933156165,0.35140797466158746,0.2874871011954843,0.20189202757361785,0.26169574922273797
broad,S5r,ewall,5,0.22584373343978212,0.39374550593758545,0.28593191834903087,0.23156880139228844,0.18275060487023315,0.16911730650116838
broad,S6r,v1,6,0.41976156837862344,0.6274832895565273,0.5281116995045179,0.4622571632566446,0.44875721320131845,0.6083115693971849
broad,S6r,top20,6,0.42748324414436795,0.5502024666657866,0.4363810069151305,0.38085597900522683,0.3830881703522899,0.36553702505750935
broad,S6r,ewall,6,0.41737026010148964,0.465157396431902,0.36456963894366956,0.33103607216556075,0.37897597035064706,0.256483513015999
broad,S7r,v1,7,0.512250323114674,0.6508243652535172,0.568386213047724,0.5120079997090007,0.5734324174592946,0.6701371577393049
broad,S7r,top20,7,0.5579733700731965,0.605128144435002,0.5088269215897325,0.45582375244490597,0.5600558407079612,0.4709151619266984
broad,S7r,ewall,7,0.5596496686008828,0.5114361315343353,0.4262445707134066,0.40862261758232227,0.5596279278658675,0.3515493178635689
broad,S8r,v1,8,0.5861926943131102,0.6755293235491494,0.6066304473913028,0.5598168446606742,0.6618709482643153,0.72581349661321
broad,S8r,top20,8,0.6861687494117432,0.6748189309383806,0.5965169101227901,0.5660204228962037,0.6935108284380497,0.5527145976502161
broad,S8r,ewall,8,0.6807930125120788,0.5632961495152842,0.4917951811326757,0.4965416621080655,0.6930896733549959,0.42317629147877855
broad,S9,v1,9,0.625913345622868,0.6898036557992147,0.635356341699033,0.5921195715125369,0.704884403735848,0.7558914322044235
broad,S9,top20,9,0.7426913296608972,0.7028214911218355,0.6380019760999235,0.6183665271973428,0.7533974412659482,0.5955763931347824
broad,S9,ewall,9,0.7497282223567922,0.5957890248804902,0.5367550912543938,0.55652725159748,0.7637119875230521,0.47234605703519167
