panel,cap,gross,max_name_w,p99_name_w,med_name_w,mean_gross,mean_sweep_w,turnover_yr,max_row_sum
B136,0.030,0.75,0.03,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.2652036771554455,4.792014636346089,1.0000000000000002
B136,0.040,0.75,0.04,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.2622269937584114,4.854802697546287,1.0000000000000002
B136,0.060,0.75,0.06,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.2598541233491796,4.889513701546224,1.0000000000000002
B136,0.100,0.75,0.1,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25865486968393003,4.905193279484289,1.0000000000000002
B136,INF,0.75,0.125,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25851194830674606,4.906022705624988,1.0000000000000002
B136,DG,1.0,0.008130081300813009,0.008130081300813009,0.007575757575757576,0.9999999999999998,0.2971732182661068,4.060172545585136,1.000000000000001
B136,0.015,1.0,0.015,0.015,0.009523809523809525,1.0000000000000009,0.06574483511656223,5.533606859547995,1.0000000000000022
B136,0.020,1.0,0.02,0.02,0.009523809523809525,1.0000000000000009,0.0436518179961833,5.829629100658773,1.0000000000000022
B136,0.030,1.0,0.03,0.02857142857142857,0.009523809523809525,1.0000000000000009,0.026002046525684757,6.075522236622384,1.0000000000000022
B136,0.040,1.0,0.04,0.02857142857142857,0.009523809523809525,1.0000000000000009,0.02027156954059447,6.174095818289881,1.0000000000000022
B136,0.060,1.0,0.06,0.02857142857142857,0.009523809523809525,1.0000000000000009,0.01510755560321274,6.267040538463086,1.0000000000000022
B136,0.100,1.0,0.1,0.02857142857142857,0.009523809523809525,1.0000000000000009,0.012138722128533945,6.310893289456078,1.0000000000000022
B136,INF,1.0,0.16666666666666666,0.02857142857142857,0.009523809523809525,1.0000000000000009,0.011349264408995289,6.316743996025918,1.0000000000000022
SMALL,DG,0.75,0.0019329896907216496,0.0019280205655526992,0.0013711151736745886,1.0,0.588864048051639,3.479642631177334,1.0
SMALL,0.015,0.75,0.015,0.007352941176470588,0.00234375,1.0000000000000002,0.25174232817651565,6.954786798574415,1.0
SMALL,0.020,0.75,0.02,0.007352941176470588,0.00234375,1.0000000000000002,0.2510677149378649,6.982386030344766,1.0
SMALL,0.030,0.75,0.03,0.007352941176470588,0.00234375,1.0000000000000002,0.2503347704793308,7.017273862163325,1.0
SMALL,0.040,0.75,0.04,0.007352941176470588,0.00234375,1.0000000000000002,0.2500989094598025,7.016294428611268,1.0
SMALL,0.060,0.75,0.05357142857142857,0.007352941176470588,0.00234375,1.0000000000000002,0.25000000000000033,7.0191477499114585,1.0
SMALL,0.100,0.75,0.05357142857142857,0.007352941176470588,0.00234375,1.0000000000000002,0.25000000000000033,7.0191477499114585,1.0
SMALL,INF,0.75,0.05357142857142857,0.007352941176470588,0.00234375,1.0000000000000002,0.25000000000000033,7.0191477499114585,1.0
SMALL,DG,1.0,0.002577319587628866,0.002570694087403599,0.0018281535648994515,1.0000000000000002,0.45181873073551904,4.672345000250701,1.0
SMALL,0.015,1.0,0.015,0.00980392156862745,0.003125,1.0000000000000018,0.0035797616028424785,8.889215718014878,1.0000000000000142
SMALL,0.020,1.0,0.02,0.00980392156862745,0.003125,1.0000000000000018,0.0023231042353558,8.932513720881044,1.0000000000000142
SMALL,0.030,1.0,0.03,0.00980392156862745,0.003125,1.0000000000000018,0.001080395637841217,8.98754302463964,1.0000000000000142
SMALL,0.040,1.0,0.04,0.00980392156862745,0.003125,1.0000000000000018,0.0004463606391092894,9.007110474750906,1.0000000000000142
SMALL,0.060,1.0,0.06,0.00980392156862745,0.003125,1.0000000000000018,4.057823992085429e-05,9.005477021194961,1.0000000000000142
SMALL,0.100,1.0,0.07142857142857142,0.00980392156862745,0.003125,1.0000000000000018,2.0109312248466662e-15,9.005477021194961,1.0000000000000142
SMALL,INF,1.0,0.07142857142857142,0.00980392156862745,0.003125,1.0000000000000018,2.0109312248466662e-15,9.005477021194961,1.0000000000000142
