panel,volfilter,family,cost,arm,gross,TO,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Calmar,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,m_H1,m_H2,m_OOS,m_DD,m_CAGR,pass4b_phi70,pass4b_phi00,bind,adm_S0,adm_S1,adm_S2,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
broad,False,F_BAND,10.0,band=0.12,0.7502535592495531,2.0645330115378027,0.13635096894494003,1.1763888777448201,-0.2173847752460747,1.2946748914387283,1.0759108250181024,0.1350195237342291,1.1951225003287085,-0.12018536906817812,1.1234272921992354,1.0599776336255102,1.4050200732372258,0.13745091594646675,1.1620514328168436,-0.2173847752460749,0.3380364935030532,0.24187813318226725,0.28002750921961206,-0.01508905540171665,0.029752632442923768,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,10.0,band=0.2,0.7502540700132204,1.5903393224324396,0.13650788610561237,1.0779924995725254,-0.24756942957895678,1.1372130153016924,1.0266161591534921,0.12823273684739833,1.0313353029713672,-0.1312302185953147,0.9771586012733855,0.8227590590707153,1.376852706368889,0.14338261812508124,1.1155378482241747,-0.24756942957895678,0.18057461736601732,0.19258346731765696,0.2335139246269431,-0.04527370973459874,0.02990954960359611,False,False,DD,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,25.0,band=0.0,0.7502134804398218,7.843664828304624,0.10331075508585785,0.9489014612578257,-0.20423449713176223,1.0512720354915366,0.8602828222030328,0.09977004460865957,0.9388472652410392,-0.11891398942034204,0.8390101542719951,0.7813714436861594,1.1555738541124614,0.10624129842882124,0.957043045014866,-0.20423449713176212,0.09463363755586152,0.02625013036719759,0.07501912141763445,-0.0019387772874041864,-0.003287581416158411,False,False,CAGR,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,25.0,band=0.03,0.750212727056559,4.804176471053953,0.10931100688100726,1.002418282621371,-0.18745349090203722,1.1069926740602507,0.9111599598058345,0.1060657623156247,0.9934623968696469,-0.10624359770925718,0.9983261542580746,0.8110174671199447,1.2464885630130274,0.11199630421691209,1.0096448187449274,-0.18745349090203722,0.15035427612457564,0.07712726796999936,0.1276208951476958,0.014842228942320818,0.0027126703789909917,True,True,CAGR,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,25.0,band=0.06,0.7502139980387245,3.3446145993418988,0.11514952219301589,1.0291631312593068,-0.20478470668945448,1.0991480735948986,0.9688053511491052,0.10751060880439134,0.984367993221824,-0.11351943442648682,0.9470678685772814,0.8140802137048494,1.2186009437195988,0.12149317616332356,1.0649461070084938,-0.20478470668945425,0.14250967565922357,0.13477265931326998,0.1829221834112622,-0.002488986845096436,0.008551185690999621,False,False,DD,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,25.0,band=0.09,0.7502376166744106,2.540711491233987,0.12471445084947508,1.101001843675346,-0.2092239229578149,1.2195044408186761,1.0013480438623272,0.12268347663126056,1.1168946531253972,-0.11601474856380267,1.0574817266771077,0.9327460283967164,1.3934111722315339,0.12639327246362742,1.0892121101789145,-0.2092239229578149,0.2628660428830011,0.16731535202649206,0.20718818658168292,-0.006928203113456849,0.018116114347458814,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,25.0,band=0.12,0.7502535592495531,2.0645330115378027,0.1328302594330224,1.1486473368204175,-0.2190068200119233,1.268984192910199,1.0463456668890805,0.13176609721190302,1.1689843703822627,-0.12096014947338474,1.0893347750111366,1.0290679123109163,1.3846670421022247,0.13370920935289887,1.1330592249195908,-0.2190068200119234,0.31234579497452397,0.2123129750532453,0.2510353013223592,-0.016711100167565246,0.026231922931006138,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_BAND,25.0,band=0.2,0.7502540700132204,1.5903393224324396,0.13379691955909023,1.0588568800705327,-0.24911861922094325,1.1179200601149364,1.007634298858113,0.12548273825305944,1.0117964664431616,-0.1316371277355478,0.9532473126058157,0.7988853479305594,1.3626405914434443,0.14070440726418854,1.0967153747902847,-0.24911861922094347,0.16128166217926132,0.1736016070222779,0.2146914511930531,-0.04682289937658521,0.02719858305707397,False,False,DD,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,10.0,cadence=D,0.75,6.499076061180663,0.11512172759247741,1.0598915161982583,-0.19362086877909257,1.1633374450134892,0.9690901471776588,0.11197335919583584,1.0503996459347626,-0.10496846019227513,1.066733369154216,0.8729682241774276,1.2956078879387793,0.11772662069681705,1.0675107476152164,-0.19362086877909246,0.20669904707781417,0.13505745534182367,0.18548682401798477,0.008674851065265471,0.008523391090461144,True,True,CAGR,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,10.0,cadence=W,0.750212727056559,4.804176471053953,0.11734120862469921,1.069006474157742,-0.18528570357900853,1.1722149107973225,0.9791459258042284,0.113949568157099,1.0603986045067486,-0.10493570632609206,1.085898900827865,0.8852934404645929,1.3051274341904113,0.12014792469678381,1.0759636446032426,-0.18528570357900898,0.21557651286164747,0.14511323396839326,0.19393972100601098,0.01701001626534951,0.010742872122682948,True,True,CAGR,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
