panel,cadence,cost_bps,chooser,pick_cap,pick_gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beats_spy,beats_ewbh,beats_blend,beats_base,spy_OOS_Sharpe,ewbh_OOS_Sharpe,blend_OOS_Sharpe,full4b_spy,full4b_blend,full4b_blend_strict
U56,M,10.0,C_ISSHARPE,0.020,0.75,0.12870257802245533,1.267061164743373,-0.1791182452379544,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1421086215909209,True,False,False
U56,M,10.0,C_ISCALMAR,0.020,0.75,0.12870257802245533,1.267061164743373,-0.1791182452379544,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1421086215909209,True,False,False
U56,M,25.0,C_ISSHARPE,0.020,0.75,0.12467481760904597,1.2311643692779357,-0.17960292480437656,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1328496537475745,True,False,False
U56,M,25.0,C_ISCALMAR,0.020,0.75,0.12467481760904597,1.2311643692779357,-0.17960292480437656,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1328496537475745,True,False,False
U56,M,50.0,C_ISSHARPE,0.020,0.75,0.11798958969654194,1.1708972516522735,-0.18041072408174652,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1173577763025544,True,False,False
U56,M,50.0,C_ISCALMAR,0.020,0.75,0.11798958969654194,1.1708972516522735,-0.18041072408174652,True,True,True,False,0.8831406547160487,1.1216505977478437,1.1173577763025544,True,False,False
B136,W,0.0,C_ISSHARPE,0.015,0.75,0.12041840957916072,1.1502675890058949,-0.16605233181474677,True,True,True,True,0.8736721309012504,1.0854678628517918,1.030178323169987,True,False,False
B136,W,0.0,C_ISCALMAR,0.020,0.75,0.12186816399359102,1.1392361336091132,-0.1660523318147471,True,True,True,True,0.8736721309012504,1.0854678628517918,1.0471371738582118,True,False,False
B136,W,10.0,C_ISSHARPE,0.015,0.75,0.11524960870490153,1.1053250447515872,-0.16663605360180467,True,True,True,True,0.8736721309012504,1.0854678628517918,1.0227718967823831,True,False,False
B136,W,10.0,C_ISCALMAR,0.020,0.75,0.11650054279398914,1.0935817708519633,-0.17096216935248387,True,True,True,False,0.8736721309012504,1.0854678628517918,1.0410180073932933,True,False,False
B136,W,25.0,C_ISSHARPE,0.015,0.75,0.10753921313561854,1.0378098417311061,-0.1675113773008159,True,False,True,False,0.8736721309012504,1.0854678628517918,1.0116420780264432,True,False,False
B136,W,25.0,C_ISCALMAR,0.020,0.75,0.10849512786676208,1.025005402259087,-0.17934700448984042,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0318219310266397,True,False,False
B136,W,50.0,C_ISSHARPE,0.015,0.75,0.09480189651354931,0.9251000370711348,-0.17917740298592133,True,False,False,False,0.8736721309012504,1.0854678628517918,0.9930405892643515,False,False,False
B136,W,50.0,C_ISCALMAR,0.020,0.75,0.09527458603872074,0.9105523613820907,-0.1931402003715541,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0164502986232336,False,False,False
B136,M,0.0,C_ISSHARPE,0.030,0.75,0.13040491779657093,1.1231284875893615,-0.2198339307014502,True,True,True,True,0.8736721309012504,1.0854678628517918,1.09951708276804,False,False,False
B136,M,0.0,C_ISCALMAR,0.030,0.75,0.13040491779657093,1.1231284875893615,-0.2198339307014502,True,True,True,True,0.8736721309012504,1.0854678628517918,1.09951708276804,False,False,False
B136,M,10.0,C_ISSHARPE,0.020,0.75,0.1213258408360649,1.0647581902329766,-0.22025734185985302,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0927307875564665,False,False,False
B136,M,10.0,C_ISCALMAR,0.030,0.75,0.12681638954077235,1.0954449270751883,-0.2202573418598528,True,True,False,False,0.8736721309012504,1.0854678628517918,1.0976434151197372,False,False,False
B136,M,25.0,C_ISSHARPE,0.020,0.75,0.11600430555605556,1.0227108684212232,-0.22089245859745732,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0867656829781713,False,False,False
B136,M,25.0,C_ISCALMAR,0.030,0.75,0.1214520012927578,1.053721693000784,-0.22089245859745754,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0948281983797639,False,False,False
B136,M,50.0,C_ISSHARPE,0.020,0.75,0.10718344434131777,0.9521731279877252,-0.22195098649346456,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0767656518229345,False,False,False
B136,M,50.0,C_ISCALMAR,0.030,0.75,0.1125602391142273,0.9837275702686646,-0.22195098649346445,True,False,False,False,0.8736721309012504,1.0854678628517918,1.0901237113864657,False,False,False
