panel,anchor,ladder,K,chooser,anchor_rung,pick_rung,pick_is_boundary,anchor_is_boundary,reach,P_boot,chance,pick_IS,pick_OOS,anchor_OOS,delta,pick_full_CAGR,pick_full_Sharpe,pick_full_MaxDD,pick_h1,pick_h2,mean_OOS,best_OOS,worst_OOS,rank_IS_OOS,spy_full_Sharpe,spy_oos_Sharpe,live_full_Sharpe,keep4a,keep4b,fail4a,fail4b
U56,B,H,4,C_ISCAGR,63,42,0,0,0,0.154,0.25,1.1982657773372816,1.063078090310802,1.0222691173123764,0.04080897299842556,0.12488309344259862,1.109791573032846,-0.20956720983531196,1.2733402670596428,1.003482694480375,1.0223093813740989,1.0728549162897048,0.9310354015835123,0.0,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,B,H,4,C_ISDD,63,90,1,0,0,0.107,0.25,1.1274158469244193,0.9310354015835123,1.0222691173123764,-0.09123371572886407,0.11159205484293566,1.0064344557267597,-0.19824425105206323,1.213377837975568,0.8534852445196227,1.0223093813740989,1.0728549162897048,0.9310354015835123,0.0,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
U56,B,H,6,C_ISSHARPE,63,42,0,0,0,0.063,0.16666666666666666,1.1982657773372816,1.063078090310802,1.0222691173123764,0.04080897299842556,0.12488309344259862,1.109791573032846,-0.20956720983531196,1.2733402670596428,1.003482694480375,1.064874794568069,1.223483720996983,0.9310354015835123,-0.2571428571428572,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,B,H,6,C_ISCAGR,63,42,0,0,0,0.079,0.16666666666666666,1.1982657773372816,1.063078090310802,1.0222691173123764,0.04080897299842556,0.12488309344259862,1.109791573032846,-0.20956720983531196,1.2733402670596428,1.003482694480375,1.064874794568069,1.223483720996983,0.9310354015835123,-0.2571428571428572,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD",DD
U56,B,H,6,C_ISDD,63,10,1,0,0,0.044,0.16666666666666666,1.0736453265234724,1.223483720996983,1.0222691173123764,0.20121460368460675,0.12147773865688771,1.15814833126205,-0.16820052613778647,1.1271481373007801,1.1934090473152275,1.064874794568069,1.223483720996983,0.9310354015835123,-0.2571428571428572,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,DD",-
U56,B,H,8,C_ISSHARPE,63,189,1,0,0,0.028,0.125,1.2252705945984996,0.8677921130534038,1.0222691173123764,-0.1544770042589726,0.11141250752505227,1.0070081222195344,-0.20016293068802093,1.3004175099606095,0.7898279065256736,1.06006557518235,1.223483720996983,0.8677921130534038,-0.6867469879518072,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD","H2,OOS"
U56,B,H,8,C_ISCAGR,63,189,1,0,0,0.034,0.125,1.2252705945984996,0.8677921130534038,1.0222691173123764,-0.1544770042589726,0.11141250752505227,1.0070081222195344,-0.20016293068802093,1.3004175099606095,0.7898279065256736,1.06006557518235,1.223483720996983,0.8677921130534038,-0.6867469879518072,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,False,"H2,DD","H2,OOS"
U56,B,H,8,C_ISDD,63,5,1,0,0,0.028,0.125,1.0736453265234724,1.223483720996983,1.0222691173123764,0.20121460368460675,0.12147773865688771,1.15814833126205,-0.16820052613778647,1.1271481373007801,1.1934090473152275,1.06006557518235,1.223483720996983,0.8677921130534038,-0.6867469879518072,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,DD",-
U56,B,GROSS,2,C_ISSHARPE,0.55,0.55,1,1,1,0.99,0.5,1.0957636098686045,1.0222691173123764,1.0222691173123764,0.0,0.11401910300108486,1.0487309364081854,-0.1926002722543556,1.200249595779614,0.9375052304452204,1.021434615902498,1.0222691173123764,1.0206001144926196,,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
U56,B,GROSS,2,C_ISCAGR,0.55,0.55,1,1,1,1.0,0.5,1.0957636098686045,1.0222691173123764,1.0222691173123764,0.0,0.11401910300108486,1.0487309364081854,-0.1926002722543556,1.200249595779614,0.9375052304452204,1.021434615902498,1.0222691173123764,1.0206001144926196,,0.8849225790643692,0.8747033226162612,1.2017892948478177,False,True,"H1,H2,DD",-
