panel,gross,cad,cost,turn_yr,CAGR,Sharpe,MaxDD,H1,H2,isSharpe,oCAGR,oSharpe,oMaxDD,p4a_canon,p4a_own,p4b
B136,1.0,M,25.0,1.8509451701671995,0.10934799466964606,1.0669248443997332,-0.20542450024853687,1.1912811678374953,0.9477132727345001,1.0651791479177464,0.10850126298859508,1.0682726505730216,-0.20542450024853676,False,False,False
B136,1.0,Q,10.0,1.197821394605165,0.10440283579621168,0.9396443359352133,-0.2873148241711545,1.145108090562274,0.7740405452223301,1.0187079699548538,0.10210551013429425,0.883657001701551,-0.2873148241711544,False,False,False
B136,1.0,Q,25.0,1.197821394605165,0.10241995733020204,0.9235958136344647,-0.2873148241711546,1.12848952976292,0.7583717343252689,1.0024608944970965,0.1000456177836182,0.8677197300005973,-0.2873148241711545,False,False,False
SMALL439,0.5,W,10.0,1.8715431009231311,0.025814766896684826,0.5724827595068736,-0.09988739472238928,0.5687073992037276,0.5780672030148598,0.578968201235947,0.026101585119565618,0.5688148795619772,-0.09988739472238828,False,False,False
SMALL439,0.5,W,25.0,1.8715431009231311,0.022939071226036223,0.511937020508099,-0.10385377368426685,0.5066978469798632,0.5185428281173601,0.5192694674554005,0.0231427093082599,0.5077491549144036,-0.10385377368426685,False,False,False
SMALL439,0.5,M,10.0,1.1313482880150052,0.031210904032714204,0.6621362220808436,-0.11404862846594521,0.719028059805693,0.6141059751437574,0.7350380492115317,0.02952880315911477,0.619079140645403,-0.11404862846594443,True,False,False
SMALL439,0.5,M,25.0,1.1313482880150052,0.029462701978289152,0.6269361221420013,-0.11650814492605599,0.6823254502031197,0.5800787972930872,0.6999959460157955,0.027742519502522933,0.5837460649286131,-0.11650814492605643,True,False,False
SMALL439,0.5,Q,10.0,0.6626374146765625,0.02872585793224225,0.5834714615661614,-0.1505422885817853,0.6534769454223999,0.5258339711069611,0.6138524918630436,0.028407725231798908,0.5660385032509418,-0.1505422885817822,False,True,False
SMALL439,0.5,Q,25.0,0.6626374146765625,0.027704007623077676,0.5638953266767011,-0.15180488631207867,0.632217031171362,0.5076397868106683,0.5941151859599627,0.027371632031629067,0.5465567485727431,-0.1518048863120791,False,True,False
SMALL439,0.75,W,10.0,2.795502189482564,0.03813706883572432,0.5724733736510186,-0.14684660563541185,0.5698746757226836,0.5770246744930871,0.5802451320509181,0.038484818390414954,0.5680478274897115,-0.1468466056354124,False,False,False
SMALL439,0.75,W,25.0,2.795502189482564,0.03379307837145462,0.5121926124064103,-0.1524744887975945,0.5081394513740926,0.5177584359025187,0.5208257556593091,0.03401470572468157,0.5072384595676976,-0.15247448879759506,False,False,False
SMALL439,0.75,M,10.0,1.6927075526450017,0.04642645524624034,0.6643481051376008,-0.1674972889316192,0.7215371684764007,0.6158301074695656,0.7380395971282512,0.04375802430473219,0.6206906617517342,-0.1674972889316212,False,False,False
SMALL439,0.75,M,25.0,1.6927075526450017,0.0437735246677291,0.6292291914201107,-0.17096558741631485,0.6849746960963002,0.5818412420878656,0.7031370060960752,0.04105005957496721,0.5854053556985312,-0.17096558741631251,False,False,False
SMALL439,0.75,Q,10.0,0.9905361902050389,0.04218498494570877,0.5807842628596407,-0.22262355510969434,0.6530936151820539,0.5208092459353476,0.6127034082268081,0.04151508527716574,0.5623354599166303,-0.22262355510969545,False,False,False
SMALL439,0.75,Q,25.0,0.9905361902050389,0.04063796139497278,0.5612800457191304,-0.22436311729932368,0.6319687826969366,0.5026420687066688,0.5930764229856597,0.039947331982222334,0.5429051861789091,-0.224363117299321,False,False,False
SMALL439,1.0,W,10.0,3.7169635377423096,0.05004096638670741,0.5724246336132575,-0.19188733023830395,0.5709938851718714,0.5759505429576993,0.5814735583192681,0.05039282436126191,0.5672468569559973,-0.19188733023830562,False,False,False
SMALL439,1.0,W,25.0,3.7169635377423096,0.04420285691332415,0.5123239855136485,-0.19898487943424337,0.5094435612182346,0.5168610762421602,0.5222396329793674,0.04438544456221516,0.5066142447472171,-0.1989848794342436,False,False,False
SMALL439,1.0,M,10.0,2.253469977555143,0.061363534790316976,0.6665232848505238,-0.21863895688744583,0.7240469057304977,0.617494638575309,0.7410535969803824,0.057612205651721204,0.6222405263537497,-0.21863895688744583,False,False,False
SMALL439,1.0,M,25.0,2.253469977555143,0.057783042272734786,0.6314567931033852,-0.22298399093062593,0.6875918106352947,0.5835177672068468,0.7062569599925871,0.05396148923786259,0.5869766236656077,-0.22298399093062782,False,False,False
SMALL439,1.0,Q,10.0,1.3181181883118471,0.055002311270292426,0.5775523465835692,-0.2925060450378024,0.652677795054248,0.5149488778924294,0.6115480646857261,0.053846228272482755,0.5578110092575183,-0.2925060450378034,False,False,False
SMALL439,1.0,Q,25.0,1.3181181883118471,0.052918949947122984,0.558115176985676,-0.2946261150058792,0.6316692267059596,0.4968112029752039,0.5920108463104963,0.05173613166926838,0.5384357769579228,-0.29462611500587776,False,False,False
