output,cls,noise_mult,seed_noise,tol,L_lo,L_hi,n_rungs,band_ok,wider_than_point,covers_BAND_REC,covers_BAND_NEAR,swing_at_21,swing_at_42,swing_at_126,swing_at_252,first_unsafe_below,first_unsafe_above
B_SD,BAR,1.5,0.009079398668726944,0.013619098003090416,26,200,10,True,True,False,True,0.015190873411048487,0.005799708986528488,0.006387446241436328,0.021161336943129605,21.0,252.0
B_SD,BAR,2.0,0.009079398668726944,0.01815879733745389,21,200,11,True,True,False,True,0.015190873411048487,0.005799708986528488,0.006387446241436328,0.021161336943129605,16.0,252.0
B_SD,BAR,3.0,0.009079398668726944,0.027238196006180833,10,378,15,True,True,True,True,0.015190873411048487,0.005799708986528488,0.006387446241436328,0.021161336943129605,5.0,504.0
B_GAPEXCEEDS,BAR,1.0,0.0,0.0,1,756,20,True,True,True,True,0.0,0.0,0.0,0.0,,1008.0
B_GAPEXCEEDS,BAR,1.5,0.0,0.0,1,756,20,True,True,True,True,0.0,0.0,0.0,0.0,,1008.0
B_GAPEXCEEDS,BAR,2.0,0.0,0.0,1,756,20,True,True,True,True,0.0,0.0,0.0,0.0,,1008.0
B_GAPEXCEEDS,BAR,3.0,0.0,0.0,1,756,20,True,True,True,True,0.0,0.0,0.0,0.0,,1008.0
B_RESOLVED,BAR,1.0,0.013888888888888888,0.013888888888888888,32,126,7,True,True,False,True,0.041666666666666664,0.0,0.013888888888888888,0.06944444444444445,26.0,160.0
B_RESOLVED,BAR,1.5,0.013888888888888888,0.020833333333333332,32,126,7,True,True,False,True,0.041666666666666664,0.0,0.013888888888888888,0.06944444444444445,26.0,160.0
B_RESOLVED,BAR,2.0,0.013888888888888888,0.027777777777777776,26,126,8,True,True,False,True,0.041666666666666664,0.0,0.013888888888888888,0.06944444444444445,21.0,160.0
B_RESOLVED,BAR,3.0,0.013888888888888888,0.041666666666666664,16,200,12,True,True,False,True,0.041666666666666664,0.0,0.013888888888888888,0.06944444444444445,10.0,252.0
B_Q05,BAR,1.0,0.025189484349784422,0.025189484349784422,32,160,8,True,True,False,True,0.037862855897666386,0.01469297895805394,0.016730832899372824,0.034773898167666906,26.0,200.0
B_Q05,BAR,1.5,0.025189484349784422,0.03778422652467663,26,252,11,True,True,False,True,0.037862855897666386,0.01469297895805394,0.016730832899372824,0.034773898167666906,21.0,378.0
B_Q05,BAR,2.0,0.025189484349784422,0.050378968699568843,10,378,15,True,True,True,True,0.037862855897666386,0.01469297895805394,0.016730832899372824,0.034773898167666906,5.0,504.0
B_Q05,BAR,3.0,0.025189484349784422,0.07556845304935327,1,378,18,True,True,True,True,0.037862855897666386,0.01469297895805394,0.016730832899372824,0.034773898167666906,,504.0
O_PICK,OBS,1.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_PICK,OBS,1.5,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_PICK,OBS,2.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_PICK,OBS,3.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_MARGIN,OBS,1.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_MARGIN,OBS,1.5,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_MARGIN,OBS,2.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_MARGIN,OBS,3.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_LEVEL,OBS,1.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_LEVEL,OBS,1.5,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_LEVEL,OBS,2.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_LEVEL,OBS,3.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_GAPRATIO,OBS,1.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_GAPRATIO,OBS,1.5,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_GAPRATIO,OBS,2.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
O_GAPRATIO,OBS,3.0,0.0,0.0,1,1008,21,True,True,True,True,0.0,0.0,0.0,0.0,,
